x (m),U_rms (m/s) 
-3.087500000e+00, 8.546850000e-03
-3.062500000e+00, 1.903120000e-02
-3.037500000e+00, 2.599170000e-02
-3.012500000e+00, 2.675360000e-02
-2.987500000e+00, 3.105070000e-02
-2.962500000e+00, 3.710340000e-02
-2.937500000e+00, 4.128700000e-02
-2.912500000e+00, 4.572890000e-02
-2.887500000e+00, 4.654640000e-02
-2.862500000e+00, 4.429240000e-02
-2.837500000e+00, 4.163920000e-02
-2.812500000e+00, 3.856280000e-02
-2.787500000e+00, 3.563670000e-02
-2.762500000e+00, 3.532950000e-02
-2.737500000e+00, 3.214680000e-02
-2.712500000e+00, 2.971020000e-02
-2.687500000e+00, 2.855050000e-02
-2.662500000e+00, 2.591620000e-02
-2.637500000e+00, 3.360970000e-02
-2.612500000e+00, 3.246860000e-02
-2.587500000e+00, 3.017110000e-02
-2.562500000e+00, 2.937880000e-02
-2.537500000e+00, 2.769470000e-02
-2.512500000e+00, 2.343610000e-02
-2.487500000e+00, 2.368060000e-02
-2.462500000e+00, 2.561270000e-02
-2.437500000e+00, 2.559680000e-02
-2.412500000e+00, 2.908540000e-02
-2.387500000e+00, 3.417920000e-02
-2.362500000e+00, 3.744910000e-02
-2.337500000e+00, 3.707220000e-02
-2.312500000e+00, 3.697410000e-02
-2.287500000e+00, 4.255720000e-02
-2.262500000e+00, 5.474570000e-02
-2.237500000e+00, 6.541710000e-02
-2.212500000e+00, 7.003790000e-02
-2.187500000e+00, 7.104260000e-02
-2.162500000e+00, 7.095690000e-02
-2.137500000e+00, 6.987000000e-02
-2.112500000e+00, 6.873790000e-02
-2.087500000e+00, 6.816790000e-02
-2.062500000e+00, 6.819360000e-02
-2.037500000e+00, 6.852810000e-02
-2.012500000e+00, 6.879580000e-02
-1.987500000e+00, 6.879530000e-02
-1.962500000e+00, 6.833750000e-02
-1.937500000e+00, 6.720470000e-02
-1.912500000e+00, 6.949530000e-02
-1.887500000e+00, 6.757020000e-02
-1.862500000e+00, 6.522620000e-02
-1.837500000e+00, 6.038360000e-02
-1.812500000e+00, 5.700520000e-02
-1.787500000e+00, 5.362460000e-02
-1.762500000e+00, 5.035590000e-02
-1.737500000e+00, 4.677490000e-02
-1.712500000e+00, 4.269190000e-02
-1.687500000e+00, 3.799660000e-02
-1.662500000e+00, 3.354500000e-02
-1.637500000e+00, 2.943310000e-02
-1.612500000e+00, 2.572280000e-02
-1.587500000e+00, 2.233190000e-02
-1.562500000e+00, 1.931420000e-02
-1.537500000e+00, 1.710440000e-02
-1.512500000e+00, 1.547530000e-02
-1.487500000e+00, 1.439280000e-02
-1.462500000e+00, 1.347680000e-02
-1.437500000e+00, 1.275530000e-02
-1.412500000e+00, 1.201060000e-02
-1.387500000e+00, 1.122600000e-02
