s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PLUME FLUID MIXTURE
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.581E-01, 0.000E+00, 0.000E+00, 5.409E-02, 0.000E+00,-9.590E-03, 0.000E+00, 0.000E+00, 0.000E+00, 4.450E-02, 0.000E+00, 7.433E-03
 3.162E-01, 0.000E+00, 0.000E+00, 1.843E-01,-5.334E-08,-1.944E-02, 0.000E+00, 0.000E+00, 8.335E-02, 1.649E-01, 0.000E+00, 1.452E-02
 4.743E-01, 0.000E+00, 0.000E+00, 3.561E-01,-4.954E-08,-3.195E-02, 0.000E+00, 0.000E+00, 2.244E-01, 3.241E-01, 0.000E+00, 2.096E-02
 6.325E-01, 0.000E+00, 0.000E+00, 5.481E-01,-5.704E-08,-5.277E-02, 0.000E+00, 0.000E+00, 3.944E-01, 4.953E-01, 0.000E+00, 2.657E-02
 7.906E-01, 0.000E+00, 0.000E+00, 8.450E-01, 2.053E-07,-1.694E-01, 0.000E+00, 0.000E+00, 5.740E-01, 6.756E-01, 0.000E+00, 3.127E-02
 9.487E-01, 0.000E+00, 0.000E+00, 7.718E-01, 3.737E-07,-3.635E-02, 0.000E+00, 0.000E+00, 7.114E-01, 7.354E-01, 0.000E+00, 3.510E-02
 1.088E+00, 0.000E+00, 0.000E+00, 8.443E-01, 6.526E-07,-3.856E-02, 0.000E+00, 0.000E+00, 7.868E-01, 8.057E-01, 0.000E+00, 3.781E-02
 1.182E+00, 0.000E+00, 0.000E+00, 8.918E-01, 1.409E-06,-9.831E-02, 0.000E+00, 0.000E+00, 7.945E-01, 7.935E-01, 0.000E+00, 3.932E-02
 1.266E+00, 0.000E+00, 0.000E+00, 9.293E-01, 1.832E-06,-1.486E-01, 0.000E+00, 0.000E+00, 7.993E-01, 7.808E-01, 0.000E+00, 4.048E-02
 1.349E+00, 0.000E+00, 0.000E+00, 9.684E-01, 1.440E-06,-2.088E-01, 0.000E+00, 0.000E+00, 7.801E-01, 7.595E-01, 0.000E+00, 4.149E-02
 1.419E+00, 0.000E+00, 0.000E+00, 9.749E-01, 1.141E-06,-2.679E-01, 0.000E+00, 0.000E+00, 7.545E-01, 7.070E-01, 0.000E+00, 4.223E-02
 1.474E+00, 0.000E+00, 0.000E+00, 9.815E-01, 5.237E-08,-3.254E-01, 0.000E+00, 0.000E+00, 7.018E-01, 6.561E-01, 0.000E+00, 4.275E-02
 1.522E+00, 0.000E+00, 0.000E+00, 1.060E+00,-1.747E-07,-3.770E-01, 0.000E+00, 0.000E+00, 6.816E-01, 6.834E-01, 0.000E+00, 4.317E-02
 1.570E+00, 0.000E+00, 0.000E+00, 1.116E+00,-1.178E-06,-4.199E-01, 0.000E+00, 0.000E+00, 6.883E-01, 6.964E-01, 0.000E+00, 4.354E-02
 1.610E+00, 0.000E+00, 0.000E+00, 1.165E+00,-1.622E-06,-4.437E-01, 0.000E+00, 0.000E+00, 7.026E-01, 7.211E-01, 0.000E+00, 4.384E-02
 1.651E+00, 0.000E+00, 0.000E+00, 1.177E+00,-2.565E-06,-4.511E-01, 0.000E+00, 0.000E+00, 7.217E-01, 7.255E-01, 0.000E+00, 4.411E-02
 1.691E+00, 0.000E+00, 0.000E+00, 1.179E+00,-2.899E-06,-4.512E-01, 0.000E+00, 0.000E+00, 7.271E-01, 7.276E-01, 0.000E+00, 4.437E-02
 1.732E+00, 0.000E+00, 0.000E+00, 1.173E+00,-3.469E-06,-4.434E-01, 0.000E+00, 0.000E+00, 7.203E-01, 7.296E-01, 0.000E+00, 4.460E-02
 1.772E+00, 0.000E+00, 0.000E+00, 1.172E+00,-3.940E-06,-4.248E-01, 0.000E+00, 0.000E+00, 7.238E-01, 7.475E-01, 0.000E+00, 4.482E-02
 1.808E+00, 0.000E+00, 0.000E+00, 1.176E+00,-4.420E-06,-4.000E-01, 0.000E+00, 0.000E+00, 7.490E-01, 7.757E-01, 0.000E+00, 4.500E-02
 1.845E+00, 0.000E+00, 0.000E+00, 1.169E+00,-4.412E-06,-3.704E-01, 0.000E+00, 0.000E+00, 7.765E-01, 7.982E-01, 0.000E+00, 4.517E-02
 1.881E+00, 0.000E+00, 0.000E+00, 1.149E+00,-4.023E-06,-3.389E-01, 0.000E+00, 0.000E+00, 7.965E-01, 8.103E-01, 0.000E+00, 4.533E-02
 1.918E+00, 0.000E+00, 0.000E+00, 1.123E+00,-3.480E-06,-3.082E-01, 0.000E+00, 0.000E+00, 8.067E-01, 8.148E-01, 0.000E+00, 4.548E-02
 1.954E+00, 0.000E+00, 0.000E+00, 1.096E+00,-2.372E-06,-2.802E-01, 0.000E+00, 0.000E+00, 8.107E-01, 8.162E-01, 0.000E+00, 4.562E-02
 1.991E+00, 0.000E+00, 0.000E+00, 1.074E+00,-1.391E-06,-2.560E-01, 0.000E+00, 0.000E+00, 8.126E-01, 8.179E-01, 0.000E+00, 4.575E-02
 2.027E+00, 0.000E+00, 0.000E+00, 1.056E+00, 1.305E-07,-2.355E-01, 0.000E+00, 0.000E+00, 8.149E-01, 8.207E-01, 0.000E+00, 4.587E-02
 2.063E+00, 0.000E+00, 0.000E+00, 1.043E+00, 1.242E-06,-2.185E-01, 0.000E+00, 0.000E+00, 8.181E-01, 8.243E-01, 0.000E+00, 4.598E-02
 2.100E+00, 0.000E+00, 0.000E+00, 1.032E+00, 2.847E-06,-2.045E-01, 0.000E+00, 0.000E+00, 8.216E-01, 8.280E-01, 0.000E+00, 4.608E-02
 2.132E+00, 0.000E+00, 0.000E+00, 1.023E+00, 4.023E-06,-1.952E-01, 0.000E+00, 0.000E+00, 8.201E-01, 8.274E-01, 0.000E+00, 4.617E-02
 2.165E+00, 0.000E+00, 0.000E+00, 1.015E+00, 5.485E-06,-1.872E-01, 0.000E+00, 0.000E+00, 8.197E-01, 8.281E-01, 0.000E+00, 4.625E-02
 2.198E+00, 0.000E+00, 0.000E+00, 1.010E+00, 6.583E-06,-1.810E-01, 0.000E+00, 0.000E+00, 8.205E-01, 8.294E-01, 0.000E+00, 4.633E-02
 2.230E+00, 0.000E+00, 0.000E+00, 1.008E+00, 7.977E-06,-1.772E-01, 0.000E+00, 0.000E+00, 8.214E-01, 8.305E-01, 0.000E+00, 4.640E-02
 2.263E+00, 0.000E+00, 0.000E+00, 1.007E+00, 9.018E-06,-1.759E-01, 0.000E+00, 0.000E+00, 8.216E-01, 8.308E-01, 0.000E+00, 4.647E-02
 2.296E+00, 0.000E+00, 0.000E+00, 1.008E+00, 1.038E-05,-1.775E-01, 0.000E+00, 0.000E+00, 8.207E-01, 8.301E-01, 0.000E+00, 4.654E-02
 2.328E+00, 0.000E+00, 0.000E+00, 1.010E+00, 1.148E-05,-1.819E-01, 0.000E+00, 0.000E+00, 8.187E-01, 8.282E-01, 0.000E+00, 4.660E-02
 2.361E+00, 0.000E+00, 0.000E+00, 1.014E+00, 1.281E-05,-1.889E-01, 0.000E+00, 0.000E+00, 8.153E-01, 8.253E-01, 0.000E+00, 4.665E-02
 2.393E+00, 0.000E+00, 0.000E+00, 1.019E+00, 1.397E-05,-1.978E-01, 0.000E+00, 0.000E+00, 8.106E-01, 8.212E-01, 0.000E+00, 4.670E-02
