m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.938E-01,-1.012E-01, 7.583E-03, 5.926E-02, 2.550E-01, 1.958E-01, 1.553E-01, 8.665E-04, 5.816E-03, 3.417E-03, 1.200E-01, 1.727E-01, 1.424E-01, 1.441E-01, 1.764E-01, 1.666E-01, 8.197E-03, 2.061E-02, 1.535E-02
-4.813E-01,-9.547E-02, 2.332E-02, 7.267E-02, 2.535E-01, 1.984E-01, 1.545E-01, 1.896E-03, 8.007E-03, 4.774E-03, 1.472E-01, 1.950E-01, 1.662E-01, 1.694E-01, 1.903E-01, 1.826E-01, 1.349E-02, 2.438E-02, 1.788E-02
-4.688E-01,-8.093E-02, 4.601E-02, 8.855E-02, 2.533E-01, 1.997E-01, 1.504E-01, 3.489E-03, 1.081E-02, 6.003E-03, 1.796E-01, 2.166E-01, 1.853E-01, 1.915E-01, 2.010E-01, 2.019E-01, 1.938E-02, 2.859E-02, 2.031E-02
-4.563E-01,-7.111E-02, 8.121E-02, 1.138E-01, 2.547E-01, 2.008E-01, 1.492E-01, 6.299E-03, 1.345E-02, 7.387E-03, 2.059E-01, 2.293E-01, 2.201E-01, 2.083E-01, 2.095E-01, 2.205E-01, 2.548E-02, 3.177E-02, 2.182E-02
-4.438E-01,-3.323E-02, 1.081E-01, 1.636E-01, 2.582E-01, 1.994E-01, 1.516E-01, 1.275E-02, 1.604E-02, 9.678E-03, 2.373E-01, 2.385E-01, 2.432E-01, 2.279E-01, 2.275E-01, 2.375E-01, 3.509E-02, 3.412E-02, 2.329E-02
-4.313E-01, 1.140E-02, 1.307E-01, 2.112E-01, 2.633E-01, 1.966E-01, 1.558E-01, 1.999E-02, 1.837E-02, 1.266E-02, 2.881E-01, 2.575E-01, 2.845E-01, 2.489E-01, 2.482E-01, 2.550E-01, 4.576E-02, 3.605E-02, 2.605E-02
-4.188E-01, 8.341E-02, 1.764E-01, 2.539E-01, 2.699E-01, 1.978E-01, 1.567E-01, 2.782E-02, 2.114E-02, 1.545E-02, 3.580E-01, 2.886E-01, 3.242E-01, 2.683E-01, 2.647E-01, 2.699E-01, 5.477E-02, 3.744E-02, 2.843E-02
-4.062E-01, 1.409E-01, 2.352E-01, 3.024E-01, 2.773E-01, 2.001E-01, 1.516E-01, 3.590E-02, 2.506E-02, 1.846E-02, 4.166E-01, 3.165E-01, 3.423E-01, 2.847E-01, 2.815E-01, 2.875E-01, 6.195E-02, 3.989E-02, 3.086E-02
-3.938E-01, 2.010E-01, 2.896E-01, 3.601E-01, 2.826E-01, 2.008E-01, 1.496E-01, 4.199E-02, 2.837E-02, 2.178E-02, 4.380E-01, 3.440E-01, 3.586E-01, 2.998E-01, 2.979E-01, 3.081E-01, 6.521E-02, 4.169E-02, 3.315E-02
-3.812E-01, 2.595E-01, 3.321E-01, 4.276E-01, 2.900E-01, 1.978E-01, 1.522E-01, 4.821E-02, 3.078E-02, 2.602E-02, 4.465E-01, 3.832E-01, 3.814E-01, 3.190E-01, 3.126E-01, 3.210E-01, 6.778E-02, 4.232E-02, 3.711E-02
-3.688E-01, 2.947E-01, 3.837E-01, 4.862E-01, 2.991E-01, 1.947E-01, 1.582E-01, 5.155E-02, 3.318E-02, 3.068E-02, 4.419E-01, 4.130E-01, 4.142E-01, 3.310E-01, 3.280E-01, 3.339E-01, 6.719E-02, 4.277E-02, 4.145E-02
-3.563E-01, 3.459E-01, 4.495E-01, 5.721E-01, 3.043E-01, 1.943E-01, 1.656E-01, 5.614E-02, 3.704E-02, 3.471E-02, 4.462E-01, 4.228E-01, 4.589E-01, 3.407E-01, 3.328E-01, 3.456E-01, 6.894E-02, 4.398E-02, 4.523E-02
-3.438E-01, 3.925E-01, 4.938E-01, 6.274E-01, 3.033E-01, 2.010E-01, 1.653E-01, 6.088E-02, 4.150E-02, 3.803E-02, 4.543E-01, 4.140E-01, 4.843E-01, 3.534E-01, 3.311E-01, 3.512E-01, 7.224E-02, 4.716E-02, 4.789E-02
-3.313E-01, 4.597E-01, 5.636E-01, 7.045E-01, 3.096E-01, 2.119E-01, 1.644E-01, 6.785E-02, 4.664E-02, 4.209E-02, 4.745E-01, 4.246E-01, 5.095E-01, 3.647E-01, 3.445E-01, 3.662E-01, 7.657E-02, 5.248E-02, 5.087E-02
-3.187E-01, 5.504E-01, 6.271E-01, 7.913E-01, 3.282E-01, 2.096E-01, 1.659E-01, 7.521E-02, 5.278E-02, 4.727E-02, 5.015E-01, 4.599E-01, 5.390E-01, 3.738E-01, 3.646E-01, 3.821E-01, 8.426E-02, 5.797E-02, 5.465E-02
