x (m),Y He,Y He rms, U (m/s),U rms (m/s),W (m/s),W rms (m/s),TKE (m2/s2)
-5.24E-01,1.41E-02,0.00229,1.64E-01,0.1892,4.86E-02,0.2081,5.75E-02
-5.15E-01,1.42E-02,0.00248,1.61E-01,0.1844,4.49E-02,0.1939,5.28E-02
-5.06E-01,1.43E-02,0.00282,1.58E-01,0.1871,4.17E-02,0.186,5.24E-02
-4.96E-01,1.45E-02,0.0033,1.58E-01,0.1929,4.28E-02,0.1852,5.44E-02
-4.87E-01,1.47E-02,0.00377,1.58E-01,0.2017,4.04E-02,0.1822,5.73E-02
-4.78E-01,1.49E-02,0.00427,1.55E-01,0.2095,4.34E-02,0.1865,6.13E-02
-4.69E-01,1.52E-02,0.00481,1.48E-01,0.2152,4.71E-02,0.1887,6.41E-02
-4.60E-01,1.55E-02,0.00539,1.41E-01,0.2234,5.16E-02,0.1903,6.80E-02
-4.50E-01,1.59E-02,0.00621,1.39E-01,0.2341,5.77E-02,0.199,7.46E-02
-4.41E-01,1.64E-02,0.00725,1.43E-01,0.2492,6.83E-02,0.2069,8.35E-02
-4.32E-01,1.70E-02,0.00831,1.48E-01,0.2691,8.35E-02,0.2156,9.56E-02
-4.23E-01,1.76E-02,0.00934,1.51E-01,0.2912,1.03E-01,0.2245,1.10E-01
-4.14E-01,1.83E-02,0.01054,1.54E-01,0.3102,1.26E-01,0.2356,1.24E-01
-4.04E-01,1.92E-02,0.012,1.59E-01,0.3256,1.54E-01,0.2534,1.38E-01
-3.95E-01,2.03E-02,0.0136,1.61E-01,0.3391,1.88E-01,0.2751,1.53E-01
-3.86E-01,2.12E-02,0.01493,1.62E-01,0.3564,2.24E-01,0.3036,1.73E-01
-3.77E-01,2.21E-02,0.01597,1.62E-01,0.3688,2.62E-01,0.3286,1.90E-01
-3.68E-01,2.29E-02,0.01694,1.61E-01,0.3795,3.01E-01,0.3493,2.05E-01
-3.58E-01,2.39E-02,0.01806,1.60E-01,0.3873,3.46E-01,0.3755,2.21E-01
-3.49E-01,2.50E-02,0.01921,1.60E-01,0.395,3.93E-01,0.4062,2.38E-01
-3.40E-01,2.62E-02,0.0203,1.58E-01,0.4025,4.39E-01,0.4405,2.59E-01
-3.31E-01,2.77E-02,0.02145,1.54E-01,0.4111,4.92E-01,0.4743,2.82E-01
-3.22E-01,2.95E-02,0.02278,1.52E-01,0.4219,5.52E-01,0.506,3.06E-01
-3.12E-01,3.13E-02,0.02408,1.50E-01,0.429,6.13E-01,0.5348,3.27E-01
-3.03E-01,3.32E-02,0.02536,1.47E-01,0.4336,6.78E-01,0.5523,3.41E-01
-2.94E-01,3.54E-02,0.02702,1.44E-01,0.4382,7.54E-01,0.5666,3.53E-01
-2.85E-01,3.74E-02,0.02877,1.47E-01,0.445,8.36E-01,0.5857,3.70E-01
-2.76E-01,3.90E-02,0.03013,1.46E-01,0.4517,9.21E-01,0.6066,3.89E-01
-2.67E-01,4.06E-02,0.0313,1.42E-01,0.4539,1.01E+00,0.6285,4.04E-01
-2.57E-01,4.20E-02,0.03209,1.39E-01,0.4539,1.09E+00,0.6557,4.21E-01
-2.48E-01,4.34E-02,0.03286,1.33E-01,0.4572,1.17E+00,0.6856,4.44E-01
-2.39E-01,4.53E-02,0.03391,1.28E-01,0.4583,1.26E+00,0.7141,4.65E-01
-2.30E-01,4.75E-02,0.03521,1.27E-01,0.4626,1.34E+00,0.7436,4.91E-01
-2.21E-01,4.95E-02,0.03633,1.27E-01,0.4648,1.42E+00,0.772,5.14E-01
-2.11E-01,5.16E-02,0.03755,1.29E-01,0.4626,1.50E+00,0.8068,5.40E-01
-2.02E-01,5.40E-02,0.03886,1.24E-01,0.4626,1.59E+00,0.8337,5.62E-01
-1.93E-01,5.63E-02,0.04,1.16E-01,0.469,1.67E+00,0.8579,5.88E-01
-1.84E-01,5.90E-02,0.04099,1.07E-01,0.4754,1.76E+00,0.8758,6.09E-01
-1.75E-01,6.21E-02,0.04183,9.70E-02,0.4796,1.85E+00,0.8843,6.21E-01
-1.65E-01,6.56E-02,0.0429,8.91E-02,0.4817,1.94E+00,0.8911,6.29E-01
-1.56E-01,6.93E-02,0.04427,8.36E-02,0.4817,2.02E+00,0.9066,6.43E-01
-1.47E-01,7.31E-02,0.04583,7.92E-02,0.4806,2.09E+00,0.9214,6.56E-01
-1.38E-01,7.69E-02,0.04733,7.56E-02,0.4775,2.16E+00,0.9476,6.77E-01
-1.29E-01,8.00E-02,0.04806,7.09E-02,0.4722,2.22E+00,0.9711,6.95E-01
-1.19E-01,8.30E-02,0.04879,6.65E-02,0.468,2.29E+00,0.999,7.18E-01
-1.10E-01,8.63E-02,0.0495,6.15E-02,0.4637,2.37E+00,1.0296,7.46E-01
-1.01E-01,9.00E-02,0.0507,5.84E-02,0.4637,2.44E+00,1.0536,7.69E-01
-9.19E-02,9.36E-02,0.05196,5.71E-02,0.4615,2.50E+00,1.0677,7.82E-01
-8.27E-02,9.60E-02,0.05254,5.22E-02,0.4583,2.57E+00,1.0817,7.96E-01
-7.35E-02,9.92E-02,0.0531,4.56E-02,0.4539,2.63E+00,1.0954,8.07E-01
-6.43E-02,1.03E-01,0.05431,4.16E-02,0.4517,2.68E+00,1.1136,8.23E-01
-5.51E-02,1.07E-01,0.05559,3.57E-02,0.4506,2.73E+00,1.1136,8.24E-01
-4.60E-02,1.10E-01,0.05666,3.08E-02,0.4494,2.78E+00,1.1225,8.30E-01
-3.68E-02,1.13E-01,0.05797,2.62E-02,0.4472,2.82E+00,1.1358,8.45E-01
-2.76E-02,1.16E-01,0.05916,2.20E-02,0.4472,2.86E+00,1.1358,8.46E-01
-1.84E-02,1.19E-01,0.05958,1.70E-02,0.4438,2.90E+00,1.1402,8.48E-01
-9.19E-03,1.22E-01,0.06042,9.27E-03,0.4393,2.94E+00,1.1446,8.50E-01
0.00E+00,1.25E-01,0.06042,-5.33E-03,0.4359,2.97E+00,1.1533,8.53E-01
9.19E-03,1.27E-01,0.06033,-2.02E-02,0.4382,3.00E+00,1.1533,8.58E-01
1.84E-02,1.29E-01,0.06058,-2.97E-02,0.4416,3.03E+00,1.1533,8.61E-01
2.76E-02,1.28E-01,0.0605,-4.04E-02,0.4427,3.04E+00,1.1402,8.46E-01
3.68E-02,1.25E-01,0.06025,-5.02E-02,0.4416,3.03E+00,1.1269,8.28E-01
4.60E-02,1.22E-01,0.05983,-5.69E-02,0.4405,3.00E+00,1.1091,8.10E-01
5.51E-02,1.19E-01,0.05916,-5.89E-02,0.4359,2.97E+00,1.1,7.94E-01
6.43E-02,1.15E-01,0.05753,-6.43E-02,0.4324,2.95E+00,1.077,7.66E-01
7.35E-02,1.11E-01,0.05675,-6.37E-02,0.429,2.91E+00,1.0488,7.33E-01
8.27E-02,1.07E-01,0.05657,-6.87E-02,0.4254,2.86E+00,1.0247,7.06E-01
