s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.0264299E-003,-2.8776023E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0264299E-003, 0.0000000E+000, 0.0000000E+000
 5.0009632E-001, 1.8833257E+000,-2.3498868E-001, 1.5072457E-002,-1.5406049E-001,-7.4869366E-005, 0.0000000E+000, 0.0000000E+000, 1.4886381E+000, 1.5092741E+000, 8.0407151E-005, 8.0407151E-005
 1.0000399E+000, 4.7502045E+000,-9.0332676E-001, 6.0420307E-002,-1.2103801E-001,-1.1736955E-004, 0.0000000E+000, 0.0000000E+000, 3.6732531E+000, 3.7861427E+000, 2.0822366E-004, 2.0822366E-004
 1.5000688E+000, 9.5535425E+000,-1.8425040E+000,-6.2229182E+000,-1.0595333E-001,-1.4056546E-004, 0.0000000E+000, 0.0000000E+000, 1.2634842E+000, 1.3820264E+000, 2.7983695E-004, 2.7983695E-004
 2.0003839E+000, 1.1993839E+001,-2.6948350E+000,-7.5340602E+000,-8.8266530E-002,-1.3345179E-004, 0.0000000E+000, 0.0000000E+000, 1.5016145E+000, 1.6765436E+000, 3.1161517E-004, 3.1161517E-004
 2.5001276E+000, 1.3788680E+001,-3.0890430E+000,-9.5111361E+000,-8.7394701E-002,-1.2834296E-004, 0.0000000E+000, 0.0000000E+000, 7.4572782E-001, 1.1009774E+000, 3.2421537E-004, 3.2421537E-004
 3.0003569E+000, 1.4860968E+001,-3.1895322E+000,-1.0035560E+001,-8.5643176E-002,-1.3105473E-004, 0.0000000E+000, 0.0000000E+000, 1.2027327E+000, 1.5501014E+000, 3.2898438E-004, 3.2898438E-004
 3.5001881E+000, 1.5359666E+001,-3.1237411E+000,-1.2236851E+001,-1.0722299E-001,-1.3297740E-004, 0.0000000E+000, 0.0000000E+000,-3.1715532E-001,-1.0828254E-001, 3.3075816E-004, 3.3075816E-004
 4.0000625E+000, 1.4928251E+001,-3.1066740E+000,-1.1560825E+001,-9.8089345E-002,-1.3100757E-004, 0.0000000E+000, 0.0000000E+000,-1.7652108E-001, 1.6253153E-001, 3.3141310E-004, 3.3141310E-004
 4.5004125E+000, 1.5026695E+001,-2.9798016E+000,-1.1672941E+001,-9.5941825E-002,-1.3221995E-004, 0.0000000E+000, 0.0000000E+000,-1.5496083E-002, 2.7787880E-001, 3.3165452E-004, 3.3165452E-004
 5.0002317E+000, 1.5028482E+001,-3.1682040E+000,-1.0142035E+001,-9.4696563E-002,-1.3469986E-004, 0.0000000E+000, 0.0000000E+000, 1.3290000E+000, 1.6234124E+000, 3.3174338E-004, 3.3174338E-004
 5.5001397E+000, 1.5539553E+001,-3.3720933E+000,-1.2094554E+001,-9.4190747E-002,-1.3333346E-004, 0.0000000E+000, 0.0000000E+000,-3.4470676E-001,-2.1418204E-002, 3.3177605E-004, 3.3177605E-004
 6.0000644E+000, 1.4471173E+001,-2.8527086E+000,-1.2254449E+001,-9.7184862E-002,-1.3269702E-004, 0.0000000E+000, 0.0000000E+000,-1.0890515E+000,-7.3330152E-001, 3.3178808E-004, 3.3178808E-004
 6.5001678E+000, 1.5031849E+001,-3.2163775E+000,-1.0634864E+001,-9.3780061E-002,-1.3077072E-004, 0.0000000E+000, 0.0000000E+000, 7.8927576E-001, 1.0866966E+000, 3.3179250E-004, 3.3179250E-004
 7.0004373E+000, 1.5380742E+001,-3.0669184E+000,-1.2898129E+001,-1.0577278E-001,-1.3202228E-004, 0.0000000E+000, 0.0000000E+000,-9.3976412E-001,-6.9020993E-001, 3.3179413E-004, 3.3179413E-004
 7.5001502E+000, 1.5320722E+001,-3.2166261E+000,-9.1905315E+000,-9.3783141E-002,-1.3210880E-004, 0.0000000E+000, 0.0000000E+000, 2.3929399E+000, 2.8196493E+000, 3.3179473E-004, 3.3179473E-004
 8.0002794E+000, 1.4569232E+001,-2.8731947E+000,-1.2553295E+001,-9.7562600E-002,-1.3210342E-004, 0.0000000E+000, 0.0000000E+000,-1.2519359E+000,-9.5495300E-001, 3.3179495E-004, 3.3179495E-004
 8.5002966E+000, 1.4926588E+001,-2.9547948E+000,-1.1854267E+001,-9.0791626E-002,-1.3038078E-004, 0.0000000E+000, 0.0000000E+000,-3.7195918E-001, 2.6604584E-002, 3.3179503E-004, 3.3179503E-004
 9.0002708E+000, 1.5528718E+001,-3.1308038E+000,-1.1845161E+001,-8.8921491E-002,-1.3092747E-004, 0.0000000E+000, 0.0000000E+000, 1.5615457E-001, 4.6370092E-001, 3.3179506E-004, 3.3179506E-004
 9.5004778E+000, 1.4921702E+001,-2.9296184E+000,-1.1047675E+001,-9.2751822E-002,-1.3205833E-004, 0.0000000E+000, 0.0000000E+000, 5.0907097E-001, 8.5152407E-001, 3.3179507E-004, 3.3179507E-004
 1.0000434E+001, 1.4862759E+001,-2.9016895E+000,-1.1527723E+001,-9.2088307E-002,-1.3353238E-004, 0.0000000E+000, 0.0000000E+000, 5.3801457E-002, 3.4112477E-001, 3.3179508E-004, 3.3179508E-004
 1.0500327E+001, 1.5074781E+001,-3.0522452E+000,-1.2360391E+001,-9.0855476E-002,-1.3115570E-004, 0.0000000E+000, 0.0000000E+000,-7.5159630E-001,-4.2884217E-001, 3.3179508E-004, 3.3179508E-004
 1.1000021E+001, 1.5361861E+001,-2.9808430E+000,-1.1719892E+001,-8.4905310E-002,-1.3381942E-004, 0.0000000E+000, 0.0000000E+000, 3.1066236E-001, 5.7608726E-001, 3.3179508E-004, 3.3179508E-004
 1.1500145E+001, 1.5024370E+001,-3.1843102E+000,-1.0937482E+001,-9.6941505E-002,-1.3289043E-004, 0.0000000E+000, 0.0000000E+000, 4.7147804E-001, 8.0550378E-001, 3.3179508E-004, 3.3179508E-004
 1.2000165E+001, 1.5021488E+001,-3.1083965E+000,-1.1608756E+001,-1.0919148E-001,-1.3282347E-004, 0.0000000E+000, 0.0000000E+000,-1.4807137E-001, 1.9501103E-001, 3.3179508E-004, 3.3179508E-004
 1.2500188E+001, 1.5456888E+001,-3.0695526E+000,-1.1981285E+001,-1.1682586E-001,-1.3364812E-004, 0.0000000E+000, 0.0000000E+000,-3.9462622E-002, 2.8909087E-001, 3.3179508E-004, 3.3179508E-004
 1.3000405E+001, 1.5078487E+001,-2.9199051E+000,-1.1673313E+001,-8.8563663E-002,-1.3133862E-004, 0.0000000E+000, 0.0000000E+000, 1.1384214E-001, 3.9657371E-001, 3.3179508E-004, 3.3179508E-004
