s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.0381902E-003,-7.6657840E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0381903E-003, 0.0000000E+000, 0.0000000E+000
 5.0107145E-001, 2.2722480E+000,-3.1969170E-001,-4.7657861E-004,-1.2015847E-001,-1.1243065E-004, 0.0000000E+000, 0.0000000E+000, 1.7819024E+000, 1.8318088E+000, 7.9949871E-005, 7.9949871E-005
 1.0000541E+000, 6.4776125E+000,-1.3663092E+000, 8.1274985E-002,-1.3971822E-001,-2.1347612E-004, 0.0000000E+000, 0.0000000E+000, 4.7435094E+000, 5.0526465E+000, 2.0497914E-004, 2.0497914E-004
 1.5007418E+000, 1.0437153E+001,-2.4581650E+000,-7.3304220E+000,-1.3678017E-001,-2.6030606E-004, 0.0000000E+000, 0.0000000E+000, 3.7905024E-001, 5.1152571E-001, 2.7530198E-004, 2.7530198E-004
 2.0007200E+000, 1.3476739E+001,-3.1721835E+000,-9.5050807E+000,-1.2714754E-001,-2.9328111E-004, 0.0000000E+000, 0.0000000E+000, 5.8626078E-001, 6.7203376E-001, 3.0653493E-004, 3.0653493E-004
 2.5003135E+000, 1.4316714E+001,-3.3536536E+000,-1.0083308E+001,-1.3433336E-001,-3.1188492E-004, 0.0000000E+000, 0.0000000E+000, 4.9775146E-001, 7.4510752E-001, 3.1890752E-004, 3.1890752E-004
 3.0004971E+000, 1.4575683E+001,-3.1923729E+000,-9.8430169E+000,-1.3999311E-001,-3.2469270E-004, 0.0000000E+000, 0.0000000E+000, 9.6961876E-001, 1.3999757E+000, 3.2359326E-004, 3.2359326E-004
 3.5006006E+000, 1.4795456E+001,-3.3989931E+000,-1.2088846E+001,-1.4324203E-001,-3.3008314E-004, 0.0000000E+000, 0.0000000E+000,-1.1261348E+000,-8.3595475E-001, 3.2533684E-004, 3.2533684E-004
 4.0004311E+000, 1.5239662E+001,-3.4391761E+000,-1.1243959E+001,-1.3955488E-001,-3.3345030E-004, 0.0000000E+000, 0.0000000E+000, 2.1831792E-001, 4.1663853E-001, 3.2598055E-004, 3.2598055E-004
 4.5007725E+000, 1.4840790E+001,-3.3996843E+000,-1.0157689E+001,-1.3846153E-001,-3.3538892E-004, 0.0000000E+000, 0.0000000E+000, 7.8230320E-001, 1.1446200E+000, 3.2621772E-004, 3.2621772E-004
 5.0000482E+000, 1.4440337E+001,-3.3400855E+000,-1.0586228E+001,-1.3764794E-001,-3.2928663E-004, 0.0000000E+000, 0.0000000E+000, 2.9816291E-002, 3.7604648E-001, 3.2630500E-004, 3.2630500E-004
 5.5000768E+000, 1.4759273E+001,-3.5033466E+000,-1.1289744E+001,-1.3781787E-001,-3.2378997E-004, 0.0000000E+000, 0.0000000E+000,-4.1691405E-001,-1.7195905E-001, 3.2633710E-004, 3.2633710E-004
