cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 1.3211528E+001, 5.7763975E-001,-5.0000000E-001, 1.1756501E+003, 1.2583513E+003, 1.3104783E+003, 1.2414964E+003, 1.1257735E+003, 9.4632376E+002, 1.0974250E+002, 1.5634366E+002, 2.1100555E+002, 3.1837554E+002, 3.7238848E+002, 3.5928131E+002,-2.0500000E+001, 1.0283271E-015, 1.5327552E-015, 1.0962374E-014, 1.9917657E-010, 6.8111453E-007, 3.9200727E-016, 2.0265527E-015, 2.6647949E-014, 1.0117028E-009, 2.9618935E-006
 1.5000000E+000, 2.2652336E+001, 1.8317210E+000, 5.0000000E-001, 1.1283530E+003, 1.2256272E+003, 1.2729506E+003, 1.2220276E+003, 1.1125342E+003, 9.4461292E+002, 1.0232604E+002, 1.4530736E+002, 2.0997822E+002, 3.2262145E+002, 3.7256646E+002, 3.6403724E+002,-1.9500000E+001, 8.0382805E-014, 1.1867664E-013, 1.1038983E-012, 1.7287980E-008, 3.1878879E-005, 4.3234487E-014, 3.0738593E-013, 2.7700864E-012, 1.1117139E-007, 1.6634167E-004
 2.5000000E+000, 1.9647638E+001, 1.6596594E+000, 1.5000000E+000, 1.3834703E+003, 1.3723934E+003, 1.2298115E+003, 1.1176929E+003, 1.0126346E+003, 8.8863223E+002, 1.5414370E+002, 2.0013970E+002, 2.9388504E+002, 3.7084574E+002, 3.8478575E+002, 3.6231760E+002,-1.8500000E+001, 8.0382805E-014, 1.1867664E-013, 1.1038983E-012, 1.7287980E-008, 3.1878879E-005, 4.3234487E-014, 3.0738593E-013, 2.7700864E-012, 1.1117139E-007, 1.6634167E-004
 3.5000000E+000, 1.5826070E+001, 1.6617967E+000, 2.5000000E+000, 1.2555207E+003, 1.0900188E+003, 1.0333364E+003, 9.5326141E+002, 8.8201467E+002, 8.0516062E+002, 2.7054187E+002, 3.5641848E+002, 3.9238036E+002, 4.0208558E+002, 3.8459968E+002, 3.4373249E+002,-1.7500000E+001, 6.3285852E-012, 1.2232007E-011, 9.0045674E-011, 1.0082500E-006, 6.5435050E-004, 3.1328588E-012, 4.8097102E-011, 2.3386070E-010, 7.9421443E-006, 3.5881016E-003
 4.5000000E+000, 1.2946165E+001, 1.6804852E+000, 3.5000000E+000, 6.6374124E+002, 7.0443632E+002, 8.1828286E+002, 8.2125346E+002, 7.7260429E+002, 7.1378105E+002, 2.3642138E+002, 2.8689292E+002, 4.0074075E+002, 4.0680359E+002, 3.7463471E+002, 3.2651446E+002,-1.6500000E+001, 6.3285852E-012, 1.2232007E-011, 9.0045674E-011, 1.0082500E-006, 6.5435050E-004, 3.1328588E-012, 4.8097102E-011, 2.3386070E-010, 7.9421443E-006, 3.5881016E-003
 5.5000000E+000, 1.0969832E+001, 1.6388882E+000, 4.5000000E+000, 4.4622268E+002, 4.9263810E+002, 6.2934085E+002, 6.9210119E+002, 6.7117065E+002, 6.3222234E+002, 1.3988237E+002, 1.8073195E+002, 3.3163533E+002, 3.7373276E+002, 3.5088044E+002, 2.9373063E+002,-1.5500000E+001, 3.7559062E-010, 1.2828622E-009, 5.6364767E-009, 2.9465530E-005, 2.8657831E-003, 1.5430999E-010, 6.1124421E-009, 1.3949065E-008, 2.3322640E-004, 1.1582902E-002
 6.5000000E+000, 9.5735605E+000, 1.6365637E+000, 5.5000000E+000, 3.7504177E+002, 3.8786087E+002, 4.8793041E+002, 5.7950135E+002, 5.8557137E+002, 5.6532496E+002, 9.5077823E+001, 1.1897395E+002, 2.3698974E+002, 3.2736256E+002, 3.2394592E+002, 2.7050199E+002,-1.4500000E+001, 3.7559062E-010, 1.2828622E-009, 5.6364767E-009, 2.9465530E-005, 2.8657831E-003, 1.5430999E-010, 6.1124421E-009, 1.3949065E-008, 2.3322640E-004, 1.1582902E-002
 7.5000000E+000, 8.5502763E+000, 1.6332093E+000, 6.5000000E+000, 3.3236492E+002, 3.4050008E+002, 3.9785115E+002, 4.8198747E+002, 5.1271057E+002, 5.1102263E+002, 5.6434689E+001, 8.1773080E+001, 1.5982071E+002, 2.6353670E+002, 2.9358301E+002, 2.5306401E+002,-1.3500000E+001, 1.6095950E-008, 1.0469492E-007, 3.6555412E-007, 3.4643887E-004, 8.3818062E-003, 5.5032069E-009, 6.2573767E-007, 9.4547660E-007, 2.4567436E-003, 2.0054562E-002
 8.5000000E+000, 7.8261098E+000, 1.6028046E+000, 7.5000000E+000, 3.0680920E+002, 3.1466877E+002, 3.4086904E+002, 4.1536168E+002, 4.5159848E+002, 4.6101233E+002, 2.9680563E+001, 4.2321531E+001, 9.3106319E+001, 2.0008736E+002, 2.4705886E+002, 2.2774130E+002,-1.2500000E+001, 1.6095950E-008, 1.0469492E-007, 3.6555412E-007, 3.4643887E-004, 8.3818062E-003, 5.5032069E-009, 6.2573767E-007, 9.4547660E-007, 2.4567436E-003, 2.0054562E-002
 9.5000000E+000, 7.3199489E+000, 1.5621736E+000, 8.5000000E+000, 2.9712269E+002, 3.0049242E+002, 3.1323999E+002, 3.6583519E+002, 4.0246457E+002, 4.1587527E+002, 9.6665872E+000, 1.5368453E+001, 4.6386740E+001, 1.4699733E+002, 1.8936617E+002, 1.9998890E+002,-1.1500000E+001, 2.1142403E-007, 7.2480225E-007, 1.5697582E-005, 1.7436914E-003, 1.4676742E-002, 1.4689634E-007, 2.2212896E-006, 1.1936096E-004, 8.3696835E-003, 2.9660763E-002
 1.0500000E+001, 6.9484961E+000, 1.5386900E+000, 9.5000000E+000, 2.9516654E+002, 2.9613847E+002, 3.0124826E+002, 3.3456053E+002, 3.6106350E+002, 3.8450005E+002, 7.5946871E-001, 5.3251580E+000, 1.9783678E+001, 1.0985134E+002, 1.3834272E+002, 1.7619925E+002,-1.0500000E+001, 4.9595940E-006, 2.1642041E-005, 2.0327688E-004, 6.0846800E-003, 2.3869526E-002, 5.9251052E-006, 6.9436842E-005, 1.2059459E-003, 1.6679612E-002, 3.7442529E-002
 1.1500000E+001, 6.6478494E+000, 1.5626978E+000, 1.0500000E+001, 2.9493220E+002, 2.9524588E+002, 2.9699006E+002, 3.1761948E+002, 3.3386447E+002, 3.5986128E+002, 4.2597459E-002, 4.5180521E-001, 7.6348709E+000, 8.0279371E+001, 1.0340527E+002, 1.5548135E+002,-9.5000000E+000, 1.4905044E-004, 5.7625718E-004, 1.6126329E-003, 1.5305790E-002, 3.4909343E-002, 2.7578983E-004, 2.2195497E-003, 5.2856995E-003, 2.7938305E-002, 4.3262462E-002
 1.2500000E+001, 6.3920480E+000, 1.6122358E+000, 1.1500000E+001, 2.9481200E+002, 2.9508073E+002, 2.9557753E+002, 3.0262123E+002, 3.1704982E+002, 3.3609091E+002, 2.6172580E-002, 3.7284077E-002, 1.8638586E+000, 3.0107732E+001, 6.7692751E+001, 1.1081321E+002,-8.5000000E+000, 2.9440406E-003, 4.4253915E-003, 7.8071571E-003, 3.1120851E-002, 4.9269271E-002, 5.0106526E-003, 1.2715398E-002, 1.7877455E-002, 4.2329324E-002, 4.8539222E-002
 1.3500000E+001, 6.1636664E+000, 1.6736873E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.5000000E+000, 1.6796908E-002, 1.4973737E-002, 2.3158086E-002, 5.2860644E-002, 6.6089514E-002, 1.9789815E-002, 2.8364420E-002, 3.5980384E-002, 5.9276847E-002, 5.6947025E-002
 1.4500000E+001, 5.9652383E+000, 1.7504089E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5000000E+000, 3.8894022E-002, 3.2758056E-002, 5.0190124E-002, 7.7960684E-002, 8.7305879E-002, 3.5358603E-002, 4.0693126E-002, 5.5590122E-002, 8.5828302E-002, 7.2833376E-002
 1.5500000E+001, 5.7983299E+000, 1.8512820E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.5000000E+000, 7.2394014E-002, 6.1818495E-002, 8.7271746E-002, 1.1540228E-001, 1.1552724E-001, 4.8875722E-002, 5.3212504E-002, 8.5460948E-002, 1.5122196E-001, 1.1599786E-001
 1.6500000E+001, 5.6630456E+000, 1.9747887E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.5000000E+000, 1.8166591E-001, 1.1214179E-001, 1.5131355E-001, 1.7412378E-001, 1.4903181E-001, 9.9450434E-002, 7.6178032E-002, 1.6838618E-001, 2.4997020E-001, 1.5938351E-001
 1.7500000E+001, 5.5505905E+000, 2.1172945E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5000000E+000, 6.1985990E-001, 2.6387370E-001, 3.0800375E-001, 2.6840719E-001, 1.8774217E-001, 3.6306410E-001, 1.8321880E-001, 3.6934049E-001, 3.5468476E-001, 1.9630368E-001
 1.8500000E+001, 5.4599991E+000, 2.2743535E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5000000E+000, 1.6667652E+000, 8.9925013E-001, 6.8781426E-001, 4.3509296E-001, 2.3350607E-001, 2.3547975E-001, 6.1567210E-001, 6.1814185E-001, 4.8735270E-001, 2.4402134E-001
 1.9500000E+001, 5.3932842E+000, 2.4551010E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5000000E+000, 2.0819083E+000, 1.7457662E+000, 1.4191028E+000, 6.9460478E-001, 2.8339758E-001, 1.2918278E-001, 3.3064128E-001, 6.0742706E-001, 6.1767562E-001, 3.0867123E-001
 2.0500000E+001, 5.3435940E+000, 2.6407458E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.0000000E-001, 2.3887923E+000, 2.1440651E+000, 1.8949438E+000, 9.5662830E-001, 3.2286454E-001, 7.8486784E-002, 2.0670055E-001, 3.7428581E-001, 6.9611354E-001, 3.5038216E-001
 2.1500000E+001, 5.3047557E+000, 2.8377046E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.0000000E-001, 2.4371594E+000, 2.1908191E+000, 1.8998674E+000, 9.6196367E-001, 3.2828088E-001, 5.9348538E-002, 2.0613242E-001, 3.9003922E-001, 6.9664739E-001, 3.6459776E-001
 2.2500000E+001, 5.2871798E+000, 3.0716097E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.5000000E+000, 2.2070883E+000, 1.6767654E+000, 1.3029961E+000, 7.1609877E-001, 2.9931477E-001, 1.4392665E-001, 3.6294944E-001, 6.5183025E-001, 6.4782452E-001, 3.4587680E-001
 2.3500000E+001, 5.2599070E+000, 3.2730250E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5000000E+000, 1.5080497E+000, 4.7928171E-001, 4.3327444E-001, 4.9675378E-001, 2.5169382E-001, 3.4252120E-001, 3.8424117E-001, 3.7114688E-001, 5.6509055E-001, 3.0614249E-001
 2.4500000E+001, 5.2429039E+000, 3.4897603E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5000000E+000, 3.8681448E-001, 1.5766897E-001, 1.7245589E-001, 3.3391019E-001, 2.0097524E-001, 1.7302752E-001, 8.1570840E-002, 1.2294055E-001, 4.5049941E-001, 2.5080549E-001
 2.5500000E+001, 5.2237473E+000, 3.7108399E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.5000000E+000, 1.3179721E-001, 7.0637420E-002, 9.0753262E-002, 2.2451254E-001, 1.5967099E-001, 6.3246858E-002, 4.3870853E-002, 6.1294821E-002, 3.4400696E-001, 1.9701493E-001
 2.6500000E+001, 5.1998066E+000, 3.9467916E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.5000000E+000, 6.2088847E-002, 3.9283829E-002, 4.7585240E-002, 1.4616282E-001, 1.2947007E-001, 4.2961229E-002, 3.4987366E-002, 4.1866024E-002, 2.2876328E-001, 1.5905473E-001
 2.7500000E+001, 5.1733259E+000, 4.1961171E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.5000000E+000, 3.6686731E-002, 2.0139865E-002, 2.4439455E-002, 9.2329897E-002, 1.0514856E-001, 3.2788650E-002, 2.4445005E-002, 3.1507423E-002, 1.4854757E-001, 1.3150225E-001
 2.8500000E+001, 5.1527612E+000, 4.4324161E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.5000000E+000, 1.0960655E-002, 6.7718384E-003, 1.1276188E-002, 6.0017693E-002, 8.1917724E-002, 1.2442074E-002, 1.3607425E-002, 2.1095903E-002, 9.8733059E-002, 1.0122060E-001
 2.9500000E+001, 5.1309896E+000, 4.6376247E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.5000000E+000, 1.2299683E-003, 1.2434243E-003, 3.3433678E-003, 3.6285215E-002, 6.2398027E-002, 1.6862431E-003, 5.2848857E-003, 8.9730267E-003, 6.1941485E-002, 1.0308804E-001
