cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 2.3831919E+001, 2.6857452E+000,-5.0000000E-001, 1.2758726E+003, 1.2903602E+003, 1.1580795E+003, 9.9116987E+002, 8.4501629E+002, 7.3235852E+002, 2.7330036E+002, 3.5356546E+002, 4.2479482E+002, 4.3171634E+002, 3.9737798E+002, 3.3552846E+002,-2.0500000E+001, 5.0002198E-027, 9.7338316E-024, 7.9445050E-018, 3.7386253E-013, 9.7508305E-004, 1.4845027E-026, 3.1102206E-023, 4.4839267E-017, 3.5198894E-012, 8.2802570E-003
 9.9696970E-001, 2.3831919E+001, 2.6857452E+000,-2.0000000E-002, 1.2758726E+003, 1.2903602E+003, 1.1580795E+003, 9.9116987E+002, 8.4501629E+002, 7.3235852E+002, 2.7330036E+002, 3.5356546E+002, 4.2479482E+002, 4.3171634E+002, 3.9737798E+002, 3.3552846E+002,-2.0006024E+001, 5.0002198E-027, 9.7338316E-024, 7.9445050E-018, 3.7386253E-013, 9.7508305E-004, 1.4845027E-026, 3.1102206E-023, 4.4839267E-017, 3.5198894E-012, 8.2802570E-003
 1.4939394E+000, 2.3136430E+001, 1.8002273E+000, 4.6000000E-001, 1.2755797E+003, 1.2751072E+003, 1.1687404E+003, 9.9954155E+002, 8.5112587E+002, 7.3644153E+002, 2.7078710E+002, 3.5530854E+002, 4.2620676E+002, 4.3125457E+002, 3.9446889E+002, 3.3690379E+002,-1.9512048E+001, 2.1058834E-025, 5.6860517E-022, 5.1087304E-016, 4.9083934E-011, 1.7025088E-003, 6.4767640E-025, 2.0441847E-021, 3.7763981E-015, 4.8007923E-010, 1.2511360E-002
 1.9909091E+000, 2.3185136E+001, 2.1999853E+000, 9.4000000E-001, 1.2587329E+003, 1.2381210E+003, 1.1587275E+003, 9.9828735E+002, 8.5565340E+002, 7.3388091E+002, 2.9468416E+002, 3.8379278E+002, 4.3148191E+002, 4.3638878E+002, 3.9635051E+002, 3.3130467E+002,-1.9018072E+001, 2.1058834E-025, 5.6860517E-022, 5.1087304E-016, 4.9083934E-011, 1.7025088E-003, 6.4767640E-025, 2.0441847E-021, 3.7763981E-015, 4.8007923E-010, 1.2511360E-002
 2.4878788E+000, 2.1381925E+001, 2.7216780E+000, 1.4200000E+000, 1.2353482E+003, 1.1756290E+003, 1.1285527E+003, 9.8420873E+002, 8.5855029E+002, 7.2961307E+002, 3.3246422E+002, 4.1036775E+002, 4.4107788E+002, 4.4053526E+002, 4.0214886E+002, 3.2571125E+002,-1.8524096E+001, 8.7434183E-024, 3.3930882E-020, 6.0952254E-014, 4.6707201E-009, 2.3306273E-003, 2.7973439E-023, 1.4336783E-019, 5.2160714E-013, 4.7746742E-008, 1.6031966E-002
 2.9848485E+000, 1.8806808E+001, 2.7704180E+000, 1.9000000E+000, 1.1868744E+003, 1.1249095E+003, 1.0898521E+003, 9.6362667E+002, 8.5169091E+002, 7.2129243E+002, 3.7623049E+002, 4.3467851E+002, 4.5958062E+002, 4.4955798E+002, 4.0510134E+002, 3.2327809E+002,-1.8030120E+001, 8.7434183E-024, 3.3930882E-020, 6.0952254E-014, 4.6707201E-009, 2.3306273E-003, 2.7973439E-023, 1.4336783E-019, 5.2160714E-013, 4.7746742E-008, 1.6031966E-002
 3.4818182E+000, 1.6409971E+001, 2.7024998E+000, 2.3800000E+000, 1.1245068E+003, 1.0777922E+003, 1.0405080E+003, 9.2623754E+002, 8.2723624E+002, 7.0570836E+002, 4.2685316E+002, 4.5072986E+002, 4.7200049E+002, 4.4973951E+002, 3.9636627E+002, 3.2000940E+002,-1.7536145E+001, 3.5072627E-022, 2.1374876E-018, 7.3973910E-012, 2.6476048E-007, 2.8494949E-003, 1.1724769E-021, 1.1221998E-017, 6.7199473E-011, 2.7802676E-006, 1.7491779E-002
 3.9787879E+000, 1.4449377E+001, 2.6300858E+000, 2.8600000E+000, 1.0458565E+003, 1.0385705E+003, 9.8767907E+002, 8.7812290E+002, 7.9342144E+002, 6.9124248E+002, 4.5701844E+002, 4.7334720E+002, 4.7650225E+002, 4.4049446E+002, 3.8389728E+002, 3.1531280E+002,-1.7042169E+001, 3.5072627E-022, 2.1374876E-018, 7.3973910E-012, 2.6476048E-007, 2.8494949E-003, 1.1724769E-021, 1.1221998E-017, 6.7199473E-011, 2.7802676E-006, 1.7491779E-002
 4.4757576E+000, 1.2847835E+001, 2.5850398E+000, 3.3400000E+000, 9.6963364E+002, 9.8408677E+002, 9.3272091E+002, 8.3726438E+002, 7.5961537E+002, 6.7285707E+002, 4.6505765E+002, 4.8274704E+002, 4.7029491E+002, 4.3083243E+002, 3.7137640E+002, 3.0590370E+002,-1.6548193E+001, 1.3409063E-020, 1.3399505E-016, 7.0377180E-010, 8.6801577E-006, 4.2510879E-003, 4.6831195E-020, 8.8339788E-016, 6.8402471E-009, 9.3739220E-005, 1.9276925E-002
