s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755890E-001
 1.0000961E+000, 2.0755890E-001
 2.0001638E+000, 2.0755890E-001
 3.0006192E+000, 2.0755890E-001
 4.0008078E+000, 2.0755890E-001
 5.0001037E+000, 2.0755790E-001
 6.0002054E+000, 2.0215515E-001
 7.0006526E+000, 1.9685315E-001
 8.0002188E+000, 1.9182712E-001
 9.0003349E+000, 1.8704815E-001
 1.0000353E+001, 1.8250234E-001
 1.1000221E+001, 1.7817382E-001
 1.2000518E+001, 1.7404283E-001
 1.3000409E+001, 1.7010278E-001
 1.4000172E+001, 1.6633662E-001
 1.5000656E+001, 1.6273167E-001
 1.6000768E+001, 1.5928099E-001
 1.7000509E+001, 1.5597508E-001
 1.8000085E+001, 1.5280486E-001
 1.9000381E+001, 1.4975690E-001
 2.0000115E+001, 1.4683249E-001
 2.1000252E+001, 1.4401654E-001
 2.2000237E+001, 1.4130728E-001
 2.3000695E+001, 1.3869683E-001
 2.4000299E+001, 1.3618354E-001
 2.5000182E+001, 1.3375878E-001
 2.6000547E+001, 1.3141899E-001
 2.7000538E+001, 1.2915913E-001
 2.8000153E+001, 1.2697790E-001
 2.9000047E+001, 1.2486775E-001
 3.0000150E+001, 1.2282599E-001
 3.1000006E+001, 1.2085193E-001
 3.2000266E+001, 1.1893936E-001
 3.3000549E+001, 1.1708534E-001
 3.4000534E+001, 1.1528831E-001
 3.5000543E+001, 1.1354579E-001
 3.6000602E+001, 1.1185544E-001
 3.7000122E+001, 1.1021556E-001
 3.8000570E+001, 1.0862083E-001
 3.9000343E+001, 1.0707376E-001
 4.0000488E+001, 1.0556941E-001
 4.1000278E+001, 1.0410684E-001
 4.2000478E+001, 1.0268419E-001
 4.3000131E+001, 1.0130106E-001
 4.4000270E+001, 9.9953416E-002
 4.5000413E+001, 9.8641807E-002
 4.6000982E+001, 9.7362567E-002
 4.7000935E+001, 9.6117305E-002
 4.8001066E+001, 9.4902779E-002
 4.9000708E+001, 9.3719304E-002
 5.0001213E+001, 9.2564788E-002
 5.1001175E+001, 9.1438036E-002
 5.2001184E+001, 9.0338453E-002
 5.3000422E+001, 8.9265941E-002
 5.4001093E+001, 8.8217515E-002
 5.5000181E+001, 8.7196239E-002
 5.6000657E+001, 8.6195340E-002
 5.7000175E+001, 8.5218507E-002
 5.8001494E+001, 8.4260851E-002
 5.9001213E+001, 8.3327635E-002
 6.0000368E+001, 8.2414453E-002
 6.1001894E+001, 8.1519175E-002
 6.2000316E+001, 8.0645028E-002
 6.3001740E+001, 7.9787965E-002
 6.4001300E+001, 7.8950195E-002
 6.5000000E+001, 7.8129987E-002
