s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.9989499E-003, 8.6102254E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9989499E-003, 0.0000000E+000, 0.0000000E+000
 1.0067422E+000, 0.0000000E+000, 2.8412843E-002, 7.2967460E-001,-2.9686714E-003,-3.1392850E-004, 0.0000000E+000, 2.7137001E-001, 2.9402282E-001, 1.0261749E+000, 9.5032395E-005, 3.2804371E-001
 2.0015593E+000, 0.0000000E+000, 4.2364403E-001, 3.7811377E-002,-1.7507748E-002,-5.3527958E-004, 0.0000000E+000, 7.3316955E-001, 1.1695537E+000, 1.1765819E+000, 1.9270895E-004, 3.2814139E-001
 3.0020239E+000, 0.0000000E+000, 6.8062481E-001,-2.6284904E-001,-2.9138981E-002,-4.7567987E-004, 0.0000000E+000, 8.6210719E-001, 1.0892893E+000, 1.2502683E+000, 2.1252639E-004, 3.2816121E-001
 4.0001702E+000, 0.0000000E+000, 7.1897093E-001,-1.0453266E+000,-3.1860494E-002,-4.1229186E-004, 0.0000000E+000, 8.8172547E-001, 3.4732059E-001, 5.2309705E-001, 2.1543231E-004, 3.2816411E-001
 5.0016522E+000, 0.0000000E+000, 7.2339539E-001,-1.0867776E+000,-3.3081061E-002,-3.8375061E-004, 0.0000000E+000, 8.8324659E-001, 3.0852810E-001, 4.8639958E-001, 2.1582981E-004, 3.2816468E-001
 6.0004754E+000, 0.0000000E+000, 7.2298730E-001,-1.0811184E+000,-3.4089482E-002,-3.9121798E-004, 0.0000000E+000, 8.8579656E-001, 3.1717397E-001, 4.9318480E-001, 2.1588378E-004, 3.3259406E-001
 7.0001249E+000, 0.0000000E+000, 7.1915904E-001,-1.0013003E+000,-3.4940716E-002,-3.9769426E-004, 0.0000000E+000, 8.8969205E-001, 3.9555585E-001, 5.7221240E-001, 2.1589108E-004, 3.4141021E-001
 8.0011940E+000, 0.0000000E+000, 7.1252007E-001,-1.2095159E+000,-3.5790392E-002,-3.8841822E-004, 0.0000000E+000, 8.9110367E-001, 1.8174149E-001, 3.5792899E-001, 2.1589207E-004, 3.5023851E-001
