cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_1D,T_avg_1_5D,T_avg_2D,T_avg_2_5D,T_avg_3D,T_avg_3_5D,T_rms_1D,T_rms_1_5D,T_rms_2D,T_rms_2_5D,T_rms_3D,T_rms_3_5D
0.0,919.3318600359,983.0213886919067,1018.5549158863097,1035.134453150297,1061.1200720828463,981.0546150083006,53.83097522402852,118.77857509626949,197.4078475169998,261.0123448809991,292.34786398400416,341.3409982835679
0.5,919.3318600359,983.0213886919067,1018.5549158863097,1071.0967211335835,1061.1200720828463,981.0546150083006,53.83097522402852,118.77857509626949,197.4078475169998,239.36709375956008,292.34786398400416,341.3409982835679
1.0,919.3318600359,983.0213886919067,1018.5549158863097,1071.0967211335835,1061.1200720828463,981.0546150083006,53.83097522402852,118.77857509626949,197.4078475169998,239.36709375956008,292.34786398400416,341.3409982835679
1.5,954.8065359065112,971.5410680101106,981.5541705208013,1005.3465257710011,985.4652509099211,921.0622305534349,109.98292781509387,227.72921285146452,288.252184323635,302.149930360909,331.87067922057304,357.22003345544704
2.0,946.6517766043744,971.5410680101106,981.5541705208013,1005.3465257710011,985.4652509099211,921.0622305534349,101.91524075932756,227.72921285146452,288.252184323635,302.149930360909,331.87067922057304,357.22003345544704
2.5,946.6517766043744,971.5410680101106,999.4999050606548,1005.3465257710011,985.4652509099211,921.0622305534349,101.91524075932756,227.72921285146452,252.40627093201167,302.149930360909,331.87067922057304,357.22003345544704
3.0,690.5189041552696,721.1646513929292,773.0744022388878,828.4080343246147,833.8827616680195,820.2709968143477,222.5334834543003,288.46306802468536,315.84788211323917,343.4883358779108,342.67337683659383,364.8766923908169
3.5,690.5189041552696,708.5144855324967,773.0744022388878,828.4080343246147,833.8827616680195,813.7160603941563,222.5334834543003,274.7237926438312,315.84788211323917,343.4883358779108,342.67337683659383,337.56126803328596
4.0,395.75615354698346,462.6956179118946,557.7132605599649,632.8971634185789,661.0978713686981,681.9078391785043,135.86359938201107,185.63036597230305,261.0150309122113,303.4314215696741,307.0570484115349,305.97335093132284
4.5,395.75615354698346,462.6956179118946,557.7132605599649,632.8971634185789,661.0978713686981,681.9078391785043,135.86359938201107,185.63036597230305,261.0150309122113,303.4314215696741,307.0570484115349,305.97335093132284
5.0,395.75615354698346,462.6956179118946,557.7132605599649,632.8971634185789,661.0978713686981,681.9078391785043,135.86359938201107,185.63036597230305,261.0150309122113,303.4314215696741,307.0570484115349,305.97335093132284
5.5,327.2958103184623,364.5533434892939,429.2309269652396,495.28221855125423,518.9365247462838,551.3346016635059,73.34709202804814,112.48156298738347,180.30980821528996,237.8153609302181,238.75690865607018,250.0842460103093
6.0,327.2958103184623,364.5533434892939,429.2309269652396,495.28221855125423,518.9365247462838,551.3346016635059,73.34709202804814,112.48156298738347,180.30980821528996,237.8153609302181,238.75690865607018,250.0842460103093
6.5,307.8095174932081,322.30729972286707,351.3779644196227,406.04727032421135,432.34877649981433,459.00158520727075,28.96293502902673,67.78427545404115,108.5538021249493,170.5259149168222,183.7592080721193,192.48413133739254
7.0,307.8095174932081,322.30729972286707,351.3779644196227,406.04727032421135,432.34877649981433,459.00158520727075,28.96293502902673,67.78427545404115,108.5538021249493,170.5259149168222,183.7592080721193,192.48413133739254
7.5,307.8095174932081,322.30729972286707,351.3779644196227,406.04727032421135,432.34877649981433,459.00158520727075,28.96293502902673,67.78427545404115,108.5538021249493,170.5259149168222,183.7592080721193,192.48413133739254
8.0,300.99343382713727,305.51920823008635,315.3157227437008,345.8366646687618,369.60794176204564,400.4401523432701,6.1301317976513685,41.75668101769795,50.581414826586425,99.05104560214272,126.03019957281084,149.97895249982412
8.5,300.99343382713727,305.51920823008635,315.3157227437008,345.8366646687618,369.60794176204564,400.4401523432701,6.1301317976513685,41.75668101769795,50.581414826586425,99.05104560214272,126.03019957281084,149.97895249982412
9.0,299.9415503977501,301.3816087797665,302.7492637581618,314.3983432426079,330.3548663708866,356.2209898037769,0.5342626597694927,16.623145389521948,17.000641762551844,53.43136755785995,74.69830905343288,104.77844810917087
9.5,299.9415503977501,301.3816087797665,302.7492637581618,314.3983432426079,330.3548663708866,356.2209898037769,0.5342626597694927,16.623145389521948,17.000641762551844,53.43136755785995,74.69830905343288,104.77844810917087
10.0,299.9415503977501,301.3816087797665,302.7492637581618,314.3983432426079,330.3548663708866,356.2209898037769,0.5342626597694927,16.623145389521948,17.000641762551844,53.43136755785995,74.69830905343288,104.77844810917087
10.5,299.87024181127265,300.02780313965843,300.1873022667212,302.1166435344535,310.4716203181397,325.741520332556,0.02328329919241073,1.8325165843527274,1.696405280022419,16.803961640904237,42.91517800631142,62.86549215485648
11.0,299.87024181127265,300.02780313965843,300.1873022667212,302.1166435344535,310.4716203181397,325.741520332556,0.02328329919241073,1.8325165843527274,1.696405280022419,16.803961640904237,42.91517800631142,62.86549215485648
11.5,299.86776231568103,299.8953984453072,299.9256837296449,300.1730289149607,302.9111437002093,310.61535732565756,0.0014142572248896771,0.09685609389391817,0.04736962646646657,2.224893277055604,21.288053975879006,38.39951755452668
12.0,299.86776231568103,299.8953984453072,299.9256837296449,300.1730289149607,302.9111437002093,310.61535732565756,0.0014142572248896771,0.09685609389391817,0.04736962646646657,2.224893277055604,21.288053975879006,38.39951755452668
12.5,299.86776231568103,299.8953984453072,299.9256837296449,300.1730289149607,302.9111437002093,310.61535732565756,0.0014142572248896771,0.09685609389391817,0.04736962646646657,2.224893277055604,21.288053975879006,38.39951755452668
