cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_W_1D,T_avg_W_1_5D,T_avg_W_2D,T_avg_W_2_5D,T_avg_W_3D,T_avg_W_3_5D,T_rms_W_1D,T_rms_W_1_5D,T_rms_W_2D,T_rms_W_2_5D,T_rms_W_3D,T_rms_W_3_5D
0.0,300.57085912244116,300.5599133435936,300.550976704748,300.5407466809408,300.5251225055399,300.5201691346108,5.630421128093529,5.629982379847932,5.63048470167507,5.629813811610095,5.630931040310521,5.628708889105009
0.5,300.57085912244116,300.5599133435936,300.550976704748,300.53591355398856,300.5251225055399,300.5201691346108,5.630421128093529,5.629982379847932,5.63048470167507,5.629979589553416,5.630931040310521,5.628708889105009
1.0,300.57085912244116,300.5599133435936,300.550976704748,300.53591355398856,300.5251225055399,300.5201691346108,5.630421128093529,5.629982379847932,5.63048470167507,5.629979589553416,5.630931040310521,5.628708889105009
1.5,300.53653338386243,300.5196554414959,300.50754784832463,300.47652726473757,300.47136098165885,300.4804864114198,5.629329316721189,5.630167380761921,5.631134846036516,5.625243851756537,5.6317141455649375,5.6299274413446065
2.0,300.53405796619234,300.5196554414959,300.50754784832463,300.47652726473757,300.47136098165885,300.4804864114198,5.629306216158468,5.630167380761921,5.631134846036516,5.625243851756537,5.6317141455649375,5.6299274413446065
2.5,300.53405796619234,300.5196554414959,300.48921274507944,300.47652726473757,300.47136098165885,300.4804864114198,5.629306216158468,5.630167380761921,5.629851644987682,5.625243851756537,5.6317141455649375,5.6299274413446065
3.0,300.46434729437874,300.4533061019196,300.43746927352885,300.4379513824435,300.44016279010015,300.4464896544196,5.622162997787799,5.62789297824387,5.624508487481497,5.626018268661845,5.628836391874314,5.628482434305596
3.5,300.46434729437874,300.44158699532534,300.43746927352885,300.4379513824435,300.44016279010015,300.4405123581641,5.622162997787799,5.621638871451264,5.624508487481497,5.626018268661845,5.628836391874314,5.625868339441791
4.0,300.4188331811601,300.4177349891192,300.4178283696217,300.41908411360106,300.42200396711536,300.4235858385102,5.624804728927767,5.625732149613434,5.6260714498709845,5.625693390779971,5.626728070113134,5.625268449556173
4.5,300.4188331811601,300.4177349891192,300.4178283696217,300.41908411360106,300.42200396711536,300.4235858385102,5.624804728927767,5.625732149613434,5.6260714498709845,5.625693390779971,5.626728070113134,5.625268449556173
5.0,300.4188331811601,300.4177349891192,300.4178283696217,300.41908411360106,300.42200396711536,300.4235858385102,5.624804728927767,5.625732149613434,5.6260714498709845,5.625693390779971,5.626728070113134,5.625268449556173
5.5,300.4116439307703,300.4115733140471,300.4115559249602,300.41112680647774,300.4120315061825,300.41222205149785,5.625923535389808,5.6266690240893436,5.626809231882514,5.626283111575537,5.625791311778557,5.62555006506053
6.0,300.4116439307703,300.4115733140471,300.4115559249602,300.41112680647774,300.4120315061825,300.41222205149785,5.625923535389808,5.6266690240893436,5.626809231882514,5.626283111575537,5.625791311778557,5.62555006506053
6.5,300.4071335701736,300.40821948553645,300.40787136585726,300.4072856927557,300.40704688688714,300.40623073819165,5.626478612274029,5.626955307973197,5.627091279287521,5.626182198683579,5.625842134102064,5.625934214239674
7.0,300.4071335701736,300.40821948553645,300.40787136585726,300.4072856927557,300.40704688688714,300.40623073819165,5.626478612274029,5.626955307973197,5.627091279287521,5.626182198683579,5.625842134102064,5.625934214239674
7.5,300.4071335701736,300.40821948553645,300.40787136585726,300.4072856927557,300.40704688688714,300.40623073819165,5.626478612274029,5.626955307973197,5.627091279287521,5.626182198683579,5.625842134102064,5.625934214239674
8.0,300.4043121436743,300.40478885180454,300.4047147603488,300.404209357699,300.4037969493186,300.4027049779419,5.626899417568972,5.627009131307593,5.627219216911841,5.626821437076349,5.62653866215355,5.626700678543494
8.5,300.4043121436743,300.40478885180454,300.4047147603488,300.404209357699,300.4037969493186,300.4027049779419,5.626899417568972,5.627009131307593,5.627219216911841,5.626821437076349,5.62653866215355,5.626700678543494
9.0,300.4047981210462,300.4042720529711,300.40382330571515,300.4031939639612,300.4024904357324,300.40138501177313,5.6274594680374435,5.627494902823745,5.627655160086333,5.6276342839077,5.627418162898953,5.627588471557598
9.5,300.4047981210462,300.4042720529711,300.40382330571515,300.4031939639612,300.4024904357324,300.40138501177313,5.6274594680374435,5.627494902823745,5.627655160086333,5.6276342839077,5.627418162898953,5.627588471557598
10.0,300.4047981210462,300.4042720529711,300.40382330571515,300.4031939639612,300.4024904357324,300.40138501177313,5.6274594680374435,5.627494902823745,5.627655160086333,5.6276342839077,5.627418162898953,5.627588471557598
10.5,300.40685691582763,300.40592795780356,300.4050475616609,300.4039036826194,300.40284589907304,300.4015181572602,5.627877261486878,5.627927217826034,5.627887661434322,5.6279370862860745,5.62783587379371,5.627696467446976
11.0,300.40685691582763,300.40592795780356,300.4050475616609,300.4039036826194,300.40284589907304,300.4015181572602,5.627877261486878,5.627927217826034,5.627887661434322,5.6279370862860745,5.62783587379371,5.627696467446976
11.5,300.4092777266611,300.40802497940876,300.4067105404002,300.40497270310556,300.40358111684094,300.40198733174486,5.628075787229496,5.628109450992947,5.62794355036562,5.627881676386113,5.627832549432133,5.627539984541957
12.0,300.4092777266611,300.40802497940876,300.4067105404002,300.40497270310556,300.40358111684094,300.40198733174486,5.628075787229496,5.628109450992947,5.62794355036562,5.627881676386113,5.627832549432133,5.627539984541957
12.5,300.4092777266611,300.40802497940876,300.4067105404002,300.40497270310556,300.40358111684094,300.40198733174486,5.628075787229496,5.628109450992947,5.62794355036562,5.627881676386113,5.627832549432133,5.627539984541957
