cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_W_1D,T_avg_W_1_5D,T_avg_W_2D,T_avg_W_2_5D,T_avg_W_3D,T_avg_W_3_5D,T_rms_W_1D,T_rms_W_1_5D,T_rms_W_2D,T_rms_W_2_5D,T_rms_W_3D,T_rms_W_3_5D
0.0,632.0922497683825,724.7241163759315,789.5997881760463,818.3904226670297,824.3421725062743,781.4405077116684,90.84601642040548,131.1084268474323,198.9280566942289,256.35558906538864,288.6509301534806,297.52413157397956
0.5,632.0922497683825,724.7241163759315,780.8279252664023,818.3904226670297,824.3421725062743,781.4405077116684,90.84601642040548,131.1084268474323,203.17047211105273,256.35558906538864,288.6509301534806,297.52413157397956
1.0,680.7449653021903,742.9464057496624,783.9359177716661,817.4839911523654,822.7681328308443,784.4346471856595,100.81067274549365,151.4808385565019,217.84010182759454,266.14221771193695,294.46431200010994,304.1054311622424
1.5,712.4667766632821,749.3604964933742,772.180639829203,796.8031247449152,804.499613477574,775.7412906548702,120.6938952360954,183.35776068417022,243.8281141245698,277.4671039047875,299.991341009189,310.21762967552377
2.0,696.3870151378426,715.9719883012923,745.1862248147295,766.627721698078,774.6824477676487,752.3826758590145,167.0389243881929,228.77953551249473,265.2752071893828,288.77362484845537,303.08623933595374,309.73178292954805
2.5,679.633841582009,715.9719883012923,745.1862248147295,766.627721698078,774.6824477676487,752.3826758590145,173.52987372170662,228.77953551249473,265.2752071893828,288.77362484845537,303.08623933595374,309.73178292954805
3.0,642.6015361663755,658.3314522127424,699.5293689535863,727.3487121388274,734.2159895877792,722.2861924347534,219.53833073621416,252.06653978822735,279.09527550147413,297.1976762756011,304.23759225484923,305.2456131151499
3.5,565.7052589649187,589.3297889714003,650.9005847566685,685.1292158523003,689.2089056827105,684.0254041935625,237.08135293075574,252.40035525248393,289.7630327912557,297.56225194415765,302.9487204985539,299.8678894161603
4.0,476.6028195727732,515.4252676638058,593.6916171860087,636.2616578030792,643.1173560432636,643.4644474140621,216.82694266161133,233.3619387119515,282.12220439824625,289.58372379446587,297.34647711210187,292.5438669608392
4.5,408.2886347437086,457.04980002031954,536.5036849589958,590.9793806995124,605.684824523603,610.7931127802595,175.06754416384194,209.3280304035488,260.58828149502915,280.026374303384,291.3241583819039,283.26626925469833
5.0,408.2886347437086,457.04980002031954,536.5036849589958,590.9793806995124,605.684824523603,610.7931127802595,175.06754416384194,209.3280304035488,260.58828149502915,280.026374303384,291.3241583819039,283.26626925469833
5.5,358.56818691582436,408.65275841427325,483.16864734545976,546.4086800540151,569.0878701061077,577.6527088421788,126.49915407346928,179.65621211547838,232.28505137460866,269.26851520593146,280.23159091638837,271.4699506902253
6.0,330.1539516835658,371.413016891609,438.3337970305921,502.67256064217736,526.913568177766,546.1816324509596,92.50118957207769,151.51406039872367,209.09117239756242,258.94208827425985,261.9528590273508,257.21908761171795
6.5,314.21188976876385,344.4540251742439,395.54102068872123,464.9851885075762,491.8864138552863,513.5798472138131,66.05451441256677,122.51847120727084,178.74152469690648,249.70947020873072,248.08002148869807,240.78896221972693
7.0,305.70109634023805,323.7110016475034,360.7739494345573,432.29792184580117,462.90471002711945,487.6753920129584,43.936185368227385,88.90852677967618,145.7552776987987,239.75436410525037,233.6230099760294,225.6519797201702
7.5,305.70109634023805,323.7110016475034,360.7739494345573,432.29792184580117,462.90471002711945,487.6753920129584,43.936185368227385,88.90852677967618,145.7552776987987,239.75436410525037,233.6230099760294,225.6519797201702
8.0,302.4743540440728,309.8680538789356,334.7769504606673,402.1553762457423,434.390924275716,458.37241691044017,34.339776519050844,54.353864756757396,105.17202407284901,221.6530981321478,217.67009788162628,205.69385185680346
8.5,301.8824228294842,303.6368477512388,315.3584853184435,377.518207184024,405.5805889444557,429.58051429569844,33.41039154277429,36.192290314581896,63.582900248917326,198.9027888752116,193.68444104818613,185.5728050353179
9.0,301.8182352179802,302.04462281557664,305.0246492283178,353.6038193250435,377.73122827534934,402.08506796811514,33.33551174780204,33.44512446077464,37.04251953962197,168.0239363345476,164.92401797593743,164.89269859026965
9.5,301.8143273464291,301.84392311411324,302.28567765349436,333.9219924456128,358.27507483865963,381.7377251356255,33.33112232627043,33.33755162700807,33.53722692957653,130.36095453998698,143.80573775354264,149.2979783314179
10.0,301.8143273464291,301.84392311411324,302.28567765349436,333.9219924456128,358.27507483865963,381.7377251356255,33.33112232627043,33.33755162700807,33.53722692957653,130.36095453998698,143.80573775354264,149.2979783314179
10.5,301.8143917554741,301.83018119549456,301.89262091973904,318.033079964159,345.0783544444252,365.0188866214532,33.33099734191536,33.33267013793463,33.351320593513364,84.46484021435042,130.38869811945221,132.76131836498973
11.0,301.81477549360466,301.8301402279743,301.8541782362246,307.67222940751566,333.67262564375073,351.12125777546214,33.331007997876746,33.332547273918905,33.33677070475025,47.20901725852686,116.39465783839377,114.97981771247504
11.5,301.81069931023507,301.8273116175001,301.8464670398527,303.2816432740116,318.45514647550135,335.94491457647763,33.326969069105964,33.328667647590194,33.331087345364175,34.9190604745148,77.04273417959345,90.99079065945801
12.0,301.81069931023507,301.8273116175001,301.8464670398527,303.2746971349515,318.45514647550135,335.94491457647763,33.326969069105964,33.328667647590194,33.331087345364175,34.907121941875424,77.04273417959345,90.99079065945801
12.5,301.81069931023507,301.8273116175001,301.8464670398527,303.2746971349515,318.45514647550135,335.94491457647763,33.326969069105964,33.328667647590194,33.331087345364175,34.907121941875424,77.04273417959345,90.99079065945801
