cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_W_1D,T_avg_W_1_5D,T_avg_W_2D,T_avg_W_2_5D,T_avg_W_3D,T_avg_W_3_5D,T_rms_W_1D,T_rms_W_1_5D,T_rms_W_2D,T_rms_W_2_5D,T_rms_W_3D,T_rms_W_3_5D
0.0,837.5123381066256,941.9986156997766,1017.1015016158116,1034.8962536891715,993.22067813073,932.9563099304042,126.5007905147029,148.47128341454413,190.47891951463185,251.896816389133,292.24863358226446,319.8610817696803
0.5,837.5123381066256,941.9986156997766,1022.6503514131743,1034.8962536891715,993.22067813073,932.9563099304042,126.5007905147029,148.47128341454413,192.79257716606287,251.896816389133,292.24863358226446,319.8610817696803
1.0,891.8644358015813,922.547936152645,974.7723225313291,977.2561235023587,952.8003750600537,894.6301381582488,141.78604795707994,194.32511135262342,252.95999059592197,296.50579013121524,316.2639747809793,325.95811203589034
1.5,870.4047043081262,865.5071719543387,927.6047222698319,921.2239363769457,899.3206871086443,844.3442720976564,192.40078826823836,281.33001876724705,301.80675219900405,330.365688073012,336.22372035357273,332.539697772906
2.0,815.5065215373321,899.2517784963852,884.8182092069419,856.6356019083177,829.874305160128,789.7826285684016,277.03753627558615,291.87551719966507,327.2230522686173,349.40996105712134,347.93102667344374,337.664820562173
2.5,848.0948035279155,899.2517784963852,884.8182092069419,856.6356019083177,829.874305160128,789.7826285684016,236.1208522188392,291.87551719966507,327.2230522686173,349.40996105712134,347.93102667344374,337.664820562173
3.0,790.3746516754761,806.772342725116,775.6348990178294,757.0879184358165,743.7507757978793,729.179924803133,324.7704107637587,343.91066844259956,360.7138416754974,366.8113480105228,355.3764442503711,334.1253024755175
3.5,727.8823351635924,729.314571744192,687.0330590880128,680.4149986505042,669.2951174891529,661.461114484844,349.088737679079,360.64962257056465,373.8373870167498,378.82300805852043,348.64311805583,314.39535393928907
4.0,701.8470461886293,692.008742364542,636.5551449082814,633.8178509923297,616.7116847050219,605.2509102749488,385.5728409372536,369.8328867925034,378.37998978029145,375.81683250552214,331.67859373688117,289.58554739319885
4.5,694.5531369331646,688.9145726115866,622.325738087954,600.398103487628,578.9357923798478,554.1080352802658,413.6247697468172,397.055994519129,376.9363416075799,359.89375226005194,316.4349924966355,259.3482275854224
5.0,694.5531369331646,688.9145726115866,622.325738087954,600.398103487628,578.9357923798478,554.1080352802658,413.6247697468172,397.055994519129,376.9363416075799,359.89375226005194,316.4349924966355,259.3482275854224
5.5,668.6309277593998,692.2528817224171,621.8304370118182,582.1852061157089,554.2651962918189,525.0704355840542,428.969429178484,428.80056750581724,373.7227454556746,350.81168448375774,299.22133755612043,239.78575129475385
6.0,609.1564667743185,683.0072945852045,611.2062782561145,563.1667408873718,527.7950452569421,499.21759825083234,413.785685575859,456.1724250564038,369.29813724625006,332.82734163808294,277.42813687623345,220.64714935239982
6.5,516.6725885232609,649.7163544117425,598.8173681149991,541.392148992256,502.652725857483,473.8872429619798,349.76143045799125,461.7997408308699,372.37390306599247,311.8974042493506,258.6080154181443,199.67613366065743
7.0,414.97702831148024,594.7183297964216,577.0283921597082,519.6152758287868,485.7191364678389,454.1940500239445,241.36261340982418,443.40703113889714,379.8498820270895,294.23514029791266,243.05903252892284,183.42167002367185
7.5,414.97702831148024,594.7183297964216,577.0283921597082,519.6152758287868,485.7191364678389,454.1940500239445,241.36261340982418,443.40703113889714,379.8498820270895,294.23514029791266,243.05903252892284,183.42167002367185
8.0,344.768993160297,536.7272649275368,538.8409131643183,498.69704519252303,468.5810471223281,436.08843161962295,136.720114189673,410.1838098065779,370.3556335021333,274.9380260928165,219.25453951808353,170.0502659082219
8.5,313.76377929723304,480.47340951352874,496.426089669202,469.4719069878981,447.9216410306933,420.82261553862094,68.32089293376686,365.03447636231823,345.62455909459726,257.6223253570101,198.2435686452376,154.81530296239015
9.0,302.53706407501966,422.75316420137216,456.84838353985543,440.27233047937614,429.51325140786275,404.48162192299725,37.80692721353206,303.4231331334107,319.0706265212321,240.88433868342403,187.10633010924542,136.30551821395838
9.5,299.7845369717188,371.5242476738027,418.8442084659778,414.3482950971407,410.22935339064753,389.4480737418657,34.48683679514398,227.8517340157188,284.3935216704354,220.95863869207784,178.57018537977416,123.44397659006654
10.0,299.7845369717188,371.5242476738027,418.8442084659778,414.3482950971407,410.22935339064753,389.4480737418657,34.48683679514398,227.8517340157188,284.3935216704354,220.95863869207784,178.57018537977416,123.44397659006654
10.5,299.372711008575,331.47104931345046,384.9782715099969,391.0963973939416,391.3219259724155,374.7944516688809,34.44110825826963,139.5957982148276,239.7468857063813,202.0755238529176,165.5373001038226,110.00262637956021
11.0,299.3191297692941,311.3747354161554,351.79231682887826,363.77378547681127,368.47409241599064,360.7794782623605,34.44264995577879,84.4401922834033,170.24460349274545,170.10872033798842,142.70584490090127,99.97547133091592
11.5,299.31390640043486,302.2878970954516,314.6666411540454,325.4214038686368,339.0055591406496,342.2043701816157,34.442477840354385,46.1708242653422,69.86899075433905,91.19616902702856,105.82777758866078,83.63745707827194
12.0,299.31390640043486,302.2878970954516,314.6666411540454,325.4214038686368,339.0055591406496,342.2043701816157,34.442477840354385,46.1708242653422,69.86899075433905,91.19616902702856,105.82777758866078,83.63745707827194
12.5,299.31390640043486,302.2878970954516,314.6666411540454,325.4214038686368,339.0055591406496,342.2043701816157,34.442477840354385,46.1708242653422,69.86899075433905,91.19616902702856,105.82777758866078,83.63745707827194
