cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_W_1D,T_avg_W_1_5D,T_avg_W_2D,T_avg_W_2_5D,T_avg_W_3D,T_avg_W_3_5D,T_rms_W_1D,T_rms_W_1_5D,T_rms_W_2D,T_rms_W_2_5D,T_rms_W_3D,T_rms_W_3_5D
0.0,927.3664864561334,997.872272877831,1036.9628810702666,1082.4776547782535,1094.7103719906343,1059.5190448211436,114.01360308490756,150.52180314428196,170.9426623172593,197.09289843947292,224.09491183593934,243.80014699144454
0.5,927.3664864561334,997.872272877831,1036.9628810702666,1082.4776547782535,1094.7103719906343,1059.5190448211436,114.01360308490756,150.52180314428196,170.9426623172593,197.09289843947292,224.09491183593934,243.80014699144454
1.0,927.3664864561334,997.872272877831,1036.9628810702666,1082.4776547782535,1094.7103719906343,1059.5190448211436,114.01360308490756,150.52180314428196,170.9426623172593,197.09289843947292,224.09491183593934,243.80014699144454
1.5,927.3664864561334,997.872272877831,1036.9628810702666,1082.4776547782535,1094.7103719906343,1059.5190448211436,114.01360308490756,150.52180314428196,170.9426623172593,197.09289843947292,224.09491183593934,243.80014699144454
2.0,927.3664864561334,997.872272877831,1036.9628810702666,1082.4776547782535,1094.7103719906343,1059.5190448211436,114.01360308490756,150.52180314428196,170.9426623172593,197.09289843947292,224.09491183593934,243.80014699144454
2.5,927.3664864561334,997.872272877831,1036.9628810702666,1082.4776547782535,1094.7103719906343,1059.5190448211436,114.01360308490756,150.52180314428196,170.9426623172593,197.09289843947292,224.09491183593934,243.80014699144454
3.0,528.6997227084313,557.727946443929,590.8446114955051,643.1687310848517,681.1407046581706,692.809585940681,135.99312690365485,191.6632086586961,224.07054365491874,250.97177726277258,264.7784982573336,272.8596518766301
3.5,528.6997227084313,557.727946443929,590.8446114955051,643.1687310848517,681.1407046581706,692.809585940681,135.99312690365485,191.6632086586961,224.07054365491874,250.97177726277258,264.7784982573336,272.8596518766301
4.0,528.6997227084313,557.727946443929,590.8446114955051,643.1687310848517,681.1407046581706,692.809585940681,135.99312690365485,191.6632086586961,224.07054365491874,250.97177726277258,264.7784982573336,272.8596518766301
4.5,528.6997227084313,557.727946443929,590.8446114955051,643.1687310848517,681.1407046581706,692.809585940681,135.99312690365485,191.6632086586961,224.07054365491874,250.97177726277258,264.7784982573336,272.8596518766301
5.0,528.6997227084313,557.727946443929,590.8446114955051,643.1687310848517,681.1407046581706,692.809585940681,135.99312690365485,191.6632086586961,224.07054365491874,250.97177726277258,264.7784982573336,272.8596518766301
5.5,311.30597242632314,331.5417294267914,350.52022526647704,383.2147076997686,420.5463743171192,450.57928864863743,32.78303099786857,54.40269226630707,80.2401326298809,99.17740604422389,135.45795844577012,158.37126258372018
6.0,311.30597242632314,331.5417294267914,350.52022526647704,383.2147076997686,420.5463743171192,450.57928864863743,32.78303099786857,54.40269226630707,80.2401326298809,99.17740604422389,135.45795844577012,158.37126258372018
6.5,311.30597242632314,331.5417294267914,350.52022526647704,383.2147076997686,420.5463743171192,450.57928864863743,32.78303099786857,54.40269226630707,80.2401326298809,99.17740604422389,135.45795844577012,158.37126258372018
7.0,311.30597242632314,331.5417294267914,350.52022526647704,383.2147076997686,420.5463743171192,450.57928864863743,32.78303099786857,54.40269226630707,80.2401326298809,99.17740604422389,135.45795844577012,158.37126258372018
7.5,311.30597242632314,331.5417294267914,350.52022526647704,383.2147076997686,420.5463743171192,450.57928864863743,32.78303099786857,54.40269226630707,80.2401326298809,99.17740604422389,135.45795844577012,158.37126258372018
8.0,300.1251397262464,304.03567712101255,309.8408635928739,319.83359583494723,337.14822322787467,353.6396983127353,29.446358708202432,31.976931204455887,38.80949138442464,47.70660117139974,58.500385806982855,69.2047528853104
8.5,300.1251397262464,304.03567712101255,309.8408635928739,319.83359583494723,337.14822322787467,353.6396983127353,29.446358708202432,31.976931204455887,38.80949138442464,47.70660117139974,58.500385806982855,69.2047528853104
9.0,300.1251397262464,304.03567712101255,309.8408635928739,319.83359583494723,337.14822322787467,353.6396983127353,29.446358708202432,31.976931204455887,38.80949138442464,47.70660117139974,58.500385806982855,69.2047528853104
9.5,300.1251397262464,304.03567712101255,309.8408635928739,319.83359583494723,337.14822322787467,353.6396983127353,29.446358708202432,31.976931204455887,38.80949138442464,47.70660117139974,58.500385806982855,69.2047528853104
10.0,300.1251397262464,304.03567712101255,309.8408635928739,319.83359583494723,337.14822322787467,353.6396983127353,29.446358708202432,31.976931204455887,38.80949138442464,47.70660117139974,58.500385806982855,69.2047528853104
10.5,299.52277180647974,299.86155285146657,301.0457930930528,303.8803435480222,308.4391865920612,312.8997448289161,29.406319537796357,29.49241093585682,30.125354566707173,32.5447848326544,34.2951579991666,35.90874450522821
11.0,299.52277180647974,299.86155285146657,301.0457930930528,303.8803435480222,308.4391865920612,312.8997448289161,29.406319537796357,29.49241093585682,30.125354566707173,32.5447848326544,34.2951579991666,35.90874450522821
11.5,299.52277180647974,299.86155285146657,301.0457930930528,303.8803435480222,308.4391865920612,312.8997448289161,29.406319537796357,29.49241093585682,30.125354566707173,32.5447848326544,34.2951579991666,35.90874450522821
12.0,299.52277180647974,299.86155285146657,301.0457930930528,303.8803435480222,308.4391865920612,312.8997448289161,29.406319537796357,29.49241093585682,30.125354566707173,32.5447848326544,34.2951579991666,35.90874450522821
12.5,299.52277180647974,299.86155285146657,301.0457930930528,303.8803435480222,308.4391865920612,312.8997448289161,29.406319537796357,29.49241093585682,30.125354566707173,32.5447848326544,34.2951579991666,35.90874450522821
