cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_W_1D,T_avg_W_1_5D,T_avg_W_2D,T_avg_W_2_5D,T_avg_W_3D,T_avg_W_3_5D,T_rms_W_1D,T_rms_W_1_5D,T_rms_W_2D,T_rms_W_2_5D,T_rms_W_3D,T_rms_W_3_5D
0.0,923.324895472722,986.7620374819559,1023.9928977725369,1044.9903710982037,1061.2431532047474,1005.017098477883,97.78767788220568,148.95078755961976,224.44774042113355,279.66888782370523,311.33426285458614,357.307822017968
0.5,923.324895472722,986.7620374819559,1023.9928977725369,1067.0970354103144,1061.2431532047474,1005.017098477883,97.78767788220568,148.95078755961976,224.44774042113355,268.8382574546267,311.33426285458614,357.307822017968
1.0,923.324895472722,986.7620374819559,1023.9928977725369,1067.0970354103144,1061.2431532047474,1005.017098477883,97.78767788220568,148.95078755961976,224.44774042113355,268.8382574546267,311.33426285458614,357.307822017968
1.5,959.9599990228932,977.1498205350898,984.681589967958,1005.0043959458517,992.8310287636468,937.6927958045512,136.71014902667525,247.4098204635957,310.6415548733866,327.38463401818126,353.4145622628484,374.9511153846417
2.0,947.0290937244679,977.1498205350898,984.681589967958,1005.0043959458517,992.8310287636468,937.6927958045512,144.50869293503828,247.4098204635957,310.6415548733866,327.38463401818126,353.4145622628484,374.9511153846417
2.5,947.0290937244679,977.1498205350898,1001.6049677530528,1005.0043959458517,992.8310287636468,937.6927958045512,144.50869293503828,247.4098204635957,283.03758363548246,327.38463401818126,353.4145622628484,374.9511153846417
3.0,695.06740959254,723.1776758108351,780.0835608391982,836.1543655140002,840.5603554318662,830.6150334581347,242.3635385865611,300.0178881640028,335.87658582734224,370.32732742329694,369.03210928734325,386.19746471320957
3.5,695.06740959254,719.1754183546147,780.0835608391982,836.1543655140002,840.5603554318662,820.1080279504861,242.3635385865611,300.3804890327391,335.87658582734224,370.32732742329694,369.03210928734325,362.44897874868207
4.0,402.3794629509943,467.64093962898687,558.7827898657629,642.2742396900921,668.3840052268725,688.1368076749831,146.92617187151612,205.47606764600872,277.95085586531866,327.17575280133076,331.612340943001,331.9209586597949
4.5,402.3794629509943,467.64093962898687,558.7827898657629,642.2742396900921,668.3840052268725,688.1368076749831,146.92617187151612,205.47606764600872,277.95085586531866,327.17575280133076,331.612340943001,331.9209586597949
5.0,402.3794629509943,467.64093962898687,558.7827898657629,642.2742396900921,668.3840052268725,688.1368076749831,146.92617187151612,205.47606764600872,277.95085586531866,327.17575280133076,331.612340943001,331.9209586597949
5.5,330.2579515565643,365.4897593045044,429.6193619504687,498.4886785691634,528.9672702135158,560.3350789892239,85.47732663948662,124.38172665431256,195.83522434381416,251.34001654619948,262.1365675748034,276.27041688765394
6.0,330.2579515565643,365.4897593045044,429.6193619504687,498.4886785691634,528.9672702135158,560.3350789892239,85.47732663948662,124.38172665431256,195.83522434381416,251.34001654619948,262.1365675748034,276.27041688765394
6.5,309.31797223255893,323.50613772357775,353.6262450100932,408.6395299346891,439.55560550544317,464.1935884943559,45.50932702070186,82.32169368686681,121.37471801309653,184.6421774951024,202.18979732797217,213.14218617689423
7.0,309.31797223255893,323.50613772357775,353.6262450100932,408.6395299346891,439.55560550544317,464.1935884943559,45.50932702070186,82.32169368686681,121.37471801309653,184.6421774951024,202.18979732797217,213.14218617689423
7.5,309.31797223255893,323.50613772357775,353.6262450100932,408.6395299346891,439.55560550544317,464.1935884943559,45.50932702070186,82.32169368686681,121.37471801309653,184.6421774951024,202.18979732797217,213.14218617689423
8.0,302.183378782371,306.8418229613151,317.4686186142761,350.75748155588286,373.48135570491354,400.07798170738613,31.566988569568466,57.9630737744113,64.6964129722845,114.72774911198809,138.30947953490175,157.3175546067652
8.5,302.183378782371,306.8418229613151,317.4686186142761,350.75748155588286,373.48135570491354,400.07798170738613,31.566988569568466,57.9630737744113,64.6964129722845,114.72774911198809,138.30947953490175,157.3175546067652
9.0,301.08458974714165,302.6477823398644,304.2778537429768,319.0751342552699,332.8937596194048,357.5841299410179,30.422341152186643,36.83472101736609,37.134084939199525,73.14059453191513,86.32153372777191,110.94373234134584
9.5,301.08458974714165,302.6477823398644,304.2778537429768,319.0751342552699,332.8937596194048,357.5841299410179,30.422341152186643,36.83472101736609,37.134084939199525,73.14059453191513,86.32153372777191,110.94373234134584
10.0,301.08458974714165,302.6477823398644,304.2778537429768,319.0751342552699,332.8937596194048,357.5841299410179,30.422341152186643,36.83472101736609,37.134084939199525,73.14059453191513,86.32153372777191,110.94373234134584
10.5,301.009853307675,301.1811436805649,301.3600120430996,305.8161572854833,313.11889532524384,327.34688618758173,30.377619568707814,30.603260093697404,30.53680009882599,45.1446050739792,61.10797562170663,72.50363125632362
11.0,301.009853307675,301.1811436805649,301.3600120430996,305.8161572854833,313.11889532524384,327.34688618758173,30.377619568707814,30.603260093697404,30.53680009882599,45.1446050739792,61.10797562170663,72.50363125632362
11.5,301.0073063276146,301.03595427876616,301.067853380743,302.1934615134033,304.62408222613345,310.51551833794775,30.37597012343283,30.386583077660667,30.381682187194304,32.400311251054866,41.15720079908918,47.915192883493184
12.0,301.0073063276146,301.03595427876616,301.067853380743,302.1934615134033,304.62408222613345,310.51551833794775,30.37597012343283,30.386583077660667,30.381682187194304,32.400311251054866,41.15720079908918,47.915192883493184
12.5,301.0073063276146,301.03595427876616,301.067853380743,302.1934615134033,304.62408222613345,310.51551833794775,30.37597012343283,30.386583077660667,30.381682187194304,32.400311251054866,41.15720079908918,47.915192883493184
