cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_1D,T_avg_1_5D,T_avg_2D,T_avg_2_5D,T_avg_3D,T_avg_3_5D,T_rms_1D,T_rms_1_5D,T_rms_2D,T_rms_2_5D,T_rms_3D,T_rms_3_5D
0.0,841.9816014645708,946.9710847726988,1022.1198966408981,1035.429600498148,1026.8658098015787,992.5154849882392,79.6065142020726,114.49281203372746,156.8144255405398,221.48478306889652,272.348000032083,310.41697446505145
0.5,841.9816014645708,946.9710847726988,1008.8128791279694,1035.429600498148,1026.8658098015787,992.5154849882392,79.6065142020726,114.49281203372746,174.46872826950025,221.48478306889652,272.348000032083,310.41697446505145
1.0,907.4554601558696,950.7637764736218,957.1224162013276,983.2942032253268,985.0514199187508,952.7291698400433,102.69736934123567,161.28930405186878,246.0606541998345,284.3874219741404,304.3775266388771,329.5302425160291
1.5,904.0835461765423,910.5753842819736,915.3870252684712,928.7916000971999,932.4178777944974,897.8943566581622,168.51768066848612,257.8429233507332,293.11363581526643,315.7160406763415,328.55298332891147,342.2240443025991
2.0,845.1703294969626,877.8941872056895,851.2140242499381,839.9213838119581,851.0855390619316,828.903180796943,279.7917065049093,304.86055583410575,336.34236260297615,347.4120727690978,348.92911027232645,350.7267448505732
2.5,841.7826003988843,877.8941872056895,851.2140242499381,839.9213838119581,851.0855390619316,828.903180796943,226.17688656104738,304.86055583410575,336.34236260297615,347.4120727690978,348.92911027232645,350.7267448505732
3.0,798.5832825767379,789.9125385033789,753.203644804152,737.7370149748107,759.7362396287238,757.0550098349438,317.495617869032,360.10137357262823,373.40282297766015,359.04693271778774,353.56688550633504,351.0577374240473
3.5,746.6349991118831,723.350503907399,700.0025443504818,674.7966866352436,687.3309056652392,694.2031390000604,361.45483699146183,364.670173392137,375.955657265095,355.308769840612,343.91755606173194,339.1245681398407
4.0,711.650562879814,693.4709630305268,672.6501273329113,634.6958068210358,628.161835989657,641.7938384993508,401.35805359112925,367.50028448408716,358.92331372126665,337.5148925533389,323.8321791792215,328.51934579810774
4.5,684.0108156664515,687.8345369260251,651.6802829844302,605.3467263132874,587.6733579985574,594.9987258285861,415.6956799220104,391.16314296388066,353.41691591599357,323.11102513492125,305.6473844952755,316.4839523407861
5.0,684.0108156664515,687.8345369260251,651.6802829844302,605.3467263132874,587.6733579985574,594.9987258285861,415.6956799220104,391.16314296388066,353.41691591599357,323.11102513492125,305.6473844952755,316.4839523407861
5.5,639.4794027835836,691.746402734988,639.3648550296293,582.6192538818644,553.5061924915202,554.8151420716147,412.006674372118,425.11217655513474,356.5582695033422,312.18071562953065,284.36981351973736,287.24129736837364
6.0,573.590676776753,688.5075440631199,614.9997575654752,570.1772333092928,528.0730445117042,515.7094488367538,379.8945790288403,446.74259711826625,355.6848128918713,311.5126901327707,268.5648000113708,246.1499025913806
6.5,488.43702514411626,663.7009117113248,585.5935443157742,550.5148239665939,509.22874217059467,484.0848189882564,320.0728615994546,450.9973102723424,351.57367176639326,305.5042768294586,262.62128127749975,210.62892750410697
7.0,401.97229960682927,615.6135394654156,560.5915283266764,520.1493902208797,492.05683934050535,459.7289629111859,229.31193931589817,441.5739309585354,351.0816282326096,291.90583067013597,252.56136051999144,190.89278178512058
7.5,401.97229960682927,615.6135394654156,560.5915283266764,520.1493902208797,492.05683934050535,459.7289629111859,229.31193931589817,441.5739309585354,351.0816282326096,291.90583067013597,252.56136051999144,190.89278178512058
8.0,338.3983500585176,554.2372044788103,538.2366652972028,493.95150833214404,473.18493501758917,443.446934118598,120.84178151912202,405.9500139022695,351.39126707962527,281.1739253535702,237.6834628726523,184.256226825848
8.5,309.4389560268991,490.750013544123,509.08938523802254,473.1640151911994,456.3016461259008,430.03095399893346,41.36164936326957,357.2649175012104,344.0180514794847,271.9906898245041,222.98180305044687,173.26723002413422
9.0,301.733859595127,424.93705558643336,472.59090404153994,452.28970231893726,441.49032655238085,414.3242020948559,9.514732621778606,283.61689815757603,320.7995262282828,260.57590556771123,213.06872258430147,154.8298623565276
9.5,300.1733685339672,365.46395905946696,431.0936730689398,427.85065549316,421.4276817184651,399.4284719308098,1.7116554104804766,191.9342822362663,282.9157815397824,246.3454755935976,199.8757844152954,145.94947751155223
10.0,300.1733685339672,365.46395905946696,431.0936730689398,427.85065549316,421.4276817184651,399.4284719308098,1.7116554104804766,191.9342822362663,282.9157815397824,246.3454755935976,199.8757844152954,145.94947751155223
10.5,299.9329246232619,324.7240963984681,390.13723090467835,402.8667857977053,400.4024399833371,382.7949861456835,0.2508653493562734,99.56675568387826,235.79857263044767,224.77238138077814,182.75532525161645,140.27636733868786
11.0,299.9009883792268,306.9741201649261,352.83104448250447,374.93265403438494,377.5454691401078,371.1881187998808,0.028022591935023138,36.78576841669682,169.83111677369843,188.77399664080096,159.3267258232783,134.1525165984792
11.5,299.89775959013974,301.0094585188775,316.50743816662714,336.14232742049944,349.3217862054393,354.09630478301665,0.007676018310624242,5.163796753695849,63.63160248420896,111.43679326269725,116.82915167828739,113.54544679647562
12.0,299.89775959013974,301.0094585188775,316.50743816662714,336.14232742049944,349.3217862054393,354.09630478301665,0.007676018310624242,5.163796753695849,63.63160248420896,111.43679326269725,116.82915167828739,113.54544679647562
12.5,299.89775959013974,301.0094585188775,316.50743816662714,336.14232742049944,349.3217862054393,354.09630478301665,0.007676018310624242,5.163796753695849,63.63160248420896,111.43679326269725,116.82915167828739,113.54544679647562
