cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_1D,T_avg_1_5D,T_avg_2D,T_avg_2_5D,T_avg_3D,T_avg_3_5D,T_rms_1D,T_rms_1_5D,T_rms_2D,T_rms_2_5D,T_rms_3D,T_rms_3_5D
0.0,650.813810679463,671.4434575557863,680.9175344992249,697.9829304936716,713.8775276668598,720.838450480482,26.17902363285542,34.2964101354834,56.86129439378165,96.79935188548671,124.40264089118541,152.0600072029799
0.5,650.813810679463,671.4434575557863,680.9175344992249,693.4044274030279,713.8775276668598,720.838450480482,26.17902363285542,34.2964101354834,56.86129439378165,106.63883898545144,124.40264089118541,152.0600072029799
1.0,650.813810679463,671.4434575557863,680.9175344992249,693.4044274030279,713.8775276668598,720.838450480482,26.17902363285542,34.2964101354834,56.86129439378165,106.63883898545144,124.40264089118541,152.0600072029799
1.5,640.742316299335,634.7527476805255,637.9868891708077,649.7609183311826,668.7393750353598,679.5453981125868,61.61753339828144,97.49438758631942,130.04763160589954,153.36688996821812,173.77103823389993,180.32428597503224
2.0,643.9480762070697,634.7527476805255,637.9868891708077,649.7609183311826,668.7393750353598,679.5453981125868,64.86689293070378,97.49438758631942,130.04763160589954,153.36688996821812,173.77103823389993,180.32428597503224
2.5,643.9480762070697,634.7527476805255,631.9737668318326,649.7609183311826,668.7393750353598,679.5453981125868,64.86689293070378,97.49438758631942,129.58307262829123,153.36688996821812,173.77103823389993,180.32428597503224
3.0,504.2609581958411,468.4557460493389,499.11311609217086,536.6198043675795,570.4163961470518,590.3593200919152,100.67125027082322,103.90760387868337,131.86526043446548,161.70411680788158,185.2296377863736,188.61800332434916
3.5,504.2609581958411,479.17614604425063,499.11311609217086,536.6198043675795,570.4163961470518,592.6151420861968,100.67125027082322,102.43140663509668,131.86526043446548,161.70411680788158,185.2296377863736,181.03392332304082
4.0,347.36514925236503,362.3595329140591,391.0627072062076,434.61586235190373,476.5193982018003,510.4398843195904,55.033735584983056,73.16569005164952,96.47002471472935,128.41457233522914,158.57607784785827,173.66824163828443
4.5,347.36514925236503,362.3595329140591,391.0627072062076,434.61586235190373,476.5193982018003,510.4398843195904,55.033735584983056,73.16569005164952,96.47002471472935,128.41457233522914,158.57607784785827,173.66824163828443
5.0,347.36514925236503,362.3595329140591,391.0627072062076,434.61586235190373,476.5193982018003,510.4398843195904,55.033735584983056,73.16569005164952,96.47002471472935,128.41457233522914,158.57607784785827,173.66824163828443
5.5,311.8398900711577,327.70071748082177,339.1162305071173,368.0571591463595,402.8053832087297,438.02969942036486,23.654268497609056,54.310854820078596,59.39755191925826,90.3512925986554,115.1432317542393,143.43811773314272
6.0,311.8398900711577,327.70071748082177,339.1162305071173,368.0571591463595,402.8053832087297,438.02969942036486,23.654268497609056,54.310854820078596,59.39755191925826,90.3512925986554,115.1432317542393,143.43811773314272
6.5,302.23185581104786,310.6885564825474,313.3406864963119,327.15058880938915,348.5834953391477,383.9334403047197,7.250024730136277,33.94612063648796,34.435136080589515,49.01410204700349,69.70836322163281,104.88860485380563
7.0,302.23185581104786,310.6885564825474,313.3406864963119,327.15058880938915,348.5834953391477,383.9334403047197,7.250024730136277,33.94612063648796,34.435136080589515,49.01410204700349,69.70836322163281,104.88860485380563
7.5,302.23185581104786,310.6885564825474,313.3406864963119,327.15058880938915,348.5834953391477,383.9334403047197,7.250024730136277,33.94612063648796,34.435136080589515,49.01410204700349,69.70836322163281,104.88860485380563
8.0,300.10581568137565,302.3863331738205,303.73268783697574,308.33440536636596,318.2624089767215,345.4531461093268,0.8967595899381134,12.416012595516332,21.907939733565446,24.79601720443555,43.352538711209014,75.66018125709653
8.5,300.10581568137565,302.3863331738205,303.73268783697574,308.33440536636596,318.2624089767215,345.4531461093268,0.8967595899381134,12.416012595516332,21.907939733565446,24.79601720443555,43.352538711209014,75.66018125709653
9.0,299.8446460750438,300.1424200013797,300.9123208065726,302.375281599206,305.8053642617906,320.71956645214993,0.03574432142314075,2.123962339372985,9.241621478930623,13.404232734031181,22.754821437289312,51.42167477750007
9.5,299.8446460750438,300.1424200013797,300.9123208065726,302.375281599206,305.8053642617906,320.71956645214993,0.03574432142314075,2.123962339372985,9.241621478930623,13.404232734031181,22.754821437289312,51.42167477750007
10.0,299.8446460750438,300.1424200013797,300.9123208065726,302.375281599206,305.8053642617906,320.71956645214993,0.03574432142314075,2.123962339372985,9.241621478930623,13.404232734031181,22.754821437289312,51.42167477750007
10.5,299.83366848222056,299.85449250270943,300.000377590595,300.2195286977521,300.78986164827273,307.29783803888193,0.0009098531350862588,0.13665340188720046,1.4964929175962283,2.1870305781648596,4.905908882944846,30.042402339060924
11.0,299.83366848222056,299.85449250270943,300.000377590595,300.2195286977521,300.78986164827273,307.29783803888193,0.0009098531350862588,0.13665340188720046,1.4964929175962283,2.1870305781648596,4.905908882944846,30.042402339060924
11.5,299.8337066038084,299.8368712531139,299.8488846155346,299.87052277539414,299.93296212921905,301.82760931647226,0.0005291238837830811,0.0034582580855649307,0.0773767271834774,0.12813035833848668,0.4444703608020766,10.85333896461935
12.0,299.8337066038084,299.8368712531139,299.8488846155346,299.87052277539414,299.93296212921905,301.82760931647226,0.0005291238837830811,0.0034582580855649307,0.0773767271834774,0.12813035833848668,0.4444703608020766,10.85333896461935
12.5,299.8337066038084,299.8368712531139,299.8488846155346,299.87052277539414,299.93296212921905,301.82760931647226,0.0005291238837830811,0.0034582580855649307,0.0773767271834774,0.12813035833848668,0.4444703608020766,10.85333896461935
