cm,K,K,K,K,K,K,K,K,K,K,K,K
r,T_avg_W_1D,T_avg_W_1_5D,T_avg_W_2D,T_avg_W_2_5D,T_avg_W_3D,T_avg_W_3_5D,T_rms_W_1D,T_rms_W_1_5D,T_rms_W_2D,T_rms_W_2_5D,T_rms_W_3D,T_rms_W_3_5D
0.0,624.3653039206107,721.1511150221704,786.911971705826,815.1888265063907,798.845757564179,773.5481991012248,88.9009232824528,142.49424082984467,214.40793813090107,255.1429053300692,286.50404713080354,286.7425952665957
0.5,624.3653039206107,721.1511150221704,784.0838088910943,815.1888265063907,798.845757564179,773.5481991012248,88.9009232824528,142.49424082984467,215.29075206663893,255.1429053300692,286.50404713080354,286.7425952665957
1.0,671.696885054366,736.5629767581989,774.1652860830836,801.3257084777889,801.4925302824291,771.3077352240923,100.90715563864545,157.81566057470448,229.93063848021362,263.2422543821371,292.8483040214819,289.1219208515429
1.5,709.8012386392214,740.2209790946185,761.7100826788342,778.4233710262366,786.4307817296614,758.3012661616227,129.9650221066518,193.72907843068936,252.1277900215842,279.8406815061541,297.9031012243848,292.5581432119889
2.0,696.8962237469156,700.6034924211581,742.8610535663452,749.1009480254929,758.0605827322848,736.6120625911617,185.5517894651163,239.7371578021572,268.2173012437849,297.160271653736,302.20649963560385,296.70687460764265
2.5,666.6082654119485,700.6034924211581,742.8610535663452,749.1009480254929,758.0605827322848,736.6120625911617,193.3664389468247,239.7371578021572,268.2173012437849,297.160271653736,302.20649963560385,296.70687460764265
3.0,625.3072047572666,653.610602398512,704.2232008365107,723.1301618179199,731.2877737702448,713.4803412896766,235.57751211525493,259.5699964928328,282.26264809871105,306.8547463726378,302.27293622481375,300.2996703392293
3.5,551.4308098608465,590.8355338699643,661.4612662042679,691.8975714979439,694.4908847067325,687.0286403478467,243.27968616753432,257.63950319811823,290.604849214347,309.5608671976187,303.1161614093849,298.42586071530695
4.0,476.969762484968,531.3797676489951,623.2861190533313,652.7429361773757,657.1219404178408,657.1318860824996,221.06975351769978,250.6546026665828,292.4934040440484,307.2037877438325,298.37766559108917,292.87543719554463
4.5,412.4431000271149,476.18773345089045,577.7140202414516,610.2354925701269,619.021336221632,615.8716708514364,179.23991429175226,233.10302046795522,281.4101140808779,301.83587442271966,293.8770959909655,282.5553474268688
5.0,412.4431000271149,476.18773345089045,577.7140202414516,610.2354925701269,619.021336221632,615.8716708514364,179.23991429175226,233.10302046795522,281.4101140808779,301.83587442271966,293.8770959909655,282.5553474268688
5.5,358.0568571252883,432.5443307931791,521.4601847664848,568.9113969571287,581.0542228138311,578.8601653577588,126.29475017267391,207.46457399402863,261.9948098749686,291.66243113120413,286.0671820771937,265.6128151840329
6.0,322.79174591114577,390.93064079276525,479.25537575338365,532.4110148972243,543.6489356267163,541.1294833178516,78.6860411269004,179.48163529253964,249.23000978810123,274.7732954085213,273.4714976021288,248.67609673594492
6.5,307.5845012808075,355.93580037559434,442.0493119115534,494.54644565003656,510.4883018721656,506.53000356589746,51.54366460788685,143.85852466108446,232.56918594182454,258.5382971896974,258.7391525739609,230.56324174372014
7.0,301.2966079599451,328.6007490716244,407.5069312288666,457.88936760326357,482.6034360852083,477.36650267611543,37.29561301296313,102.66604694018154,211.92415685657807,241.43752411715184,246.81119412814658,216.50731714686714
7.5,301.2966079599451,328.6007490716244,407.5069312288666,457.88936760326357,482.6034360852083,477.36650267611543,37.29561301296313,102.66604694018154,211.92415685657807,241.43752411715184,246.81119412814658,216.50731714686714
8.0,299.12682778826,312.39964240962104,374.37396348618836,424.448931617341,457.02016081535794,456.67439230500923,33.599978888267025,71.34291896186889,184.86992871428606,226.0627421818989,230.56540326716308,207.20821808396047
8.5,298.6337371567312,305.68607308644374,348.0828338909817,397.44764411324763,428.42534621118875,438.2005011718292,33.33363810291838,64.30342554034732,156.11767537651278,213.31422683634813,208.1577452540826,194.16815200997343
9.0,298.5838364495038,303.53825148034787,329.52289065083585,377.20810441105317,399.8136224355551,416.9957731710608,33.33805718154739,61.23876122756347,132.64104331040383,198.57062719573486,183.7856441364985,177.19752295806072
9.5,298.5819090628645,301.7325574275218,318.02542805799374,360.32257574077835,375.87110772720837,396.20531730935977,33.33809394251103,50.94119744948057,121.55633708934717,180.45075149069888,159.57045005330883,160.87064946237712
10.0,298.5819090628645,301.7325574275218,318.02542805799374,360.32257574077835,375.87110772720837,396.20531730935977,33.33809394251103,50.94119744948057,121.55633708934717,180.45075149069888,159.57045005330883,160.87064946237712
10.5,298.5820976840595,299.6472175775759,310.46650730282767,344.62695607943454,358.78447217874054,376.848888072925,33.33809525861128,36.30134371447913,114.38611822108277,157.87751788927721,138.97165992122805,139.82747833320798
11.0,298.58245777050064,298.8713334954579,307.2663534297586,331.4326340757069,343.378095529988,358.6776972731027,33.338149508064916,33.72742941951114,109.02574561128615,135.59075340916664,118.30732831369505,118.03741644242055
11.5,298.5826448830666,298.6555161645848,304.68452515432534,316.41069909105926,322.24302808927376,338.71561743232564,33.33818183448814,33.42453483190048,89.81274172450101,99.29139214713602,78.75901954788469,90.87675169631412
12.0,298.5826448830666,298.6555161645848,304.68452515432534,316.41069909105926,322.24302808927376,338.71561743232564,33.33818183448814,33.42453483190048,89.81274172450101,99.29139214713602,78.75901954788469,90.87675169631412
12.5,298.5826448830666,298.6555161645848,304.68452515432534,316.41069909105926,322.24302808927376,338.71561743232564,33.33818183448814,33.42453483190048,89.81274172450101,99.29139214713602,78.75901954788469,90.87675169631412
