cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 3.5847148E+001, 4.0144974E+000,-5.0000000E-001, 1.2635155E+003, 1.0829981E+003, 9.5521026E+002, 7.7357495E+002, 6.5303873E+002, 5.8452703E+002, 3.7717034E+002, 4.3960469E+002, 4.2587288E+002, 3.5912508E+002, 2.8316389E+002, 2.3210626E+002,-2.0500000E+001, 1.5954245E-022, 1.0930041E-019, 1.0220038E-016, 5.0054351E-011, 1.8124865E-007, 5.1335373E-022, 2.4519828E-019, 4.0771376E-016, 1.2945210E-010, 3.3309134E-007
 9.9696970E-001, 3.5847148E+001, 4.0144974E+000,-2.0000000E-002, 1.2635155E+003, 1.0829981E+003, 9.5521026E+002, 7.7357495E+002, 6.5303873E+002, 5.8452703E+002, 3.7717034E+002, 4.3960469E+002, 4.2587288E+002, 3.5912508E+002, 2.8316389E+002, 2.3210626E+002,-2.0006024E+001, 1.5954245E-022, 1.0930041E-019, 1.0220038E-016, 5.0054351E-011, 1.8124865E-007, 5.1335373E-022, 2.4519828E-019, 4.0771376E-016, 1.2945210E-010, 3.3309134E-007
 1.4939394E+000, 2.4958925E+001, 4.0289665E+000, 4.6000000E-001, 1.2379546E+003, 1.0604108E+003, 9.1616804E+002, 7.7273241E+002, 6.5913029E+002, 5.8526145E+002, 3.8526607E+002, 4.4723516E+002, 4.1591894E+002, 3.6712742E+002, 2.9787746E+002, 2.3593971E+002,-1.9512048E+001, 6.9769233E-023, 3.4147845E-019, 7.2334427E-015, 1.8429213E-010, 1.7660744E-007, 2.3144299E-022, 1.1734830E-018, 4.7074491E-014, 1.2369831E-009, 3.9548629E-007
 1.9909091E+000, 1.7998978E+001, 3.6126911E+000, 9.4000000E-001, 1.1809856E+003, 1.0207358E+003, 8.8072938E+002, 7.6378218E+002, 6.5974436E+002, 5.8271929E+002, 3.9516038E+002, 4.4583006E+002, 4.1925832E+002, 3.6880714E+002, 3.0627813E+002, 2.3618105E+002,-1.9018072E+001, 6.9769233E-023, 3.4147845E-019, 7.2334427E-015, 1.8429213E-010, 1.7660744E-007, 2.3144299E-022, 1.1734830E-018, 4.7074491E-014, 1.2369831E-009, 3.9548629E-007
 2.4878788E+000, 1.4495165E+001, 3.4658200E+000, 1.4200000E+000, 1.1180334E+003, 9.9544706E+002, 8.6301962E+002, 7.5046368E+002, 6.5950233E+002, 5.8033110E+002, 4.0224636E+002, 4.5869529E+002, 4.2836075E+002, 3.6766604E+002, 3.0925331E+002, 2.3613111E+002,-1.8524096E+001, 3.0066745E-023, 1.9132736E-017, 9.1809350E-013, 1.2129808E-008, 2.0977870E-006, 1.0261504E-022, 8.4551059E-017, 6.9504043E-012, 8.7288517E-008, 1.9440336E-005
 2.9848485E+000, 1.2468432E+001, 3.3489379E+000, 1.9000000E+000, 1.0637271E+003, 9.7832129E+002, 8.4641767E+002, 7.3558184E+002, 6.5689182E+002, 5.7476827E+002, 4.3638916E+002, 4.7312590E+002, 4.2566872E+002, 3.6038871E+002, 3.1011286E+002, 2.3241486E+002,-1.8030120E+001, 3.0066745E-023, 1.9132736E-017, 9.1809350E-013, 1.2129808E-008, 2.0977870E-006, 1.0261504E-022, 8.4551059E-017, 6.9504043E-012, 8.7288517E-008, 1.9440336E-005
 3.4818182E+000, 1.1109416E+001, 3.2566238E+000, 2.3800000E+000, 9.9618292E+002, 9.4921498E+002, 8.3287588E+002, 7.2099989E+002, 6.4692310E+002, 5.6909749E+002, 4.5824272E+002, 4.7318600E+002, 4.2541014E+002, 3.5090953E+002, 3.0032827E+002, 2.2867642E+002,-1.7536145E+001, 1.3393476E-023, 1.2781280E-015, 1.1860579E-010, 6.5404925E-007, 6.8929732E-005, 4.4949820E-023, 6.8748917E-015, 9.9913057E-010, 4.4152286E-006, 7.2114868E-004
 3.9787879E+000, 1.0056496E+001, 3.1933448E+000, 2.8600000E+000, 9.4557978E+002, 9.1894098E+002, 8.1997347E+002, 7.0504656E+002, 6.2834129E+002, 5.6202627E+002, 4.6845270E+002, 4.7511297E+002, 4.2411837E+002, 3.4389726E+002, 2.8213027E+002, 2.2644036E+002,-1.7042169E+001, 1.3393476E-023, 1.2781280E-015, 1.1860579E-010, 6.5404925E-007, 6.8929732E-005, 4.4949820E-023, 6.8748917E-015, 9.9913057E-010, 4.4152286E-006, 7.2114868E-004
 4.4757576E+000, 9.2188300E+000, 3.1303059E+000, 3.3400000E+000, 9.0305282E+002, 8.9826009E+002, 8.0739004E+002, 6.8855537E+002, 6.1373715E+002, 5.4843730E+002, 4.7132951E+002, 4.8219266E+002, 4.2046005E+002, 3.4271912E+002, 2.7897525E+002, 2.2257383E+002,-1.6548193E+001, 2.3880570E-023, 1.5942948E-013, 1.2888954E-008, 2.3012354E-005, 6.1251169E-004, 5.0504448E-023, 9.7426076E-013, 1.2213196E-007, 1.5423348E-004, 5.6354385E-003
 4.9727273E+000, 8.5364416E+000, 3.1054030E+000, 3.8200000E+000, 8.7329850E+002, 8.8199768E+002, 7.8454498E+002, 6.7108972E+002, 5.9747246E+002, 5.3304780E+002, 4.7940518E+002, 4.8215942E+002, 4.1827190E+002, 3.4041991E+002, 2.8065826E+002, 2.1581356E+002,-1.6054217E+001, 2.3880570E-023, 1.5942948E-013, 1.2888954E-008, 2.3012354E-005, 6.1251169E-004, 5.0504448E-023, 9.7426076E-013, 1.2213196E-007, 1.5423348E-004, 5.6354385E-003
 5.4696970E+000, 8.0037706E+000, 3.1117270E+000, 4.3000000E+000, 8.4729903E+002, 8.6044807E+002, 7.5987827E+002, 6.4539940E+002, 5.7524202E+002, 5.2134875E+002, 4.8902967E+002, 4.8037624E+002, 4.1679089E+002, 3.2484973E+002, 2.7275312E+002, 2.1310275E+002,-1.5560241E+001, 5.7223769E-022, 2.1428291E-011, 8.2617855E-007, 3.6664669E-004, 2.0125166E-003, 1.4492724E-021, 1.4034612E-010, 8.1633540E-006, 2.4463126E-003, 1.2180004E-002
 5.9666667E+000, 7.5891711E+000, 3.1382729E+000, 4.7800000E+000, 8.1383938E+002, 8.3619789E+002, 7.3404318E+002, 6.2405537E+002, 5.5606423E+002, 5.0994312E+002, 4.9779616E+002, 4.8039251E+002, 4.1225277E+002, 3.1653999E+002, 2.6118509E+002, 2.0905576E+002,-1.5066265E+001, 5.7223769E-022, 2.1428291E-011, 8.2617855E-007, 3.6664669E-004, 2.0125166E-003, 1.4492724E-021, 1.4034612E-010, 8.1633540E-006, 2.4463126E-003, 1.2180004E-002
 6.4636364E+000, 7.2771953E+000, 3.1880140E+000, 5.2600000E+000, 7.6209428E+002, 8.0271809E+002, 7.0760640E+002, 6.0270858E+002, 5.4053468E+002, 4.9948336E+002, 5.0310399E+002, 4.7381640E+002, 4.0941726E+002, 3.1157893E+002, 2.5200304E+002, 2.0304176E+002,-1.4572289E+001, 1.4572505E-020, 2.2295754E-009, 3.5643605E-005, 2.3018753E-003, 4.3877837E-003, 2.8203095E-020, 1.5362905E-008, 3.4755935E-004, 1.3547695E-002, 1.8252712E-002
 6.9606061E+000, 7.0633039E+000, 3.2656073E+000, 5.7400000E+000, 6.9821497E+002, 7.6055685E+002, 6.8239549E+002, 5.7865748E+002, 5.2758268E+002, 4.8930535E+002, 4.9080299E+002, 4.6507791E+002, 4.0155461E+002, 3.0250860E+002, 2.5075103E+002, 1.9857366E+002,-1.4078313E+001, 1.4572505E-020, 2.2295754E-009, 3.5643605E-005, 2.3018753E-003, 4.3877837E-003, 2.8203095E-020, 1.5362905E-008, 3.4755935E-004, 1.3547695E-002, 1.8252712E-002
 7.4575758E+000, 6.9202270E+000, 3.3842527E+000, 6.2200000E+000, 6.3267787E+002, 7.1243954E+002, 6.4310876E+002, 5.5177961E+002, 5.1536101E+002, 4.7643666E+002, 4.6466137E+002, 4.5822230E+002, 3.7863472E+002, 2.9541138E+002, 2.5403232E+002, 1.8767973E+002,-1.3584337E+001, 3.5495893E-019, 1.7085672E-007, 6.6318793E-004, 5.6427686E-003, 7.8600253E-003, 4.8566413E-019, 1.2945696E-006, 5.3116388E-003, 2.4196952E-002, 2.3389964E-002
 7.9545455E+000, 6.8294576E+000, 3.5354238E+000, 6.7000000E+000, 5.7642344E+002, 6.6343206E+002, 5.8797288E+002, 5.2661752E+002, 4.9843865E+002, 4.6063157E+002, 4.3350201E+002, 4.4513286E+002, 3.4841654E+002, 2.8285724E+002, 2.4772613E+002, 1.7205521E+002,-1.3090361E+001, 3.5495893E-019, 1.7085672E-007, 6.6318793E-004, 5.6427686E-003, 7.8600253E-003, 4.8566413E-019, 1.2945696E-006, 5.3116388E-003, 2.4196952E-002, 2.3389964E-002
