s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8105664E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001862E+000, 2.9302214E+000,-7.1208055E-001,-1.5310535E-001,-1.1981268E-001, 4.6798011E-004, 0.0000000E+000,-5.8617833E-002, 2.0560274E+000, 1.8870730E+000, 3.2112000E-001, 0.0000000E+000, 7.6960741E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5382869E-006
 2.0002549E+000, 7.2161414E+000,-2.0988421E+000,-3.2606145E+000,-8.8958921E-002, 1.4805212E-003, 0.0000000E+000,-1.1633728E-001, 1.6932713E+000, 1.6528691E+000, 3.2112000E-001, 0.0000000E+000, 1.5786924E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9565847E-005
 3.0002024E+000, 8.7653837E+000,-2.4007308E+000,-5.2703142E+000,-7.8293309E-002, 2.1919322E-003, 0.0000000E+000,-1.2331177E-001, 9.4794456E-001, 8.9492552E-001, 3.2112000E-001, 0.0000000E+000, 1.7434723E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608081E-005
 4.0000854E+000, 9.0270105E+000,-2.4393197E+000,-6.4732829E+000,-8.0141768E-002, 2.7960152E-003, 0.0000000E+000,-1.2463055E-001,-3.6576770E-002,-8.7568460E-002, 3.2112000E-001, 0.0000000E+000, 1.7674233E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1904922E-005
 5.0003457E+000, 9.1264641E+000,-2.4752722E+000,-6.2367601E+000,-7.7936087E-002, 3.3631900E-003, 0.0000000E+000,-1.2583467E-001, 2.6878427E-001, 2.1402419E-001, 3.2112000E-001, 0.0000000E+000, 1.7706982E-004, 0.0000000E+000, 0.0000000E+000, 8.9616520E-008, 0.0000000E+000, 2.1945510E-005
 6.0003619E+000, 9.0865197E+000,-2.4678763E+000,-6.4970465E+000,-8.1684017E-002, 3.8884381E-003, 0.0000000E+000,-1.2519184E-001,-3.2193648E-002,-8.1390454E-002, 3.2112000E-001, 0.0000000E+000, 1.7711420E-004, 0.0000000E+000, 0.0000000E+000, 4.3247060E-003, 0.0000000E+000, 2.1951011E-005
 7.0002704E+000, 9.1173669E+000,-2.4906378E+000,-6.6434753E+000,-8.0047059E-002, 4.3702947E-003, 0.0000000E+000,-1.2497100E-001,-1.5478725E-001,-2.1739408E-001, 3.2112000E-001, 0.0000000E+000, 1.7712021E-004, 0.0000000E+000, 0.0000000E+000, 1.2964279E-002, 0.0000000E+000, 2.1951755E-005
 8.0002365E+000, 9.0503698E+000,-2.4284627E+000,-6.4916804E+000,-8.2379558E-002, 4.7713097E-003, 0.0000000E+000,-1.2311649E-001,-2.5115637E-002,-7.0497962E-002, 3.2112000E-001, 0.0000000E+000, 1.7712102E-004, 0.0000000E+000, 0.0000000E+000, 2.1604003E-002, 0.0000000E+000, 2.1951856E-005
