s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0006855E+000, 2.0755882E-001
 2.0004232E+000, 2.0755882E-001
 3.0009468E+000, 2.0755882E-001
 4.0003468E+000, 2.0755882E-001
 5.0007628E+000, 2.0755882E-001
 6.0007473E+000, 2.0743437E-001
 7.0016219E+000, 2.0252926E-001
 8.0012281E+000, 1.9704550E-001
 9.0000209E+000, 1.9195278E-001
 1.0001269E+001, 1.8698382E-001
 1.1001656E+001, 1.8235070E-001
 1.2002383E+001, 1.7798771E-001
 1.3002330E+001, 1.7377991E-001
 1.4000529E+001, 1.6976523E-001
 1.5000680E+001, 1.6594212E-001
 1.6000333E+001, 1.6228645E-001
 1.7000531E+001, 1.5878856E-001
 1.8001306E+001, 1.5545301E-001
 1.9002223E+001, 1.5224361E-001
 2.0001171E+001, 1.4917442E-001
 2.1001842E+001, 1.4623153E-001
 2.2001360E+001, 1.4339514E-001
 2.3000051E+001, 1.4067450E-001
 2.4000456E+001, 1.3804964E-001
 2.5000998E+001, 1.3552446E-001
 2.6001598E+001, 1.3309545E-001
 2.7000376E+001, 1.3075181E-001
 2.8001329E+001, 1.2848439E-001
 2.9000312E+001, 1.2630486E-001
 3.0001865E+001, 1.2418924E-001
 3.1001676E+001, 1.2214656E-001
 3.2000412E+001, 1.2017909E-001
 3.3000111E+001, 1.1826159E-001
 3.4001392E+001, 1.1641847E-001
 3.5001153E+001, 1.1461860E-001
 3.6001886E+001, 1.1288189E-001
 3.7002344E+001, 1.1119280E-001
 3.8002064E+001, 1.0955826E-001
 3.9001971E+001, 1.0797423E-001
 4.0002727E+001, 1.0643145E-001
 4.1003330E+001, 1.0493060E-001
 4.2003089E+001, 1.0347162E-001
 4.3005826E+001, 1.0205531E-001
 4.4002939E+001, 1.0067385E-001
 4.5004027E+001, 9.9335565E-002
 4.6005115E+001, 9.8028186E-002
 4.7008236E+001, 9.6752992E-002
 4.8010680E+001, 9.5516119E-002
 4.9001602E+001, 9.4325227E-002
 5.0004046E+001, 9.3137875E-002
 5.1006490E+001, 9.1997491E-002
 5.2008935E+001, 9.0871688E-002
 5.3011379E+001, 8.9778868E-002
 5.4002300E+001, 8.8722191E-002
 5.5004745E+001, 8.7675733E-002
 5.6007189E+001, 8.6658913E-002
 5.7009633E+001, 8.5666021E-002
 5.8000554E+001, 8.4696847E-002
 5.9002999E+001, 8.3750350E-002
 6.0005443E+001, 8.2821159E-002
 6.1008746E+001, 8.1909036E-002
 6.2003703E+001, 8.1028426E-002
 6.3009024E+001, 8.0156067E-002
 6.4003981E+001, 7.9306901E-002
 6.5000000E+001, 7.8481351E-002
