s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000,-3.5121238E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5121238E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015863E+000, 3.3694575E+000,-3.2828672E-001,-8.2668565E-002,-1.6858678E-002, 2.1363925E-004, 0.0000000E+000,-1.0466986E-002, 2.9730350E+000, 2.9313901E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7803693E-005, 9.6168388E-006
 2.0017693E+000, 7.7574518E+000,-1.1365257E+000,-4.6316310E+000,-1.3959881E-002, 1.3996429E-003, 0.0000000E+000,-2.0178142E-002, 1.9377377E+000, 1.9565567E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5838216E-004, 1.9576650E-005
 3.0016537E+000, 8.8722115E+000,-1.2862425E+000,-7.1395264E+000,-1.0628883E-002, 2.1366517E-003, 0.0000000E+000,-2.1474907E-002, 3.9229309E-001, 4.1647540E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7483042E-004, 2.1609719E-005
 4.0012293E+000, 9.0612886E+000,-1.2910964E+000,-7.2837777E+000,-8.2628250E-003, 2.7340997E-003, 0.0000000E+000,-2.2294888E-002, 4.2856213E-001, 4.5859086E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7722041E-004, 2.1905132E-005
 5.0020609E+000, 9.1391641E+000,-1.2718063E+000,-7.3756649E+000,-1.6065028E-002, 3.2644138E-003, 0.0000000E+000,-2.2188548E-002, 4.4217320E-001, 4.5670370E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8027639E-007, 1.7754732E-004, 2.1945539E-005
 6.0003829E+000, 9.1079993E+000,-1.3017210E+000,-8.2173783E+000,-1.7117768E-002, 3.7171241E-003, 0.0000000E+000,-2.2278208E-002,-4.4488138E-001,-4.4677892E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3401586E-003, 1.7759162E-004, 2.1951014E-005
 7.0009298E+000, 9.1088182E+000,-1.3037311E+000,-7.7263144E+000,-9.6739676E-003, 4.1544996E-003, 0.0000000E+000,-2.2052540E-002, 5.1151333E-002, 5.1200616E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2977910E-002, 1.7759761E-004, 2.1951755E-005
 8.0001097E+000, 9.0634301E+000,-1.2382931E+000,-7.3125363E+000,-1.1030272E-002, 4.4546652E-003, 0.0000000E+000,-2.1911157E-002, 4.9502529E-001, 4.8411390E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1614363E-002, 1.7759843E-004, 2.1951856E-005
 9.0008364E+000, 9.0896713E+000,-1.2517317E+000,-8.0685585E+000,-1.4536739E-002, 4.6685271E-003, 0.0000000E+000,-2.1511503E-002,-2.7827930E-001,-2.6199862E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0255288E-002, 1.7759854E-004, 2.1951869E-005
 1.0001056E+001, 9.0808204E+000,-1.1878248E+000,-8.1417324E+000,-1.0081234E-002, 4.8233254E-003, 0.0000000E+000,-2.1215704E-002,-2.8411870E-001,-2.7521051E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8896272E-002, 1.7759855E-004, 2.1951871E-005
 1.1001869E+001, 9.0456175E+000,-1.1005194E+000,-7.7340292E+000,-8.8592362E-003, 4.8987855E-003, 0.0000000E+000,-2.0855015E-002, 1.8333950E-001, 1.8625343E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7542252E-002, 1.7759855E-004, 2.1951871E-005
 1.2001257E+001, 9.0213705E+000,-1.0754369E+000,-8.0187042E+000,-9.0760317E-003, 4.9214973E-003, 0.0000000E+000,-2.0528606E-002,-7.8784263E-002,-9.7453715E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6182874E-002, 1.7759855E-004, 2.1951872E-005
 1.3002115E+001, 8.9925935E+000,-1.0132246E+000,-8.2545101E+000,-7.5049012E-003, 5.0991725E-003, 0.0000000E+000,-2.0052912E-002,-2.8468642E-001,-2.9759988E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4824770E-002, 1.7759855E-004, 2.1951872E-005
 1.4002115E+001, 9.0247605E+000,-9.3133031E-001,-7.8245139E+000,-9.8961799E-003, 5.1142755E-003, 0.0000000E+000,-1.9718899E-002, 2.0666313E-001, 2.4441548E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3468676E-002, 1.7759855E-004, 2.1951872E-005
