s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.0719765E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0719765E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0031406E-001, 3.0300389E+000,-2.6390890E-001, 5.5787105E-003,-4.7510242E-003,-7.2492106E-005, 0.0000000E+000, 0.0000000E+000, 2.5511875E+000, 2.7668851E+000, 1.6308015E-002, 8.1253315E-005,-7.8651140E-045,-1.0514203E-034
 1.0002518E+000, 8.3418408E+000,-1.6254000E+000,-2.8450664E+000,-7.7517192E-003, 7.1345052E-004, 0.0000000E+000, 0.0000000E+000, 3.5540854E+000, 3.8643361E+000, 4.4110893E-002, 2.0500743E-004,-5.8739158E-038,-3.8968555E-031
 1.5009727E+000, 1.2157307E+001,-2.6120810E+000,-7.7866410E+000,-1.1385941E-002, 2.1339038E-003, 0.0000000E+000, 0.0000000E+000, 1.5604189E+000, 1.7493330E+000, 5.9342881E-002, 2.7533686E-004,-8.1076733E-036,-1.1933717E-029
 2.0002558E+000, 1.3766673E+001,-2.8966012E+000,-9.3653212E+000,-2.1562451E-002, 3.5041793E-003, 0.0000000E+000, 0.0000000E+000, 1.0201184E+000, 1.4866922E+000, 6.6092269E-002, 3.0651566E-004,-1.1150918E-034,-7.4235603E-029
 2.5019128E+000, 1.4643386E+001,-2.9597378E+000,-9.4408465E+000,-2.6137066E-002, 4.7480698E-003, 0.0000000E+000, 0.0000000E+000, 1.5041602E+000, 2.2214131E+000, 6.8769711E-002, 3.1888197E-004,-6.3729993E-034,-2.3261480E-028
 3.0000441E+000, 1.5022407E+001,-2.9655424E+000,-9.5334904E+000,-3.6163303E-002, 6.0717216E-003, 0.0000000E+000, 0.0000000E+000, 1.4716940E+000, 2.4932824E+000, 6.9782843E-002, 3.2356025E-004,-2.8053830E-033,-5.3578707E-028
 3.5011153E+000, 1.4915766E+001,-2.8734009E+000,-1.1698423E+001,-3.2010665E-002, 7.0113900E-003, 0.0000000E+000, 0.0000000E+000,-5.6403973E-001, 3.1894264E-001, 7.0159119E-002, 3.2529737E-004,-1.0257258E-032,-9.9692692E-028
 4.0019727E+000, 1.5008234E+001,-2.9108496E+000,-1.1235911E+001,-2.2652959E-002, 8.0438345E-003, 0.0000000E+000, 0.0000000E+000, 7.1094510E-002, 8.4686460E-001, 7.0298532E-002, 3.2594099E-004,-3.2311959E-032,-1.6391744E-027
 4.5008817E+000, 1.4903770E+001,-2.9331283E+000,-1.1352623E+001,-1.9891283E-002, 8.6050335E-003, 0.0000000E+000, 0.0000000E+000,-1.0385646E-001, 6.0673180E-001, 7.0349743E-002, 3.2617737E-004,-8.8978881E-032,-2.6829534E-027
 5.0006146E+000, 1.5008938E+001,-2.8912915E+000,-1.0764941E+001,-2.4428024E-002, 9.2891164E-003, 0.0000000E+000, 0.0000000E+000, 5.5288149E-001, 1.3375669E+000, 7.0368572E-002, 3.2626429E-004,-2.1159818E-031,-4.3191076E-027
 5.5000067E+000, 1.4963403E+001,-2.9695584E+000,-1.1549597E+001,-2.8802222E-002, 1.0131988E-002, 0.0000000E+000, 0.0000000E+000,-3.4823335E-001, 4.2557771E-001, 7.0375513E-002, 3.2629634E-004,-4.4641604E-031,-6.6672011E-027
 6.0002761E+000, 1.4926602E+001,-2.9409159E+000,-1.0931398E+001,-2.8236644E-002, 1.0987759E-002, 0.0000000E+000, 0.0000000E+000, 2.5938058E-001, 1.0370399E+000, 7.0378069E-002, 3.2630814E-004,-9.0517099E-031,-1.0201734E-026
 6.5021276E+000, 1.5068020E+001,-2.9345658E+000,-1.0576620E+001,-2.6779139E-002, 1.1627897E-002, 0.0000000E+000, 0.0000000E+000, 7.1309461E-001, 1.5416830E+000, 7.0379011E-002, 3.2631249E-004,-2.0582115E-030,-1.7897727E-026
 7.0020089E+000, 1.4928810E+001,-2.9605988E+000,-1.1483325E+001,-2.9586705E-002, 1.2284863E-002, 0.0000000E+000, 0.0000000E+000,-4.0724078E-001, 4.6758394E-001, 7.0379358E-002, 3.2631409E-004,-4.7332509E-030,-3.1878146E-026
 7.5002670E+000, 1.4880003E+001,-2.8981610E+000,-1.0330456E+001,-2.4521346E-002, 1.2633415E-002, 0.0000000E+000, 0.0000000E+000, 6.9716236E-001, 1.6394982E+000, 7.0379484E-002, 3.2631467E-004,-9.5642230E-030,-5.2008482E-026
 8.0009460E+000, 1.4893778E+001,-2.9746431E+000,-1.1977673E+001,-2.7033823E-002, 1.2972514E-002, 0.0000000E+000, 0.0000000E+000,-8.5574715E-001,-7.2599271E-002, 7.0379531E-002, 3.2631489E-004,-1.6443273E-029,-7.6652036E-026
 8.5001879E+000, 1.5030867E+001,-2.9325898E+000,-1.1335013E+001,-2.8889413E-002, 1.3532298E-002, 0.0000000E+000, 0.0000000E+000,-1.2171121E-001, 7.4790663E-001, 7.0379548E-002, 3.2631497E-004,-2.4101565E-029,-1.0128824E-025
 9.0004187E+000, 1.4867080E+001,-2.8709044E+000,-9.6657519E+000,-2.4792180E-002, 1.4034214E-002, 0.0000000E+000, 0.0000000E+000, 1.0887955E+000, 2.3196654E+000, 7.0379555E-002, 3.2631500E-004,-3.1405685E-029,-1.2178461E-025
 9.5002279E+000, 1.4998161E+001,-3.0037603E+000,-1.1640674E+001,-2.8950942E-002, 1.4738863E-002, 0.0000000E+000, 0.0000000E+000,-4.1050506E-001, 3.3951451E-001, 7.0379557E-002, 3.2631501E-004,-3.8271645E-029,-1.4131869E-025
 1.0001485E+001, 1.5044055E+001,-2.9911702E+000,-1.1394907E+001,-1.9324160E-002, 1.5516503E-002, 0.0000000E+000, 0.0000000E+000,-1.8659703E-001, 6.5417061E-001, 7.0379558E-002, 3.2631501E-004,-4.4190424E-029,-1.5834601E-025
 1.0500765E+001, 1.4931341E+001,-2.9662332E+000,-1.0795057E+001,-2.8205558E-002, 1.5717797E-002, 0.0000000E+000, 0.0000000E+000, 1.4786724E-001, 1.1575633E+000, 7.0379558E-002, 3.2631501E-004,-4.9681840E-029,-1.7367845E-025
 1.1001632E+001, 1.4952327E+001,-3.0788818E+000,-1.1574576E+001,-2.8832862E-002, 1.6373846E-002, 0.0000000E+000, 0.0000000E+000,-5.8258298E-001, 2.8641037E-001, 7.0379558E-002, 3.2631501E-004,-5.6249549E-029,-1.9229410E-025
 1.1500793E+001, 1.5048012E+001,-2.9937038E+000,-1.0436587E+001,-2.3130730E-002, 1.6611194E-002, 0.0000000E+000, 0.0000000E+000, 8.5595954E-001, 1.6112017E+000, 7.0379558E-002, 3.2631501E-004,-6.3239174E-029,-2.1098429E-025
 1.2002280E+001, 1.4903230E+001,-2.9336825E+000,-1.1541238E+001,-2.3941009E-002, 1.6962839E-002, 0.0000000E+000, 0.0000000E+000,-3.5078932E-001, 4.2133117E-001, 7.0379558E-002, 3.2631501E-004,-7.0498272E-029,-2.2985588E-025
 1.2501542E+001, 1.5001810E+001,-2.9347804E+000,-1.0839015E+001,-2.2609334E-002, 1.7772728E-002, 0.0000000E+000, 0.0000000E+000, 2.8932116E-001, 1.2231778E+000, 7.0379558E-002, 3.2631501E-004,-7.7079795E-029,-2.4649333E-025
 1.3000018E+001, 1.4801588E+001,-3.1694102E+000,-1.1661473E+001,-2.6164667E-002, 1.8218713E-002, 0.0000000E+000, 0.0000000E+000,-7.8371590E-001,-3.7240867E-002, 7.0379558E-002, 3.2631501E-004,-7.9563848E-029,-2.5169162E-025
 1.3500808E+001, 1.5004467E+001,-3.0721138E+000,-1.0666719E+001,-2.2402803E-002, 1.8659327E-002, 0.0000000E+000, 0.0000000E+000, 5.5867008E-001, 1.2618905E+000, 7.0379558E-002, 3.2631501E-004,-8.1121156E-029,-2.5869333E-025
 1.4000418E+001, 1.4913106E+001,-3.1419519E+000,-1.1378270E+001,-2.4333810E-002, 1.8920000E-002, 0.0000000E+000, 0.0000000E+000,-2.0083293E-001, 3.8747056E-001, 7.0379558E-002, 3.2631501E-004,-7.8687762E-029,-2.4751781E-025
 1.4501503E+001, 1.5215560E+001,-3.1398262E+000,-1.0449029E+001,-2.4111415E-002, 1.9472012E-002, 0.0000000E+000, 0.0000000E+000, 6.5850768E-001, 1.6220651E+000, 7.0379558E-002, 3.2631501E-004,-7.2508662E-029,-2.1959549E-025
