cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 4.2871091E+000, 1.1533772E+000,-5.0000000E-001, 1.3776966E+003, 1.3258546E+003, 1.1992748E+003, 9.3705701E+002, 7.8290337E+002, 6.8051898E+002, 2.0562944E+002, 2.8731019E+002, 3.1004195E+002, 2.6682528E+002, 2.0968428E+002, 1.6334209E+002,-2.0500000E+001, 7.5222118E-009, 1.0071922E-007, 9.9553267E-007, 2.4645579E-005, 1.5349253E-004, 2.5850797E-009, 2.6770649E-007, 1.6548859E-006, 1.7837626E-005, 1.1665697E-004
 4.6000000E+000, 5.9558412E+000, 2.5765879E+000, 1.5000000E+000, 1.4046511E+003, 1.3357745E+003, 1.1856227E+003, 9.2181856E+002, 7.7614316E+002, 6.8507040E+002, 1.6107129E+002, 2.6379061E+002, 3.0435945E+002, 2.7595649E+002, 2.1660382E+002, 1.6654115E+002,-1.8450000E+001, 5.1225030E-007, 1.0006641E-005, 5.4024279E-005, 8.9805000E-004, 2.8234132E-003, 2.1966298E-007, 3.5442025E-005, 1.1447362E-004, 8.3140678E-004, 2.7102794E-003
 8.7000000E+000, 6.6111207E+000, 4.0393426E+000, 3.5000000E+000, 1.2030645E+003, 1.1093854E+003, 9.8613963E+002, 8.1466103E+002, 7.1833574E+002, 6.4561182E+002, 3.3211918E+002, 3.5222154E+002, 3.3701978E+002, 2.7275664E+002, 2.1482016E+002, 1.6662474E+002,-1.6400000E+001, 5.1225030E-007, 1.0006641E-005, 5.4024279E-005, 8.9805000E-004, 2.8234132E-003, 2.1966298E-007, 3.5442025E-005, 1.1447362E-004, 8.3140678E-004, 2.7102794E-003
 1.2800000E+001, 6.7232981E+000, 4.9946555E+000, 5.5000000E+000, 7.8893290E+002, 7.7462848E+002, 7.4106679E+002, 6.6899965E+002, 6.1419376E+002, 5.7181693E+002, 3.3366859E+002, 3.2433892E+002, 3.0180289E+002, 2.3874168E+002, 1.8648436E+002, 1.5525995E+002,-1.4350000E+001, 2.3043091E-005, 4.5125318E-004, 1.6832358E-003, 1.2237026E-002, 1.6966520E-002, 2.4377007E-005, 1.8186903E-003, 3.4496767E-003, 1.0118204E-002, 1.0802612E-002
 1.6900000E+001, 6.6350880E+000, 5.5208555E+000, 7.5000000E+000, 4.7044014E+002, 5.0933842E+002, 5.3789404E+002, 5.3366919E+002, 5.0714410E+002, 4.9092045E+002, 1.6722876E+002, 1.9574108E+002, 2.1138884E+002, 1.8237861E+002, 1.5020903E+002, 1.2757676E+002,-1.2300000E+001, 2.3043091E-005, 4.5125318E-004, 1.6832358E-003, 1.2237026E-002, 1.6966520E-002, 2.4377007E-005, 1.8186903E-003, 3.4496767E-003, 1.0118204E-002, 1.0802612E-002
 2.1000000E+001, 6.2681725E+000, 5.6529023E+000, 9.5000000E+000, 3.3904970E+002, 3.6662412E+002, 4.0200878E+002, 4.1941866E+002, 4.1671983E+002, 4.1403206E+002, 7.6365433E+001, 9.8459538E+001, 1.2920548E+002, 1.1786384E+002, 1.0496490E+002, 9.5862131E+001,-1.0250000E+001, 5.4434036E-004, 4.6563112E-003, 1.2739129E-002, 3.3456269E-002, 3.7488204E-002, 6.1733984E-004, 1.0920008E-002, 2.1142961E-002, 2.9829752E-002, 2.3664764E-002
 2.5100000E+001, 5.0774731E+000, 5.1156208E+000, 1.1500000E+001, 3.0258523E+002, 3.1498645E+002, 3.3373653E+002, 3.4866821E+002, 3.5065341E+002, 3.5289384E+002, 2.7251131E+001, 4.5215102E+001, 6.9151936E+001, 6.7509506E+001, 6.2709359E+001, 6.2819726E+001,-8.2000000E+000, 9.0609564E-003, 2.3781803E-002, 3.8724646E-002, 6.0156665E-002, 6.1430138E-002, 1.0376651E-002, 2.8602922E-002, 3.7892941E-002, 3.9132961E-002, 3.0566033E-002
 2.9200000E+001, 3.9607497E+000, 4.4410288E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1500000E+000, 5.1426792E-002, 6.7901678E-002, 8.0527220E-002, 8.7467898E-002, 8.2072970E-002, 3.2015423E-002, 4.6570817E-002, 5.1926036E-002, 4.2260352E-002, 3.2553656E-002
 3.3300000E+001, 2.8433996E+000, 3.4239775E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1000000E+000, 1.3534556E-001, 1.3306523E-001, 1.3292935E-001, 1.1862489E-001, 1.0001260E-001, 4.6342615E-002, 6.4962811E-002, 6.5245815E-002, 4.7763182E-002, 3.4426258E-002
 3.7400000E+001, 1.9405512E+000, 2.3900521E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0500000E+000, 3.2319007E-001, 2.5531686E-001, 2.1544145E-001, 1.4527003E-001, 1.1385389E-001, 1.0825607E-001, 1.2192472E-001, 1.0103611E-001, 5.0665153E-002, 3.4186515E-002
 4.1500000E+001, 1.2912853E+000, 1.5646714E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0000000E-002, 4.6754060E-001, 3.8399651E-001, 3.0494267E-001, 1.5997491E-001, 1.2129816E-001, 6.2332909E-002, 1.1671652E-001, 1.1983460E-001, 4.5491235E-002, 3.1127581E-002
 4.5600000E+001, 7.3024899E-001, 8.7309607E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 3.4168136E-001, 2.8099538E-001, 2.2612338E-001, 1.4159693E-001, 1.1471452E-001, 1.0975064E-001, 1.3001300E-001, 1.0601304E-001, 5.0598573E-002, 3.3376963E-002
 4.9700000E+001, 5.2232222E-001, 6.0554698E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1000000E+000, 1.4721607E-001, 1.4864577E-001, 1.4262522E-001, 1.1605513E-001, 9.9689298E-002, 5.4253671E-002, 7.7672253E-002, 7.4157630E-002, 4.5979955E-002, 3.4304729E-002
 5.3800000E+001, 3.8882764E-001, 4.3996536E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 5.1349206E-002, 7.1329519E-002, 8.0847482E-002, 8.7914100E-002, 8.0469311E-002, 2.8443768E-002, 4.5747012E-002, 4.8047300E-002, 4.0805518E-002, 3.3353508E-002
 5.7900000E+001, 2.9805957E-001, 3.2767511E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 8.2000000E+000, 9.3529980E-003, 2.2969650E-002, 3.4513435E-002, 5.6652669E-002, 5.7725430E-002, 8.6030019E-003, 2.7224463E-002, 3.2559045E-002, 3.4770799E-002, 3.0141923E-002
 6.2000000E+001, 2.3616771E-001, 2.5004585E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.0250000E+001, 5.3249626E-004, 4.9995568E-003, 1.1730772E-002, 3.1232979E-002, 3.4683957E-002, 4.7004513E-004, 1.2314059E-002, 1.9878910E-002, 2.7108808E-002, 2.4973495E-002
 6.6100000E+001, 1.9252027E-001, 1.9538929E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2300000E+001, 3.4478816E-005, 4.2921623E-004, 2.2033659E-003, 9.8641398E-003, 1.5972368E-002, 3.0783099E-005, 1.1884004E-003, 4.6677122E-003, 8.8986052E-003, 1.2218739E-002
 7.0200000E+001, 1.4643313E-001, 1.4072779E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.4350000E+001, 3.4478816E-005, 4.2921623E-004, 2.2033659E-003, 9.8641398E-003, 1.5972368E-002, 3.0783099E-005, 1.1884004E-003, 4.6677122E-003, 8.8986052E-003, 1.2218739E-002
 7.4300000E+001, 1.2422717E-001, 1.1403213E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.6400000E+001, 8.1126177E-007, 8.5341913E-006, 8.3960084E-005, 9.1835310E-004, 2.2776701E-003, 4.3734325E-007, 1.9431409E-005, 1.9044787E-004, 8.6566940E-004, 2.7443456E-003
 7.8400000E+001, 1.0800789E-001, 9.5020024E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.8450000E+001, 8.1126177E-007, 8.5341913E-006, 8.3960084E-005, 9.1835310E-004, 2.2776701E-003, 4.3734325E-007, 1.9431409E-005, 1.9044787E-004, 8.6566940E-004, 2.7443456E-003
 8.2500000E+001, 9.2715578E-002, 7.6852933E-002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.0500000E+001, 1.1110761E-008, 1.2363287E-007, 1.3091408E-006, 2.7812735E-005, 1.5155092E-004, 6.2780489E-009, 2.0241713E-007, 1.7344244E-006, 2.2072627E-005, 1.8831046E-004
