cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 1.4665303E+001, 1.7674023E+000,-5.0000000E-001, 1.2277509E+003, 1.4062899E+003, 1.3542295E+003, 1.1915521E+003, 1.0347815E+003, 8.4544923E+002, 2.7209559E+002, 3.0204072E+002, 3.8666140E+002, 4.6728474E+002, 4.8169996E+002, 4.2763430E+002,-2.0500000E+001, 1.6851629E-026, 5.6786122E-021, 3.2122893E-016, 6.5582777E-009, 1.3981833E-004, 3.5321008E-026, 1.9749822E-020, 2.2762809E-015, 6.1772982E-008, 1.2805502E-003
 9.9696970E-001, 1.4665303E+001, 1.7674023E+000,-2.0000000E-002, 1.2277509E+003, 1.4062899E+003, 1.3542295E+003, 1.1915521E+003, 1.0347815E+003, 8.4544923E+002, 2.7209559E+002, 3.0204072E+002, 3.8666140E+002, 4.6728474E+002, 4.8169996E+002, 4.2763430E+002,-2.0006024E+001, 1.6851629E-026, 5.6786122E-021, 3.2122893E-016, 6.5582777E-009, 1.3981833E-004, 3.5321008E-026, 1.9749822E-020, 2.2762809E-015, 6.1772982E-008, 1.2805502E-003
 1.4939394E+000, 1.4251352E+001, 2.6338479E+000, 4.6000000E-001, 1.2703895E+003, 1.4315720E+003, 1.3672418E+003, 1.1796984E+003, 1.0120500E+003, 8.3407032E+002, 2.6609819E+002, 3.1531863E+002, 3.8768532E+002, 4.6649137E+002, 4.8060941E+002, 4.2224921E+002,-1.9512048E+001, 7.4119501E-025, 2.6109018E-019, 2.8736654E-014, 1.9501272E-007, 6.5717610E-004, 1.6181776E-024, 9.8621533E-019, 2.3017368E-013, 1.7339450E-006, 5.4390395E-003
 1.9909091E+000, 1.1795650E+001, 2.7903693E+000, 9.4000000E-001, 1.3379048E+003, 1.4400835E+003, 1.3173702E+003, 1.1393119E+003, 9.7646264E+002, 8.1748689E+002, 2.6466055E+002, 3.4010800E+002, 4.1033928E+002, 4.7934291E+002, 4.8059363E+002, 4.1998711E+002,-1.9018072E+001, 7.4119501E-025, 2.6109018E-019, 2.8736654E-014, 1.9501272E-007, 6.5717610E-004, 1.6181776E-024, 9.8621533E-019, 2.3017368E-013, 1.7339450E-006, 5.4390395E-003
 2.4878788E+000, 1.0026496E+001, 2.8245148E+000, 1.4200000E+000, 1.3829628E+003, 1.3516987E+003, 1.2379826E+003, 1.0938560E+003, 9.3416436E+002, 7.9571154E+002, 3.0973945E+002, 3.9097883E+002, 4.6233839E+002, 4.9525379E+002, 4.7636133E+002, 4.1332545E+002,-1.8524096E+001, 3.7011325E-023, 1.1634638E-017, 2.6396550E-012, 4.2515964E-006, 1.4312503E-003, 9.0552370E-023, 5.1285717E-017, 2.2582777E-011, 3.5793850E-005, 8.8689175E-003
 2.9848485E+000, 8.8513463E+000, 2.8725038E+000, 1.9000000E+000, 1.2606385E+003, 1.2226937E+003, 1.1652494E+003, 1.0331385E+003, 8.8932047E+002, 7.7090296E+002, 4.0035132E+002, 4.5722955E+002, 5.0409930E+002, 5.0484869E+002, 4.7105272E+002, 4.0855863E+002,-1.8030120E+001, 3.7011325E-023, 1.1634638E-017, 2.6396550E-012, 4.2515964E-006, 1.4312503E-003, 9.0552370E-023, 5.1285717E-017, 2.2582777E-011, 3.5793850E-005, 8.8689175E-003
 3.4818182E+000, 8.0145216E+000, 2.9222777E+000, 2.3800000E+000, 1.0539381E+003, 1.0875381E+003, 1.0701685E+003, 9.4920958E+002, 8.4656448E+002, 7.4658518E+002, 4.5178401E+002, 4.9750397E+002, 5.2048597E+002, 4.9666188E+002, 4.6855726E+002, 4.0342833E+002,-1.7536145E+001, 2.0079835E-021, 5.4624583E-016, 1.7431766E-010, 6.3013627E-005, 3.1699291E-003, 5.4120464E-021, 2.9700896E-015, 1.5480953E-009, 5.0812925E-004, 1.4826207E-002
 3.9787879E+000, 7.3735048E+000, 2.9674214E+000, 2.8600000E+000, 8.8068527E+002, 9.7519554E+002, 9.6096624E+002, 8.6900981E+002, 8.0077938E+002, 7.1733870E+002, 4.6478771E+002, 5.0976716E+002, 5.2243303E+002, 4.8409193E+002, 4.5701833E+002, 3.9087328E+002,-1.7042169E+001, 2.0079835E-021, 5.4624583E-016, 1.7431766E-010, 6.3013627E-005, 3.1699291E-003, 5.4120464E-021, 2.9700896E-015, 1.5480953E-009, 5.0812925E-004, 1.4826207E-002
 4.4757576E+000, 6.8759441E+000, 3.0342652E+000, 3.3400000E+000, 7.7466902E+002, 8.7655065E+002, 8.6735248E+002, 7.9783538E+002, 7.5063287E+002, 6.8118752E+002, 4.6303177E+002, 4.9647916E+002, 5.1360619E+002, 4.6804518E+002, 4.4008970E+002, 3.6893992E+002,-1.6548193E+001, 1.1099653E-019, 4.5979747E-014, 8.6023445E-009, 5.4555523E-004, 5.2526235E-003, 3.4836000E-019, 2.7255609E-013, 7.6840248E-008, 4.2857259E-003, 2.3031340E-002
