s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.0595795E-003,-1.9980989E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0615776E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0080335E-001, 2.2390257E+000,-4.5841121E-001, 2.2390807E-002,-1.2213084E-001, 2.4573646E-004, 0.0000000E+000, 0.0000000E+000, 1.6453615E+000, 1.6811202E+000, 1.6868240E-002, 7.9015383E-005,-2.2047275E-110,-2.7720477E-098
 1.0000975E+000, 6.5767289E+000,-1.6100149E+000,-5.1844860E-001,-7.4462289E-002, 6.9268291E-004, 0.0000000E+000, 0.0000000E+000, 4.2519218E+000, 4.3744958E+000, 4.4278846E-002, 2.0486362E-004,-2.5451083E-095,-5.5074802E-087
 1.5002389E+000, 1.0948415E+001,-2.8638827E+000,-6.8662340E+000,-8.0589479E-002, 1.0246979E-003, 0.0000000E+000, 0.0000000E+000, 9.5115664E-001, 1.1387334E+000, 5.9511784E-002, 2.7522579E-004,-1.0348977E-088,-2.9124051E-081
 2.0000319E+000, 1.3225834E+001,-3.6253584E+000,-7.1938333E+000,-4.4610337E-002, 1.2943892E-003, 0.0000000E+000, 0.0000000E+000, 2.1202874E+000, 2.3633260E+000, 6.6273943E-002, 3.0646610E-004,-7.8525014E-085,-7.9285645E-078
 2.5004280E+000, 1.3815501E+001,-3.7625899E+000,-1.0530293E+001,-4.4635339E-002, 1.5274448E-003, 0.0000000E+000, 0.0000000E+000,-7.8600051E-001,-5.2049008E-001, 6.8956723E-002, 3.1885896E-004,-2.8311640E-082,-1.4624981E-075
 3.0002289E+000, 1.4389315E+001,-4.0999953E+000,-8.0843877E+000,-4.5258171E-002, 1.7572060E-003, 0.0000000E+000, 0.0000000E+000, 1.7842146E+000, 2.1614311E+000, 6.9972470E-002, 3.2355139E-004,-1.6902422E-080,-5.3667222E-074
 3.5002024E+000, 1.5102920E+001,-4.1171581E+000,-1.1116046E+001,-5.7480107E-002, 1.9678402E-003, 0.0000000E+000, 0.0000000E+000,-4.4343094E-001,-1.8579683E-001, 7.0349969E-002, 3.2529510E-004,-3.0923228E-079,-6.6984582E-073
 4.0002289E+000, 1.4475036E+001,-4.1348940E+000,-9.8343213E+000,-5.7113598E-002, 2.2060158E-003, 0.0000000E+000, 0.0000000E+000, 9.8884376E-002, 4.5091328E-001, 7.0489445E-002, 3.2593941E-004,-1.3984455E-077,-4.3554036E-071
 4.5001822E+000, 1.5017729E+001,-4.4590103E+000,-9.8616823E+000,-4.8818942E-002, 2.4036368E-003, 0.0000000E+000, 0.0000000E+000, 4.0860360E-001, 6.5062083E-001, 7.0540832E-002, 3.2617678E-004,-1.1041982E-073,-1.2183768E-067
 5.0003533E+000, 1.4603180E+001,-4.0918564E+000,-9.6105536E+000,-4.7331203E-002, 2.5361080E-003, 0.0000000E+000, 0.0000000E+000, 5.2319062E-001, 8.5597456E-001, 7.0559747E-002, 3.2626416E-004,-4.4177737E-070,-1.4424191E-064
 5.5001159E+000, 1.4882128E+001,-3.9690690E+000,-1.0580065E+001,-7.0151606E-002, 2.7053303E-003, 0.0000000E+000, 0.0000000E+000, 6.5887503E-003, 2.6554756E-001, 7.0566707E-002, 3.2629630E-004,-3.5437475E-067,-4.8967196E-062
 6.0001769E+000, 1.4784907E+001,-4.2366136E+000,-1.0652574E+001,-5.9350826E-002, 2.8564280E-003, 0.0000000E+000, 0.0000000E+000,-4.6502371E-001,-1.6077464E-001, 7.0569266E-002, 3.2630813E-004,-1.9863721E-064,-1.0197822E-059
 6.5004234E+000, 1.4521464E+001,-3.9297084E+000,-1.0765195E+001,-5.1173835E-002, 3.0696276E-003, 0.0000000E+000, 0.0000000E+000,-5.0399405E-001,-2.2154321E-001, 7.0570209E-002, 3.2631248E-004,-7.0669527E-062,-1.7715447E-057
 7.0004168E+000, 1.5285341E+001,-4.4248432E+000,-9.6115399E+000,-4.3802518E-002, 3.1852278E-003, 0.0000000E+000, 0.0000000E+000, 9.1022055E-001, 1.2083404E+000, 7.0570555E-002, 3.2631408E-004,-1.2147651E-059,-1.7535950E-055
 7.5003734E+000, 1.4539880E+001,-3.9799707E+000,-1.1031753E+001,-5.1016478E-002, 3.3650818E-003, 0.0000000E+000, 0.0000000E+000,-7.6456657E-001,-5.1949471E-001, 7.0570683E-002, 3.2631467E-004,-1.3275237E-057,-1.1534282E-053
 8.0000086E+000, 1.5164711E+001,-3.9925387E+000,-9.3254525E+000,-5.7609732E-002, 3.4732600E-003, 0.0000000E+000, 0.0000000E+000, 1.4501724E+000, 1.7925831E+000, 7.0570729E-002, 3.2631489E-004,-1.0040198E-055,-5.7615911E-052
 8.5004663E+000, 1.4694252E+001,-4.3149686E+000,-1.0595127E+001,-5.5747204E-002, 3.6143521E-003, 0.0000000E+000, 0.0000000E+000,-5.9241090E-001,-2.6797662E-001, 7.0570747E-002, 3.2631497E-004,-5.6570909E-054,-2.4191850E-050
 9.0004425E+000, 1.4932249E+001,-4.2131114E+000,-1.0232168E+001,-4.9368525E-002, 3.8393132E-003, 0.0000000E+000, 0.0000000E+000, 1.7797433E-001, 4.4143980E-001, 7.0570753E-002, 3.2631500E-004,-1.9441716E-052,-6.9101291E-049
 9.5001631E+000, 1.5004519E+001,-4.3261718E+000,-1.0283043E+001,-4.9642893E-002, 3.9395453E-003, 0.0000000E+000, 0.0000000E+000, 3.2912245E-002, 3.4960097E-001, 7.0570755E-002, 3.2631501E-004,-3.7064405E-051,-1.1637269E-047
 1.0000045E+001, 1.4546432E+001,-4.4428635E+000,-8.5671439E+000,-4.5577246E-002, 4.1980615E-003, 0.0000000E+000, 0.0000000E+000, 1.1057372E+000, 1.4950450E+000, 7.0570756E-002, 3.2631501E-004,-4.1211773E-050,-1.1824713E-046
 1.0500403E+001, 1.5086888E+001,-4.4022545E+000,-1.1012254E+001,-6.0007317E-002, 4.2381624E-003, 0.0000000E+000, 0.0000000E+000,-6.4407946E-001,-3.8338882E-001, 7.0570757E-002, 3.2631501E-004,-2.8900308E-049,-7.7299774E-046
 1.1000246E+001, 1.4487670E+001,-4.1549223E+000,-1.0381359E+001,-5.7925743E-002, 4.3883945E-003, 0.0000000E+000, 0.0000000E+000,-3.3159122E-001,-1.0214928E-001, 7.0570757E-002, 3.2631501E-004,-1.4671912E-048,-3.6835156E-045
 1.1500242E+001, 1.5029447E+001,-4.1205907E+000,-1.1825502E+001,-5.3442855E-002, 4.6045425E-003, 0.0000000E+000, 0.0000000E+000,-1.1805535E+000,-9.6548429E-001, 7.0570757E-002, 3.2631501E-004,-5.7853648E-048,-1.3742360E-044
 1.2000180E+001, 1.5308879E+001,-4.4676710E+000,-8.8365362E+000,-5.6707066E-002, 4.7320246E-003, 0.0000000E+000, 0.0000000E+000, 1.7139790E+000, 1.9526964E+000, 7.0570757E-002, 3.2631501E-004,-1.8355721E-047,-4.1681912E-044
 1.2500257E+001, 1.4530018E+001,-3.9982925E+000,-1.1212340E+001,-5.3201044E-002, 4.8604589E-003, 0.0000000E+000, 0.0000000E+000,-9.7831680E-001,-7.2895580E-001, 7.0570757E-002, 3.2631501E-004,-4.9413003E-047,-1.0841894E-043
 1.3000299E+001, 1.4849792E+001,-4.1187697E+000,-9.8625753E+000,-4.4334383E-002, 4.9593530E-003, 0.0000000E+000, 0.0000000E+000, 6.5170739E-001, 8.2907194E-001, 7.0570757E-002, 3.2631501E-004,-1.2145784E-046,-2.5976932E-043
 1.3500225E+001, 1.4562167E+001,-4.2888721E+000,-1.0347324E+001,-4.8154046E-002, 5.0784796E-003, 0.0000000E+000, 0.0000000E+000,-3.7775665E-001,-1.1710460E-001, 7.0570757E-002, 3.2631501E-004,-2.7412060E-046,-5.7569623E-043
 1.4000152E+001, 1.4941999E+001,-4.2364133E+000,-9.4751266E+000,-5.2183004E-002, 5.2998004E-003, 0.0000000E+000, 0.0000000E+000, 8.2225030E-001, 1.1835759E+000, 7.0570757E-002, 3.2631501E-004,-5.4696035E-046,-1.1311698E-042
