cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 2.8178256E+001, 4.3736754E+000,-5.0000000E-001, 1.2418166E+003, 1.3479491E+003, 1.0494407E+003, 8.2097185E+002, 6.5838407E+002, 5.5843265E+002, 2.2920134E+002, 2.8155339E+002, 4.2197793E+002, 3.9055831E+002, 3.1639011E+002, 2.4717705E+002,-2.0500000E+001, 2.2277442E-021, 8.5896381E-017, 9.6105473E-012, 9.7413883E-006, 2.7382998E-005, 7.3400643E-021, 1.1698098E-016, 1.4583815E-011, 1.0427431E-004, 2.2366210E-004
 9.9696970E-001, 2.8178256E+001, 4.3736754E+000,-2.0000000E-002, 1.2418166E+003, 1.3479491E+003, 1.0494407E+003, 8.2097185E+002, 6.5838407E+002, 5.5843265E+002, 2.2920134E+002, 2.8155339E+002, 4.2197793E+002, 3.9055831E+002, 3.1639011E+002, 2.4717705E+002,-2.0006024E+001, 2.2277442E-021, 8.5896381E-017, 9.6105473E-012, 9.7413883E-006, 2.7382998E-005, 7.3400643E-021, 1.1698098E-016, 1.4583815E-011, 1.0427431E-004, 2.2366210E-004
 1.4939394E+000, 2.1123460E+001, 4.8319185E+000, 4.6000000E-001, 1.3213970E+003, 1.3653040E+003, 1.1161762E+003, 8.2871038E+002, 6.4425986E+002, 5.3998862E+002, 2.6400813E+002, 3.3226631E+002, 4.1780980E+002, 3.7929675E+002, 3.1321678E+002, 2.3882425E+002,-1.9512048E+001, 1.0135302E-021, 5.1512419E-015, 8.1908821E-010, 1.5319813E-004, 3.5773924E-004, 3.3879557E-021, 9.6716780E-015, 1.3702981E-009, 1.6551208E-003, 2.8914353E-003
 1.9909091E+000, 1.5925318E+001, 4.3120958E+000, 9.4000000E-001, 1.3152380E+003, 1.1776344E+003, 1.0141493E+003, 7.7385754E+002, 6.0845869E+002, 5.1679391E+002, 2.9934888E+002, 3.6049872E+002, 3.8982535E+002, 3.6988920E+002, 3.1082160E+002, 2.3473575E+002,-1.9018072E+001, 1.0135302E-021, 5.1512419E-015, 8.1908821E-010, 1.5319813E-004, 3.5773924E-004, 3.3879557E-021, 9.6716780E-015, 1.3702981E-009, 1.6551208E-003, 2.8914353E-003
 2.4878788E+000, 1.3159806E+001, 4.1565035E+000, 1.4200000E+000, 1.0198391E+003, 9.5422498E+002, 8.6536122E+002, 6.9193410E+002, 5.6565591E+002, 4.9609715E+002, 3.1717192E+002, 3.6111653E+002, 3.8661307E+002, 3.6895116E+002, 3.1236430E+002, 2.3553437E+002,-1.8524096E+001, 4.7588907E-022, 6.5087233E-013, 5.2192000E-008, 8.7413622E-004, 1.1134854E-003, 1.5751922E-021, 1.3534709E-012, 9.4072459E-008, 9.0751243E-003, 7.0116793E-003
 2.9848485E+000, 1.1523723E+001, 4.1367683E+000, 1.9000000E+000, 8.3145050E+002, 8.5834705E+002, 7.5738935E+002, 6.1997397E+002, 5.3133633E+002, 4.8805859E+002, 3.3236607E+002, 3.6666297E+002, 3.8453556E+002, 3.6642663E+002, 3.1770556E+002, 2.4999778E+002,-1.8030120E+001, 4.7588907E-022, 6.5087233E-013, 5.2192000E-008, 8.7413622E-004, 1.1134854E-003, 1.5751922E-021, 1.3534709E-012, 9.4072459E-008, 9.0751243E-003, 7.0116793E-003
 3.4818182E+000, 1.0388213E+001, 4.1505429E+000, 2.3800000E+000, 7.4929209E+002, 8.2260804E+002, 6.9572993E+002, 5.7555622E+002, 5.1514707E+002, 4.9407651E+002, 3.6434338E+002, 3.8050108E+002, 3.9144311E+002, 3.6422932E+002, 3.2528817E+002, 2.7598040E+002,-1.7536145E+001, 7.0494970E-022, 9.0231801E-011, 2.9268209E-006, 2.0604102E-003, 1.9580741E-003, 6.9036751E-022, 1.8961683E-010, 5.7839562E-006, 1.8403823E-002, 1.0807595E-002
 3.9787879E+000, 9.5562610E+000, 4.1656617E+000, 2.8600000E+000, 7.3725390E+002, 7.7891041E+002, 6.7011481E+002, 5.5501039E+002, 5.1690945E+002, 5.0968594E+002, 4.3576880E+002, 4.1388099E+002, 4.0998908E+002, 3.6133124E+002, 3.3652530E+002, 3.0685620E+002,-1.7042169E+001, 7.0494970E-022, 9.0231801E-011, 2.9268209E-006, 2.0604102E-003, 1.9580741E-003, 6.9036751E-022, 1.8961683E-010, 5.7839562E-006, 1.8403823E-002, 1.0807595E-002
 4.4757576E+000, 8.8451104E+000, 4.1637007E+000, 3.3400000E+000, 7.4475327E+002, 7.6596692E+002, 6.5919426E+002, 5.4883390E+002, 5.2829853E+002, 5.2173141E+002, 4.6883690E+002, 4.5770050E+002, 4.3089949E+002, 3.6278069E+002, 3.5349900E+002, 3.2925614E+002,-1.6548193E+001, 1.8181297E-020, 9.9347527E-009, 9.3730352E-005, 3.7598908E-003, 3.3590309E-003, 1.3222167E-020, 2.0951251E-008, 2.0393101E-004, 2.3134825E-002, 1.5217914E-002
