s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755882E-001
 1.0001862E+000, 2.0755882E-001
 2.0002549E+000, 2.0755882E-001
 3.0002024E+000, 2.0755882E-001
 4.0000854E+000, 2.0755882E-001
 5.0003456E+000, 2.0755882E-001
 6.0003618E+000, 2.0753651E-001
 7.0002703E+000, 2.0218890E-001
 8.0002367E+000, 1.9675401E-001
 9.0002750E+000, 1.9159954E-001
 1.0000327E+001, 1.8671671E-001
 1.1000281E+001, 1.8209676E-001
 1.2000237E+001, 1.7770039E-001
 1.3000217E+001, 1.7350944E-001
 1.4000101E+001, 1.6951687E-001
 1.5000384E+001, 1.6570635E-001
 1.6000106E+001, 1.6206574E-001
 1.7000261E+001, 1.5858349E-001
 1.8000400E+001, 1.5525731E-001
 1.9000306E+001, 1.5206599E-001
 2.0000366E+001, 1.4900532E-001
 2.1000311E+001, 1.4606179E-001
 2.2000099E+001, 1.4323731E-001
 2.3000408E+001, 1.4052715E-001
 2.4000211E+001, 1.3791299E-001
 2.5000150E+001, 1.3539554E-001
 2.6000190E+001, 1.3297381E-001
 2.7000134E+001, 1.3063093E-001
 2.8000394E+001, 1.2837460E-001
 2.9000211E+001, 1.2619725E-001
 3.0000420E+001, 1.2409226E-001
 3.1000234E+001, 1.2205525E-001
 3.2000167E+001, 1.2008606E-001
 3.3000236E+001, 1.1817696E-001
 3.4000021E+001, 1.1632682E-001
 3.5000061E+001, 1.1454113E-001
 3.6000330E+001, 1.1280819E-001
 3.7000357E+001, 1.1112532E-001
 3.8000033E+001, 1.0949286E-001
 3.9000084E+001, 1.0790843E-001
 4.0000322E+001, 1.0636950E-001
 4.1000458E+001, 1.0487287E-001
 4.2000397E+001, 1.0341857E-001
 4.3000568E+001, 1.0200544E-001
 4.4000671E+001, 1.0063095E-001
 4.5000037E+001, 9.9292292E-002
 4.6000768E+001, 9.7986939E-002
 4.7001058E+001, 9.6717493E-002
 4.8001878E+001, 9.5482472E-002
 4.9000084E+001, 9.4277532E-002
 5.0001276E+001, 9.3102514E-002
 5.1001151E+001, 9.1955863E-002
 5.2001026E+001, 9.0839412E-002
 5.3000901E+001, 8.9746177E-002
 5.4000775E+001, 8.8685290E-002
 5.5000650E+001, 8.7643423E-002
 5.6000525E+001, 8.6627000E-002
 5.7000400E+001, 8.5635697E-002
 5.8001156E+001, 8.4665346E-002
 5.9001783E+001, 8.3720554E-002
 6.0000591E+001, 8.2791706E-002
 6.1001218E+001, 8.1885215E-002
 6.2001507E+001, 8.0998647E-002
 6.3000788E+001, 8.0131910E-002
 6.4000069E+001, 7.9282624E-002
 6.5000000E+001, 7.8452226E-002
