s,mol/mol,C
Time,"XO2","TBURNER"
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0005411E+000, 2.0755882E-001, 3.1354649E+001
 2.0001451E+000, 2.0755882E-001, 4.0024248E+001
 3.0000347E+000, 2.0755882E-001, 4.3008405E+001
 4.0000161E+000, 2.0755882E-001, 4.5672176E+001
 5.0003641E+000, 2.0755882E-001, 4.8274532E+001
 6.0004422E+000, 2.0753047E-001, 5.0648919E+001
 7.0001446E+000, 2.0248223E-001, 5.2920802E+001
 8.0005233E+000, 1.9704062E-001, 5.4408511E+001
 9.0001166E+000, 1.9188369E-001, 5.5273189E+001
 1.0000096E+001, 1.8700773E-001, 5.5865609E+001
 1.1000816E+001, 1.8235980E-001, 5.6241022E+001
 1.2000682E+001, 1.7798476E-001, 5.6038118E+001
 1.3000238E+001, 1.7370507E-001, 5.5298201E+001
 1.4000028E+001, 1.6971387E-001, 5.4691110E+001
 1.5000073E+001, 1.6590502E-001, 5.4113378E+001
 1.6000620E+001, 1.6226755E-001, 5.3300699E+001
 1.7000239E+001, 1.5877093E-001, 5.2459259E+001
 1.8000576E+001, 1.5542606E-001, 5.1569484E+001
 1.9000368E+001, 1.5223217E-001, 5.0683177E+001
 2.0000192E+001, 1.4914523E-001, 4.9897971E+001
 2.1000634E+001, 1.4621549E-001, 4.9132833E+001
 2.2000278E+001, 1.4337481E-001, 4.8235492E+001
 2.3000807E+001, 1.4062398E-001, 4.7383306E+001
 2.4000044E+001, 1.3846304E-001, 4.6557017E+001
 2.5000702E+001, 1.3561414E-001, 4.5698294E+001
 2.6000198E+001, 1.3307145E-001, 4.4759502E+001
 2.7000235E+001, 1.3071984E-001, 4.3836362E+001
 2.8000663E+001, 1.2847742E-001, 4.2957995E+001
 2.9000449E+001, 1.2628465E-001, 4.2155080E+001
 3.0000875E+001, 1.2417488E-001, 4.1351190E+001
 3.1001044E+001, 1.2213487E-001, 4.0612163E+001
 3.2000185E+001, 1.2016083E-001, 3.9960130E+001
 3.3000389E+001, 1.1824196E-001, 3.9370740E+001
 3.4001136E+001, 1.1636605E-001, 3.8834699E+001
 3.5000064E+001, 1.1461163E-001, 3.8351353E+001
 3.6001458E+001, 1.1287490E-001, 3.7909231E+001
 3.7001513E+001, 1.1118507E-001, 3.7501121E+001
 3.8001646E+001, 1.0954832E-001, 3.7122057E+001
 3.9000091E+001, 1.0797375E-001, 3.6767389E+001
 4.0000021E+001, 1.0643287E-001, 3.6432358E+001
 4.1000255E+001, 1.0493033E-001, 3.6113648E+001
 4.2000979E+001, 1.0346369E-001, 3.5809933E+001
 4.3001498E+001, 1.0204962E-001, 3.5522556E+001
 4.4000418E+001, 1.0067851E-001, 3.5250836E+001
 4.5001589E+001, 9.9301547E-002, 3.4992972E+001
 4.6000226E+001, 9.8019521E-002, 3.4747041E+001
 4.7000698E+001, 9.6793670E-002, 3.4511894E+001
 4.8001250E+001, 9.5502748E-002, 3.4287208E+001
 4.9000374E+001, 9.4304300E-002, 3.4071521E+001
 5.0000433E+001, 9.3138917E-002, 3.3864696E+001
 5.1000805E+001, 9.1993742E-002, 3.3666251E+001
 5.2001022E+001, 9.0897177E-002, 3.3475433E+001
 5.3000734E+001, 8.9763006E-002, 3.3292126E+001
 5.4000049E+001, 8.8693577E-002, 3.3114887E+001
 5.5000070E+001, 8.7660272E-002, 3.2944181E+001
 5.6000524E+001, 8.6655016E-002, 3.2779502E+001
 5.7000054E+001, 8.5667036E-002, 3.2620629E+001
 5.8001196E+001, 8.4695787E-002, 3.2467314E+001
 5.9000990E+001, 8.3743441E-002, 3.2318945E+001
 6.0000706E+001, 8.2816654E-002, 3.2175303E+001
 6.1000762E+001, 8.1903943E-002, 3.2036182E+001
 6.2000832E+001, 8.1019730E-002, 3.1901482E+001
 6.3000206E+001, 8.0239854E-002, 3.1771408E+001
 6.4000249E+001, 7.9298830E-002, 3.1645087E+001
 6.5000000E+001, 7.8463171E-002, 3.1522579E+001
