Time                   ,Chi_r               
0,0
0.003597122,-9.05947E-07
0.007911805,-6.28512E-16
0.013084954,-4.51888E-16
0.02050638,-1.01992E-17
0.024758873,-8.36884E-18
0.030878667,-8.283E-18
0.034882793,-8.68365E-18
0.039684648,-8.43313E-18
0.044417773,-7.59332E-18
0.048753365,-7.09683E-18
0.056368273,0.333630313
0.059876883,0.345776956
0.06336075,0.362680394
0.070304052,0.372948047
0.073722704,0.368114623
0.080384739,0.350252779
0.08366667,0.340531825
0.09021558,0.323015192
0.096103086,0.305426087
0.098851907,0.29784338
0.104159475,0.281256278
0.109329542,0.256811271
0.114452094,0.330881537
0.119555915,0.312078789
0.124463774,0.297145079
0.12917457,0.285301695
0.135930356,0.271525038
0.140383726,0.262343243
0.144732471,0.254538028
0.148975179,0.24759876
0.155126282,0.235983421
0.159116363,0.328589954
0.165012696,0.315251536
0.170905862,0.305819989
0.174838353,0.298663525
0.180595704,0.290345758
0.184386058,0.284492458
0.189824806,0.275697904
0.195019122,0.267783122
0.200071313,0.322481707
0.204975101,0.315572645
0.209739696,0.305929033
0.21433685,0.295891399
0.220222243,0.284222332
0.224439632,0.280454352
0.229839374,0.318574823
0.234998629,0.307433376
0.239987383,0.296844054
0.244785663,0.289330918
0.249428255,0.282226558
0.254949215,0.317900823
0.260189598,0.306240474
0.265346008,0.29793217
0.270202508,0.295311507
0.274906729,0.320182467
0.27962733,0.315379809
0.285142813,0.316842075
0.28969671,0.319675954
0.294889139,0.322908843
0.299875937,0.31820698
0.304918407,0.318780259
0.309843402,0.323775669
0.314829632,0.318567346
0.319828778,0.31616977
0.324947659,0.322202532
0.329805636,0.318924251
0.334616543,0.318684098
0.339976461,0.322792442
0.345288924,0.314674951
0.350133662,0.312863996
0.355100856,0.308201823
0.360231794,0.306324473
0.364916632,0.306680099
0.369630692,0.30040355
0.374952986,0.310438396
0.38012633,0.310070389
0.384626583,0.303229268
0.389991165,0.322761925
0.395365616,0.321318109
0.399895885,0.327188322
0.405197688,0.32250267
0.410147073,0.334480256
0.415080844,0.34382258
0.419706376,0.328087856
0.42498942,0.342339242
0.430037098,0.323443207
0.434997741,0.33816354
0.439970492,0.348234386
0.444830733,0.324600251
0.449984369,0.331830176
0.455222966,0.320676342
0.460097485,0.320955251
0.46488514,0.322728051
0.470326537,0.319841387
0.475058082,0.313489299
0.479880359,0.314190657
0.484667127,0.317489992
0.490252955,0.31199909
0.495079594,0.320020865
0.499924621,0.312496541
0.504750307,0.309519692
0.510187155,0.318805739
0.514857072,0.308353124
0.520037242,0.306237428
0.5249387,0.314926012
0.529870872,0.31783911
0.535251535,0.321385803
0.539986928,0.320704526
0.544945405,0.32435775
0.549927644,0.322489877
0.555112157,0.331516249
0.560220176,0.321110253
0.564992435,0.329413188
0.570146681,0.328403176
0.574839601,0.33025337
0.580097183,0.320843517
0.584903001,0.325354293
0.589814546,0.325524443
0.594940341,0.324759748
0.600154406,0.320797678
0.60488905,0.320312582
0.610201729,0.320647845
0.6149648,0.319315045
0.620117316,0.320856503
0.625008143,0.323363336
0.630122345,0.322440808
0.635150768,0.321768984
0.640181553,0.317384353
0.645096281,0.314100125
0.650121786,0.317393516
0.655159115,0.321332396
0.659905154,0.318119765
0.664753809,0.3206888
0.670174681,0.316899662
0.675020213,0.31862287
0.679810984,0.309640013
0.684963787,0.317145285
0.690109542,0.305981847
0.694775176,0.317451353
0.700161199,0.315228458
0.704956047,0.32358419
0.710166847,0.328438468
0.714956024,0.326072226
0.719818475,0.321563961
0.725091917,0.32387676
0.729878385,0.321923153
0.73493303,0.321944937
0.739936943,0.318136777
0.74493636,0.32122955
0.74988524,0.316583409
0.754833508,0.319476487
0.760187655,0.314263827
0.765129818,0.315290726
0.769956277,0.320080141
0.775021609,0.312562076
0.780111729,0.316009895
0.785152902,0.31893417
0.789999217,0.315533924
0.794913616,0.315648068
0.799993415,0.316340773
0.8050014,0.31849502
0.810032714,0.320197557
0.815073747,0.317490675
0.819878625,0.320587308
0.825063932,0.32106132
0.829892588,0.319399864
0.835093359,0.320558081
0.839909585,0.319713608
0.844998505,0.320194405
0.84984069,0.320446683
0.855116404,0.321910935
0.860180919,0.320800274
0.864991274,0.320596132
0.870112749,0.322581073
0.875145552,0.320698873
0.880069968,0.320588872
0.884953224,0.320167957
0.889859406,0.321211997
0.895013611,0.322595413
0.90006714,0.321037626
0.905096535,0.329080648
0.909887375,0.327598424
0.915078519,0.327406235
0.919960385,0.326208779
0.925146925,0.322374041
0.930080012,0.326609021
0.934948824,0.322578763
0.9400744,0.319840832
0.945025164,0.320934873
0.949907911,0.321699068
0.95486698,0.321693675
0.95996539,0.325091084
0.964959114,0.323573182
0.969901301,0.323501669
0.975104554,0.322259198
0.979867628,0.321789106
0.985010878,0.326590863
0.989883418,0.322568774
0.995088435,0.321412476
1.000004371,0.321396747
1.005004158,0.324241927
1.01009241,0.32336638
1.014917103,0.322872987
1.020117174,0.321049894
1.025103234,0.324352126
1.029827071,0.321779178
1.034970685,0.320836562
1.040145457,0.319257802
1.045108845,0.31958969
1.049988894,0.321613495
1.055054844,0.318799917
1.059862358,0.321772341
1.064883246,0.320581246
1.070004353,0.320411881
1.075125898,0.31736972
1.080096071,0.32038454
1.085127848,0.320059442
1.089922945,0.319409566
1.09488095,0.319411606
1.099961019,0.317199093
1.104979654,0.32095996
1.109912231,0.319887748
1.114797926,0.321556946
1.120175351,0.320878108
1.124921562,0.322344957
1.129905665,0.319039334
1.135047996,0.319021108
1.140204466,0.319940336
1.144905741,0.319210663
1.150144654,0.319463902
1.155182637,0.318818291
1.160224615,0.319680686
1.164860942,0.319323049
1.169909112,0.319446801
1.17506724,0.319713398
1.179962355,0.320786875
1.185038012,0.31993367
1.190100456,0.31787182
1.194923361,0.316269316
1.199804343,0.319016806
1.2050077,0.318918482
1.209806094,0.318190617
1.215059244,0.318590783
1.219952167,0.319467049
1.224896692,0.318955858
1.230173726,0.320144856
1.234926516,0.322527442
1.239963852,0.322966947
1.244916833,0.320085041
1.250128977,0.325976521
1.255086048,0.323547538
1.260075796,0.320732609
1.264902593,0.323114381
1.270036176,0.320445724
1.274986681,0.320889555
1.279856465,0.318825429
1.284984858,0.32011435
1.290152952,0.321719645
1.294976719,0.321453022
1.299849147,0.32188368
1.304980335,0.322248414
1.30999412,0.322195343
1.314901805,0.321001062
1.320023855,0.318517527
1.325100483,0.321256995
1.329872852,0.320982668
1.335137443,0.321337222
1.339898584,0.321865142
1.345087388,0.319626047
1.350028932,0.322882755
1.354893632,0.32401194
1.359839565,0.324003084
1.365060342,0.321380192
1.369881259,0.324851182
1.374821629,0.321640345
1.379894121,0.319797327
1.384999235,0.322340996
1.389881703,0.320931546
1.395082856,0.3186734
1.400035074,0.318764412
1.405089325,0.318592746
1.410139732,0.317284474
1.414802547,0.319910191
1.419856373,0.319667058
1.425111559,0.317768067
1.430078571,0.314205552
1.434966031,0.314680812
1.440135424,0.319845372
1.444836494,0.312075652
1.44986248,0.318018652
1.454915145,0.315380049
1.460020228,0.318175029
1.465196489,0.314228121
1.470094544,0.316954925
1.475221616,0.319645022
1.479924423,0.317429616
1.484916106,0.318657735
1.490215475,0.31977142
1.495133415,0.318255039
1.50010596,0.315783129
1.504968093,0.317989425
1.510149281,0.314507071
1.514886103,0.317658245
1.520171866,0.319409457
1.525112165,0.31748933
1.530027754,0.318176682
1.534895213,0.317317871
1.540212994,0.3192393
1.5450904,0.320880414
1.549900083,0.319960455
1.554925921,0.319546487
1.559850995,0.321720097
1.565152817,0.320825258
1.569876258,0.327547689
1.575077131,0.327117859
1.579829704,0.324690758
1.584971246,0.339017876
1.589969395,0.333265671
1.594892557,0.324560348
1.59991777,0.320678152
1.60506153,0.329079612
1.60996652,0.325596149
1.615004309,0.320854745
1.619921429,0.324773007
1.625079188,0.322185091
1.629823799,0.320921384
1.635145357,0.320569155
1.639816469,0.318159227
1.64516427,0.320844259
1.649829504,0.318367562
1.654846938,0.318299387
1.659914833,0.31360152
1.664844501,0.31464953
1.669834925,0.320791704
1.674991331,0.31458157
1.680150891,0.318649807
1.68513087,0.318695734
1.690046319,0.316894917
1.695090172,0.315648157
1.699975743,0.320389583
1.705140361,0.312444483
1.709935929,0.319821969
1.715214906,0.315109267
1.720147599,0.318048808
1.72512398,0.313703647
1.730026367,0.317936245
1.734960805,0.319741663
1.739878979,0.311147094
1.74487315,0.317769041
1.749984258,0.313583867
1.75503055,0.314712698
1.760173408,0.319912386
1.765043059,0.318057
1.770131521,0.320944145
1.775029125,0.31987397
1.779943402,0.319560089
1.784852436,0.318854399
1.789792045,0.314847711
1.794777598,0.319307158
1.800186499,0.317406866
1.804807181,0.31832668
1.809983466,0.31382829
1.814936973,0.317425494
1.820122804,0.319529247
1.824872749,0.321634725
1.830121717,0.320117254
1.834797623,0.32340663
1.839807041,0.321176357
1.844875009,0.332087947
1.849841549,0.325889519
1.855033392,0.321230785
1.859838436,0.327069459
1.864910917,0.327776734
1.869956302,0.323011938
1.875110675,0.339716866
1.880002294,0.334091281
1.884977589,0.324406742
1.890133848,0.339200656
1.895029921,0.325366433
1.899963489,0.320623166
1.904951185,0.324622317
1.909907186,0.321318218
1.915162819,0.321168325
1.920141154,0.321089692
1.924957909,0.321172096
1.930186787,0.316259958
1.934852025,0.320541578
1.940152521,0.316712266
1.94495342,0.318659621
1.950215818,0.321821115
1.955000146,0.313871229
1.959947726,0.321126522
1.965001961,0.314523424
1.970085139,0.318479354
1.974856067,0.313524064
1.980011919,0.3174726
1.984825328,0.320246377
1.989872825,0.314418517
1.995033408,0.323755
1.999810091,0.322057707
2.004977157,0.323235728
2.009954552,0.322934751
2.015072701,0.321646579
2.019984172,0.321972589
2.024915319,0.320458939
2.029918389,0.320669036
2.035185085,0.319792647
2.040171849,0.317435981
2.045078654,0.319616162
2.050027162,0.319769706
2.055158499,0.317891843
2.059840706,0.316045377
2.064886649,0.318918783
2.070074047,0.313196861
2.075078302,0.314777856
2.080074525,0.308662042
2.085099939,0.311740681
2.089776852,0.305321887
2.094774202,0.310834554
2.09984827,0.306160521
2.104892519,0.311560236
2.109985226,0.319644906
2.115048222,0.309850804
2.119821589,0.317331054
2.124898615,0.31047215
2.129836149,0.317105068
2.134824864,0.320289499
2.140040998,0.324125325
2.145164828,0.323806778
2.149917247,0.3214431
2.15485001,0.329505254
2.160044783,0.328286089
2.165008706,0.324248988
2.169845749,0.319870583
2.175018954,0.329482184
2.179894088,0.322729598
2.184840883,0.329721423
2.189983864,0.324743869
2.19501632,0.320371583
2.200097329,0.327060687
2.204884405,0.323575009
2.209847794,0.32992896
2.214961915,0.324793727
2.220046229,0.321112222
2.225037924,0.323246879
2.229861253,0.320813019
2.23481829,0.321025713
2.240020088,0.320948289
2.244850145,0.321146924
2.250027464,0.323220884
2.2549768,0.319135166
2.259891427,0.32098961
2.264984792,0.317021349
2.269956056,0.320306087
2.275078872,0.321328544
2.279938524,0.32137668
2.284833973,0.319252803
2.289835117,0.322232472
2.294915981,0.322517785
2.300006035,0.323511943
2.304941267,0.321374007
2.310074855,0.326186318
2.31515014,0.321813342
2.320064993,0.320867154
2.324821867,0.3215615
2.330150381,0.320124209
2.334790288,0.320114589
2.339870007,0.322184534
2.345042144,0.321715039
2.350186032,0.321684355
2.355044702,0.320404302
2.359809566,0.320957157
2.365042883,0.320098092
2.370181839,0.318854847
2.375179303,0.319605091
2.380006447,0.319950188
2.384997343,0.316264942
2.390048512,0.319228347
2.395070433,0.314231351
2.399989872,0.315989839
2.404849105,0.312261714
2.410019536,0.315147531
2.415026519,0.306985038
2.420063185,0.315021849
2.424973188,0.308976895
2.430023258,0.313058782
2.435167428,0.318881601
2.440051069,0.312166868
2.444981899,0.318384562
2.449970216,0.310047185
2.454920818,0.318756427
2.459785753,0.30856749
2.464890562,0.317916423
2.470075826,0.311530376
2.474919167,0.31883246
2.480053233,0.320995008
2.485068594,0.325265973
2.48996052,0.32429012
2.49483916,0.332857164
2.499811259,0.327420737
2.504958411,0.322481482
2.510176421,0.335212982
2.514969191,0.329120738
2.520100548,0.322786018
2.524887796,0.338048988
2.530063187,0.325445045
2.535165113,0.320325602
2.540060241,0.330564164
2.54495003,0.323910329
2.550022461,0.321271388
2.555099499,0.32675309
2.559942002,0.320572355
2.564917219,0.319397466
2.570027693,0.321962561
2.575123669,0.320935235
2.580178461,0.320401734
2.58490237,0.32074438
2.589787579,0.315332576
2.595140093,0.317138819
2.600006934,0.310397586
2.605213859,0.318043927
2.610065528,0.320535929
2.614874614,0.317463907
2.620085746,0.319299071
2.624983901,0.314547262
2.630200717,0.319431539
2.634831832,0.315103336
2.639966142,0.317893032
2.644886948,0.321497316
2.650224708,0.321230207
2.655141016,0.321396905
2.659882499,0.31962077
2.665021226,0.3191806
2.67002253,0.318758265
2.674895201,0.319829882
2.679994688,0.319623741
2.684855763,0.318242364
2.690130954,0.320459934
2.694983452,0.316734722
2.699862132,0.320308889
2.705094751,0.317081248
2.710206349,0.319405614
2.715178664,0.308738886
2.71992577,0.316090236
2.724986753,0.308062758
2.730161726,0.312951749
2.735198502,0.320130845
2.739863955,0.313563281
2.745097086,0.317749987
2.750015211,0.313492677
2.755051225,0.317763339
2.759891197,0.319855731
2.764976421,0.315273823
2.770036331,0.317975327
2.775173799,0.32023694
2.779914323,0.319273695
2.784884332,0.322463026
2.790029178,0.322809756
2.79485637,0.328247692
2.800123416,0.329555465
2.805155253,0.330966208
2.810018837,0.326768677
2.814876301,0.35540217
2.820035084,0.342679011
2.824923029,0.329553309
2.829874866,0.323560654
2.835041096,0.321843948
2.840082743,0.323808814
2.845019659,0.321834683
2.849830754,0.32160052
2.855095564,0.321936195
2.859919282,0.321846506
2.86482895,0.321864688
2.869911447,0.322753001
2.875025554,0.323547195
2.880164128,0.333176477
2.885063383,0.327731551
2.889944842,0.337487217
2.894970123,0.329505048
2.899918204,0.3214935
2.904853838,0.323582301
2.910122505,0.320375515
2.914820921,0.318369237
2.920164894,0.320750728
2.924797063,0.317500021
2.930035641,0.317416357
2.934824786,0.310846617
2.939995608,0.316417668
2.945034826,0.320317456
2.949956904,0.316140921
2.954952522,0.319163518
2.960039612,0.314890332
2.964950469,0.318539257
2.970191033,0.311129687
2.974859617,0.317841275
2.979947343,0.312035867
2.985184477,0.319301883
2.989793458,0.319621132
2.995157256,0.317345194
2.999810328,0.318647757
3.005212737,0.316628407
3.010124276,0.319200987
3.014883631,0.313880141
3.019978801,0.310753982
3.024960628,0.318296439
3.030075014,0.310430355
3.034794382,0.313519497
3.039949682,0.308229725
3.044847208,0.313500842
3.049799918,0.309916106
3.054781503,0.313979942
3.06017421,0.307632333
3.064886141,0.3138216
3.070004974,0.319361396
3.075189066,0.314645756
3.079876908,0.319144834
3.084915416,0.315632958
3.090111972,0.320509336
3.094796716,0.318672198
3.099888828,0.319984039
3.104985828,0.318379424
3.110002685,0.32117572
3.114954524,0.320202586
3.11988039,0.323577467
3.124814395,0.323097623
3.13006322,0.319890077
3.134914377,0.327111015
3.140151808,0.325264409
3.144878808,0.337184324
3.149975653,0.32832713
3.155012398,0.321785935
3.159936091,0.328628905
3.164942548,0.326181439
3.170118685,0.323011068
3.175130243,0.32145356
3.179952438,0.324224037
3.184862927,0.321252908
3.18983688,0.321773914
3.19490144,0.321243724
3.199872863,0.319669
3.204975178,0.320817425
3.209833645,0.321058638
3.215108752,0.316817219
3.219972134,0.319377881
3.225004837,0.321009704
3.230111861,0.319529154
3.235048547,0.320935059
3.240135247,0.321239371
3.245080183,0.320569811
3.250113393,0.323686266
3.254833047,0.320799544
3.260138015,0.323151449
3.264990754,0.321747255
3.269989573,0.320497733
3.275031792,0.322174288
3.279816334,0.323591093
3.284914194,0.320198633
3.290108567,0.322935757
3.295095316,0.320576205
3.299932741,0.319144695
3.305113592,0.317808902
3.310164909,0.319244768
3.31486106,0.315025792
3.319880733,0.316713408
3.324816571,0.312508965
3.329890313,0.313980667
3.334978817,0.319489315
3.339878668,0.31413865
3.344973292,0.318274542
3.350062053,0.314701137
3.354976467,0.317399694
3.360177978,0.312440862
3.365075311,0.318815632
3.370042652,0.316885731
3.374907536,0.315407099
3.380034636,0.311180498
3.384908817,0.314084999
3.390012835,0.3188196
3.394983489,0.315473057
3.399945567,0.317546501
3.404946077,0.315684443
3.40993015,0.32310178
3.415165432,0.320689
3.41988276,0.327889283
3.425179368,0.325476991
3.430053301,0.320995278
3.4349599,0.335318987
3.439902048,0.328618594
3.445170505,0.320957648
3.449990383,0.329950008
3.455058877,0.325203144
3.460038137,0.32215682
3.464991328,0.327736906
3.470110617,0.325453618
3.474900647,0.321670959
3.480003903,0.321671693
3.485108919,0.321857678
3.489862843,0.321165796
3.494959553,0.318427418
3.500070992,0.318096288
3.504921389,0.319961752
3.510115538,0.314570034
3.514881512,0.320411286
3.520027817,0.321708972
3.524843974,0.319552359
3.529872463,0.319742049
3.534917778,0.321382617
