XO2                    ,eta
0.21007194,1.026206253
0.21007194,1.025911993
0.21007194,1.025688727
0.21007194,1.025568254
0.21007194,1.025599128
0.21007194,1.025719403
0.21007194,1.025869941
0.21007194,1.026061098
0.21007194,1.026245636
0.21007194,1.026421347
0.21007194,1.026554438
0.21007194,1.026646801
0.21007194,1.026720694
0.21007194,1.026769221
0.21007194,1.026815576
0.21007194,1.026900691
0.21007194,1.026992897
0.21007194,1.027083041
0.21007194,1.027174506
0.21007194,1.027243781
0.21007194,1.027286812
0.21007194,1.027350557
0.21007194,1.027415002
0.21007194,1.027493074
0.21007194,1.027563209
0.21007194,1.027659434
0.21007194,1.027848591
0.21007194,1.028120469
0.21007194,1.028530009
0.21007194,1.029060765
0.21007194,1.029759885
0.21007194,1.030677324
0.21007194,1.031729481
0.21007194,1.032935592
0.21007194,1.034096534
0.21007194,1.035127663
0.21007194,1.035920848
0.21007194,1.036429237
0.21007194,1.036690155
0.21007194,1.036614759
0.21007194,1.036216113
0.21007194,1.035568328
0.21007194,1.034656808
0.21007194,1.033552529
0.21007194,1.032333264
0.21007194,1.031077426
0.21007194,1.029875561
0.21007194,1.028788
0.21007194,1.027821494
0.21007194,1.026969164
0.21007194,1.026304606
0.21007194,1.025804962
0.21007194,1.025419137
0.21007194,1.025137216
0.21007194,1.024975324
0.21007194,1.024905047
0.21007194,1.024900961
0.21007194,1.024897956
0.21007194,1.024874911
0.21007194,1.024814145
0.21007194,1.024669856
0.21007194,1.024426365
0.21007194,1.024092285
0.21007194,1.023682513
0.21007194,1.023192327
0.21007194,1.022610339
0.21007194,1.022014034
0.21007194,1.021396487
0.21007194,1.020739758
0.21007194,1.020096595
0.21007194,1.01952444
0.21007194,1.019019967
0.21007194,1.01856368
0.21007194,1.018230246
0.21007194,1.018004743
0.21007194,1.01790508
0.21007194,1.017899177
0.21007194,1.01794713
0.21007194,1.018187712
0.21007194,1.018677279
0.21007194,1.019320427
0.21007194,1.020160474
0.21007194,1.02118752
0.21007194,1.022546855
0.21007194,1.02423323
0.21007194,1.026159467
0.21007194,1.028251285
0.21007194,1.030477815
0.21007194,1.032847433
0.21007194,1.035339661
0.21007194,1.037946439
0.21007194,1.040659452
0.21007194,1.043369452
0.21007194,1.046104155
0.21007194,1.048752366
0.21007194,1.051247395
0.21007194,1.053576954
0.21007194,1.055687149
0.21007194,1.057582033
0.21007194,1.059245466
0.21007194,1.060728063
0.21007194,1.061914634
0.21007194,1.062812961
0.21007194,1.063428933
0.21007194,1.063762264
0.21007194,1.063919302
0.21007194,1.063820288
0.21007194,1.063507663
0.21007194,1.063034886
0.21007194,1.062409348
0.21007194,1.061597642
0.21007194,1.060611593
0.21007194,1.059499213
0.21007194,1.05825514
0.21007194,1.056898958
0.21007194,1.055440941
0.21007194,1.053892661
0.21007194,1.052203689
0.21007194,1.050383865
0.21007194,1.048430777
0.21007194,1.046333967
0.21007194,1.044130155
0.21007194,1.041876398
0.21007194,1.039617585
0.21007194,1.037410296
0.21007194,1.03521319
0.21007194,1.03304403
0.21007194,1.030916182
0.21007194,1.028818259
0.21007194,1.026786327
0.21007194,1.024783088
0.21007194,1.022894143
0.21007194,1.021083428
0.21007194,1.019405882
0.21007194,1.017874299
0.21007194,1.016468996
0.21007194,1.015228053
0.21007194,1.014226045
0.21007194,1.013476291
0.21007194,1.013057685
0.21007194,1.012941467
0.21007194,1.013149802
0.21007194,1.013609281
0.21007194,1.014350282
0.21007194,1.015342078
0.21007194,1.016491832
0.21007194,1.017787476
0.21007194,1.019207287
0.21007194,1.020711491
0.21007194,1.022313608
0.21007194,1.024035556
0.21007194,1.02588609
0.21007194,1.027746691
0.21007194,1.029620377
0.21007194,1.031474461
0.21007194,1.03321163
0.21007194,1.034801295
0.21007194,1.036216894
0.21007194,1.037401117
0.21007194,1.038419398
0.21007194,1.039284022
0.21007194,1.03997302
0.21007194,1.040501687
0.21007194,1.040894453
0.21007194,1.041154895
0.21007194,1.041321075
0.21007194,1.041324952
0.21007194,1.041151268
0.21007194,1.040755932
0.21007194,1.040179577
0.21007194,1.039371036
0.21007194,1.038334968
0.21007194,1.037018376
0.21007194,1.035442134
0.21007194,1.033584995
0.21007194,1.031512705
0.21007194,1.029071918
0.21007194,1.026340935
0.21007194,1.023407345
0.21007194,1.020242349
0.21007194,1.016869247
0.21007194,1.013362614
0.21007194,1.009729815
0.21007194,1.006022336
0.21007194,1.002357557
0.21007194,0.998740935
0.21007194,0.995210433
0.21007194,0.991885829
0.21007194,0.98890899
0.21007194,0.986268801
0.21007194,0.983947678
0.21007194,0.982030372
0.21007194,0.980557367
0.21007194,0.979433493
0.21007194,0.978681393
0.21007194,0.97835525
0.21007194,0.978350359
0.21007194,0.978625408
0.21007194,0.979168854
0.21007194,0.979902737
0.21007194,0.980808543
0.21007194,0.981908893
0.21007194,0.983142513
0.21007194,0.984500059
0.21007194,0.985965781
0.21007194,0.987516075
0.21007194,0.989161041
0.21007194,0.990901828
0.21007127,0.992759156
0.210070549,0.994659618
0.210069788,0.996576882
0.210068981,0.99852785
0.210068128,1.000496337
0.210067231,1.002452385
0.210066289,1.004372324
0.210065304,1.006226253
0.210064271,1.00791548
0.210063195,1.009490185
0.210062071,1.010873815
0.210060905,1.012060837
0.210059695,1.013073814
0.210058442,1.013911224
0.210057139,1.014562651
0.210055792,1.014993047
0.210054404,1.015271885
0.210052969,1.015376844
0.210051488,1.015305949
0.210049963,1.015024612
0.210048392,1.01455546
0.210046775,1.013826753
0.210045114,1.01289691
0.210043411,1.011699633
0.210041662,1.010284046
0.210039866,1.0086415
0.210038025,1.006780837
0.210036142,1.004889942
0.210034212,1.003103057
0.210032242,1.001510876
0.210030225,1.000203521
0.210028161,0.999147299
0.210026052,0.998412171
0.210023897,0.997984821
0.210021697,0.997766271
0.210019457,0.997806991
0.210017169,0.998047021
0.210014833,0.998424843
0.210012455,0.998959133
0.210010036,0.99963851
0.210007568,1.000405093
0.210005058,1.001307607
0.2100025,1.002338087
0.209999902,1.00347118
0.209997256,1.004735839
0.209994568,1.006099076
0.209991828,1.007569276
0.209989045,1.009148367
0.209986216,1.010771981
0.209983342,1.012462136
0.209980422,1.014235477
0.209977459,1.016111797
0.20997445,1.018025815
0.209971397,1.019937515
0.209968299,1.021859149
0.209965157,1.023702134
0.20996197,1.025501113
0.20995874,1.027199374
0.209955466,1.028850452
0.209952148,1.030336899
0.209948786,1.031681809
0.209945378,1.032900625
0.209941924,1.033975799
0.209938425,1.034872512
0.209934879,1.035629955
0.209931295,1.03625552
0.209927664,1.0367339
0.209923986,1.037111543
0.209920261,1.037348271
0.209916497,1.037481316
0.209912687,1.037560064
0.209908827,1.037544084
0.209904924,1.037400689
0.209900974,1.03719203
0.209896981,1.036890454
0.209892945,1.036493615
0.209888861,1.035864861
0.209884737,1.03502305
0.209880565,1.034056884
0.20987635,1.032957534
0.209872086,1.0317321
0.209867779,1.030356623
0.209863426,1.028815819
0.209859031,1.027165188
0.20985459,1.025348208
0.209850105,1.023465773
0.209845573,1.021428786
0.209840999,1.019349639
0.209836382,1.017306185
0.209831717,1.015327224
0.209827006,1.013447457
0.209822251,1.011657012
0.209817449,1.009917733
0.209812606,1.008259287
0.209807714,1.006748444
0.209802781,1.005388733
0.209797804,1.004171823
0.20979278,1.003096048
0.20978771,1.002123059
0.209782596,1.001319326
0.209777436,1.000613705
0.209772231,0.999946262
0.209766984,0.999339972
0.209761692,0.998781143
0.209756354,0.998272451
0.209750969,0.997787136
0.209745543,0.997389532
0.209740072,0.997019412
0.209734557,0.996699252
0.209728993,0.996454008
0.209723386,0.996313501
0.209717733,0.996274636
0.209712037,0.996358396
0.209706296,0.996577716
0.20970051,0.996907728
0.209694679,0.997397705
0.209688802,0.998055745
0.209682883,0.998820058
0.209676914,0.999757269
0.209670901,1.000819843
