height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
0.416667,5.633424203,0.25,3.462746243,0.166667,2.689810625,0.416667,6.948071788,0.25,4.306847226,0.166667,3.209155696,0.416667,9.994473602,0.25,6.903160726,0.166667,5.040556221
1.25,5.664020969,0.75,3.570987042,0.5,2.769102263,1.25,6.935266256,0.75,4.424515149,0.5,3.30244504,1.25,9.984823428,0.75,7.000828565,0.5,5.163108951
2.08333,5.710195192,1.25,3.761786971,0.833333,2.907678404,2.08333,6.906855113,1.25,4.630897674,0.833333,3.465664662,2.08333,9.958540359,1.25,7.172621434,0.833333,5.375972511
2.91667,5.75071398,1.75,3.995184948,1.16667,3.074844411,2.91667,6.860852166,1.75,4.88108165,1.16667,3.662937589,2.91667,9.909646241,1.75,7.382403936,1.16667,5.630013273
3.75,5.769571417,2.25,4.232865253,1.5,3.241874851,3.75,6.800100325,2.25,5.132313263,1.5,3.860627542,3.75,9.84190585,2.25,7.596496082,1.5,5.879989974
4.58333,5.762852407,2.75,4.450046662,1.83333,3.390846584,4.58333,6.733263,2.75,5.35745375,1.83333,4.037691378,4.58333,9.770659947,2.75,7.794409028,1.83333,6.098885399
5.41667,5.738098432,3.25,4.638797271,2.16667,3.516346377,5.41667,6.672075452,3.25,5.548588838,2.16667,4.187730299,5.41667,9.716294736,3.25,7.971037503,2.16667,6.280309418
6.25,5.708559035,3.75,4.803968382,2.5,3.621716417,6.25,6.62701926,3.75,5.712192792,2.5,4.314612763,6.25,9.694418419,3.75,8.131855835,2.5,6.431811895
7.08333,5.686916543,4.25,4.956159482,2.83333,3.713783206,7.08333,6.604235838,4.25,5.860955899,2.83333,4.426258676,7.08333,9.709264043,4.25,8.285756676,2.83333,6.565807861
7.91667,5.681649953,4.75,5.105741361,3.16667,3.799065313,7.91667,6.604990703,4.75,6.006934104,3.16667,4.53013592,7.91667,9.753375109,4.75,8.439569624,3.16667,6.693219953
8.75,5.696486856,5.25,5.259686295,3.5,3.882253904,8.75,6.627095614,5.25,6.158023164,3.5,4.631463014,8.75,9.812195382,5.25,8.59582877,3.5,6.821158447
9.58333,5.731646105,5.75,5.420946649,3.83333,3.966257543,9.58333,6.666846208,5.75,6.31741051,3.83333,4.733312175,9.58333,9.870076143,5.75,8.753258204,3.83333,6.953339597
10.4167,5.785409889,6.25,5.589284121,4.16667,4.05281307,10.4167,6.720391408,6.25,6.484669099,4.16667,4.837418335,10.4167,9.914815788,6.25,8.908573154,4.16667,7.091410852
