r(cm),TMean(K)_1.0D_15O2_fine,TRMS(K)_1.0D_15O2_fine,fvSootMean(ppm)_1.0D_15O2_fine,fvSootRMS(ppm)_1.0D_15O2_fine,TMean(K)_1.5D_15O2_fine,TRMS(K)_1.5D_15O2_fine,fvSootMean(ppm)_1.5D_15O2_fine,fvSootRMS(ppm)_1.5D_15O2_fine,TMean(K)_2.0D_15O2_fine,TRMS(K)_2.0D_15O2_fine,fvSootMean(ppm)_2.0D_15O2_fine,fvSootRMS(ppm)_2.0D_15O2_fine,TMean(K)_2.5D_15O2_fine,TRMS(K)_2.5D_15O2_fine,fvSootMean(ppm)_2.5D_15O2_fine,fvSootRMS(ppm)_2.5D_15O2_fine,TMean(K)_3.0D_15O2_fine,TRMS(K)_3.0D_15O2_fine,fvSootMean(ppm)_3.0D_15O2_fine,fvSootRMS(ppm)_3.0D_15O2_fine,TMean(K)_3.5D_15O2_fine,TRMS(K)_3.5D_15O2_fine,fvSootMean(ppm)_3.5D_15O2_fine,fvSootRMS(ppm)_3.5D_15O2_fine,TMean(K)_1.0D_15O2_medium,TRMS(K)_1.0D_15O2_medium,fvSootMean(ppm)_1.0D_15O2_medium,fvSootRMS(ppm)_1.0D_15O2_medium,TMean(K)_1.5D_15O2_medium,TRMS(K)_1.5D_15O2_medium,fvSootMean(ppm)_1.5D_15O2_medium,fvSootRMS(ppm)_1.5D_15O2_medium,TMean(K)_2.0D_15O2_medium,TRMS(K)_2.0D_15O2_medium,fvSootMean(ppm)_2.0D_15O2_medium,fvSootRMS(ppm)_2.0D_15O2_medium,TMean(K)_2.5D_15O2_medium,TRMS(K)_2.5D_15O2_medium,fvSootMean(ppm)_2.5D_15O2_medium,fvSootRMS(ppm)_2.5D_15O2_medium,TMean(K)_3.0D_15O2_medium,TRMS(K)_3.0D_15O2_medium,fvSootMean(ppm)_3.0D_15O2_medium,fvSootRMS(ppm)_3.0D_15O2_medium,TMean(K)_3.5D_15O2_medium,TRMS(K)_3.5D_15O2_medium,fvSootMean(ppm)_3.5D_15O2_medium,fvSootRMS(ppm)_3.5D_15O2_medium,TMean(K)_1.0D_15O2_coarse,TRMS(K)_1.0D_15O2_coarse,fvSootMean(ppm)_1.0D_15O2_coarse,fvSootRMS(ppm)_1.0D_15O2_coarse,TMean(K)_1.5D_15O2_coarse,TRMS(K)_1.5D_15O2_coarse,fvSootMean(ppm)_1.5D_15O2_coarse,fvSootRMS(ppm)_1.5D_15O2_coarse,TMean(K)_2.0D_15O2_coarse,TRMS(K)_2.0D_15O2_coarse,fvSootMean(ppm)_2.0D_15O2_coarse,fvSootRMS(ppm)_2.0D_15O2_coarse,TMean(K)_2.5D_15O2_coarse,TRMS(K)_2.5D_15O2_coarse,fvSootMean(ppm)_2.5D_15O2_coarse,fvSootRMS(ppm)_2.5D_15O2_coarse,TMean(K)_3.0D_15O2_coarse,TRMS(K)_3.0D_15O2_coarse,fvSootMean(ppm)_3.0D_15O2_coarse,fvSootRMS(ppm)_3.0D_15O2_coarse,TMean(K)_3.5D_15O2_coarse,TRMS(K)_3.5D_15O2_coarse,fvSootMean(ppm)_3.5D_15O2_coarse,fvSootRMS(ppm)_3.5D_15O2_coarse
-14.94187356,300.52,0.053318837,8.44E-07,3.25E-05,302.19,16.27201595,0.000482863,0.005980687,313.96,78.94445405,0.009233084,0.076675641,321.94,86.44769896,0.012515663,0.081223392,324.79,75.34209917,0.013443111,0.059207161,331.65,72.95725191,0.01716232,0.055138364,300.62,0.074297365,1.37E-06,3.32E-06,301.42,14.58010819,9.86E-06,0.000421017,303.42,33.24837499,0.001081968,0.016825977,308.78,54.31498948,0.002246757,0.020149994,314.55,66.46716176,0.004329904,0.024857728,319.56,64.59510397,0.006079015,0.024759866,300.69,1.319709166,8.83E-06,0.000482357,311.3,68.54902466,0.001078582,0.010468518,322.89,93.79984348,0.002228708,0.01791527,317.1,61.02291433,0.001645489,0.011054647,315.47,49.42764895,0.001644008,0.010172141,315.97,40.65810966,0.00175233,0.009626412
-14.93411008,300.53,0.054701829,8.99E-07,3.55E-05,302.24,16.61462267,0.000488745,0.006023438,314.18,79.24129899,0.009276387,0.076948064,322.19,86.66260186,0.012555919,0.0813543,325.05,75.49962567,0.013483763,0.059309443,331.93,73.05711612,0.01720135,0.05520638,300.62,0.074327958,1.37E-06,3.32E-06,301.44,14.73372371,1.03E-05,0.000451017,303.49,33.47368187,0.001088028,0.016867945,308.95,54.59017088,0.002266539,0.020268139,314.78,66.65796456,0.004351598,0.024953124,319.77,64.71344251,0.006099277,0.024802853,300.69,1.34313863,9.05E-06,0.000490769,311.71,68.94964673,0.001084696,0.01051392,323.43,94.14917318,0.002239448,0.017988731,317.44,61.22780135,0.001653904,0.011093243,315.74,49.5692467,0.001651022,0.010206846,316.2,40.75924355,0.001756431,0.009636111
-14.9193781,300.53,0.057349201,1.01E-06,4.13E-05,302.32,17.27034826,0.000500049,0.006105237,314.43,79.8079977,0.009358824,0.077467103,322.49,87.07299516,0.012632214,0.081599821,325.34,75.80023893,0.013561257,0.059504079,332.22,73.24709705,0.017275319,0.055335058,300.62,0.074386189,1.37E-06,3.32E-06,301.48,15.02630406,1.11E-05,0.000507246,303.61,33.9028954,0.001099563,0.016947545,309.18,55.11384868,0.002304322,0.020492991,315.04,67.02020673,0.004392966,0.025135151,320.01,64.93826316,0.006137841,0.024884596,300.7,1.387098764,9.46E-06,0.000506554,312.12,69.70661245,0.001096299,0.010599793,323.97,94.81019597,0.002259827,0.018127701,317.79,61.61560258,0.001669873,0.011166287,316.01,49.83735613,0.001664332,0.010272532,316.43,40.95079258,0.001764213,0.009654499
-14.89903176,300.53,0.061042894,1.16E-06,4.91E-05,302.47,18.18538031,0.000515954,0.006219498,314.76,80.5973065,0.009473226,0.078187928,322.87,87.64496243,0.012737389,0.081932849,325.7,76.21879722,0.013669014,0.059773955,332.54,73.5104218,0.017377283,0.055511936,300.62,0.074466972,1.36E-06,3.32E-06,301.52,15.43206195,1.23E-05,0.000583161,303.76,34.49857347,0.001115563,0.017057364,309.45,55.83966633,0.002357006,0.020804637,315.33,67.52065634,0.004450516,0.025388471,320.27,65.2492194,0.00619134,0.024997815,300.7,1.446685861,1.00E-05,0.000527956,312.53,70.74458919,0.001112323,0.010717747,324.51,95.71883678,0.002287973,0.018318641,318.13,62.14890604,0.001691927,0.011266717,316.28,50.20628659,0.001682715,0.010362861,316.66,41.21450233,0.00177496,0.009679861
-14.87462551,300.53,0.065502008,1.36E-06,5.82E-05,302.63,19.29106167,0.000535453,0.006358108,315.08,81.5524947,0.009611235,0.079057355,323.26,88.3378919,0.012863273,0.082323554,326.06,76.72536205,0.013799315,0.060099035,332.86,73.82750242,0.017499317,0.055722845,300.63,0.07456437,1.36E-06,3.32E-06,301.56,15.91979855,1.37E-05,0.00067108,303.91,35.21582006,0.001134855,0.017188836,309.71,56.71266067,0.002420911,0.021179403,315.62,68.12068465,0.004520137,0.025694691,320.53,65.62266229,0.006255849,0.02513401,300.71,1.516344902,1.07E-05,0.000552986,312.93,71.97730933,0.001131543,0.010858163,325.05,96.80162568,0.002321734,0.018546032,318.47,62.78480539,0.001718381,0.011386435,316.55,50.64656516,0.001704767,0.010470562,316.89,41.52942744,0.001787851,0.009710227
-14.8475843,300.54,0.07043029,1.58E-06,6.78E-05,302.78,20.51563429,0.000557528,0.006512894,315.41,82.61819829,0.009765017,0.080024313,323.65,89.11228984,0.01300244,0.08274633,326.41,77.2910328,0.013944853,0.060460414,333.18,74.17992999,0.017634217,0.055954973,300.63,0.074672812,1.36E-06,3.31E-06,301.6,16.45886009,1.54E-05,0.000763834,304.05,36.010978,0.001156339,0.017334034,309.98,57.68015138,0.002492504,0.021594516,315.9,68.78424653,0.004597927,0.02603591,320.78,66.03652361,0.006327695,0.025285199,300.71,1.591097903,1.15E-05,0.000579857,313.34,73.32602193,0.001152839,0.011012248,325.59,97.99134317,0.00235914,0.018795679,318.81,63.48403026,0.00174769,0.011518034,316.82,51.13120226,0.001729202,0.01058898,317.12,41.87638014,0.001802132,0.009743792
-14.81900838,300.54,0.07556229,1.82E-06,7.74E-05,302.94,21.7951706,0.000581292,0.006676784,315.73,83.74814771,0.009928337,0.081046944,324.03,89.93527207,0.013149221,0.083183261,326.77,77.89195574,0.01409974,0.060842934,333.5,74.5530117,0.017776489,0.056198623,300.63,0.074787856,1.36E-06,3.31E-06,301.64,17.02357151,1.72E-05,0.000855936,304.2,36.84782893,0.001179145,0.017486767,310.24,58.69914193,0.002568883,0.022031315,316.19,69.48286776,0.004680732,0.026397235,321.04,66.47336346,0.00640396,0.025445022,300.72,1.667248646,1.23E-05,0.000607245,313.75,74.73037679,0.001175343,0.011173245,326.13,99.23627158,0.002398668,0.019056668,319.15,64.21634757,0.001778661,0.011655815,317.09,51.63940119,0.001755027,0.010712988,317.35,42.24056324,0.001817224,0.00977916
-14.7896303,300.54,0.080695064,2.08E-06,8.65E-05,303.09,23.08077913,0.00060607,0.006844428,316.06,84.90849206,0.010096881,0.082095292,324.42,90.78285357,0.013299903,0.08362406,327.13,78.51089928,0.014259836,0.06123601,333.82,74.93654344,0.017922529,0.056447506,300.63,0.074906428,1.36E-06,3.31E-06,301.68,17.59529912,1.90E-05,0.000944001,304.35,37.70023148,0.00120267,0.017642852,310.51,59.7391033,0.002647973,0.022476504,316.47,70.1970578,0.00476633,0.026767851,321.3,66.92122975,0.006482633,0.025609081,300.73,1.742504116,1.31E-05,0.000634324,314.16,76.15074411,0.001198478,0.011336691,326.67,100.5021995,0.002439305,0.01932179,319.49,64.96173612,0.001810501,0.011796009,317.36,52.15736919,0.001781577,0.010839192,317.59,42.61214651,0.001832739,0.009815404
-14.75987603,300.54,0.085698526,2.34E-06,9.49E-05,303.25,24.34076542,0.000631401,0.007012279,316.38,86.07734734,0.010268014,0.083150436,324.81,91.63954282,0.01345237,0.084063994,327.49,79.13684137,0.01442257,0.061633119,334.13,75.32427818,0.018070288,0.056698103,300.63,0.075026652,1.36E-06,3.31E-06,301.72,18.16233189,2.09E-05,0.001026521,304.49,38.55168589,0.001226551,0.017799821,310.77,60.78102881,0.002728457,0.022921786,316.76,70.91512665,0.004853339,0.027140841,321.55,67.37293169,0.006562493,0.025774695,300.73,1.815707632,1.40E-05,0.000660678,314.57,77.56470968,0.00122191,0.011500039,327.21,101.7694899,0.002480459,0.019586917,319.84,65.70868155,0.001842748,0.011936451,317.63,52.67715219,0.001808469,0.010965637,317.82,42.98544259,0.001848453,0.009851986
-14.72996348,300.54,0.090506905,2.60E-06,0.000102752,303.4,25.55851337,0.000657008,0.007178287,316.71,87.24220027,0.010440309,0.084201814,325.19,92.49644487,0.013605567,0.084501474,327.84,79.76350801,0.014586515,0.062030691,334.45,75.71282097,0.018218745,0.0569487,300.63,0.075147514,1.36E-06,3.31E-06,301.76,18.71843002,2.28E-05,0.001103293,304.64,39.39316212,0.00125059,0.017956397,311.04,61.81457644,0.002809592,0.023362661,317.05,71.63091066,0.004940995,0.027512306,321.81,67.82464912,0.006642883,0.025940422,300.74,1.886442728,1.48E-05,0.000686155,314.97,78.96148556,0.001245466,0.01166203,327.75,103.0283738,0.00252183,0.019850007,320.18,66.45143433,0.001875168,0.012076062,317.9,53.19475614,0.001835502,0.011091351,318.05,43.35757783,0.001864252,0.009888631
