s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.6798174E-003,-2.9018210E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6798174E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0073223E-001, 9.9853327E-001,-8.7331735E-002,-2.3367002E-002,-2.0351885E-001,-4.0227772E-005, 0.0000000E+000, 0.0000000E+000, 6.8105818E-001, 6.8427545E-001, 1.2281161E-002, 3.4167354E-005,-4.4227371E-126,-1.0901808E-141
 4.0101239E-001, 2.4004011E+000,-5.7613670E-001, 3.4616553E-002,-2.4717126E-001,-9.5819923E-005, 0.0000000E+000, 0.0000000E+000, 1.5812419E+000, 1.6116139E+000, 3.6920837E-002, 9.7074446E-005,-1.9703519E-103,-9.6342267E-118
 6.0014004E-001, 4.2837928E+000,-1.2372578E+000, 4.4353605E-002,-2.8809698E-001,-1.1991044E-004, 0.0000000E+000, 0.0000000E+000, 2.7268839E+000, 2.8026717E+000, 5.8714913E-002, 1.5321320E-004,-2.3549133E-095,-2.5534735E-106
 8.0039513E-001, 4.8601040E+000,-1.6015755E+000, 4.8436952E-002,-2.5153213E-001,-1.2333113E-004, 0.0000000E+000, 0.0000000E+000, 2.9852271E+000, 3.0553099E+000, 7.6814195E-002, 2.0021987E-004,-2.5206251E-090,-9.8181048E-100
 1.0004742E+000, 7.0812355E+000,-2.2064156E+000,-3.8075490E-001,-2.3669014E-001,-1.4289784E-004, 0.0000000E+000, 0.0000000E+000, 4.1175487E+000, 4.2572319E+000, 9.1099927E-002, 2.3738787E-004,-7.5685987E-087,-2.3813345E-095
 1.2000861E+000, 9.7002636E+000,-2.9025067E+000,-4.8314464E+000,-2.5375462E-001,-1.5247335E-004, 0.0000000E+000, 0.0000000E+000, 1.5655949E+000, 1.7124033E+000, 1.0184089E-001, 2.6534761E-004,-2.6444786E-084,-3.1997943E-092
 1.4000055E+000, 1.0861920E+001,-3.6601154E+000,-5.7459377E+000,-2.4092868E-001,-1.6162510E-004, 0.0000000E+000, 0.0000000E+000, 1.0693038E+000, 1.2147771E+000, 1.0965849E-001, 2.8569483E-004,-2.2986708E-082,-7.1263004E-090
 1.6000282E+000, 1.1616831E+001,-4.4889137E+000,-5.9286041E+000,-2.3792974E-001,-1.5957047E-004, 0.0000000E+000, 0.0000000E+000, 8.7214364E-001, 9.6122388E-001, 1.1521415E-001, 3.0016162E-004,-7.4374582E-081,-4.6456535E-088
