Time,Chi_r
0.201,0.085
0.400,0.225
0.601,0.260
0.800,0.296
1.000,0.279
1.200,0.269
1.400,0.302
1.600,0.331
1.800,0.286
2.000,0.306
2.200,0.297
2.400,0.305
2.600,0.336
2.800,0.325
3.000,0.311
3.200,0.317
3.400,0.300
3.600,0.292
3.800,0.323
4.000,0.303
4.200,0.335
4.401,0.305
4.600,0.297
4.800,0.309
5.000,0.311
5.200,0.328
5.400,0.314
5.600,0.338
5.801,0.349
6.000,0.304
6.200,0.313
6.400,0.300
6.600,0.303
6.800,0.309
7.000,0.292
7.200,0.314
7.400,0.312
7.601,0.310
7.800,0.316
8.000,0.299
8.200,0.342
8.400,0.327
8.600,0.298
8.800,0.291
9.000,0.300
9.200,0.304
9.400,0.316
9.600,0.318
9.800,0.321
10.000,0.296
10.200,0.297
10.400,0.297
10.600,0.293
10.800,0.296
11.000,0.283
11.200,0.316
11.400,0.297
11.600,0.328
11.800,0.309
12.000,0.304
12.200,0.323
12.400,0.294
12.600,0.294
12.800,0.297
13.000,0.324
13.200,0.294
13.400,0.319
13.600,0.293
13.800,0.307
14.000,0.304
14.200,0.303
14.400,0.323
14.600,0.304
14.800,0.318
15.000,0.316
15.200,0.295
15.400,0.320
15.600,0.339
15.800,0.318
16.000,0.317
16.201,0.300
16.400,0.317
16.600,0.316
16.800,0.341
17.000,0.322
17.200,0.291
17.400,0.297
17.600,0.320
17.800,0.290
18.000,0.294
18.200,0.312
18.400,0.305
18.600,0.322
18.800,0.300
19.000,0.308
19.200,0.286
19.400,0.298
19.600,0.298
19.800,0.312
20.000,0.308
20.200,0.307
20.401,0.304
20.600,0.292
20.800,0.331
21.000,0.300
21.200,0.295
21.400,0.301
21.600,0.302
21.800,0.291
22.000,0.307
22.200,0.310
22.400,0.324
22.600,0.302
22.800,0.299
23.000,0.296
23.200,0.303
23.400,0.304
23.600,0.308
23.800,0.314
24.001,0.320
24.200,0.298
24.400,0.319
24.600,0.289
24.800,0.294
25.000,0.303
25.200,0.306
25.400,0.329
25.600,0.300
25.800,0.313
26.000,0.300
26.200,0.292
26.400,0.318
26.600,0.324
26.800,0.313
27.000,0.301
27.200,0.291
27.400,0.294
27.600,0.291
27.800,0.303
28.000,0.314
28.200,0.301
28.400,0.326
28.600,0.300
28.800,0.293
29.000,0.304
29.200,0.306
29.400,0.295
29.600,0.303
29.800,0.299
30.000,0.311
30.200,0.298
30.400,0.314
30.601,0.300
30.800,0.289
31.000,0.310
31.200,0.316
31.400,0.326
31.600,0.311
31.800,0.313
32.000,0.316
32.200,0.318
32.401,0.314
32.600,0.312
32.800,0.316
33.000,0.311
33.200,0.333
33.400,0.325
33.600,0.321
33.800,0.301
34.000,0.291
34.200,0.313
34.400,0.303
34.600,0.318
34.800,0.315
35.000,0.307
35.200,0.286
35.400,0.287
35.600,0.298
35.800,0.310
36.000,0.337
36.200,0.311
36.400,0.310
36.600,0.296
36.801,0.307
37.000,0.324
37.200,0.303
37.400,0.321
37.600,0.313
37.800,0.331
38.000,0.326
38.200,0.325
38.400,0.304
38.600,0.310
38.800,0.337
39.000,0.309
39.201,0.320
39.400,0.313
39.600,0.324
39.800,0.320
40.001,0.309
40.200,0.322
40.400,0.322
40.600,0.314
40.800,0.329
41.000,0.298
41.200,0.310
41.400,0.321
41.600,0.323
41.800,0.312
42.000,0.302
42.200,0.321
42.400,0.305
42.600,0.317
42.800,0.330
43.000,0.331
43.200,0.312
43.400,0.304
43.600,0.312
43.800,0.327
44.000,0.293
44.200,0.324
44.400,0.323
44.600,0.325
44.800,0.310
45.000,0.311
45.200,0.308
45.400,0.312
45.600,0.312
45.800,0.322
46.000,0.306
46.201,0.326
46.400,0.304
46.600,0.304
46.800,0.330
47.001,0.309
47.200,0.320
47.400,0.306
47.600,0.308
47.800,0.310
48.000,0.299
48.200,0.321
48.400,0.294
48.600,0.318
48.800,0.320
49.000,0.302
49.200,0.319
49.400,0.294
49.600,0.291
49.800,0.296
50.000,0.284
50.200,0.318
50.400,0.314
50.600,0.326
50.800,0.315
51.000,0.300
51.200,0.326
51.400,0.330
51.600,0.312
51.800,0.316
52.000,0.284
52.200,0.306
52.400,0.306
52.600,0.281
52.800,0.297
53.000,0.306
53.201,0.320
53.400,0.346
53.600,0.297
53.800,0.324
54.000,0.311
54.200,0.301
54.400,0.297
54.600,0.322
54.800,0.302
55.000,0.298
55.200,0.295
55.400,0.345
55.600,0.299
55.800,0.328
56.000,0.336
56.200,0.303
56.400,0.327
56.600,0.288
56.800,0.286
57.000,0.291
57.200,0.307
57.400,0.314
57.600,0.303
57.800,0.305
58.000,0.324
58.200,0.304
58.400,0.333
58.600,0.323
58.800,0.312
59.000,0.338
59.200,0.302
59.400,0.332
59.600,0.310
59.800,0.296
60.000,0.304
60.200,0.308
60.400,0.313
60.600,0.309
60.800,0.314
61.000,0.310
61.200,0.319
61.400,0.305
61.600,0.298
61.800,0.289
62.000,0.286
62.200,0.316
62.400,0.301
62.600,0.306
62.800,0.317
63.000,0.289
63.200,0.316
63.400,0.308
63.600,0.308
63.800,0.325
64.000,0.295
64.200,0.315
64.400,0.304
64.600,0.305
64.800,0.332
65.000,0.314
65.200,0.311
65.400,0.311
65.600,0.293
65.800,0.303
66.000,0.302
66.200,0.321
66.400,0.325
66.600,0.299
66.800,0.293
67.000,0.312
67.200,0.305
67.400,0.324
67.600,0.297
67.800,0.291
68.000,0.307
68.200,0.299
68.400,0.335
68.600,0.304
68.800,0.340
69.001,0.333
69.200,0.279
69.400,0.297
69.600,0.310
69.800,0.285
70.000,0.313
70.200,0.297
70.400,0.311
70.600,0.327
70.800,0.304
71.000,0.314
71.200,0.295
71.400,0.320
71.600,0.316
71.800,0.290
72.000,0.305
72.200,0.324
72.400,0.311
72.600,0.325
72.800,0.300
73.000,0.323
73.200,0.310
73.400,0.304
73.600,0.324
73.800,0.293
74.000,0.315
74.200,0.311
74.400,0.300
74.600,0.309
74.800,0.304
75.000,0.297
75.200,0.339
75.400,0.321
75.600,0.330
75.800,0.300
76.000,0.324
76.200,0.304
76.400,0.314
76.600,0.293
76.800,0.300
77.000,0.311
77.200,0.306
77.400,0.319
77.600,0.292
77.800,0.333
78.000,0.317
78.200,0.324
78.400,0.322
78.600,0.312
78.800,0.326
79.000,0.303
79.200,0.304
79.400,0.321
79.600,0.284
79.800,0.288
80.001,0.314
80.200,0.308
80.400,0.299
80.600,0.317
80.800,0.314
81.000,0.319
81.200,0.295
81.400,0.294
81.600,0.313
81.801,0.317
82.000,0.320
82.200,0.300
82.400,0.300
82.601,0.309
82.800,0.301
83.000,0.307
83.200,0.317
83.400,0.302
83.600,0.293
83.800,0.300
84.000,0.313
84.200,0.297
84.400,0.304
84.601,0.327
84.800,0.328
85.000,0.305
85.200,0.310
85.400,0.292
85.600,0.303
85.800,0.304
86.000,0.308
86.200,0.322
86.400,0.312
86.600,0.315
86.800,0.313
87.000,0.298
87.200,0.317
87.400,0.305
87.600,0.329
87.800,0.301
88.000,0.323
88.200,0.310
88.400,0.307
88.600,0.315
88.800,0.310
89.000,0.329
89.200,0.317
89.400,0.312
89.600,0.296
89.800,0.302
90.000,0.319
90.200,0.312
90.400,0.305
90.600,0.298
90.800,0.313
91.000,0.307
91.200,0.325
91.400,0.326
91.600,0.308
91.800,0.312
92.000,0.320
92.200,0.317
92.400,0.302
92.600,0.305
92.800,0.321
93.000,0.312
93.200,0.305
93.400,0.324
93.600,0.307
93.800,0.314
94.000,0.309
94.200,0.298
94.400,0.341
94.600,0.296
94.801,0.327
95.000,0.315
95.200,0.292
95.400,0.290
95.600,0.299
95.800,0.297
96.000,0.315
96.200,0.280
96.400,0.299
96.600,0.294
96.800,0.299
97.000,0.317
97.200,0.294
97.400,0.336
97.600,0.310
97.800,0.287
98.000,0.298
98.200,0.330
98.400,0.319
98.600,0.280
98.800,0.313
99.000,0.318
99.200,0.315
99.400,0.308
99.600,0.312
99.800,0.315
100.000,0.300
100.200,0.312
100.400,0.328
100.600,0.318
100.800,0.329
101.000,0.316
101.200,0.326
101.400,0.295
101.600,0.311
101.800,0.313
102.000,0.309
102.200,0.325
102.400,0.321
102.600,0.311
102.800,0.323
103.000,0.321
103.200,0.323
103.400,0.322
103.600,0.300
