y-position,avgTimeRange_2.4,avgTimeRange_7.3,avgTimeRange_11.9,avgTimeRange_16.7,avgTimeRange_21.4,avgTimeRange_26.2,avgTimeRange_30.9,avgTimeRange_35.5,avgTimeRange_40.3,avgTimeRange_45.0,avgTimeRange_49.8,avgTimeRange_54.6,avgTimeRange_59.3,avgTimeRange_64.0,avgTimeRange_68.8
-0.6,205.8949608,207.93278100066667,207.51803633760002,208.17000078942857,209.90444835,209.7467877358182,210.41924408123077,209.9773520378667,210.0036654518824,210.06812155947364,210.19589671438095,209.94125184208696,210.24619709968,210.00239125037035,209.48211569772417
-0.55,221.068681502,223.322157126,222.8863803148,223.58075262085717,225.44268988822222,225.2614050507273,226.01362671615385,225.52523013906668,225.56045943141177,225.565980636,225.69655563028573,225.4071909889565,225.74144783072003,225.48488440562957,224.92288708910343
-0.5,241.2681207,243.76385128466666,243.30314044559998,244.04937492828572,246.09792363288892,245.89458656199997,246.75960033261538,246.20269536826666,246.24326064694117,246.1551353230526,246.29772801828574,245.96991889460867,246.35368844072005,246.0914258471852,245.4726278908965
-0.45,261.53321667999995,264.2271037226667,263.8259325436,264.6613008237143,266.93225655688894,266.66920502581814,267.6445995169231,267.01817530946664,267.0569976275294,266.8399052302105,266.99871427857147,266.6320233554783,267.06670116768,266.8073320700741,266.12174417572413
-0.4,282.35260443,285.2205056133334,284.7288055576,285.6921350542857,288.21069845955554,287.90131197345454,288.98452585907694,288.286970192,288.34828314188235,288.006790548,288.15345331714286,287.7247331186087,288.20184186015996,287.9315852097778,287.177296600069
-0.35,310.76095705800003,313.521305186,312.88568385319996,313.91192092200004,316.7262915062222,316.3921111930909,317.68669815600003,316.8760313629333,316.9193491503529,316.41204325463156,316.62662349723814,316.1580336166087,316.73690808312006,316.49694561474075,315.66926884393104
-0.3,328.942806916,331.5732840686666,331.1575581768,332.3538108277143,335.464932478,334.9283057459999,336.2218016601539,335.35532557439996,335.40835767988233,334.6431459131579,334.87022137838096,334.38862389521734,334.99757989408005,334.7949228015555,333.8992906713103
-0.25,344.062619916,346.67225210066664,345.6597914124,347.1430380551429,350.48609125888885,350.02981624018184,351.4731162852308,350.53452558799995,350.6695364315294,349.7994978357895,349.9296347701905,349.2965629093043,349.94888246248,349.650861173037,348.6840655575862
-0.2,382.71854209199995,383.82095716733335,383.4270092496,384.44006258114285,388.08437918733335,387.50793823999993,389.15956811384603,388.1373386014667,387.99971002329414,387.0051567875789,387.48041428628574,386.9891903294782,387.82440837551997,387.7722810049629,386.83821497993097
-0.15,373.12212708,374.737699764,373.62702010839996,375.654940422,379.37399646511113,378.2843601656364,379.3857869198462,378.30325301706665,378.76709801388233,377.04906386284216,377.0059960565714,376.4659546839131,377.18635235448005,376.96998927896294,375.8506195163448
-0.1,387.78447029600005,390.643660754,386.93457864800007,389.1855938962857,393.3688459326666,393.4927367116364,396.514542305077,395.21420185679995,395.0828585568235,394.2459783649473,394.52513109790476,392.99581234617403,394.06914787384005,393.13436637214807,391.9336028927587
-0.05,484.70674254,485.259314736,487.8221900136,488.34355761914287,492.335649424,490.85055485909095,491.2841229029231,490.05850448786674,490.1179044614117,488.0270601647368,488.5132913297143,488.89156517086957,489.72214009672007,490.85972931259266,489.89506013896545
0,366.91897756599997,364.23859311333337,358.7556379864001,361.497706568,366.7764189951111,367.1895193721818,370.1174260789231,369.03617166720005,368.7572528805882,367.73442008505265,367.7662720513334,365.8488965994782,366.64066937096,364.9554906654074,364.13658192937936
0.05,489.256448522,487.92166684600005,488.67486254040006,489.3142312705715,493.3033438675555,491.8238617765454,491.8414943338462,490.94780938893336,491.3155596524706,488.9890405487368,489.268474765619,489.61936902486946,490.83557875040003,491.89777641177767,490.65451770496543
0.1,402.347009786,391.73010202466673,388.9160194528,390.91920032514287,395.4672708791111,394.2996695772727,395.3309736443077,394.3523949217333,394.07500957682345,392.8036828323158,393.05063633133335,392.47694493373905,393.5448857332799,392.69166875511115,392.14788366951734
0.15,383.093213082,380.6167209746667,378.3497097884,379.7186480165714,383.69847419266665,383.00031787327276,383.7180654801538,383.0784111906666,383.11932921258824,381.4827522514737,381.5404011012381,380.96174835556525,381.8155664016001,381.74418527244444,380.7956683608276
0.2,386.87464460800004,381.77778478733336,380.1062173568,381.1727685617143,384.7757788168889,383.705401962,384.1701906549231,383.3321760630667,383.31669579082353,382.0666381762105,382.2642060152381,382.11155922452167,383.12787356496,382.96280446770373,382.27891726048273
