cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 3.0327967E+001, 2.5118507E+000,-5.0000000E-001, 1.2219010E+003, 1.2752063E+003, 1.1685485E+003, 1.0191312E+003, 8.7146003E+002, 7.4617731E+002, 2.6651842E+002, 3.4200799E+002, 4.1446241E+002, 4.3906147E+002, 4.1253353E+002, 3.5809753E+002,-2.0500000E+001, 2.3080259E-014, 4.7674650E-008, 2.0174106E-006, 7.9951789E-006, 2.0291344E-004, 1.5837215E-013, 3.7770703E-007, 1.1351249E-005, 2.6753786E-005, 3.7815527E-003
 9.9696970E-001, 3.0327967E+001, 2.5118507E+000,-2.0000000E-002, 1.2219010E+003, 1.2752063E+003, 1.1685485E+003, 1.0191312E+003, 8.7146003E+002, 7.4617731E+002, 2.6651842E+002, 3.4200799E+002, 4.1446241E+002, 4.3906147E+002, 4.1253353E+002, 3.5809753E+002,-2.0006024E+001, 2.3080259E-014, 4.7674650E-008, 2.0174106E-006, 7.9951789E-006, 2.0291344E-004, 1.5837215E-013, 3.7770703E-007, 1.1351249E-005, 2.6753786E-005, 3.7815527E-003
 1.4939394E+000, 2.5126900E+001, 2.6622444E+000, 4.6000000E-001, 1.2222718E+003, 1.2821006E+003, 1.1693390E+003, 1.0203732E+003, 8.7387398E+002, 7.4572887E+002, 2.6679145E+002, 3.3480959E+002, 4.1432189E+002, 4.3796842E+002, 4.1186613E+002, 3.5693507E+002,-1.9512048E+001, 3.9269717E-015, 1.7214358E-008, 1.5055537E-006, 7.7798296E-006, 4.2801128E-004, 2.6706654E-014, 1.5311227E-007, 8.2665805E-006, 2.6833532E-005, 6.2749125E-003
 1.9909091E+000, 1.9906730E+001, 2.8508863E+000, 9.4000000E-001, 1.2381452E+003, 1.2663694E+003, 1.1534736E+003, 1.0037590E+003, 8.6504796E+002, 7.4078141E+002, 2.8568734E+002, 3.5096011E+002, 4.2159047E+002, 4.3834311E+002, 4.1044653E+002, 3.5437072E+002,-1.9018072E+001, 3.9269717E-015, 1.7214358E-008, 1.5055537E-006, 7.7798296E-006, 4.2801128E-004, 2.6706654E-014, 1.5311227E-007, 8.2665805E-006, 2.6833532E-005, 6.2749125E-003
 2.4878788E+000, 1.7020280E+001, 2.9140778E+000, 1.4200000E+000, 1.2215899E+003, 1.2171471E+003, 1.1202481E+003, 9.7729339E+002, 8.4824021E+002, 7.3326386E+002, 3.2168625E+002, 3.8098004E+002, 4.3254637E+002, 4.3981691E+002, 4.0921486E+002, 3.5438062E+002,-1.8524096E+001, 6.6628593E-016, 5.5964467E-009, 1.0847210E-006, 1.2657674E-005, 7.7870938E-004, 4.4531005E-015, 5.5275035E-008, 5.9823198E-006, 1.5384995E-004, 8.6399651E-003
 2.9848485E+000, 1.5132695E+001, 2.9331098E+000, 1.9000000E+000, 1.1602486E+003, 1.1532462E+003, 1.0701592E+003, 9.4270711E+002, 8.2522759E+002, 7.2004871E+002, 3.8010801E+002, 4.1681662E+002, 4.4452657E+002, 4.4090922E+002, 4.0561482E+002, 3.5029596E+002,-1.8030120E+001, 6.6628593E-016, 5.5964467E-009, 1.0847210E-006, 1.2657674E-005, 7.7870938E-004, 4.4531005E-015, 5.5275035E-008, 5.9823198E-006, 1.5384995E-004, 8.6399651E-003
 3.4818182E+000, 1.3645928E+001, 2.9333641E+000, 2.3800000E+000, 1.0602817E+003, 1.0832864E+003, 1.0115664E+003, 9.0141016E+002, 8.0012934E+002, 7.0291516E+002, 4.2344649E+002, 4.4488779E+002, 4.5456708E+002, 4.3892094E+002, 4.0110766E+002, 3.4438275E+002,-1.7536145E+001, 1.2063440E-016, 1.5586844E-009, 7.7444654E-007, 6.7623938E-005, 1.4922938E-003, 7.5637296E-016, 1.6262824E-008, 4.5073977E-006, 1.6645767E-003, 1.1936768E-002
 3.9787879E+000, 1.2376980E+001, 2.9215922E+000, 2.8600000E+000, 9.5695285E+002, 1.0105169E+003, 9.5463626E+002, 8.5614804E+002, 7.7166377E+002, 6.8551643E+002, 4.4596475E+002, 4.6308718E+002, 4.6132032E+002, 4.3264126E+002, 3.9317207E+002, 3.3739625E+002,-1.7042169E+001, 1.2063440E-016, 1.5586844E-009, 7.7444654E-007, 6.7623938E-005, 1.4922938E-003, 7.5637296E-016, 1.6262824E-008, 4.5073977E-006, 1.6645767E-003, 1.1936768E-002
 4.4757576E+000, 1.1271345E+001, 2.9073866E+000, 3.3400000E+000, 8.8070986E+002, 9.4428320E+002, 8.9505633E+002, 8.1090952E+002, 7.4122204E+002, 6.6637466E+002, 4.5589842E+002, 4.7089090E+002, 4.6045079E+002, 4.2446097E+002, 3.8353862E+002, 3.2920639E+002,-1.6548193E+001, 3.2180300E-017, 8.3611524E-010, 9.1442480E-007, 2.1459862E-004, 2.7080490E-003, 1.6471608E-016, 1.2553719E-008, 8.2809870E-006, 4.1891246E-003, 1.6066619E-002
 4.9727273E+000, 1.0327895E+001, 2.9087999E+000, 3.8200000E+000, 8.4138316E+002, 8.8640926E+002, 8.3710090E+002, 7.6573687E+002, 7.1013100E+002, 6.4488169E+002, 4.5659216E+002, 4.7169563E+002, 4.5150664E+002, 4.1169283E+002, 3.7174886E+002, 3.1952246E+002,-1.6054217E+001, 3.2180300E-017, 8.3611524E-010, 9.1442480E-007, 2.1459862E-004, 2.7080490E-003, 1.6471608E-016, 1.2553719E-008, 8.2809870E-006, 4.1891246E-003, 1.6066619E-002
 5.4696970E+000, 9.5387330E+000, 2.9223870E+000, 4.3000000E+000, 8.1288278E+002, 8.3138970E+002, 7.8424365E+002, 7.2247519E+002, 6.7875156E+002, 6.2251768E+002, 4.5913404E+002, 4.6400733E+002, 4.3878650E+002, 3.9711440E+002, 3.5873481E+002, 3.0902353E+002,-1.5560241E+001, 1.2365683E-017, 3.7106208E-008, 1.1831066E-005, 6.0698564E-004, 4.7150867E-003, 6.1617777E-017, 9.7879498E-007, 2.1944805E-004, 6.8962644E-003, 2.0774349E-002
 5.9666667E+000, 8.8976324E+000, 2.9552656E+000, 4.7800000E+000, 7.8463884E+002, 7.8259936E+002, 7.3921316E+002, 6.8341884E+002, 6.4620559E+002, 5.9844247E+002, 4.7028695E+002, 4.5667726E+002, 4.2603792E+002, 3.8113039E+002, 3.4441631E+002, 2.9634531E+002,-1.5066265E+001, 1.2365683E-017, 3.7106208E-008, 1.1831066E-005, 6.0698564E-004, 4.7150867E-003, 6.1617777E-017, 9.7879498E-007, 2.1944805E-004, 6.8962644E-003, 2.0774349E-002
 6.4636364E+000, 8.3857361E+000, 3.0105857E+000, 5.2600000E+000, 7.4590525E+002, 7.3817300E+002, 6.9726125E+002, 6.4867369E+002, 6.1403805E+002, 5.7376137E+002, 4.7042433E+002, 4.4837437E+002, 4.1241627E+002, 3.6687750E+002, 3.2976621E+002, 2.8470879E+002,-1.4572289E+001, 6.4194981E-018, 1.7681281E-006, 1.5488979E-004, 1.7514053E-003, 8.0121914E-003, 2.8411051E-017, 4.3861227E-005, 2.2639689E-003, 1.3025438E-002, 2.7363645E-002
 6.9606061E+000, 7.9843036E+000, 3.0871130E+000, 5.7400000E+000, 6.9542776E+002, 6.9500444E+002, 6.5554327E+002, 6.1422982E+002, 5.8322801E+002, 5.5040862E+002, 4.5494570E+002, 4.3990509E+002, 3.9560179E+002, 3.4864459E+002, 3.1554172E+002, 2.7318818E+002,-1.4078313E+001, 6.4194981E-018, 1.7681281E-006, 1.5488979E-004, 1.7514053E-003, 8.0121914E-003, 2.8411051E-017, 4.3861227E-005, 2.2639689E-003, 1.3025438E-002, 2.7363645E-002
 7.4575758E+000, 7.6784458E+000, 3.1844499E+000, 6.2200000E+000, 6.3846859E+002, 6.5031843E+002, 6.1597066E+002, 5.7854727E+002, 5.5391439E+002, 5.2697047E+002, 4.3180441E+002, 4.2544133E+002, 3.7844469E+002, 3.2690777E+002, 2.9832104E+002, 2.5769629E+002,-1.3584337E+001, 4.5481926E-017, 3.7823665E-005, 1.1177008E-003, 4.5007080E-003, 1.3064368E-002, 7.0798539E-016, 8.6261700E-004, 1.0005012E-002, 2.2565570E-002, 3.4309201E-002
 7.9545455E+000, 7.4530290E+000, 3.3102559E+000, 6.7000000E+000, 5.8324663E+002, 6.0620005E+002, 5.7732483E+002, 5.4504851E+002, 5.2635165E+002, 5.0428709E+002, 4.0397071E+002, 4.0726558E+002, 3.5926525E+002, 3.0713128E+002, 2.7981180E+002, 2.4145730E+002,-1.3090361E+001, 4.5481926E-017, 3.7823665E-005, 1.1177008E-003, 4.5007080E-003, 1.3064368E-002, 7.0798539E-016, 8.6261700E-004, 1.0005012E-002, 2.2565570E-002, 3.4309201E-002
 8.4515152E+000, 7.2968531E+000, 3.4674340E+000, 7.1800000E+000, 5.3238180E+002, 5.6351068E+002, 5.3956252E+002, 5.1494053E+002, 4.9953546E+002, 4.8218500E+002, 3.7380926E+002, 3.8573463E+002, 3.3789833E+002, 2.9004094E+002, 2.6045473E+002, 2.2582790E+002,-1.2596386E+001, 4.1282541E-015, 2.9286845E-004, 4.6566557E-003, 9.8912176E-003, 2.0822453E-002, 8.4937464E-014, 4.4110801E-003, 3.0456992E-002, 3.5091788E-002, 4.1598156E-002
 8.9484848E+000, 7.2027769E+000, 3.6600478E+000, 7.6600000E+000, 4.8617947E+002, 5.2250709E+002, 5.0418437E+002, 4.8728669E+002, 4.7495894E+002, 4.6193666E+002, 3.3927040E+002, 3.6057217E+002, 3.1590515E+002, 2.7215808E+002, 2.4175257E+002, 2.1175930E+002,-1.2102410E+001, 4.1282541E-015, 2.9286845E-004, 4.6566557E-003, 9.8912176E-003, 2.0822453E-002, 8.4937464E-014, 4.4110801E-003, 3.0456992E-002, 3.5091788E-002, 4.1598156E-002
 9.4454545E+000, 7.1651789E+000, 3.8947807E+000, 8.1400000E+000, 4.4599566E+002, 4.8570105E+002, 4.7175296E+002, 4.6122288E+002, 4.5205008E+002, 4.4148271E+002, 3.0410065E+002, 3.3652032E+002, 2.9406506E+002, 2.5455358E+002, 2.2335346E+002, 1.9513767E+002,-1.1608434E+001, 7.1085580E-013, 1.3391103E-003, 1.0386179E-002, 1.6183533E-002, 2.8170780E-002, 1.8145844E-011, 1.0750572E-002, 6.7068345E-002, 5.0114809E-002, 4.7679051E-002
 9.9424242E+000, 7.1800786E+000, 4.1789976E+000, 8.6200000E+000, 4.1124552E+002, 4.5278891E+002, 4.3963023E+002, 4.3586279E+002, 4.3108745E+002, 4.2178868E+002, 2.6896102E+002, 3.1271830E+002, 2.6889659E+002, 2.3410889E+002, 2.0652642E+002, 1.7736120E+002,-1.1114458E+001, 4.4287059E-011, 3.2203224E-003, 1.6671922E-002, 2.3151854E-002, 3.4473323E-002, 1.1235633E-009, 1.9441438E-002, 9.3192798E-002, 6.4360606E-002, 5.3731453E-002
 1.0439394E+001, 7.2462005E+000, 4.5211489E+000, 9.1000000E+000, 3.7966493E+002, 4.2389516E+002, 4.1110958E+002, 4.1189573E+002, 4.1114744E+002, 4.0394863E+002, 2.2845122E+002, 2.8741156E+002, 2.4402821E+002, 2.1169714E+002, 1.9053450E+002, 1.6134572E+002,-1.0620482E+001, 2.2668070E-009, 6.6714179E-003, 2.2553735E-002, 3.0101624E-002, 4.0601216E-002, 5.5780402E-008, 3.0134531E-002, 1.0321475E-001, 7.3081344E-002, 5.7666966E-002
 1.0936364E+001, 7.3645476E+000, 4.9275896E+000, 9.5800000E+000, 3.5054436E+002, 3.9936007E+002, 3.8610062E+002, 3.9002533E+002, 3.9201643E+002, 3.8826407E+002, 1.7981936E+002, 2.6078162E+002, 2.1920162E+002, 1.9037408E+002, 1.7336725E+002, 1.4739801E+002,-1.0126506E+001, 1.0141391E-007, 1.2150382E-002, 3.0375923E-002, 3.7776700E-002, 4.6652134E-002, 2.4107372E-006, 4.6407889E-002, 1.1701676E-001, 8.1886057E-002, 6.1215809E-002
 1.1433333E+001, 7.5347609E+000, 5.3988988E+000, 1.0060000E+001, 3.2729704E+002, 3.7716085E+002, 3.6627267E+002, 3.7043428E+002, 3.7487542E+002, 3.7423576E+002, 1.3295590E+002, 2.3198824E+002, 1.9603556E+002, 1.6867985E+002, 1.5550642E+002, 1.3285696E+002,-9.6325301E+000, 2.6984053E-006, 1.9624229E-002, 4.0327082E-002, 4.6249723E-002, 5.2957507E-002, 5.5980177E-005, 6.4517740E-002, 1.3542724E-001, 9.1920278E-002, 6.4233836E-002
 1.1930303E+001, 7.7555297E+000, 5.9283264E+000, 1.0540000E+001, 3.1149119E+002, 3.5717277E+002, 3.5059641E+002, 3.5289792E+002, 3.5989178E+002, 3.6192474E+002, 9.1544927E+001, 2.0208593E+002, 1.7442064E+002, 1.4687438E+002, 1.3816327E+002, 1.1951765E+002,-9.1385542E+000, 4.0155544E-005, 2.9173331E-002, 5.4167168E-002, 5.5494561E-002, 5.9820978E-002, 6.6664245E-004, 8.4916538E-002, 1.6355810E-001, 1.0303815E-001, 6.8875250E-002
 1.2427273E+001, 8.0194387E+000, 6.4911429E+000, 1.1020000E+001, 3.0207676E+002, 3.3962158E+002, 3.3707121E+002, 3.3828570E+002, 3.4634932E+002, 3.5006017E+002, 5.3893511E+001, 1.6977901E+002, 1.5249916E+002, 1.2742632E+002, 1.2068046E+002, 1.0686901E+002,-8.6445783E+000, 3.4073554E-004, 4.1630516E-002, 7.1402869E-002, 6.5699875E-002, 6.6973547E-002, 3.7217317E-003, 1.1167614E-001, 1.9832255E-001, 1.1507513E-001, 7.5588771E-002
 1.2924242E+001, 8.3126074E+000, 7.0563366E+000, 1.1500000E+001, 2.9700891E+002, 3.2339979E+002, 3.2395357E+002, 3.2521322E+002, 3.3211852E+002, 3.3860105E+002, 2.0346982E+001, 1.3224568E+002, 1.2329555E+002, 1.0485795E+002, 9.8190290E+001, 9.1194019E+001,-8.1506024E+000, 1.7333270E-003, 5.8241981E-002, 9.0146685E-002, 7.7025605E-002, 7.4750324E-002, 1.0664327E-002, 1.4814091E-001, 2.2682562E-001, 1.2655710E-001, 8.3398520E-002
 1.3421212E+001, 8.6216284E+000, 7.6038518E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.6566265E+000, 6.3124899E-003, 7.8659181E-002, 1.1092128E-001, 8.9256761E-002, 8.2791646E-002, 2.2359358E-002, 1.8649313E-001, 2.5026117E-001, 1.4023725E-001, 9.3300421E-002
 1.3918182E+001, 8.9345314E+000, 8.1142058E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.1626506E+000, 1.6737670E-002, 1.0338893E-001, 1.3631657E-001, 1.0127457E-001, 9.1318208E-002, 3.8400972E-002, 2.2790862E-001, 2.8029329E-001, 1.5257340E-001, 1.0426457E-001
 1.4415152E+001, 9.2395028E+000, 8.5836468E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6686747E+000, 3.3754549E-002, 1.3454628E-001, 1.6246269E-001, 1.1368238E-001, 1.0004360E-001, 5.4796010E-002, 2.7525334E-001, 3.0679494E-001, 1.6629768E-001, 1.1574135E-001
 1.4912121E+001, 9.5265602E+000, 9.0059165E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1746988E+000, 5.6173262E-002, 1.6864023E-001, 1.8929016E-001, 1.2742897E-001, 1.0922904E-001, 6.8812863E-002, 3.1941919E-001, 3.3212638E-001, 1.8263116E-001, 1.2866983E-001
 1.5409091E+001, 9.7961548E+000, 9.3944371E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.6807229E+000, 8.1344325E-002, 2.0264885E-001, 2.1875247E-001, 1.4385507E-001, 1.1805832E-001, 8.0084179E-002, 3.5558498E-001, 3.6500947E-001, 2.0523758E-001, 1.3976378E-001
 1.5906061E+001, 1.0045037E+001, 9.7419554E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.1867470E+000, 1.0620095E-001, 2.3489730E-001, 2.4765175E-001, 1.6364274E-001, 1.2703407E-001, 9.5883167E-002, 3.8336424E-001, 3.9259115E-001, 2.3439880E-001, 1.5156656E-001
 1.6403030E+001, 1.0266709E+001, 1.0042406E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6927711E+000, 1.3714494E-001, 2.6680804E-001, 2.8018438E-001, 1.8542241E-001, 1.3552694E-001, 1.4373862E-001, 4.1167299E-001, 4.2343346E-001, 2.6548663E-001, 1.6125779E-001
 1.6900000E+001, 1.0460850E+001, 1.0310358E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.1987952E+000, 1.9074447E-001, 3.1136164E-001, 3.1932773E-001, 2.0949877E-001, 1.4435513E-001, 2.4889644E-001, 4.5750561E-001, 4.5923580E-001, 2.9804062E-001, 1.7254767E-001
 1.7396970E+001, 1.0634381E+001, 1.0570432E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7048193E+000, 2.9652969E-001, 3.7535448E-001, 3.6818099E-001, 2.3639101E-001, 1.5490159E-001, 4.0630091E-001, 5.2095951E-001, 4.9906947E-001, 3.3374145E-001, 1.8704372E-001
 1.7893939E+001, 1.0791934E+001, 1.0823819E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2108434E+000, 4.8590168E-001, 4.6679765E-001, 4.3413152E-001, 2.6719810E-001, 1.6614445E-001, 5.7893132E-001, 5.9232640E-001, 5.4781084E-001, 3.6990627E-001, 2.0438204E-001
 1.8390909E+001, 1.0925925E+001, 1.1052988E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7168675E+000, 7.4959653E-001, 6.0518561E-001, 5.2415778E-001, 3.0229923E-001, 1.7686646E-001, 6.9950711E-001, 6.6558640E-001, 6.0344313E-001, 4.0695855E-001, 2.1900518E-001
 1.8887879E+001, 1.1034092E+001, 1.1251524E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2228916E+000, 1.0897071E+000, 7.9341333E-001, 6.4164589E-001, 3.4023321E-001, 1.8752680E-001, 7.2782858E-001, 7.2222064E-001, 6.5590425E-001, 4.4230278E-001, 2.3371200E-001
 1.9384848E+001, 1.1118304E+001, 1.1423069E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7289157E+000, 1.4813890E+000, 1.0342468E+000, 7.7751342E-001, 3.8028018E-001, 1.9728602E-001, 6.1462791E-001, 7.4010373E-001, 6.9832235E-001, 4.7698455E-001, 2.4643069E-001
 1.9881818E+001, 1.1180407E+001, 1.1571484E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2349398E+000, 1.7904720E+000, 1.2903589E+000, 9.1685831E-001, 4.1904698E-001, 2.0587759E-001, 3.9091792E-001, 6.9456862E-001, 7.1596183E-001, 5.0500596E-001, 2.5881513E-001
 2.0378788E+001, 1.1221325E+001, 1.1695134E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.4096386E-001, 1.9424869E+000, 1.5046419E+000, 1.0454419E+000, 4.5523046E-001, 2.1256656E-001, 1.9884653E-001, 5.9948152E-001, 7.1463030E-001, 5.2979990E-001, 2.6975446E-001
