D,m,cm,ppm,ppm
height_over_D,z,radius,sootVF_mean,sootVF_rms
5.000000E-01,3.200000E-01,2.000000E-01,9.745330E-01,4.281904E-01
5.000000E-01,3.200000E-01,6.000000E-01,1.071250E+00,5.092956E-01
5.000000E-01,3.200000E-01,1.000000E+00,1.135330E+00,5.756796E-01
5.000000E-01,3.200000E-01,1.400000E+00,1.134490E+00,6.574192E-01
5.000000E-01,3.200000E-01,1.800000E+00,1.107720E+00,8.170893E-01
5.000000E-01,3.200000E-01,2.200000E+00,1.136770E+00,1.095541E+00
5.000000E-01,3.200000E-01,2.600000E+00,1.035490E+00,1.008563E+00
5.000000E-01,3.200000E-01,3.000000E+00,7.613010E-01,8.790830E-01
5.000000E-01,3.200000E-01,3.400000E+00,4.480010E-01,5.916452E-01
5.000000E-01,3.200000E-01,3.800000E+00,3.277830E-01,4.530188E-01
5.000000E-01,3.200000E-01,4.200000E+00,2.442110E-01,4.142403E-01
5.000000E-01,3.200000E-01,4.200000E+00,1.846550E-01,3.336016E-01
5.000000E-01,3.200000E-01,4.600000E+00,1.300980E-01,2.523682E-01
5.000000E-01,3.200000E-01,5.000000E+00,1.097830E-01,2.213497E-01
5.000000E-01,3.200000E-01,5.400000E+00,9.023690E-02,1.866229E-01
5.000000E-01,3.200000E-01,5.800000E+00,6.338840E-02,1.475202E-01
5.000000E-01,3.200000E-01,6.200000E+00,4.474290E-02,1.338428E-01
5.000000E-01,3.200000E-01,6.600000E+00,1.825490E-02,8.505146E-02
5.000000E-01,3.200000E-01,7.000000E+00,2.154940E-03,1.332618E-02
5.000000E-01,3.200000E-01,7.400000E+00,6.680060E-04,4.924206E-03
5.000000E-01,3.200000E-01,7.800000E+00,1.410080E-04,9.851842E-04
5.000000E-01,3.200000E-01,8.200000E+00,8.788610E-05,8.896943E-04
5.000000E-01,3.200000E-01,8.600000E+00,6.757690E-05,7.923724E-04
5.000000E-01,3.200000E-01,9.000000E+00,2.465060E-05,2.349851E-04
5.000000E-01,3.200000E-01,9.400000E+00,1.786000E-05,1.909704E-04
5.000000E-01,3.200000E-01,9.800000E+00,2.039690E-05,2.587410E-04
5.000000E-01,3.200000E-01,1.020000E+01,2.533310E-05,3.428659E-04
5.000000E-01,3.200000E-01,1.060000E+01,3.989280E-05,5.235685E-04
5.000000E-01,3.200000E-01,1.100000E+01,9.623660E-05,1.221986E-03
5.000000E-01,3.200000E-01,1.140000E+01,4.551870E-04,5.774937E-03
5.000000E-01,3.200000E-01,1.180000E+01,2.140130E-04,3.414411E-03
