cm,kW,kW,cm,K,K,K,K,K,K,K,K,K,K,K,K,K,K,cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_0p5D,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_0p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,r_Vel,U_0p5D,U_1p0D,U_1p5D,U_2p0D,U_2p5D,U_3p0D,U_3p5D,W_0p5D,W_1p0D,W_1p5D,W_2p0D,W_2p5D,W_3p0D,W_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 1.0000000E+000, 4.6334768E+000, 2.2730445E-001,-5.0000000E-001, 1.1777006E+003, 1.2613644E+003, 1.2883728E+003, 1.2833435E+003, 1.2041303E+003, 1.0863400E+003, 8.9868246E+002, 3.7723904E+001, 3.4929371E+001, 5.4525289E+001, 1.2887520E+002, 2.3068339E+002, 2.7882510E+002, 2.6033709E+002,-1.1500000E+001, 7.9289242E-002, 9.2470529E-002, 9.1681530E-002, 8.9927447E-002, 8.9899474E-002, 8.8506290E-002, 1.0033120E-001, 4.5276005E-002, 1.3236641E-001, 1.3733690E-001, 1.6806002E-001, 2.5607664E-001, 3.8125295E-001, 5.1605118E-001,-2.0500000E+001, 6.9865072E-007, 3.7685436E-006, 6.3972234E-006, 7.4764476E-005, 1.5708564E-003, 1.1320192E-006, 5.9621089E-006, 1.2333081E-005, 1.6158311E-004, 1.2020819E-003
 3.0000000E+000, 5.3072710E+000, 3.2315438E-001, 1.5000000E+000, 1.1518201E+003, 1.2460366E+003, 1.2828718E+003, 1.2921114E+003, 1.2246724E+003, 1.1014149E+003, 9.0741808E+002, 3.9629538E+001, 3.4275578E+001, 3.7036482E+001, 9.3304108E+001, 2.0673019E+002, 2.7016596E+002, 2.7913433E+002,-9.4090909E+000, 9.2363236E-002, 7.9382998E-002, 1.0044536E-001, 8.7801788E-002, 8.0013518E-002, 7.6672262E-002, 6.3593558E-002, 1.7781122E-001, 1.4780012E-001, 2.3384154E-001, 4.3222378E-001, 6.7450527E-001, 8.8302885E-001, 1.0352975E+000,-1.8450000E+001, 7.2161594E-007, 2.8003693E-006, 4.7411974E-006, 7.6638177E-005, 1.6664867E-003, 1.2066392E-006, 4.5135200E-006, 8.7483663E-006, 1.7826736E-004, 1.3229624E-003
 5.0000000E+000, 5.8792016E+000, 4.8968856E-001, 3.5000000E+000, 1.2513718E+003, 1.2887342E+003, 1.1751946E+003, 1.0573895E+003, 9.5077461E+002, 8.6716262E+002, 7.5658651E+002, 3.4493432E+001, 1.4592767E+002, 2.3103365E+002, 2.7561129E+002, 3.0721310E+002, 3.0185594E+002, 2.6379266E+002,-7.3181818E+000, 1.4442770E-001, 1.1057612E-001, 8.3031281E-002, 5.2283564E-002, 3.9974574E-002, 4.1888587E-002, 5.2492205E-002, 1.4962574E-001, 5.0167128E-001, 7.1622879E-001, 1.0261923E+000, 1.3294372E+000, 1.5284522E+000, 1.6623201E+000,-1.6400000E+001, 8.1256329E-007, 1.7094553E-006, 4.4017170E-006, 1.7572403E-004, 2.3093418E-003, 1.4010841E-006, 2.4844837E-006, 7.2083636E-006, 6.7465257E-004, 3.7895934E-003
 7.0000000E+000, 6.3447210E+000, 6.4863267E-001, 5.5000000E+000, 7.0700480E+002, 6.4048669E+002, 6.6435184E+002, 6.6870532E+002, 6.6157183E+002, 6.4370376E+002, 6.0485589E+002, 1.4950006E+002, 1.7820484E+002, 2.2651228E+002, 2.4877990E+002, 2.5625437E+002, 2.4495854E+002, 2.1263995E+002,-5.2272727E+000, 1.1947563E-001, 3.6087746E-002, 2.4383323E-002,-1.0584062E-003,-1.4115978E-003,-3.3300904E-003, 1.8014823E-002, 1.0288425E+000, 1.2242784E+000, 1.3997959E+000, 1.7103741E+000, 2.0687229E+000, 2.2831885E+000, 2.3691520E+000,-1.4350000E+001, 1.3826931E-006, 1.8734526E-006, 2.3513370E-005, 7.2445949E-004, 3.6256561E-003, 1.5172409E-006, 2.3269185E-006, 8.8758813E-005, 2.6624571E-003, 6.1296420E-003
 9.0000000E+000, 6.5999300E+000, 8.0188271E-001, 7.5000000E+000, 3.4714390E+002, 3.7956609E+002, 4.2607423E+002, 4.6146346E+002, 4.8487777E+002, 4.9281158E+002, 4.8767325E+002, 2.4229412E+001, 7.5066090E+001, 1.2653739E+002, 1.5309362E+002, 1.6509611E+002, 1.6907885E+002, 1.5859843E+002,-3.1363636E+000, 1.9184593E-001, 6.5483389E-002, 2.7845782E-003,-4.6510431E-002,-3.9629539E-002,-3.3612389E-002,-6.9169545E-003, 1.8206596E+000, 2.5865621E+000, 2.8469390E+000, 3.0042761E+000, 3.0734853E+000, 3.1191242E+000, 3.1067699E+000,-1.2300000E+001, 1.2746469E-005, 2.1050620E-005, 4.0445370E-004, 2.7268242E-003, 7.1748216E-003, 8.3542880E-006, 5.5266667E-005, 1.7712603E-003, 5.6798470E-003, 8.6788106E-003
 1.1000000E+001, 6.6173787E+000, 9.4799952E-001, 9.5000000E+000, 3.0153544E+002, 3.0572980E+002, 3.3214827E+002, 3.5919903E+002, 3.8441945E+002, 3.9706547E+002, 4.0626761E+002, 2.4668579E+000, 1.8732037E+001, 6.1267280E+001, 8.2108325E+001, 9.6247553E+001, 1.0256977E+002, 1.0797661E+002,-1.0454545E+000, 1.5838316E-001, 8.5878955E-002, 3.0326508E-002,-1.6164087E-002,-3.1759200E-003,-1.6921952E-002,-1.4126928E-002, 1.8854481E+000, 2.9313028E+000, 3.4672002E+000, 3.9519334E+000, 4.1588630E+000, 4.0794999E+000, 3.8582745E+000,-1.0250000E+001, 1.8343378E-004, 6.0947520E-004, 2.8685180E-003, 9.1045281E-003, 1.4604113E-002, 9.2828411E-005, 1.3416350E-003, 6.3884450E-003, 1.0877476E-002, 1.3002299E-002
 1.3000000E+001, 6.4534922E+000, 1.0635182E+000, 1.1500000E+001, 2.9371782E+002, 2.9437841E+002, 3.0232622E+002, 3.1420168E+002, 3.2915862E+002, 3.3865216E+002, 3.5274111E+002, 2.3880641E-001, 2.1958108E+000, 2.5189519E+001, 4.2754580E+001, 5.3445583E+001, 5.9704957E+001, 6.7074923E+001, 1.0454545E+000,-1.6642911E-001,-9.1791564E-002,-4.1307186E-002, 2.7804884E-003, 4.3382197E-002, 4.2626584E-002, 4.1979761E-002, 1.8629869E+000, 2.9309141E+000, 3.4932733E+000, 4.0116618E+000, 4.2411474E+000, 4.1313231E+000, 3.8533315E+000,-8.2000000E+000, 3.0015523E-003, 5.8922792E-003, 1.1737121E-002, 2.1011926E-002, 2.5659775E-002, 1.3611187E-003, 8.0526771E-003, 1.2886604E-002, 1.6415875E-002, 1.7446029E-002
 1.5000000E+001, 6.2199672E+000, 1.1384159E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1363636E+000,-1.8977126E-001,-7.4688395E-002,-2.5053126E-003, 5.0390351E-002, 6.9658029E-002, 4.7570031E-002, 4.4672412E-002, 1.8293931E+000, 2.6972545E+000, 3.0373395E+000, 3.2450678E+000, 3.2528225E+000, 3.1751363E+000, 3.1209303E+000,-6.1500000E+000, 2.1629682E-002, 2.6693639E-002, 3.1169877E-002, 3.8941272E-002, 4.0445677E-002, 9.0732658E-003, 1.7469654E-002, 2.0835126E-002, 2.3289477E-002, 2.2092492E-002
 1.7000000E+001, 5.9573593E+000, 1.1761546E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.2272727E+000,-1.1559450E-001,-4.8773534E-002,-3.5038738E-002,-1.4653526E-002,-3.1894412E-004, 2.3049756E-002, 2.3454543E-002, 9.5163925E-001, 1.2015385E+000, 1.4464103E+000, 1.7753861E+000, 2.0879686E+000, 2.3095882E+000, 2.4110936E+000,-4.1000000E+000, 8.7269068E-002, 7.4374948E-002, 6.7507382E-002, 6.6088775E-002, 5.7779416E-002, 1.7586172E-002, 2.8770928E-002, 3.2883130E-002, 3.5031808E-002, 2.5939498E-002
 1.9000000E+001, 5.7189562E+000, 1.1829352E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.3181818E+000,-1.5075726E-001,-1.1140863E-001,-9.0913236E-002,-7.7810099E-002,-4.8690229E-002,-2.4037954E-002,-1.1629135E-002, 1.2990888E-001, 4.8159532E-001, 7.0692608E-001, 1.0367061E+000, 1.3463958E+000, 1.6147862E+000, 1.7505080E+000,-2.0500000E+000, 3.4571333E-001, 2.1734727E-001, 1.6162593E-001, 1.1560555E-001, 7.7931171E-002, 7.8022985E-002, 1.0585306E-001, 8.7178871E-002, 6.1244737E-002, 3.0099646E-002
