s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7317467E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7317467E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0026727E-001, 2.5834288E+000, 0.0000000E+000,-6.9301765E-001, 3.1735023E-002,-2.7409703E-002, 3.4990304E-004, 0.0000000E+000, 0.0000000E+000, 1.8087655E+000, 1.8950864E+000, 1.6621085E-002, 7.7056440E-005,-2.7762258E-092,-7.8633545E-080
 1.0002203E+000, 7.1043347E+000, 0.0000000E+000,-2.1159674E+000, 9.0154736E-002, 8.4126914E-003, 1.7404728E-003, 0.0000000E+000, 0.0000000E+000, 5.0238915E+000, 5.0886752E+000, 4.4007438E-002, 1.9840765E-004,-2.3424350E-077,-1.7433759E-068
 1.5007389E+000, 1.1366981E+001, 0.0000000E+000,-3.3873342E+000,-4.4564889E+000,-1.3791580E-001, 2.9680226E-003, 0.0000000E+000, 0.0000000E+000, 3.4396921E+000, 3.3882103E+000, 5.9175511E-002, 2.6659826E-004,-9.4490365E-071,-5.0212370E-063
 2.0004239E+000, 1.3152605E+001, 0.0000000E+000,-3.9320565E+000,-6.4382947E+000,-2.0674342E-001, 3.3921405E-003, 0.0000000E+000, 0.0000000E+000, 2.6686788E+000, 2.5789026E+000, 6.5900038E-002, 2.9683287E-004,-3.3875809E-067,-5.2711171E-060
 2.5006726E+000, 1.3935911E+001, 0.0000000E+000,-4.1744587E+000,-6.9594287E+000,-2.5802769E-001, 3.6163167E-003, 0.0000000E+000, 0.0000000E+000, 2.6001681E+000, 2.5476124E+000, 6.8566016E-002, 3.0881794E-004,-2.4248394E-065,-2.1142191E-058
 3.0007830E+000, 1.4337907E+001, 0.0000000E+000,-4.2839608E+000,-7.7934006E+000,-2.7245617E-001, 3.6698178E-003, 0.0000000E+000, 0.0000000E+000, 2.0369958E+000, 1.9917589E+000, 6.9575800E-002, 3.1335798E-004,-7.3312195E-064,-1.8737879E-057
 3.5006921E+000, 1.4740394E+001, 0.0000000E+000,-4.4258319E+000,-8.2916027E+000,-3.0306492E-001, 3.6727932E-003, 0.0000000E+000, 0.0000000E+000, 1.7893146E+000, 1.7235670E+000, 6.9951093E-002, 3.1504512E-004,-1.9576732E-060,-7.6806287E-055
 4.0007877E+000, 1.4230628E+001, 0.0000000E+000,-4.2521519E+000,-8.8459866E+000,-3.1526047E-001, 3.6906059E-003, 0.0000000E+000, 0.0000000E+000, 8.9892550E-001, 8.2091980E-001, 7.0089695E-002, 3.1566817E-004,-2.3231485E-057,-2.0143523E-052
