Time,Chi_r
0.500, 0.283
1.000, 0.299
1.500, 0.300
2.000, 0.300
2.500, 0.299
3.000, 0.300
3.500, 0.299
4.000, 0.300
4.500, 0.299
5.000, 0.300
5.500, 0.300
6.000, 0.299
6.500, 0.299
7.000, 0.300
7.500, 0.299
8.000, 0.299
8.500, 0.299
9.000, 0.300
9.500, 0.299
10.000, 0.300
10.500, 0.299
11.000, 0.299
11.500, 0.299
12.000, 0.300
12.500, 0.299
13.000, 0.300
13.500, 0.299
14.000, 0.300
14.500, 0.299
15.000, 0.300
15.500, 0.299
16.000, 0.299
16.500, 0.300
17.000, 0.299
17.500, 0.299
18.000, 0.301
18.500, 0.299
19.000, 0.300
19.500, 0.299
20.000, 0.299
20.500, 0.299
21.000, 0.300
21.500, 0.299
22.000, 0.300
22.500, 0.298
23.000, 0.300
23.500, 0.298
24.000, 0.300
24.500, 0.299
25.000, 0.300
25.500, 0.300
26.000, 0.300
26.500, 0.300
27.000, 0.299
27.500, 0.299
28.000, 0.299
28.500, 0.299
29.000, 0.300
29.500, 0.299
30.000, 0.300
30.500, 0.299
31.000, 0.300
31.500, 0.299
32.000, 0.299
32.500, 0.300
33.000, 0.299
33.500, 0.299
34.000, 0.300
34.500, 0.299
35.000, 0.299
35.500, 0.300
36.000, 0.300
36.500, 0.299
37.000, 0.301
37.500, 0.300
38.000, 0.300
38.500, 0.299
39.000, 0.299
39.500, 0.301
40.000, 0.299
