s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2734499E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2734499E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0059831E-001, 2.2545543E+000, 0.0000000E+000,-7.3167238E-001, 2.8635650E-002,-1.2841329E-001, 2.2252442E-004, 0.0000000E+000, 0.0000000E+000, 1.4214410E+000, 1.4233268E+000, 1.6853029E-002, 7.6535751E-005,-6.4677955E-100,-1.8591920E-087
 1.0000318E+000, 5.9352990E+000, 0.0000000E+000,-2.0090009E+000, 7.5043389E-002,-6.1982269E-002, 8.6081162E-004, 0.0000000E+000, 0.0000000E+000, 3.8523509E+000, 3.9402200E+000, 4.4272540E-002, 1.9838154E-004,-5.9190160E-085,-7.2028639E-076
 1.5003670E+000, 1.0311104E+001, 0.0000000E+000,-3.5090467E+000,-2.3751615E+000,-7.1763912E-002, 1.4006510E-003, 0.0000000E+000, 0.0000000E+000, 4.3250165E+000, 4.3565322E+000, 5.9511994E-002, 2.6655422E-004,-5.2321475E-078,-5.6485480E-070
 2.0001440E+000, 1.1733445E+001, 0.0000000E+000,-3.9780213E+000,-6.0368129E+000,-1.6855132E-001, 1.6054344E-003, 0.0000000E+000, 0.0000000E+000, 1.5243074E+000, 1.5516653E+000, 6.6274813E-002, 2.9681283E-004,-3.4261518E-074,-1.1286963E-066
 2.5003037E+000, 1.3604004E+001, 0.0000000E+000,-4.6195525E+000,-6.0356170E+000,-2.1003766E-001, 1.7415414E-003, 0.0000000E+000, 0.0000000E+000, 2.6681569E+000, 2.7405384E+000, 6.8956694E-002, 3.0881048E-004,-3.6326725E-072,-6.1775165E-065
 3.0004172E+000, 1.4574780E+001, 0.0000000E+000,-4.9547994E+000,-7.8787000E+000,-3.0065397E-001, 1.8280864E-003, 0.0000000E+000, 0.0000000E+000, 1.4623713E+000, 1.4424545E+000, 6.9972440E-002, 3.1335474E-004,-6.1356000E-069,-3.7146161E-063
 3.5001304E+000, 1.4116260E+001, 0.0000000E+000,-4.7927933E+000,-7.6317434E+000,-2.9023076E-001, 1.8217919E-003, 0.0000000E+000, 0.0000000E+000, 1.3908978E+000, 1.4033140E+000, 7.0349931E-002, 3.1504378E-004,-9.5500300E-065,-1.2571610E-059
 4.0003834E+000, 1.4640228E+001, 0.0000000E+000,-4.9673009E+000,-6.6393828E+000,-3.1161765E-001, 1.8257790E-003, 0.0000000E+000, 0.0000000E+000, 2.6552450E+000, 2.7237522E+000, 7.0489371E-002, 3.1566766E-004,-2.8032828E-061,-1.0986607E-056
 4.5000510E+000, 1.4575192E+001, 0.0000000E+000,-4.9614742E+000,-6.9912784E+000,-3.2184780E-001, 1.8253055E-003, 0.0000000E+000, 0.0000000E+000, 2.2804702E+000, 2.3024169E+000, 7.0540755E-002, 3.1589755E-004,-2.1295768E-058,-3.4780867E-054
 5.0000396E+000, 1.4641858E+001, 0.0000000E+000,-4.9667645E+000,-7.4881601E+000,-2.9794267E-001, 1.8055047E-003, 0.0000000E+000, 0.0000000E+000, 1.7686023E+000, 1.8907967E+000, 7.0559665E-002, 3.1598214E-004,-4.7132920E-056,-3.6928088E-052
 5.5000196E+000, 1.4208669E+001, 0.0000000E+000,-4.8175497E+000,-7.7253953E+000,-3.2461779E-001, 1.8118562E-003, 0.0000000E+000, 0.0000000E+000, 1.3110198E+000, 1.3429184E+000, 7.0566624E-002, 3.1601330E-004,-4.2627496E-054,-1.8329048E-050
