s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7935936E-003, 1.1589909E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7935935E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001343E+000, 3.1171427E+000, 0.0000000E+000,-8.0547442E-001,-1.4161898E-001,-1.3412016E-001, 4.5217130E-004, 0.0000000E+000,-6.5806227E-002, 2.1324257E+000, 1.9705751E+000, 3.2112000E-001, 0.0000000E+000, 7.7549297E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5394760E-006
 2.0001090E+000, 7.6568528E+000, 0.0000000E+000,-2.5343413E+000,-3.5748911E+000,-9.5390593E-002, 1.5097291E-003, 0.0000000E+000,-1.4731992E-001, 1.3038282E+000, 1.3064195E+000, 3.2112000E-001, 0.0000000E+000, 1.5905350E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9565452E-005
 3.0002077E+000, 8.8866502E+000, 0.0000000E+000,-2.9526509E+000,-5.4180758E+000,-8.9057194E-002, 2.3506605E-003, 0.0000000E+000,-1.5387810E-001, 2.7761853E-001, 2.7533890E-001, 3.2112000E-001, 0.0000000E+000, 1.7565823E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608029E-005
 4.0001326E+000, 9.2221982E+000, 0.0000000E+000,-3.0113695E+000,-5.4094973E+000,-9.2839747E-002, 3.1360840E-003, 0.0000000E+000,-1.5349659E-001, 5.6491912E-001, 5.5813111E-001, 3.2112000E-001, 0.0000000E+000, 1.7807178E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1904925E-005
 5.0001926E+000, 9.1443025E+000, 0.0000000E+000,-2.8406880E+000,-5.2644053E+000,-9.1532569E-002, 3.7772971E-003, 0.0000000E+000,-1.5511809E-001, 8.1163841E-001, 7.9633581E-001, 3.2112000E-001, 0.0000000E+000, 1.7840171E-004, 0.0000000E+000, 0.0000000E+000, 7.9295862E-008, 0.0000000E+000, 2.1945510E-005
 6.0000458E+000, 9.1436001E+000, 0.0000000E+000,-2.9099585E+000,-6.3467076E+000,-9.0685046E-002, 4.3407112E-003, 0.0000000E+000,-1.5518407E-001,-3.4250989E-001,-3.5459452E-001, 3.2112000E-001, 0.0000000E+000, 1.7844643E-004, 0.0000000E+000, 0.0000000E+000, 4.3225247E-003, 0.0000000E+000, 2.1951010E-005
 7.0002003E+000, 9.1611324E+000, 0.0000000E+000,-2.8417232E+000,-5.5755962E+000,-9.2269973E-002, 5.0079315E-003, 0.0000000E+000,-1.5497869E-001, 5.1629073E-001, 5.0157226E-001, 3.2112000E-001, 0.0000000E+000, 1.7845248E-004, 0.0000000E+000, 0.0000000E+000, 1.2962517E-002, 0.0000000E+000, 2.1951755E-005
 8.0000820E+000, 9.1395810E+000, 0.0000000E+000,-2.8382315E+000,-6.4049962E+000,-8.9651017E-002, 5.4912936E-003, 0.0000000E+000,-1.5374183E-001,-3.2569347E-001,-3.4154821E-001, 3.2112000E-001, 0.0000000E+000, 1.7845330E-004, 0.0000000E+000, 0.0000000E+000, 2.1602803E-002, 0.0000000E+000, 2.1951856E-005
