XO2,eta,Chi_R
0.208,  0.00,  2.79
0.208,  0.33,  0.27
0.208,  0.82,  0.34
0.208,  0.96,  0.34
0.208,  1.00,  0.33
0.208,  0.98,  0.32
0.207,  0.98,  0.33
0.203,  0.98,  0.32
0.197,  0.98,  0.32
0.192,  0.99,  0.31
0.187,  0.98,  0.30
0.182,  0.98,  0.29
0.178,  0.98,  0.28
0.174,  0.99,  0.27
0.170,  0.98,  0.26
0.166,  0.99,  0.25
0.162,  0.98,  0.24
0.159,  0.98,  0.24
0.155,  0.98,  0.23
0.152,  0.98,  0.22
0.149,  0.98,  0.21
0.146,  0.98,  0.20
0.143,  0.98,  0.19
0.141,  0.98,  0.18
0.138,  0.97,  0.17
0.135,  0.99,  0.16
0.133,  0.97,  0.15
0.131,  0.97,  0.15
0.128,  0.98,  0.14
0.126,  0.98,  0.13
0.124,  0.99,  0.12
0.122,  0.97,  0.11
0.120,  0.96,  0.10
0.118,  0.95,  0.09
0.116,  0.97,  0.09
0.115,  0.95,  0.08
0.113,  0.91,  0.07
0.111,  0.93,  0.05
0.110,  0.92,  0.04
0.108,  0.89,  0.03
0.106,  0.77,  0.02
0.105,  0.63,  0.01
0.103,  0.47,  0.00
0.102,  0.24,  0.00
0.101,  0.06,  0.00
0.099,  0.00,  0.00
0.098,  0.00,  0.01
0.097,  0.00,  0.05
0.096,  0.00,  0.03
0.094,  0.00,  0.04
0.093,  0.00,  0.01
0.092,  0.00,  0.02
0.091,  0.00,  0.00
0.090,  0.00,  0.00
0.089,  0.00,  0.00
0.088,  0.00,  0.00
0.087,  0.00,  0.00
0.086,  0.00,  0.00
0.085,  0.00,  0.00
0.084,  0.00,  0.00
0.083,  0.00,  0.00
0.082,  0.00,  0.00
0.081,  0.00,  0.00
0.080,  0.00,  0.00
0.079,  0.00,  0.00
0.078,  0.00,  0.00
