s,mol/mol
Time,XO2
 0.0000000E+000, 2.0755882E-001
 1.0015217E+000, 2.0755882E-001
 2.0024499E+000, 2.0755882E-001
 3.0019508E+000, 2.0755882E-001
 4.0018338E+000, 2.0755882E-001
 5.0009043E+000, 2.0755882E-001
 6.0001298E+000, 2.0745570E-001
 7.0010411E+000, 2.0244624E-001
 8.0009927E+000, 1.9701009E-001
 9.0016672E+000, 1.9185319E-001
 1.0001344E+001, 1.8697572E-001
 1.1001491E+001, 1.8234048E-001
 1.2002196E+001, 1.7792118E-001
 1.3001328E+001, 1.7376028E-001
 1.4000770E+001, 1.6971505E-001
 1.5000783E+001, 1.6593747E-001
 1.6000544E+001, 1.6224276E-001
 1.7001621E+001, 1.5879733E-001
 1.8002013E+001, 1.5538684E-001
 1.9000957E+001, 1.5224284E-001
 2.0002080E+001, 1.4914368E-001
 2.1000655E+001, 1.4619206E-001
 2.2000776E+001, 1.4336017E-001
 2.3000557E+001, 1.4062771E-001
 2.4001884E+001, 1.3802461E-001
 2.5001140E+001, 1.3549493E-001
 2.6000108E+001, 1.3307838E-001
 2.7001546E+001, 1.3073038E-001
 2.8000761E+001, 1.2847183E-001
 2.9001748E+001, 1.2627552E-001
 3.0000631E+001, 1.2417743E-001
 3.1000049E+001, 1.2213447E-001
 3.2000335E+001, 1.2016267E-001
 3.3002574E+001, 1.1825463E-001
 3.4000485E+001, 1.1641346E-001
 3.5001183E+001, 1.1459480E-001
 3.6000062E+001, 1.1286052E-001
 3.7003559E+001, 1.1117555E-001
 3.8005675E+001, 1.0953635E-001
 3.9001612E+001, 1.0796565E-001
 4.0000445E+001, 1.0641793E-001
 4.1005089E+001, 1.0492374E-001
 4.2004026E+001, 1.0349090E-001
 4.3008271E+001, 1.0205847E-001
 4.4016341E+001, 1.0066333E-001
 4.5007885E+001, 9.9361690E-002
 4.6015954E+001, 9.8015252E-002
 4.7008739E+001, 9.6768214E-002
 4.8004534E+001, 9.5524650E-002
 4.9000329E+001, 9.4320445E-002
 5.0010986E+001, 9.3136613E-002
 5.1006780E+001, 9.1998627E-002
 5.2000708E+001, 9.0910061E-002
 5.3010104E+001, 8.9785228E-002
 5.4010055E+001, 8.8715321E-002
 5.5000119E+001, 8.7683735E-002
 5.6003676E+001, 8.6677480E-002
 5.7009664E+001, 8.5682740E-002
 5.8001679E+001, 8.4716564E-002
 5.9005273E+001, 8.3758685E-002
 6.0009954E+001, 8.2816797E-002
 6.1012123E+001, 8.1902398E-002
 6.2011557E+001, 8.1016470E-002
 6.3008181E+001, 8.0157647E-002
 6.4013165E+001, 7.9311001E-002
 6.5000000E+001, 7.8478664E-002
