s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008137E-003, 3.8290979E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015217E+000, 3.5168265E+000, 0.0000000E+000,-3.7908368E-001,-5.1146533E-002,-2.1945584E-003, 5.4646273E-005, 0.0000000E+000,-1.2679208E-002, 3.0857780E+000, 3.0717771E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8469439E-005, 9.6267166E-006
 2.0024500E+000, 7.8939878E+000, 0.0000000E+000,-1.1270307E+000,-4.6093117E+000,-7.6735177E-003, 8.2575308E-004, 0.0000000E+000,-2.7568756E-002, 2.1254909E+000, 2.1232289E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5958258E-004, 1.9577765E-005
 3.0019507E+000, 8.9655883E+000, 0.0000000E+000,-1.3305201E+000,-7.1877139E+000,-3.4379124E-003, 1.4384506E-003, 0.0000000E+000,-2.9164056E-002, 4.2961062E-001, 4.1619077E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7614876E-004, 2.1610122E-005
 4.0018339E+000, 9.1385183E+000, 0.0000000E+000,-1.3887630E+000,-7.8606304E+000,-3.9229436E-003, 1.8983517E-003, 0.0000000E+000,-2.9539123E-002,-1.6059659E-001,-1.4243876E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7855376E-004, 2.1905171E-005
 5.0009046E+000, 9.1570325E+000, 0.0000000E+000,-1.4070275E+000,-7.4910926E+000,-2.8988513E-003, 2.2867997E-003, 0.0000000E+000,-2.9546610E-002, 1.9034515E-001, 2.2875381E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8032121E-007, 1.7888281E-004, 2.1945539E-005
 6.0001297E+000, 9.1635816E+000, 0.0000000E+000,-1.4018811E+000,-7.6928571E+000,-5.0376470E-003, 2.6181607E-003, 0.0000000E+000,-2.9563973E-002, 2.3406622E-002, 3.6859954E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3358390E-003, 1.7892743E-004, 2.1951013E-005
 7.0010409E+000, 9.1577193E+000, 0.0000000E+000,-1.3764196E+000,-7.7153222E+000,-3.6299781E-003, 2.9366272E-003, 0.0000000E+000,-2.9337360E-002, 2.9214502E-002, 3.5946778E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2973814E-002, 1.7893348E-004, 2.1951755E-005
 8.0009928E+000, 9.1512564E+000, 0.0000000E+000,-1.3855973E+000,-7.8769668E+000,-3.6378745E-003, 3.1941152E-003, 0.0000000E+000,-2.9137197E-002,-1.5397048E-001,-1.4088863E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1617306E-002, 1.7893430E-004, 2.1951856E-005
 9.0016670E+000, 9.1421553E+000, 0.0000000E+000,-1.3567058E+000,-7.7687072E+000,-3.3108711E-003, 3.3820722E-003, 0.0000000E+000,-2.8396285E-002,-3.7931608E-002,-1.1582891E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0261581E-002, 1.7893441E-004, 2.1951869E-005
 1.0001345E+001, 9.1438300E+000, 0.0000000E+000,-1.3131994E+000,-7.7305747E+000,-2.6592755E-003, 3.5240332E-003, 0.0000000E+000,-2.7725591E-002, 5.0136311E-002, 7.3195086E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8901875E-002, 1.7893443E-004, 2.1951871E-005
 1.1001492E+001, 9.1341355E+000, 0.0000000E+000,-1.2651411E+000,-7.9352485E+000,-4.5082418E-003, 3.6072169E-003, 0.0000000E+000,-2.7094876E-002,-1.0574417E-001,-9.4250047E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7541866E-002, 1.7893443E-004, 2.1951871E-005
 1.2002196E+001, 9.1217837E+000, 0.0000000E+000,-1.2405219E+000,-7.9297934E+000,-2.0899710E-003, 3.6573640E-003, 0.0000000E+000,-2.6434716E-002,-9.6028598E-002,-7.3398942E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6185393E-002, 1.7893443E-004, 2.1951872E-005
 1.3001328E+001, 9.0503763E+000, 0.0000000E+000,-1.1632854E+000,-7.6617330E+000,-2.8032737E-003, 3.6500754E-003, 0.0000000E+000,-2.5187243E-002, 1.8272249E-001, 2.0101745E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4825241E-002, 1.7893443E-004, 2.1951872E-005
 1.4000771E+001, 9.0412837E+000, 0.0000000E+000,-1.0250829E+000,-7.8847433E+000,-2.5841816E-003, 3.3944650E-003, 0.0000000E+000,-2.2704549E-002, 5.8101969E-002, 1.0956321E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3457725E-002, 1.7893443E-004, 2.1951872E-005
 1.5000783E+001, 9.1308068E+000, 0.0000000E+000,-9.9697785E-001,-8.3036637E+000,-1.9951313E-003, 3.2317211E-003, 0.0000000E+000,-2.1850681E-002,-2.1519107E-001,-1.9044888E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2097160E-002, 1.7893443E-004, 2.1951872E-005
 1.6000544E+001, 9.1108563E+000, 0.0000000E+000,-9.3450102E-001,-7.9330510E+000,-2.0660084E-003, 3.1490031E-003, 0.0000000E+000,-2.1423276E-002, 1.9904924E-001, 2.2296399E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0736750E-002, 1.7893443E-004, 2.1951872E-005
 1.7001621E+001, 9.1283392E+000, 0.0000000E+000,-8.8619284E-001,-8.3730583E+000,-1.8851904E-003, 3.0843016E-003, 0.0000000E+000,-2.0962848E-002,-1.7807134E-001,-1.5067566E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9379373E-002, 1.7893443E-004, 2.1951872E-005
 1.8002012E+001, 9.0558942E+000, 0.0000000E+000,-8.1648749E-001,-8.1536805E+000,-1.8536732E-003, 2.9881123E-003, 0.0000000E+000,-2.0248153E-002, 5.0996539E-002, 6.6612568E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0802542E-001, 1.7893443E-004, 2.1951872E-005
 1.9000957E+001, 8.9708984E+000, 0.0000000E+000,-7.3757564E-001,-8.5107665E+000,-2.6855378E-003, 2.7592937E-003, 0.0000000E+000,-1.9032616E-002,-3.4009525E-001,-2.9640263E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1666250E-001, 1.7893443E-004, 2.1951872E-005
