s,mol/mol
Time,XO2
 0.0000000E+000, 2.0755882E-001
 1.0004043E+000, 2.0755882E-001
 2.0002618E+000, 2.0755882E-001
 3.0001493E+000, 2.0755882E-001
 4.0000455E+000, 2.0755882E-001
 5.0001579E+000, 2.0755882E-001
 6.0001728E+000, 2.0755310E-001
 7.0001530E+000, 2.0246865E-001
 8.0000486E+000, 1.9699797E-001
 9.0001182E+000, 1.9184298E-001
 1.0000062E+001, 1.8694751E-001
 1.1000275E+001, 1.8230486E-001
 1.2000163E+001, 1.7788299E-001
 1.3000154E+001, 1.7367678E-001
 1.4000015E+001, 1.6967844E-001
 1.5000345E+001, 1.6586328E-001
 1.6000197E+001, 1.6220929E-001
 1.7000171E+001, 1.5872142E-001
 1.8000151E+001, 1.5537912E-001
 1.9000373E+001, 1.5218333E-001
 2.0000028E+001, 1.4911579E-001
 2.1000192E+001, 1.4618215E-001
 2.2000371E+001, 1.4333475E-001
 2.3000310E+001, 1.4062154E-001
 2.4000252E+001, 1.3801137E-001
 2.5000315E+001, 1.3547761E-001
 2.6000222E+001, 1.3305772E-001
 2.7000254E+001, 1.3071082E-001
 2.8000114E+001, 1.2844536E-001
 2.9000301E+001, 1.2626880E-001
 3.0000084E+001, 1.2415436E-001
 3.1000547E+001, 1.2211519E-001
 3.2000351E+001, 1.2014431E-001
 3.3000144E+001, 1.1823335E-001
 3.4000465E+001, 1.1638013E-001
 3.5000393E+001, 1.1459764E-001
 3.6000326E+001, 1.1285259E-001
 3.7000272E+001, 1.1117062E-001
 3.8001134E+001, 1.0953884E-001
 3.9001054E+001, 1.0794945E-001
 4.0001213E+001, 1.0640629E-001
 4.1002015E+001, 1.0490840E-001
 4.2002631E+001, 1.0345400E-001
 4.3000459E+001, 1.0204046E-001
 4.4003184E+001, 1.0066129E-001
 4.5002248E+001, 9.9317835E-002
 4.6001313E+001, 9.8020043E-002
 4.7000378E+001, 9.6749070E-002
 4.8003102E+001, 9.5506220E-002
 4.9001173E+001, 9.4304684E-002
 5.0001260E+001, 9.3131836E-002
 5.1001348E+001, 9.1980608E-002
 5.2001436E+001, 9.0861829E-002
 5.3000969E+001, 8.9773524E-002
 5.4001407E+001, 8.8702859E-002
 5.5001845E+001, 8.7665612E-002
 5.6001076E+001, 8.6650985E-002
 5.7001953E+001, 8.5655659E-002
 5.8002830E+001, 8.4684349E-002
 5.9000693E+001, 8.3739080E-002
 6.0001570E+001, 8.2810727E-002
 6.1002448E+001, 8.1902496E-002
 6.2000310E+001, 8.1018596E-002
 6.3001188E+001, 8.0148469E-002
 6.4001588E+001, 7.9301046E-002
 6.5000000E+001, 7.8468352E-002
