s,mol/mol,C
Time,XO2,TBURNER
 0.0000000E+000, 2.0755882E-001, 2.0000000E+001
 1.0007986E+000, 2.0755882E-001, 3.0661955E+001
 2.0004866E+000, 2.0755882E-001, 4.1657297E+001
 3.0001438E+000, 2.0755882E-001, 4.5942491E+001
 4.0004494E+000, 2.0755882E-001, 4.9911193E+001
 5.0001160E+000, 2.0755882E-001, 5.3496980E+001
 6.0003226E+000, 2.0736580E-001, 5.6814016E+001
 7.0002445E+000, 2.0269221E-001, 6.0206961E+001
 8.0004450E+000, 1.9722242E-001, 6.2950505E+001
 9.0006591E+000, 1.9205098E-001, 6.4781078E+001
 1.0000287E+001, 1.8715628E-001, 6.5962945E+001
 1.1000338E+001, 1.8249397E-001, 6.6557839E+001
 1.2000731E+001, 1.7805614E-001, 6.6850425E+001
 1.3000751E+001, 1.7383181E-001, 6.6082056E+001
 1.4000493E+001, 1.6982730E-001, 6.5376080E+001
 1.5000507E+001, 1.6598906E-001, 6.4670287E+001
 1.6000470E+001, 1.6235202E-001, 6.3670247E+001
 1.7000731E+001, 1.5885405E-001, 6.2400427E+001
 1.8000665E+001, 1.5553792E-001, 6.1085554E+001
 1.9000370E+001, 1.5229503E-001, 5.9882278E+001
 2.0000259E+001, 1.4921365E-001, 5.8799647E+001
 2.1000722E+001, 1.4625827E-001, 5.7752106E+001
 2.2000181E+001, 1.4341930E-001, 5.6819248E+001
 2.3000018E+001, 1.4069087E-001, 5.5909820E+001
 2.4000738E+001, 1.3807624E-001, 5.4938148E+001
 2.5000468E+001, 1.3555634E-001, 5.3922958E+001
 2.6000820E+001, 1.3311661E-001, 5.2968360E+001
 2.7000755E+001, 1.3076482E-001, 5.1962197E+001
 2.8000076E+001, 1.2851408E-001, 5.0807646E+001
 2.9000288E+001, 1.2631674E-001, 4.9581694E+001
 3.0000108E+001, 1.2422663E-001, 4.8436743E+001
 3.1000444E+001, 1.2219574E-001, 4.7374997E+001
 3.2000101E+001, 1.2020983E-001, 4.6433403E+001
 3.3000233E+001, 1.1830193E-001, 4.5598836E+001
 3.4001571E+001, 1.1642961E-001, 4.4850711E+001
 3.5000988E+001, 1.1463291E-001, 4.4181842E+001
 3.6000321E+001, 1.1289968E-001, 4.3572971E+001
 3.7001734E+001, 1.1123288E-001, 4.3012096E+001
 3.8001619E+001, 1.0957704E-001, 4.2492651E+001
 3.9000959E+001, 1.0799431E-001, 4.2008698E+001
 4.0001883E+001, 1.0644635E-001, 4.1549944E+001
 4.1003029E+001, 1.0494290E-001, 4.1114982E+001
 4.2000111E+001, 1.0349748E-001, 4.0704333E+001
 4.3002334E+001, 1.0207090E-001, 4.0318140E+001
 4.4005167E+001, 1.0069303E-001, 3.9952278E+001
 4.5002899E+001, 9.9368342E-002, 3.9605575E+001
 4.6005849E+001, 9.8060860E-002, 3.9275743E+001
 4.7001370E+001, 9.6776574E-002, 3.8961965E+001
 4.8001019E+001, 9.5541447E-002, 3.8663313E+001
 4.9002925E+001, 9.4335173E-002, 3.8374501E+001
 5.0004831E+001, 9.3148210E-002, 3.8098239E+001
 5.1000102E+001, 9.2010270E-002, 3.7834120E+001
 5.2002008E+001, 9.0902127E-002, 3.7580982E+001
 5.3003914E+001, 8.9819821E-002, 3.7335398E+001
 5.4005820E+001, 8.8748614E-002, 3.7099896E+001
 5.5001091E+001, 8.7687556E-002, 3.6873187E+001
 5.6002997E+001, 8.6668690E-002, 3.6654455E+001
 5.7004903E+001, 8.5673768E-002, 3.6443512E+001
 5.8002113E+001, 8.4705742E-002, 3.6240732E+001
 5.9005247E+001, 8.3755447E-002, 3.6045334E+001
 6.0002410E+001, 8.2828979E-002, 3.5855098E+001
 6.1005544E+001, 8.1931381E-002, 3.5671026E+001
 6.2002708E+001, 8.1039875E-002, 3.5493568E+001
 6.3004298E+001, 8.0166078E-002, 3.5321061E+001
 6.4004661E+001, 7.9313435E-002, 3.5153866E+001
 6.5000000E+001, 7.8492082E-002, 3.4992185E+001
