s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1044377E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1044377E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0021935E-001, 2.0157025E+000, 0.0000000E+000,-5.8016992E-001, 2.8345825E-002,-9.8109706E-002, 2.2226275E-004, 0.0000000E+000, 0.0000000E+000, 1.3600926E+000, 1.3659909E+000, 1.6742666E-002, 7.6496098E-005,-2.6897617E-099,-6.9641187E-088
 1.0000213E+000, 5.4475179E+000, 0.0000000E+000,-1.6272629E+000, 7.1565795E-002,-4.0426873E-002, 8.8025178E-004, 0.0000000E+000, 0.0000000E+000, 3.7973455E+000, 3.8522742E+000, 4.4011436E-002, 1.9834590E-004,-2.0697346E-084,-3.5033053E-076
 1.5002941E+000, 9.8053594E+000, 0.0000000E+000,-2.9375144E+000,-2.2104592E+000,-6.0654266E-002, 1.4703170E-003, 0.0000000E+000, 0.0000000E+000, 4.5587689E+000, 4.5982018E+000, 5.9173716E-002, 2.6655107E-004,-2.2029145E-077,-4.3128283E-070
 2.0003073E+000, 1.1851617E+001, 0.0000000E+000,-3.5443486E+000,-4.7246259E+000,-1.5192231E-001, 1.7207603E-003, 0.0000000E+000, 0.0000000E+000, 3.4342841E+000, 3.4324413E+000, 6.5899285E-002, 2.9681351E-004,-1.8539613E-073,-1.1666433E-066
 2.5001388E+000, 1.3229353E+001, 0.0000000E+000,-3.9683397E+000,-6.3984569E+000,-2.5227330E-001, 1.8111525E-003, 0.0000000E+000, 0.0000000E+000, 2.6131756E+000, 2.6120944E+000, 6.8565737E-002, 3.0881087E-004,-2.3668429E-071,-7.9422134E-065
 3.0000808E+000, 1.4308804E+001, 0.0000000E+000,-4.2800714E+000,-6.9585751E+000,-3.1002687E-001, 1.8375509E-003, 0.0000000E+000, 0.0000000E+000, 2.7064233E+000, 2.7619683E+000, 6.9575350E-002, 3.1335356E-004,-4.8560748E-068,-1.6153650E-062
 3.5001941E+000, 1.4509713E+001, 0.0000000E+000,-4.3395944E+000,-7.9690199E+000,-3.2002468E-001, 1.8832751E-003, 0.0000000E+000, 0.0000000E+000, 1.8688499E+000, 1.8829577E+000, 6.9950921E-002, 3.1504346E-004,-7.1514833E-064,-7.6240764E-059
 4.0001936E+000, 1.4248122E+001, 0.0000000E+000,-4.2628881E+000,-7.9196218E+000,-3.7358010E-001, 1.8908051E-003, 0.0000000E+000, 0.0000000E+000, 1.6563404E+000, 1.6939233E+000, 7.0089639E-002, 3.1566764E-004,-2.4772530E-060,-9.0166740E-056
 4.5001311E+000, 1.4484041E+001, 0.0000000E+000,-4.3297291E+000,-8.2546984E+000,-3.6052026E-001, 1.8794359E-003, 0.0000000E+000, 0.0000000E+000, 1.5020560E+000, 1.5409722E+000, 7.0140734E-002, 3.1589754E-004,-1.9779535E-057,-3.2944060E-053
 5.0005054E+000, 1.4079040E+001, 0.0000000E+000,-4.2124932E+000,-7.2250471E+000,-3.3716199E-001, 1.8880345E-003, 0.0000000E+000, 0.0000000E+000, 2.3040219E+000, 2.3062259E+000, 7.0159545E-002, 3.1598218E-004,-4.0905720E-055,-3.5346230E-051
 5.5003800E+000, 1.4272992E+001, 0.0000000E+000,-4.2709625E+000,-7.4501063E+000,-3.8589425E-001, 1.8726474E-003, 0.0000000E+000, 0.0000000E+000, 2.1163611E+000, 2.1679021E+000, 7.0166466E-002, 3.1601332E-004,-3.3625498E-053,-1.6649649E-049
 6.0000715E+000, 1.4125063E+001, 0.0000000E+000,-4.2347620E+000,-7.9286608E+000,-4.2901823E-001, 1.8696964E-003, 0.0000000E+000, 0.0000000E+000, 1.5433382E+000, 1.5344919E+000, 7.0169010E-002, 3.1602477E-004,-1.6886078E-051,-5.2459779E-048
 6.5000558E+000, 1.4623481E+001, 0.0000000E+000,-4.3713011E+000,-8.3452695E+000,-4.5031284E-001, 1.8682414E-003, 0.0000000E+000, 0.0000000E+000, 1.4100618E+000, 1.4584657E+000, 7.0169946E-002, 3.1602898E-004,-5.4674510E-050,-1.2726403E-046
 7.0002217E+000, 1.4386935E+001, 0.0000000E+000,-4.3032499E+000,-8.0577185E+000,-4.4663276E-001, 1.8702846E-003, 0.0000000E+000, 0.0000000E+000, 1.5811108E+000, 1.5812039E+000, 7.0170291E-002, 3.1603053E-004,-1.1920801E-048,-2.3502524E-045
 7.5001473E+000, 1.4041153E+001, 0.0000000E+000,-4.2112248E+000,-7.5622199E+000,-4.6233764E-001, 1.8717383E-003, 0.0000000E+000, 0.0000000E+000, 1.8097987E+000, 1.8072423E+000, 7.0170418E-002, 3.1603110E-004,-2.0259424E-047,-3.6432585E-044
 8.0001869E+000, 1.4211187E+001, 0.0000000E+000,-4.2441094E+000,-8.8635252E+000,-5.1347514E-001, 1.8967741E-003, 0.0000000E+000, 0.0000000E+000, 5.9719137E-001, 5.9197377E-001, 7.0170464E-002, 3.1603131E-004,-2.5871855E-046,-4.4553914E-043
 8.5001392E+000, 1.4561072E+001, 0.0000000E+000,-4.3663403E+000,-7.7870127E+000,-5.0933103E-001, 1.8963213E-003, 0.0000000E+000, 0.0000000E+000, 1.8617723E+000, 1.9002842E+000, 7.0170481E-002, 3.1603139E-004,-2.8694026E-045,-4.8654667E-042
 9.0000048E+000, 1.3863758E+001, 0.0000000E+000,-4.1510985E+000,-8.3293718E+000,-4.8901399E-001, 1.8892123E-003, 0.0000000E+000, 0.0000000E+000, 8.6551877E-001, 8.9616327E-001, 7.0170488E-002, 3.1603142E-004,-2.6545528E-044,-4.5158604E-041
 9.5003519E+000, 1.4338940E+001, 0.0000000E+000,-4.2913431E+000,-8.4231903E+000,-5.0068390E-001, 1.8998436E-003, 0.0000000E+000, 0.0000000E+000, 1.1160205E+000, 1.1256222E+000, 7.0170490E-002, 3.1603143E-004,-1.9397293E-043,-3.3375435E-040
 1.0000175E+001, 1.4711954E+001, 0.0000000E+000,-4.4046896E+000,-8.2698297E+000,-5.0081807E-001, 1.9183404E-003, 0.0000000E+000, 0.0000000E+000, 1.5295957E+000, 1.5385354E+000, 7.0170491E-002, 3.1603143E-004,-1.1170042E-042,-1.9522640E-039
 1.0500182E+001, 1.4629368E+001, 0.0000000E+000,-4.3866813E+000,-8.0637430E+000,-4.9191083E-001, 1.9211614E-003, 0.0000000E+000, 0.0000000E+000, 1.6863180E+000, 1.6889537E+000, 7.0170491E-002, 3.1603143E-004,-5.0115364E-042,-8.9066322E-039
 1.1000163E+001, 1.4029813E+001, 0.0000000E+000,-4.1916038E+000,-8.2698035E+000,-5.5294947E-001, 1.9164546E-003, 0.0000000E+000, 0.0000000E+000, 1.0389822E+000, 1.0173725E+000, 7.0170491E-002, 3.1603143E-004,-1.8365025E-041,-3.3214985E-038
 1.1500469E+001, 1.4655633E+001, 0.0000000E+000,-4.3816777E+000,-7.6338121E+000,-5.3346970E-001, 1.9232043E-003, 0.0000000E+000, 0.0000000E+000, 2.0784644E+000, 2.1085968E+000, 7.0170491E-002, 3.1603143E-004,-5.4981887E-041,-1.0097909E-037
 1.2000351E+001, 1.3871387E+001, 0.0000000E+000,-4.1635690E+000,-8.4641512E+000,-5.2891059E-001, 1.9046129E-003, 0.0000000E+000, 0.0000000E+000, 7.1062945E-001, 7.1666042E-001, 7.0170491E-002, 3.1603143E-004,-1.4114152E-040,-2.6321171E-037
 1.2500374E+001, 1.4851133E+001, 0.0000000E+000,-4.4490921E+000,-8.9159077E+000,-5.3161666E-001, 1.9234539E-003, 0.0000000E+000, 0.0000000E+000, 9.8492178E-001, 9.5644017E-001, 7.0170491E-002, 3.1603143E-004,-3.3007526E-040,-6.2486246E-037
 1.3000001E+001, 1.3955177E+001, 0.0000000E+000,-4.1846535E+000,-7.7587841E+000,-5.2067695E-001, 1.9282331E-003, 0.0000000E+000, 0.0000000E+000, 1.5021096E+000, 1.4929905E+000, 7.0170491E-002, 3.1603143E-004,-7.5934622E-040,-1.4571032E-036
 1.3500345E+001, 1.4600351E+001, 0.0000000E+000,-4.3605829E+000,-8.6047475E+000,-5.5878442E-001, 1.9265894E-003, 0.0000000E+000, 0.0000000E+000, 1.0682239E+000, 1.0781626E+000, 7.0170491E-002, 3.1603143E-004,-1.7466224E-039,-3.3707482E-036
 1.4000201E+001, 1.4141967E+001, 0.0000000E+000,-4.2400268E+000,-8.6450799E+000,-5.8437246E-001, 1.9399236E-003, 0.0000000E+000, 0.0000000E+000, 6.8300203E-001, 6.7442758E-001, 7.0170491E-002, 3.1603143E-004,-4.0779299E-039,-7.8088109E-036
 1.4500178E+001, 1.4532532E+001, 0.0000000E+000,-4.3413308E+000,-8.4591286E+000,-5.8781659E-001, 1.9245683E-003, 0.0000000E+000, 0.0000000E+000, 1.1321147E+000, 1.1461803E+000, 7.0170491E-002, 3.1603143E-004,-9.5937623E-039,-1.7975375E-035
 1.5000419E+001, 1.4109047E+001, 0.0000000E+000,-4.2323936E+000,-7.3839812E+000,-5.6312383E-001, 1.9119661E-003, 0.0000000E+000, 0.0000000E+000, 1.9616168E+000, 1.9314608E+000, 7.0170491E-002, 3.1603143E-004,-2.1781415E-038,-3.9416669E-035
 1.5500401E+001, 1.4426793E+001, 0.0000000E+000,-4.3144723E+000,-8.0638766E+000,-6.0188395E-001, 1.9328920E-003, 0.0000000E+000, 0.0000000E+000, 1.4384113E+000, 1.4484928E+000, 7.0170491E-002, 3.1603143E-004,-4.6671765E-038,-8.0721138E-035
