s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4222513E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4222513E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0051969E-001, 1.3765477E+000, 0.0000000E+000,-4.8896551E-001, 2.6037230E-002,-9.7852932E-002, 1.4226923E-004, 0.0000000E+000, 0.0000000E+000, 7.9646304E-001, 8.1590872E-001, 1.6778189E-002, 7.6253430E-005,-6.9513754E-170,-9.8315252E-155
 1.0003105E+000, 3.9852513E+000, 0.0000000E+000,-1.4668167E+000, 5.2057021E-002,-6.4721818E-002, 4.7250403E-004, 0.0000000E+000, 0.0000000E+000, 2.4680787E+000, 2.5062423E+000, 4.3930845E-002, 1.9838315E-004,-1.5674097E-141,-1.7434794E-131
 1.5000969E+000, 7.7549087E+000, 0.0000000E+000,-2.8424569E+000,-6.3960422E-001,-3.2159525E-002, 7.2106186E-004, 0.0000000E+000, 0.0000000E+000, 4.1825940E+000, 4.2414091E+000, 5.9046884E-002, 2.6654871E-004,-7.1169525E-127,-6.3369594E-119
 2.0000405E+000, 1.0812686E+001, 0.0000000E+000,-4.0077311E+000,-5.0815491E+000,-9.8865199E-002, 9.0041751E-004, 0.0000000E+000, 0.0000000E+000, 1.5633486E+000, 1.6254407E+000, 6.5753009E-002, 2.9680061E-004,-4.2109992E-115,-8.5979104E-108
 2.5002334E+000, 1.3419717E+001, 0.0000000E+000,-5.0574463E+000,-6.5405691E+000,-1.5508775E-001, 1.0399548E-003, 0.0000000E+000, 0.0000000E+000, 1.6083332E+000, 1.6676541E+000, 6.8414448E-002, 3.0880762E-004,-1.8645546E-105,-2.1915886E-098
 3.0000987E+000, 1.4829193E+001, 0.0000000E+000,-5.5862271E+000,-5.9354901E+000,-1.7607863E-001, 1.1357629E-003, 0.0000000E+000, 0.0000000E+000, 3.0575772E+000, 3.1325331E+000, 6.9422043E-002, 3.1335332E-004,-2.4822851E-098,-2.0180170E-091
 3.5001447E+000, 1.4929247E+001, 0.0000000E+000,-5.5815715E+000,-7.5024367E+000,-2.6726556E-001, 1.1859026E-003, 0.0000000E+000, 0.0000000E+000, 1.5042434E+000, 1.5791590E+000, 6.9796625E-002, 3.1504323E-004,-4.7872168E-093,-2.7729653E-086
 4.0002637E+000, 1.3925262E+001, 0.0000000E+000,-5.2778880E+000,-7.2319643E+000,-3.0571589E-001, 1.2237963E-003, 0.0000000E+000, 0.0000000E+000, 1.0515173E+000, 1.1109178E+000, 6.9935013E-002, 3.1566756E-004,-9.9415669E-089,-4.0230845E-082
 4.5000811E+000, 1.4694542E+001, 0.0000000E+000,-5.6008682E+000,-7.5633380E+000,-3.2971009E-001, 1.2836578E-003, 0.0000000E+000, 0.0000000E+000, 1.1150670E+000, 1.2019096E+000, 6.9985985E-002, 3.1589752E-004,-4.2397832E-085,-1.0786467E-078
 5.0002122E+000, 1.4915720E+001, 0.0000000E+000,-5.5742972E+000,-7.7326091E+000,-3.8915005E-001, 1.3344043E-003, 0.0000000E+000, 0.0000000E+000, 1.1588958E+000, 1.2209978E+000, 7.0004746E-002, 3.1598216E-004,-1.4405786E-081,-1.5060614E-075
 5.5000119E+000, 1.5340354E+001, 0.0000000E+000,-5.7901373E+000,-7.2029517E+000,-3.7075624E-001, 1.3858500E-003, 0.0000000E+000, 0.0000000E+000, 1.8939418E+000, 1.9778950E+000, 7.0011650E-002, 3.1601330E-004,-6.6226920E-078,-1.3507611E-072
 6.0000892E+000, 1.4206204E+001, 0.0000000E+000,-5.4202048E+000,-7.7240343E+000,-4.0105320E-001, 1.4120448E-003, 0.0000000E+000, 0.0000000E+000, 6.0750867E-001, 6.6232389E-001, 7.0014190E-002, 3.1602476E-004,-2.0155910E-074,-7.8527591E-070
 6.5000653E+000, 1.3996324E+001, 0.0000000E+000,-5.3974048E+000,-7.6983603E+000,-3.9754658E-001, 1.4461163E-003, 0.0000000E+000, 0.0000000E+000, 4.3689763E-001, 5.0445856E-001, 7.0015125E-002, 3.1602898E-004,-3.0532011E-071,-2.4562303E-067
 7.0001855E+000, 1.5332834E+001, 0.0000000E+000,-5.7198900E+000,-7.5576749E+000,-3.4603411E-001, 1.4842339E-003, 0.0000000E+000, 0.0000000E+000, 1.6444194E+000, 1.7107195E+000, 7.0015469E-002, 3.1603053E-004,-1.9951295E-068,-4.2436959E-065
 7.5000434E+000, 1.4198645E+001, 0.0000000E+000,-5.3356679E+000,-7.7884566E+000,-3.7606894E-001, 1.5241891E-003, 0.0000000E+000, 0.0000000E+000, 6.3389070E-001, 6.9997606E-001, 7.0015595E-002, 3.1603110E-004,-6.8794528E-066,-4.5708717E-063
 8.0000839E+000, 1.4539077E+001, 0.0000000E+000,-5.5183176E+000,-7.4542460E+000,-3.7738274E-001, 1.5679184E-003, 0.0000000E+000, 0.0000000E+000, 1.1150948E+000, 1.1906990E+000, 7.0015642E-002, 3.1603131E-004,-1.2296768E-063,-3.1876804E-061
 8.5001316E+000, 1.4892280E+001, 0.0000000E+000,-5.6350084E+000,-7.0480373E+000,-3.6574926E-001, 1.5884612E-003, 0.0000000E+000, 0.0000000E+000, 1.7612036E+000, 1.8450731E+000, 7.0015659E-002, 3.1603139E-004,-1.0236670E-061,-1.2878568E-059
 9.0000458E+000, 1.4157736E+001, 0.0000000E+000,-5.3600462E+000,-7.7757043E+000,-4.2193976E-001, 1.6283262E-003, 0.0000000E+000, 0.0000000E+000, 5.5967906E-001, 6.0167448E-001, 7.0015665E-002, 3.1603142E-004,-4.1545533E-060,-3.0794836E-058
 9.5001860E+000, 1.4094057E+001, 0.0000000E+000,-5.4051484E+000,-7.1697925E+000,-4.3228160E-001, 1.6603757E-003, 0.0000000E+000, 0.0000000E+000, 1.0171583E+000, 1.0884947E+000, 7.0015668E-002, 3.1603143E-004,-9.3712349E-059,-4.7035527E-057
 1.0000063E+001, 1.4799710E+001, 0.0000000E+000,-5.6045539E+000,-7.3941348E+000,-4.1322353E-001, 1.6925053E-003, 0.0000000E+000, 0.0000000E+000, 1.3022325E+000, 1.3894905E+000, 7.0015668E-002, 3.1603143E-004,-1.3102879E-057,-5.0129156E-056
 1.0500055E+001, 1.4446206E+001, 0.0000000E+000,-5.4308972E+000,-7.9226186E+000,-4.4425648E-001, 1.7071615E-003, 0.0000000E+000, 0.0000000E+000, 5.8429392E-001, 6.5014093E-001, 7.0015669E-002, 3.1603143E-004,-1.1675163E-056,-3.7812352E-055
 1.1000208E+001, 1.4036665E+001, 0.0000000E+000,-5.3753818E+000,-7.4266457E+000,-4.0595515E-001, 1.7540542E-003, 0.0000000E+000, 0.0000000E+000, 7.6806729E-001, 8.3043599E-001, 7.0015669E-002, 3.1603143E-004,-6.8788242E-056,-2.0340689E-054
 1.1500195E+001, 1.4231108E+001, 0.0000000E+000,-5.5301674E+000,-7.1811354E+000,-3.8312144E-001, 1.7792436E-003, 0.0000000E+000, 0.0000000E+000, 1.0810494E+000, 1.1384633E+000, 7.0015669E-002, 3.1603143E-004,-2.7585776E-055,-7.7878116E-054
 1.2000088E+001, 1.4608029E+001, 0.0000000E+000,-5.5334335E+000,-7.2227209E+000,-4.2261712E-001, 1.7941985E-003, 0.0000000E+000, 0.0000000E+000, 1.3523868E+000, 1.4310517E+000, 7.0015669E-002, 3.1603143E-004,-8.0104701E-055,-2.2185377E-053
 1.2500076E+001, 1.4731431E+001, 0.0000000E+000,-5.5494319E+000,-7.6761616E+000,-4.2681543E-001, 1.8240054E-003, 0.0000000E+000, 0.0000000E+000, 1.0146634E+000, 1.0808458E+000, 7.0015669E-002, 3.1603143E-004,-1.8397354E-054,-5.0991282E-053
 1.3000156E+001, 1.3754583E+001, 0.0000000E+000,-5.2613177E+000,-7.2697428E+000,-4.3536306E-001, 1.8641480E-003, 0.0000000E+000, 0.0000000E+000, 7.4820033E-001, 7.9002396E-001, 7.0015669E-002, 3.1603143E-004,-3.6247902E-054,-1.0197409E-052
 1.3500175E+001, 1.5240936E+001, 0.0000000E+000,-5.7912729E+000,-8.2584513E+000,-4.7209715E-001, 1.8789859E-003, 0.0000000E+000, 0.0000000E+000, 6.3309624E-001, 7.2099409E-001, 7.0015669E-002, 3.1603143E-004,-6.5132199E-054,-1.8739968E-052
 1.4000161E+001, 1.3401595E+001, 0.0000000E+000,-5.1209069E+000,-7.4510164E+000,-4.1509476E-001, 1.9176062E-003, 0.0000000E+000, 0.0000000E+000, 3.8148105E-001, 4.1649495E-001, 7.0015669E-002, 3.1603143E-004,-1.0800144E-053,-3.1802493E-052
 1.4500026E+001, 1.4821437E+001, 0.0000000E+000,-5.6550372E+000,-6.7849085E+000,-4.2958609E-001, 1.9510632E-003, 0.0000000E+000, 0.0000000E+000, 1.8587610E+000, 1.9538559E+000, 7.0015669E-002, 3.1603143E-004,-1.7184897E-053,-5.1539343E-052
 1.5000098E+001, 1.4500394E+001, 0.0000000E+000,-5.4641455E+000,-7.8717123E+000,-4.6562643E-001, 1.9897709E-003, 0.0000000E+000, 0.0000000E+000, 6.3510779E-001, 7.0089912E-001, 7.0015669E-002, 3.1603143E-004,-2.6667144E-053,-8.0694269E-052
 1.5500180E+001, 1.3994693E+001, 0.0000000E+000,-5.3568154E+000,-7.6019253E+000,-4.5390842E-001, 1.9835477E-003, 0.0000000E+000, 0.0000000E+000, 5.2881558E-001, 5.8402732E-001, 7.0015669E-002, 3.1603143E-004,-4.0566263E-053,-1.2245764E-051
 1.6000004E+001, 1.4806513E+001, 0.0000000E+000,-5.5607882E+000,-7.6230840E+000,-4.6892029E-001, 1.9872268E-003, 0.0000000E+000, 0.0000000E+000, 1.0681430E+000, 1.1557082E+000, 7.0015669E-002, 3.1603143E-004,-6.0894822E-053,-1.8126234E-051
 1.6500101E+001, 1.3835640E+001, 0.0000000E+000,-5.2147352E+000,-7.4111693E+000,-4.8525556E-001, 2.0369022E-003, 0.0000000E+000, 0.0000000E+000, 6.9657876E-001, 7.2651704E-001, 7.0015669E-002, 3.1603143E-004,-9.0325960E-053,-2.6266839E-051
 1.7000082E+001, 1.5101627E+001, 0.0000000E+000,-5.7038472E+000,-7.5430610E+000,-4.9389814E-001, 2.0396980E-003, 0.0000000E+000, 0.0000000E+000, 1.2570550E+000, 1.3628605E+000, 7.0015669E-002, 3.1603143E-004,-1.3058593E-052,-3.6857099E-051
 1.7500168E+001, 1.4387213E+001, 0.0000000E+000,-5.3497550E+000,-7.8254692E+000,-4.8421847E-001, 2.0771260E-003, 0.0000000E+000, 0.0000000E+000, 6.9173917E-001, 7.2984701E-001, 7.0015669E-002, 3.1603143E-004,-1.8341836E-052,-5.0125304E-051
 1.8000175E+001, 1.4607070E+001, 0.0000000E+000,-5.5653911E+000,-7.9780146E+000,-4.7218802E-001, 2.1338037E-003, 0.0000000E+000, 0.0000000E+000, 5.2743365E-001, 5.9360982E-001, 7.0015669E-002, 3.1603143E-004,-2.4518991E-052,-6.4960996E-051
 1.8500204E+001, 1.3689856E+001, 0.0000000E+000,-5.1307922E+000,-7.5570663E+000,-4.8409430E-001, 2.1169945E-003, 0.0000000E+000, 0.0000000E+000, 4.7834197E-001, 5.2002032E-001, 7.0015669E-002, 3.1603143E-004,-3.1789801E-052,-8.1881116E-051
 1.9000175E+001, 1.5078755E+001, 0.0000000E+000,-5.7088097E+000,-7.5480281E+000,-4.5893721E-001, 2.1637765E-003, 0.0000000E+000, 0.0000000E+000, 1.2868063E+000, 1.3651437E+000, 7.0015669E-002, 3.1603143E-004,-4.0358572E-052,-1.0140080E-050
 1.9500195E+001, 1.3846486E+001, 0.0000000E+000,-5.2131441E+000,-7.8318458E+000,-5.2412323E-001, 2.1707534E-003, 0.0000000E+000, 0.0000000E+000, 2.2323242E-001, 2.7954345E-001, 7.0015669E-002, 3.1603143E-004,-5.0132887E-052,-1.2326653E-050
 2.0000109E+001, 1.4410722E+001, 0.0000000E+000,-5.4345299E+000,-7.7336150E+000,-5.2890086E-001, 2.1869672E-003, 0.0000000E+000, 0.0000000E+000, 6.3251836E-001, 7.1586360E-001, 7.0015669E-002, 3.1603143E-004,-6.1042792E-052,-1.4734835E-050
 2.0500019E+001, 1.4320576E+001, 0.0000000E+000,-5.4125219E+000,-7.3179537E+000,-5.2911746E-001, 2.1961006E-003, 0.0000000E+000, 0.0000000E+000, 1.0320974E+000, 1.0631792E+000, 7.0015669E-002, 3.1603143E-004,-7.3415167E-052,-1.7431052E-050
 2.1000044E+001, 1.4827976E+001, 0.0000000E+000,-5.6248731E+000,-7.2675411E+000,-5.3552051E-001, 2.2213331E-003, 0.0000000E+000, 0.0000000E+000, 1.3533299E+000, 1.4022625E+000, 7.0015669E-002, 3.1603143E-004,-8.8675286E-052,-2.0719723E-050
 2.1500120E+001, 1.4432353E+001, 0.0000000E+000,-5.4418893E+000,-8.1376788E+000,-5.2447791E-001, 2.2651905E-003, 0.0000000E+000, 0.0000000E+000, 2.8206663E-001, 3.3057228E-001, 7.0015669E-002, 3.1603143E-004,-1.0839943E-051,-2.4877539E-050
 2.2000057E+001, 1.4458998E+001, 0.0000000E+000,-5.4420891E+000,-7.1920856E+000,-5.3209249E-001, 2.2519301E-003, 0.0000000E+000, 0.0000000E+000, 1.2164006E+000, 1.2949825E+000, 7.0015669E-002, 3.1603143E-004,-1.3907016E-051,-3.1191706E-050
 2.2500221E+001, 1.3966144E+001, 0.0000000E+000,-5.2626338E+000,-7.1502962E+000,-5.5132941E-001, 2.2578447E-003, 0.0000000E+000, 0.0000000E+000, 9.6414177E-001, 1.0041428E+000, 7.0015669E-002, 3.1603143E-004,-1.9238239E-051,-4.1853286E-050
 2.3000032E+001, 1.4604043E+001, 0.0000000E+000,-5.4699334E+000,-7.8329747E+000,-5.4754357E-001, 2.2839968E-003, 0.0000000E+000, 0.0000000E+000, 7.1376105E-001, 7.5587496E-001, 7.0015669E-002, 3.1603143E-004,-2.8124348E-051,-5.9105000E-050
 2.3500044E+001, 1.4014513E+001, 0.0000000E+000,-5.2627461E+000,-6.8942143E+000,-5.4040880E-001, 2.2967590E-003, 0.0000000E+000, 0.0000000E+000, 1.2599361E+000, 1.3194401E+000, 7.0015669E-002, 3.1603143E-004,-4.2284279E-051,-8.5861430E-050
 2.4000113E+001, 1.4728914E+001, 0.0000000E+000,-5.5546482E+000,-6.7208097E+000,-5.5166264E-001, 2.3105097E-003, 0.0000000E+000, 0.0000000E+000, 1.8186608E+000, 1.9041037E+000, 7.0015669E-002, 3.1603143E-004,-6.2819165E-051,-1.2363098E-049
 2.4500074E+001, 1.4689643E+001, 0.0000000E+000,-5.4703482E+000,-8.1320217E+000,-6.2744980E-001, 2.3217761E-003, 0.0000000E+000, 0.0000000E+000, 4.4338897E-001, 4.6214498E-001, 7.0015669E-002, 3.1603143E-004,-9.0945751E-051,-1.7438653E-049
 2.5000004E+001, 1.3893338E+001, 0.0000000E+000,-5.2011279E+000,-7.0316133E+000,-5.9779915E-001, 2.3340610E-003, 0.0000000E+000, 0.0000000E+000, 1.0237954E+000, 1.0651317E+000, 7.0015669E-002, 3.1603143E-004,-1.2659989E-050,-2.3860243E-049
 2.5500015E+001, 1.4282958E+001, 0.0000000E+000,-5.3538667E+000,-7.0242568E+000,-6.3867300E-001, 2.3731229E-003, 0.0000000E+000, 0.0000000E+000, 1.2063206E+000, 1.2685347E+000, 7.0015669E-002, 3.1603143E-004,-1.7320829E-050,-3.2157024E-049
 2.6000036E+001, 1.4078881E+001, 0.0000000E+000,-5.2831902E+000,-8.4017204E+000,-6.7533949E-001, 2.3793487E-003, 0.0000000E+000, 0.0000000E+000,-3.2430011E-001,-2.7898933E-001, 7.0015669E-002, 3.1603143E-004,-2.3138891E-050,-4.2334123E-049
 2.6500124E+001, 1.4534243E+001, 0.0000000E+000,-5.4609727E+000,-7.6658543E+000,-6.5478853E-001, 2.4093204E-003, 0.0000000E+000, 0.0000000E+000, 7.1685351E-001, 7.5503652E-001, 7.0015669E-002, 3.1603143E-004,-3.0135732E-050,-5.4578670E-049
 2.7000162E+001, 1.4723795E+001, 0.0000000E+000,-5.5240755E+000,-7.5238351E+000,-6.7408718E-001, 2.4290374E-003, 0.0000000E+000, 0.0000000E+000, 9.4251617E-001, 1.0042260E+000, 7.0015669E-002, 3.1603143E-004,-3.8158297E-050,-6.8911251E-049
 2.7500078E+001, 1.3647895E+001, 0.0000000E+000,-5.1499327E+000,-7.9176378E+000,-7.0484129E-001, 2.4343595E-003, 0.0000000E+000, 0.0000000E+000,-1.6243160E-001,-1.2208290E-001, 7.0015669E-002, 3.1603143E-004,-4.6339304E-050,-8.3771717E-049
 2.8000109E+001, 1.4780398E+001, 0.0000000E+000,-5.5252600E+000,-7.7028625E+000,-7.0441226E-001, 2.4704784E-003, 0.0000000E+000, 0.0000000E+000, 7.8988729E-001, 8.5033393E-001, 7.0015669E-002, 3.1603143E-004,-5.4640904E-050,-9.9189531E-049
 2.8500017E+001, 1.4326231E+001, 0.0000000E+000,-5.3729070E+000,-7.6192650E+000,-6.7666914E-001, 2.5015211E-003, 0.0000000E+000, 0.0000000E+000, 6.1452773E-001, 6.5989152E-001, 7.0015669E-002, 3.1603143E-004,-6.3339834E-050,-1.1565150E-048
 2.9000160E+001, 1.3925292E+001, 0.0000000E+000,-5.2492198E+000,-8.0402143E+000,-6.7425377E-001, 2.5318993E-003, 0.0000000E+000, 0.0000000E+000,-9.7662355E-002,-3.5864295E-002, 7.0015669E-002, 3.1603143E-004,-7.2848944E-050,-1.3381802E-048
 2.9500010E+001, 1.5408352E+001, 0.0000000E+000,-5.8641069E+000,-7.1733093E+000,-6.6166033E-001, 2.5454987E-003, 0.0000000E+000, 0.0000000E+000, 1.6466447E+000, 1.7118208E+000, 7.0015669E-002, 3.1603143E-004,-8.1528169E-050,-1.5076919E-048
