Time,Chi_r
0.501, 0.240
1.002, 0.303
1.501, 0.301
2.001, 0.299
2.502, 0.299
3.001, 0.301
3.500, 0.300
4.002, 0.299
4.501, 0.300
5.002, 0.300
5.502, 0.299
6.001, 0.301
6.500, 0.299
7.002, 0.301
7.501, 0.299
8.002, 0.300
8.500, 0.300
9.001, 0.299
9.502, 0.301
10.002, 0.299
10.501, 0.300
11.001, 0.299
11.501, 0.300
12.001, 0.300
12.500, 0.299
13.000, 0.300
13.501, 0.299
14.000, 0.300
14.502, 0.300
15.002, 0.300
15.501, 0.299
16.001, 0.299
16.501, 0.301
17.002, 0.299
17.502, 0.300
18.001, 0.300
18.502, 0.300
19.002, 0.299
19.500, 0.300
20.001, 0.301
20.500, 0.298
21.000, 0.301
21.501, 0.300
22.001, 0.299
22.502, 0.300
23.001, 0.299
23.501, 0.300
24.002, 0.301
24.501, 0.299
25.002, 0.301
25.500, 0.299
26.002, 0.300
26.501, 0.299
27.001, 0.299
27.501, 0.301
28.002, 0.299
28.501, 0.300
29.001, 0.300
29.502, 0.300
30.000, 0.299
30.501, 0.300
31.002, 0.300
31.500, 0.299
32.001, 0.300
32.501, 0.301
33.001, 0.299
33.502, 0.301
34.000, 0.299
34.501, 0.300
35.001, 0.300
35.501, 0.301
36.001, 0.300
36.502, 0.300
37.002, 0.299
37.500, 0.300
38.001, 0.299
38.501, 0.300
39.002, 0.300
39.501, 0.301
40.000, 0.299
