Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,1.07E+01,3.91E+00,3.58E+00
7.50E-02,2.87E+00,4.12E+00,4.02E+00
1.25E-01,1.94E+00,3.49E+00,3.28E+00
1.75E-01,1.38E+00,2.49E+00,2.15E+00
2.25E-01,9.04E-01,1.55E+00,1.38E+00
2.75E-01,6.12E-01,1.11E+00,9.07E-01
3.25E-01,3.93E-01,7.39E-01,7.58E-01
3.75E-01,2.96E-01,5.39E-01,5.59E-01
4.25E-01,2.37E-01,3.71E-01,4.62E-01
4.75E-01,1.24E-01,2.75E-01,3.27E-01
5.25E-01,1.23E-01,2.10E-01,2.83E-01
5.75E-01,1.01E-01,1.43E-01,2.53E-01
6.25E-01,5.99E-02,1.43E-01,1.85E-01
6.75E-01,4.53E-02,1.10E-01,1.83E-01
7.25E-01,3.65E-02,8.18E-02,1.58E-01
7.75E-01,2.04E-02,7.89E-02,1.85E-01
8.25E-01,1.75E-02,7.30E-02,1.46E-01
8.75E-01,2.04E-02,5.26E-02,1.26E-01
9.25E-01,1.46E-02,5.40E-02,1.45E-01
9.75E-01,1.31E-02,5.11E-02,9.64E-02
1.02E+00,4.38E-03,3.80E-02,8.91E-02
1.08E+00,7.30E-03,3.80E-02,7.01E-02
1.12E+00,4.38E-03,5.11E-02,8.47E-02
1.18E+00,4.38E-03,5.55E-02,7.45E-02
1.23E+00,8.76E-03,3.07E-02,6.72E-02
1.27E+00,4.38E-03,2.48E-02,5.26E-02
1.33E+00,7.30E-03,3.21E-02,4.38E-02
1.38E+00,1.46E-03,1.75E-02,7.01E-02
1.43E+00,2.92E-03,4.09E-02,3.51E-02
1.48E+00,5.84E-03,1.31E-02,3.21E-02
1.52E+00,4.38E-03,1.31E-02,3.94E-02
1.58E+00,4.38E-03,1.17E-02,4.53E-02
1.62E+00,0.00E+00,1.90E-02,2.04E-02
1.68E+00,7.30E-03,4.38E-03,1.75E-02
1.73E+00,4.38E-03,1.46E-03,1.02E-02
1.77E+00,0.00E+00,1.46E-03,1.02E-02
1.83E+00,0.00E+00,0.00E+00,1.46E-02
1.88E+00,0.00E+00,4.38E-03,2.92E-03
1.93E+00,1.46E-03,0.00E+00,8.76E-03
1.98E+00,1.46E-03,0.00E+00,2.92E-03
2.03E+00,0.00E+00,1.46E-03,7.30E-03
2.08E+00,2.92E-03,1.46E-03,5.84E-03
2.12E+00,0.00E+00,0.00E+00,0.00E+00
2.17E+00,0.00E+00,0.00E+00,1.46E-03
2.23E+00,0.00E+00,0.00E+00,2.92E-03
2.28E+00,0.00E+00,0.00E+00,2.92E-03
2.33E+00,0.00E+00,0.00E+00,2.92E-03
2.38E+00,0.00E+00,0.00E+00,0.00E+00
2.43E+00,0.00E+00,0.00E+00,0.00E+00
2.48E+00,0.00E+00,0.00E+00,0.00E+00
2.53E+00,0.00E+00,0.00E+00,0.00E+00
2.58E+00,0.00E+00,0.00E+00,0.00E+00
2.62E+00,0.00E+00,0.00E+00,0.00E+00
2.68E+00,0.00E+00,0.00E+00,0.00E+00
2.73E+00,0.00E+00,0.00E+00,0.00E+00
2.78E+00,0.00E+00,0.00E+00,0.00E+00
2.83E+00,0.00E+00,0.00E+00,0.00E+00
2.88E+00,0.00E+00,0.00E+00,0.00E+00
2.93E+00,0.00E+00,0.00E+00,0.00E+00
2.98E+00,0.00E+00,0.00E+00,0.00E+00
3.03E+00,0.00E+00,0.00E+00,0.00E+00
3.08E+00,0.00E+00,0.00E+00,0.00E+00
3.12E+00,0.00E+00,0.00E+00,0.00E+00
3.18E+00,0.00E+00,0.00E+00,0.00E+00
3.23E+00,0.00E+00,0.00E+00,0.00E+00
3.28E+00,0.00E+00,0.00E+00,0.00E+00
3.33E+00,0.00E+00,0.00E+00,0.00E+00
3.38E+00,0.00E+00,0.00E+00,0.00E+00
3.43E+00,0.00E+00,0.00E+00,0.00E+00
3.48E+00,0.00E+00,0.00E+00,0.00E+00
3.53E+00,0.00E+00,0.00E+00,0.00E+00
3.58E+00,0.00E+00,0.00E+00,0.00E+00
3.62E+00,0.00E+00,0.00E+00,0.00E+00
3.68E+00,0.00E+00,0.00E+00,0.00E+00
3.73E+00,0.00E+00,0.00E+00,0.00E+00
3.78E+00,0.00E+00,0.00E+00,0.00E+00
3.83E+00,0.00E+00,0.00E+00,0.00E+00
3.88E+00,0.00E+00,0.00E+00,0.00E+00
3.93E+00,0.00E+00,0.00E+00,0.00E+00
3.98E+00,0.00E+00,0.00E+00,0.00E+00
4.03E+00,0.00E+00,0.00E+00,0.00E+00
4.08E+00,0.00E+00,0.00E+00,0.00E+00
4.12E+00,0.00E+00,0.00E+00,0.00E+00
4.18E+00,0.00E+00,0.00E+00,0.00E+00
4.22E+00,0.00E+00,0.00E+00,0.00E+00
4.28E+00,0.00E+00,0.00E+00,0.00E+00
4.33E+00,0.00E+00,0.00E+00,0.00E+00
4.38E+00,0.00E+00,0.00E+00,0.00E+00
4.43E+00,0.00E+00,0.00E+00,0.00E+00
4.47E+00,0.00E+00,0.00E+00,0.00E+00
4.53E+00,0.00E+00,0.00E+00,0.00E+00
4.58E+00,0.00E+00,0.00E+00,0.00E+00
4.62E+00,0.00E+00,0.00E+00,0.00E+00
4.68E+00,0.00E+00,0.00E+00,0.00E+00
4.72E+00,0.00E+00,0.00E+00,0.00E+00
4.78E+00,0.00E+00,0.00E+00,0.00E+00
4.83E+00,0.00E+00,0.00E+00,0.00E+00
4.88E+00,0.00E+00,0.00E+00,0.00E+00
4.93E+00,0.00E+00,0.00E+00,0.00E+00
4.97E+00,0.00E+00,0.00E+00,0.00E+00
