Soot volume fraction (ppm),10_cm,5_cm,0_cm
2.50E-02,1.43E+01,1.19E+01,1.10E+01
7.50E-02,2.49E+00,3.82E+00,3.65E+00
1.25E-01,1.16E+00,1.52E+00,1.63E+00
1.75E-01,6.25E-01,7.88E-01,8.36E-01
2.25E-01,3.68E-01,4.34E-01,5.64E-01
2.75E-01,2.28E-01,3.02E-01,3.83E-01
3.25E-01,1.63E-01,1.67E-01,2.41E-01
3.75E-01,1.39E-01,1.41E-01,1.98E-01
4.25E-01,1.38E-01,1.09E-01,1.80E-01
4.75E-01,7.45E-02,9.40E-02,1.46E-01
5.25E-01,6.65E-02,6.31E-02,1.25E-01
5.75E-01,5.96E-02,6.42E-02,1.03E-01
6.25E-01,4.70E-02,4.24E-02,6.88E-02
6.75E-01,2.06E-02,5.05E-02,6.65E-02
7.25E-01,1.84E-02,4.13E-02,4.70E-02
7.75E-01,1.49E-02,3.21E-02,5.28E-02
8.25E-01,8.03E-03,2.75E-02,5.39E-02
8.75E-01,8.03E-03,3.44E-02,3.90E-02
9.25E-01,8.03E-03,1.61E-02,5.16E-02
9.75E-01,1.15E-02,2.18E-02,3.67E-02
1.02E+00,5.73E-03,1.49E-02,3.21E-02
1.08E+00,4.59E-03,1.38E-02,2.29E-02
1.12E+00,6.88E-03,1.95E-02,1.95E-02
1.18E+00,4.59E-03,1.84E-02,3.33E-02
1.23E+00,2.29E-03,1.15E-02,3.10E-02
1.27E+00,2.29E-03,4.59E-03,2.75E-02
1.33E+00,0.00E+00,1.84E-02,2.06E-02
1.38E+00,5.73E-03,9.18E-03,2.29E-02
1.43E+00,5.73E-03,1.15E-02,2.52E-02
1.48E+00,3.44E-03,1.15E-02,1.72E-02
1.52E+00,1.15E-03,1.15E-02,2.18E-02
1.58E+00,0.00E+00,1.61E-02,1.61E-02
1.62E+00,1.15E-03,1.49E-02,1.61E-02
1.68E+00,1.15E-03,9.18E-03,1.95E-02
1.73E+00,1.15E-03,1.61E-02,1.95E-02
1.77E+00,0.00E+00,1.26E-02,3.10E-02
1.83E+00,2.29E-03,1.03E-02,1.26E-02
1.88E+00,0.00E+00,6.88E-03,1.03E-02
1.93E+00,0.00E+00,1.15E-02,1.26E-02
1.98E+00,0.00E+00,4.59E-03,1.49E-02
2.03E+00,0.00E+00,8.03E-03,1.49E-02
2.08E+00,0.00E+00,5.73E-03,1.49E-02
2.12E+00,1.15E-03,0.00E+00,4.59E-03
2.17E+00,1.15E-03,1.15E-03,6.88E-03
2.23E+00,0.00E+00,1.15E-03,8.03E-03
2.28E+00,0.00E+00,6.88E-03,9.18E-03
2.33E+00,0.00E+00,5.73E-03,5.73E-03
2.38E+00,0.00E+00,6.88E-03,6.88E-03
2.43E+00,0.00E+00,1.15E-03,2.29E-03
2.48E+00,0.00E+00,0.00E+00,3.44E-03
2.53E+00,0.00E+00,3.44E-03,0.00E+00
2.58E+00,0.00E+00,2.29E-03,3.44E-03
2.62E+00,0.00E+00,2.29E-03,1.15E-03
2.68E+00,0.00E+00,1.15E-03,1.15E-03
2.73E+00,0.00E+00,0.00E+00,1.15E-03
2.78E+00,0.00E+00,0.00E+00,2.29E-03
