Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,9.00E-02,2.19E-02,1.12E-05
3.06E+02,1.30E-03,7.44E-03,2.79E-05
3.16E+02,5.69E-04,3.82E-03,6.69E-05
3.27E+02,3.68E-04,2.76E-03,1.34E-04
3.37E+02,2.12E-04,2.38E-03,2.68E-04
3.47E+02,1.78E-04,2.15E-03,2.23E-04
3.57E+02,1.45E-04,2.00E-03,2.57E-04
3.68E+02,1.28E-04,1.85E-03,2.51E-04
3.78E+02,1.39E-04,1.52E-03,2.68E-04
3.88E+02,1.17E-04,1.24E-03,3.29E-04
3.98E+02,1.00E-04,1.45E-03,2.45E-04
4.09E+02,5.58E-05,1.43E-03,2.96E-04
4.19E+02,1.06E-04,1.55E-03,2.79E-04
4.29E+02,7.81E-05,1.22E-03,2.12E-04
4.39E+02,5.02E-05,1.15E-03,1.56E-04
4.50E+02,6.69E-05,1.15E-03,2.18E-04
4.60E+02,9.48E-05,1.07E-03,2.57E-04
4.70E+02,6.69E-05,9.59E-04,1.39E-04
4.80E+02,7.81E-05,1.00E-03,2.06E-04
4.91E+02,7.81E-05,8.53E-04,2.45E-04
5.01E+02,3.35E-05,9.43E-04,2.06E-04
5.11E+02,1.06E-04,8.37E-04,2.12E-04
5.21E+02,7.81E-05,7.25E-04,2.79E-04
5.32E+02,6.69E-05,7.14E-04,2.01E-04
5.42E+02,3.90E-05,7.47E-04,2.18E-04
5.52E+02,2.79E-05,6.92E-04,2.29E-04
5.62E+02,1.67E-05,5.02E-04,2.57E-04
5.73E+02,2.23E-05,5.41E-04,2.23E-04
5.83E+02,4.46E-05,4.07E-04,2.01E-04
5.93E+02,4.46E-05,5.69E-04,2.40E-04
6.03E+02,5.02E-05,4.85E-04,1.62E-04
6.14E+02,3.35E-05,5.30E-04,2.23E-04
6.24E+02,6.14E-05,4.63E-04,2.34E-04
6.34E+02,3.35E-05,4.35E-04,2.23E-04
6.44E+02,1.12E-05,4.02E-04,2.18E-04
6.55E+02,2.23E-05,4.85E-04,2.51E-04
6.65E+02,1.67E-05,4.69E-04,2.45E-04
6.75E+02,2.79E-05,4.24E-04,2.90E-04
6.85E+02,2.79E-05,4.52E-04,2.68E-04
6.96E+02,2.23E-05,4.02E-04,2.68E-04
7.06E+02,2.23E-05,4.24E-04,2.96E-04
7.16E+02,5.02E-05,3.68E-04,2.73E-04
7.26E+02,3.90E-05,3.90E-04,3.01E-04
7.37E+02,3.35E-05,4.52E-04,2.12E-04
7.47E+02,3.35E-05,3.24E-04,3.51E-04
7.57E+02,3.35E-05,3.18E-04,3.29E-04
7.67E+02,4.46E-05,3.29E-04,3.12E-04
7.78E+02,3.35E-05,2.84E-04,3.85E-04
7.88E+02,3.35E-05,2.73E-04,3.12E-04
7.98E+02,3.35E-05,2.45E-04,3.68E-04
8.08E+02,1.67E-05,2.62E-04,4.18E-04
8.19E+02,4.46E-05,2.62E-04,3.40E-04
8.29E+02,1.67E-05,2.79E-04,3.63E-04
