Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,0.00E+00,0.00E+00,0.00E+00
3.06E+02,0.00E+00,0.00E+00,0.00E+00
3.16E+02,9.80E-02,6.88E-03,0.00E+00
3.26E+02,0.00E+00,1.34E-02,0.00E+00
3.36E+02,0.00E+00,8.06E-03,0.00E+00
3.47E+02,0.00E+00,6.21E-03,0.00E+00
3.57E+02,0.00E+00,5.69E-03,0.00E+00
3.67E+02,0.00E+00,4.82E-03,0.00E+00
3.77E+02,0.00E+00,3.96E-03,0.00E+00
3.88E+02,0.00E+00,4.14E-03,0.00E+00
3.98E+02,0.00E+00,3.41E-03,0.00E+00
4.08E+02,0.00E+00,2.86E-03,0.00E+00
4.18E+02,0.00E+00,2.43E-03,0.00E+00
4.28E+02,0.00E+00,2.24E-03,0.00E+00
4.38E+02,0.00E+00,2.12E-03,0.00E+00
4.49E+02,0.00E+00,1.78E-03,0.00E+00
4.59E+02,0.00E+00,1.61E-03,0.00E+00
4.69E+02,0.00E+00,1.42E-03,0.00E+00
4.79E+02,0.00E+00,1.39E-03,0.00E+00
4.90E+02,0.00E+00,1.28E-03,0.00E+00
5.00E+02,0.00E+00,1.12E-03,0.00E+00
5.10E+02,0.00E+00,1.10E-03,0.00E+00
5.20E+02,0.00E+00,1.05E-03,0.00E+00
5.30E+02,0.00E+00,1.07E-03,0.00E+00
5.40E+02,0.00E+00,8.90E-04,0.00E+00
5.51E+02,0.00E+00,7.89E-04,0.00E+00
5.61E+02,0.00E+00,6.88E-04,7.34E-05
5.71E+02,0.00E+00,6.06E-04,2.20E-04
5.81E+02,0.00E+00,6.42E-04,4.50E-04
5.92E+02,0.00E+00,5.97E-04,1.07E-03
6.02E+02,0.00E+00,5.32E-04,1.42E-03
6.12E+02,0.00E+00,5.42E-04,1.76E-03
6.22E+02,0.00E+00,4.68E-04,2.52E-03
6.32E+02,0.00E+00,4.86E-04,3.34E-03
6.42E+02,0.00E+00,3.85E-04,4.17E-03
6.53E+02,0.00E+00,4.68E-04,4.65E-03
6.63E+02,0.00E+00,3.95E-04,5.40E-03
6.73E+02,0.00E+00,3.30E-04,5.21E-03
6.83E+02,0.00E+00,3.76E-04,4.88E-03
6.94E+02,0.00E+00,3.21E-04,4.85E-03
7.04E+02,0.00E+00,3.67E-04,4.74E-03
7.14E+02,0.00E+00,2.66E-04,4.65E-03
7.24E+02,0.00E+00,3.40E-04,4.08E-03
7.34E+02,0.00E+00,2.85E-04,3.16E-03
7.44E+02,0.00E+00,3.67E-04,3.37E-03
7.55E+02,0.00E+00,2.29E-04,2.92E-03
7.65E+02,0.00E+00,2.85E-04,2.72E-03
7.75E+02,0.00E+00,2.75E-04,2.67E-03
7.85E+02,0.00E+00,2.20E-04,2.71E-03
7.96E+02,0.00E+00,2.02E-04,2.29E-03
8.06E+02,0.00E+00,2.66E-04,2.33E-03
8.16E+02,0.00E+00,1.93E-04,1.91E-03
8.26E+02,0.00E+00,2.20E-04,1.75E-03
