nodenumber,x-coordinate,y-coordinate,z-coordinate,heat-release-rate,velocity-magnitude,x-velocity,y-velocity,z-velocity,cell-reynolds-number,cell-convective-courant-number,temperature,absorption-coefficient,volumetric-absorbed-radiation,volumetric-emitted-radiation,rmse-flamelet-surrounding-temperature-ratio,rmse-flamelet-temperature-excess,rmse-flamelet-volume-fraction,rmse-heat-release-rate,rmse-reactivity,rmse-soot-volume-fraction-2,rmse-subgrid-combustion-factor,mean-flamelet-surrounding-temperature-ratio,mean-flamelet-temperature-excess,mean-flamelet-volume-fraction,mean-heat-release-rate,mean-reactivity,mean-soot-volume-fraction-2,mean-subgrid-combustion-factor,mean-pressure,mean-velocity-magnitude,mean-x-velocity,mean-y-velocity,mean-z-velocity,mean-temperature,mean-o2-mass-fraction,mean-co2-mass-fraction,mean-h2o-mass-fraction,rmse-pressure,rmse-velocity-magnitude,rmse-x-velocity,rmse-y-velocity,rmse-z-velocity,rmse-temperature,rmse-o2-mass-fraction,rmse-co2-mass-fraction,rmse-h2o-mass-fraction,sgs-viscosity-ratio,c2h4,o2,co2,h2o,soot-volume-fraction,soot-rate,soot-oxidation-rate,udm-0,udm-1,udm-2,udm-3,udm-4,udm-5,udm-6,udm-7,udm-8,udm-9,udm-10,udm-11,udm-12,udm-13,udm-14,udm-15,viscosity-lam,heat-flux,surf-incident-radiation,strain-rate-mag
1,0.0,-1.280553804e-18,0.3000000134,3297645.191,4.394543451,-0.009692982323,0.002865147035,4.394147547,277.0519071,0.6636901439,1348.829802,3.421617899,290437.2532,2569328.663,2.262328036e-07,0.0,0.1348740261,780935.5365,0.129120077,0.08153559043,0.1346685925,1.0,0.0,0.4258944373,2328946.289,0.2800826591,1.600635604,0.426237399,-0.06680412733,4.294750709,-0.0003482524323,-0.0002138996574,4.294550752,1316.796345,0.001597376534,0.17706668,0.06941799685,0.9962322684,0.1678830247,0.01470725829,0.0145715399,0.1666007731,26.52681865,0.0005641760595,0.0007944114823,0.0002169598571,0.4316185814,0.08368050525,0.002302365993,0.1780185128,0.06967985227,1.506506303e-06,0.03138730601,0.003475859024,0.3048766304,1.0,1348.829802,1348.829802,1.000104224,0.0,3.125517818,0.0008726720225,0.3054830884,0.3048766304,0.0001056379206,1.999553489e-06,0.00249207399,0.4316185814,5.208659499,0.1010641402,4.913171948e-05,0.0,0.0,28.04810756
2,1.7125000000000001,-1.280553804e-18,0.3000000134,2393957.342,4.079516987,-0.08140774191,0.008013001354,4.078320704,203.7168097,0.6242460366,1296.28802,2.113161799,163061.3657,1513259.361,0.0001204340907,0.109654539,0.07087718353,423495.7628,0.1757788382,0.043970950540000005,0.06879196998,1.000042335,0.0387403781,0.3227826387,1838872.217,0.9104169723,0.825469168,0.345783866,-0.06940760705,4.043018547,-0.04810836683,0.0009192090198,4.042563665,1311.197749,0.05240941021,0.1454837871,0.05684464579,0.9965136329,0.1366537401,0.02395670271,0.01498151034,0.1327264176,39.28033489,0.005444996141,0.004844814767,0.001592500367,1.138369121,0.04167310209,0.0589597615,0.1406486826,0.05514939532,7.768996752e-07,0.01556633929,0.002142405349,0.2664731352,1.000374895,1296.628516,1296.182549,1.007360062,0.3404954197,1.852608973,0.02576429648,0.287181047,0.2664054967,9.40703716e-05,3.680123298e-06,0.001809145576,1.138369121,37.1980648,0.05900067412,4.894398552e-05,0.0,0.0,68.27703414
3,3.4250000000000003,0.0,0.3000000134,652890.0172,2.53129654,-0.1138588849,0.01191592521,2.52773684,90.26698412,0.3972734703,853.0834077,0.648319259,24333.24587,222727.3526,0.0001182544456,0.1076662498,0.03945659996,33067.89004,0.4157646037,0.004145802844000001,0.08816781935,1.000041567,0.03803792588,0.244357668,663590.7732,6.488248999,0.0415029738,0.5173941125,-0.07360393591,2.567254237,-0.06559561608,0.002014920118,2.56613252,900.3366459,0.1580254702,0.06537505125,0.02654475858,0.9958182309,0.08433743709,0.03735099933,0.01477752609,0.07232219971,37.60449763,0.006332656416,0.005425993196,0.002008401748,7.076064236,0.0001427034267,0.1656826691,0.0588011151,0.02405202832,4.32854579e-08,-0.000328148938,0.000328148938,0.2589623567,1.000368097,853.4177291,852.9798483,1.046794425,0.334321454,0.3118999792,0.3152730224,0.5293098421,0.2588959447,4.091373239e-05,2.590714048e-06,0.0005076184372,7.076064236,63.73838193,0.01254116389,3.715762292e-05,0.0,0.0,125.6534036
4,5.137499999999999,-1.404760704e-18,0.3000000134,0.001838399445,0.6972307213,-0.08804585915,0.006743636645,0.6876802213,42.58684797,0.1170545075,390.495223,0.2636425152,6701.455295,2864.639985,2.262328036e-07,0.0,0.03222597377,0.009880375224,0.3558855438,0.001229831416,0.075148411,1.0,0.0,0.2742247496,0.01133542086,7.405351914,0.019677144759999998,0.6924164564,-0.07563247692,0.7103126777,-0.04458930323,0.002765732834,0.7080937655,404.6581933,0.2216303837,0.009498838388,0.004874515761,0.9924735063,0.04675877094,0.03515463488,0.0107826825,0.02668201469,11.37439456,0.001200930511,0.00100574007,0.0005246999261,7.745173297,4.746754603e-06,0.2231300492,0.008239513068,0.004224955929,1.818460115e-08,-3.992125862e-15,3.992125862e-15,0.2823161292,1.0,390.495223,390.495223,1.034416024,0.0,0.3548966397,0.5308986812,0.7005410914,0.2823161292,3.628970068e-06,4.362164227e-13,1.585400884e-12,7.745173297,27.631628,0.04148648973,2.290587619e-05,0.0,0.0,75.41178655
5,6.8500000000000005,5.678201141e-18,0.3000000134,4.926911622e-09,0.1069266607,-0.06989489154,0.003181520794,0.07741393586,61.53261844,0.02942405339,301.6767294,0.01372469598,273.3054569,30.2419012,2.262328036e-07,0.0,0.0002207635452,7.956799322e-10,0.08423935481,0.00010077784980000001,0.0001103817679,1.0,0.0,0.02629724225,3.618446783e-09,0.6746264428,0.001310551284,0.06025531923,-0.07546163539,0.08379363413,-0.04072427091,0.002113974511,0.07138842168,301.9379872,0.2324784193,0.0003409815913,0.0002038110766,0.9886236123,0.02932426918,0.02297541618,0.005650727875,0.0170761988,0.3008714891,3.482970571e-05,2.702454456e-05,1.619173056e-05,0.756486072,6.484033474e-07,0.2325077161,0.0003177929704,0.0001902814367,1.223816598e-09,-7.898368026e-21,7.898368026e-21,0.02620675133,1.0,301.6767294,301.6767294,1.000055839,0.0,0.05653116756,0.5,0.06021007377,0.02620675133,4.350729121e-07,5.948158839e-19,2.154792237e-18,0.756486072,1.583497034,0.00643596776,1.972615448e-05,0.0,0.0,4.705618906
6,7.6,8.068672688e-18,0.3000000134,0.0,0.08819047227,-0.05499153432,0.003864626707,0.06720230114,64.27947012,0.02253169533,298.7443834,0.002398794654,44.53283143,4.376914798,2.262328036e-07,0.0,0.0,0.0,0.08241488111,2.307797176e-05,0.0,1.0,0.0,0.0,0.0,0.3089655369,0.0002506069016,0.0,-0.07528342016,0.07113021111,-0.03089870576,0.002197205612,0.06324838566,298.7860489,0.2328426036,5.225660069e-05,3.752639265e-05,0.9874916554,0.02476180622,0.01869139416,0.003978465472,0.015723132,0.05865432668,6.901967746e-06,4.85643011e-06,3.408846482e-06,0.3956926069,9.748858577e-08,0.2328473187,4.888304647e-05,3.519943442e-05,2.341499624e-10,-2.221530386e-22,2.221530386e-22,0.0,1.0,298.7443834,298.7443834,1.0,0.0,0.0,0.5,0.0,0.0,7.284351282e-08,0.0,0.0,0.3956926069,0.5874080951,0.0,1.961861182e-05,0.0,0.0,2.310791328
7,8.818728349,1.268003057e-17,0.3000000134,0.0,0.0789049262,-0.04557469187,0.004088930601,0.06381012085,66.01141183,0.01569763832,298.1871374,0.0001508441785,2.620121543,0.2706454614,2.262328036e-07,0.0,0.0,0.0,0.05319475675,1.0683233280000001e-06,0.0,1.0,0.0,0.0,0.0,0.2399134052,1.630495835e-05,0.0,-0.0749839904,0.06996053082,-0.02827094601,0.001927229057,0.06376965795,298.187599,0.2329132607,2.662241821e-06,2.444469025e-06,0.985894225,0.0180753075,0.01327238614,0.002285755438,0.01204549806,0.002296082817,3.121957593e-07,1.65495112e-07,1.49168137e-07,0.2948697989,5.025016198e-09,0.2329132975,2.634408162e-06,2.423591828e-06,1.610298386e-11,-3.694042035e-24,3.694042035e-24,0.0,1.0,298.1871374,298.1871374,1.0,0.0,0.0,0.5,0.0,0.0,3.46738163e-09,0.0,0.0,0.2948697989,0.05889891165,0.0,1.959812831e-05,0.0,0.0,1.508217415
8,10.28120272,1.3612353499999999e-17,0.3000000134,0.0,0.07160846199,-0.0378584719,0.004031616836,0.06017044805,65.77997941,0.01178714679,298.1512258,3.303175166e-06,0.04978987774,0.005920467599,2.262328036e-07,0.0,0.0,0.0,0.02829956352,1.086326079e-07,0.0,1.0,0.0,0.0,0.0,0.1632395787,6.372546707e-07,0.0,-0.07476271441,0.06877090191,-0.02659438147,0.001541576305,0.06317860855,298.1512028,0.2329173735,6.098408176e-08,9.433942899e-08,0.9842438836,0.01240460098,0.008833736036,0.001408152586,0.00858817221,0.0001247764153,9.892531151e-08,7.241120396e-09,7.647619544e-09,0.1993591983,1.157106168e-10,0.2329173697,6.211618129e-08,9.675048783e-08,6.373395918e-13,-2.775309409e-26,2.775309409e-26,0.0,1.0,298.1512258,298.1512258,1.0,0.0,0.0,0.5,0.0,0.0,8.077748129e-11,0.0,0.0,0.1993591983,0.01240310237,0.0,1.959680831e-05,0.0,0.0,0.990041328
9,12.03617197,1.473114102e-17,0.3000000134,0.0,0.06595084103,-0.02952259823,0.003732444561,0.05877883827,68.37818869,0.009313238795,298.1500429,1.097485194e-07,0.001401581392,0.0001967025938,2.262328036e-07,0.0,0.0,0.0,0.02283098177,4.284474298e-08,0.09387767275,1.0,0.0,0.0,0.0,0.1277044091,2.8171565540000004e-08,0.4691614114,-0.0746601814,0.06779163131,-0.02310681841,0.001056736874,0.06367344511,298.1500442,0.2329175069,1.776778042e-09,3.387574115e-09,0.9826365757,0.008395251689,0.005661312746,0.001101651092,0.006088219141,0.0001240931882,1.008563482e-07,2.143520085e-09,1.299301245e-09,0.1554877648,2.745865998e-12,0.2329175071,1.522821173e-09,3.421948145e-09,2.194371627e-14,-1.859868884e-28,1.859868884e-28,0.0,1.0,298.1500429,298.1500429,1.0,0.0,0.0,0.5,0.4879777926,0.0,1.856371475e-12,0.0,0.0,0.1554877648,0.0004546688267,0.0,1.959676447e-05,0.0,0.0,0.6726156492
10,14.14213562,-3.509616173e-18,0.3000000134,0.0,0.06257361509,-0.02451907339,0.003396011333,0.05735215347,68.69986351,0.008131314246,298.1500029,2.805547168e-09,3.015427708e-05,5.028385372e-06,2.262328036e-07,0.0,0.0,0.0,0.01175513619,1.1441789540000001e-08,0.1853210957,1.0,0.0,0.0,0.0,0.09003804947,2.330177952e-09,0.4185385903,-0.07458529518,0.0670831526,-0.0221596019,0.0004534549926,0.06327596797,298.1500038,0.2329175112,1.277673359e-10,1.602535213e-10,0.9811351524,0.00574667395,0.003409752993,0.001043755938,0.004491098063,0.0001287993927,1.046509147e-07,5.261463366e-10,3.729093923e-10,0.1111629564,3.273193708e-15,0.2329175113,2.933310676e-11,9.903005291e-11,1.439486018e-16,-3.192180436e-31,3.192180436e-31,0.0,1.0,298.1500029,298.1500029,1.0,0.0,0.0,0.5,0.414831658,0.0,2.162979821e-15,0.0,0.0,0.1111629564,1.039956155e-05,0.0,1.959676262e-05,0.0,0.0,0.4495749096
11,15.97536007,5.024364185e-12,0.3000000284,0.0,0.0605996017,-0.02024754057,0.003342660692,0.05700483215,62.7218782,0.007750620959,298.1499948,1.66130239e-10,1.664055577e-06,2.977554015e-07,2.26232799e-07,0.0,0.0,0.0,0.004880204987,2.475118003e-09,0.08536515765,0.9999999794,0.0,0.0,0.0,0.07652926477,5.090981067e-10,0.5459067984,-0.07452540454,0.06616707526,-0.02020690763,6.226724633e-05,0.06300237338,298.1499949,0.2329175066,2.21186537e-11,2.475905248e-11,0.9801010048,0.004648535535,0.002459230193,0.001148904657,0.00376713997,0.0001268113028,8.033651205e-08,1.037805864e-10,9.111270019e-11,0.08955826741,2.62844369e-15,0.2329175067,5.811228264e-13,6.178366454e-12,1.720954716e-17,-8.571966303e-33,8.571966303e-33,0.0,0.9999999794,298.1499948,298.1499948,0.9999999794,0.0,0.0,0.4999999897,0.528962463,0.0,1.736919237e-15,0.0,0.0,0.09006822646,3.702772799e-07,0.0,1.959676222e-05,0.0,0.0,0.41906814
