nodenumber,x-coordinate,y-coordinate,z-coordinate,heat-release-rate,velocity-magnitude,x-velocity,y-velocity,z-velocity,cell-reynolds-number,cell-convective-courant-number,temperature,absorption-coefficient,volumetric-absorbed-radiation,volumetric-emitted-radiation,rmse-flamelet-surrounding-temperature-ratio,rmse-flamelet-temperature-excess,rmse-flamelet-volume-fraction,rmse-heat-release-rate,rmse-reactivity,rmse-soot-volume-fraction-2,rmse-subgrid-combustion-factor,mean-flamelet-surrounding-temperature-ratio,mean-flamelet-temperature-excess,mean-flamelet-volume-fraction,mean-heat-release-rate,mean-reactivity,mean-soot-volume-fraction-2,mean-subgrid-combustion-factor,mean-pressure,mean-velocity-magnitude,mean-x-velocity,mean-y-velocity,mean-z-velocity,mean-temperature,mean-o2-mass-fraction,mean-co2-mass-fraction,mean-h2o-mass-fraction,rmse-pressure,rmse-velocity-magnitude,rmse-x-velocity,rmse-y-velocity,rmse-z-velocity,rmse-temperature,rmse-o2-mass-fraction,rmse-co2-mass-fraction,rmse-h2o-mass-fraction,sgs-viscosity-ratio,c2h4,o2,co2,h2o,soot-volume-fraction,soot-rate,soot-oxidation-rate,udm-0,udm-1,udm-2,udm-3,udm-4,udm-5,udm-6,udm-7,udm-8,udm-9,udm-10,udm-11,udm-12,udm-13,udm-14,udm-15,viscosity-lam,heat-flux,surf-incident-radiation,strain-rate-mag
1,0.0,4.697924836e-18,0.5249999572,0.04882341889,2.394455683,0.044146801,-0.04408625022,2.390213549,191.7953896,1.459972494,493.3917902,0.7592636476,4615.443138,11524.35123,0.04273669069,29.42878358,0.1548918051,5177524.486,0.3378990167,0.3704259552,0.968550277,1.008114835,5.636565137,0.3659664613,1311538.455,0.4591581596,0.27425202340000004,0.6339155132,-0.7716948124,2.776580434,-0.0242868894,0.01981981236,2.776395355,784.1376265,0.1262466816,0.05247763252,0.02118474466,0.8149173759,1.395909037,0.5934929738,0.6133536918,1.104575017,431.9370552,0.06115974794,0.05246994252,0.02035804257,0.4563404275,2.585906597e-05,0.1617042529,0.02226152991,0.009212500902,2.550318863e-07,-4.096011371e-12,4.096011371e-12,0.3038935755,0.9999999721,493.3917902,493.3917902,1.0017308,0.0,0.9991909343,0.05765723279,0.3447455283,0.3038935755,2.191770012e-05,2.226796219e-11,3.69177417e-11,0.4563404275,8.762544033,0.03331133049,2.630634566e-05,0.0,0.0,92.79776302
2,0.428124988,4.697924836e-18,0.5249999572,0.003311765037,2.375052904,0.1917785516,-0.0663890001,2.365509865,236.4072284,1.496739201,446.6305975,0.600272276,3636.454211,6012.803035,0.04242080984,29.50373068,0.1536468842,5142485.399,0.3413024159,0.3665184361,0.8679812881,1.008149673,5.698258399,0.363483367,1302008.224,0.4642833901,0.2706282134,0.6305158916,-0.7714270918,2.749626368,-0.01462212327,0.01974516873,2.749510093,778.2911259,0.1270946038,0.05175504233,0.02092843959,0.8143273087,1.388156596,0.5945641798,0.6169830326,1.092133382,431.8275916,0.06093390585,0.05231040149,0.0203239745,0.3725625742,1.927401071e-05,0.1682778862,0.01629860579,0.007090780194,2.068033272e-07,-3.20544171e-14,3.20544171e-14,0.3327066028,0.9999999721,446.6305975,446.6305975,1.00111327,0.0,1.20916183,0.3783378394,0.5845219902,0.3327066028,1.802456904e-05,1.495658343e-12,2.504336487e-12,0.3725625742,5.740245359,0.04830321577,2.47201963e-05,0.0,0.0,64.97285982
3,0.8562499761,4.697924836e-18,0.5249999572,0.001713547354,2.497671384,0.2660870894,-0.1572208846,2.475532117,240.5231637,1.70084021,436.7780013,0.5004668944,3057.332642,4326.258947,0.04161740213,29.00467614,0.153012737,5073095.955,0.3397685719,0.3634320459,0.5930185238,1.007963855,5.582090781,0.3604943661,1267287.461,0.4677971983,0.26698860609999997,0.616738861,-0.7716435138,2.698320749,-0.005792995285,0.02048871096,2.698228656,767.7292577,0.1284491487,0.05059940136,0.02048957973,0.8132539697,1.378907463,0.5914724267,0.6240113058,1.078001777,429.3947641,0.06046230007,0.05191511426,0.02020124541,0.4664834591,2.967530925e-05,0.1713245529,0.01359370894,0.006067241756,1.528943716e-07,-5.449067602e-15,5.449067602e-15,0.3020629028,0.9999999721,436.7780013,436.7780013,1.001006357,0.0,1.203933933,0.3492601166,0.5339676645,0.3020629028,2.788459883e-05,7.609443297e-13,1.294759104e-12,0.4664834591,5.536033657,0.04028162265,2.439891926e-05,0.0,0.0,78.77077004
4,1.2843749640000002,4.697924836e-18,0.5249999572,0.0287580443,2.607170013,0.3094078869,-0.4082626489,2.551630857,198.8124678,1.942787322,486.9934676,0.5804030237,3623.82918,7984.5883,0.04014605598,27.57353201,0.1527971264,4913552.717,0.338461129,0.36077371669999997,0.5018301218,1.007429554,5.145657033,0.3580362592,1194342.965,0.4709845221,0.2637585285,0.6076864519,-0.7715389117,2.634999545,0.002632513465,0.01462369633,2.634947182,754.8609975,0.1299618562,0.04930914136,0.01997319028,0.8115121482,1.36723606,0.5861167945,0.6312238254,1.061743942,427.2306148,0.06014595926,0.05166505141,0.02010294565,0.5664549491,5.180591667e-05,0.1669125256,0.01792527664,0.007325231543,1.490634843e-07,-2.455820979e-13,2.455820979e-13,0.2741716145,0.9999999721,486.9934676,486.9934676,1.001263714,0.0,0.9696299811,0.1110362625,0.3561015016,0.2741716145,4.658674566e-05,8.75027192e-12,2.172574713e-11,0.5664549491,7.236690439,0.02517368745,2.613289175e-05,0.0,0.0,112.5652943
5,1.712499952,4.697924836e-18,0.5249999572,0.04129830914,2.383828648,0.2640428775,-0.5109530167,2.310441864,156.5872331,1.865527575,509.6234211,0.6418488675,4106.035946,10144.97261,0.0384159805,26.20036051,0.1507749292,4682116.441,0.3417975459,0.3536990861,0.4689206507,1.006986726,4.802373144,0.3530143715,1113425.438,0.4821084516,0.2587217319,0.6012982321,-0.7715355872,2.560464121,0.01077372915,0.003322856817,2.560427168,741.6015934,0.1315747679,0.0479447919,0.01942120259,0.8098291638,1.349177845,0.5792847773,0.634095626,1.040472126,424.2691622,0.05965913318,0.05130062331,0.0199452275,0.6941396088,4.991503585e-05,0.1640585203,0.02079175856,0.008069588554,1.619678497e-07,-5.750392335e-13,5.750392335e-13,0.2619543654,0.9999999721,509.6234211,509.6234211,1.001522223,0.0,0.8401123553,0.1278960933,0.3566866606,0.2619543654,4.700312789e-05,1.395566863e-11,3.120104774e-11,0.6941396088,8.172500457,0.01932749718,2.690325977e-05,0.0,0.0,146.3026435
6,2.140625,4.390805463e-18,0.524999972,0.01412358602,1.921774934,0.2510770349,-0.558488706,1.804877663,134.1642514,1.574083057,447.6888916,0.5007937981,3274.116406,5897.518803,0.0367553785,25.02801732,0.1469828173,4442543.27,0.3432268337,0.3432894193,0.46029952,1.006592467,4.553423091,0.3472039808,1034485.599,0.4932683346,0.2510810025,0.5951225904,-0.7725348299,2.472236453,0.01910876669,-0.004560848059,2.47215233,725.8560209,0.1335997906,0.04622521295,0.01874634081,0.8095928629,1.32166361,0.5713356296,0.6293266299,1.012066491,417.6352384,0.05859918441,0.05042521343,0.01962394439,0.9428582642,2.545007874e-05,0.1701725122,0.01543862247,0.005960910541,1.35029593e-07,-3.348915518e-13,3.348915518e-13,0.2388580298,1.0,447.6888916,447.6888916,1.003400185,0.0,0.9444589026,0.1464607792,0.3507893839,0.2388580298,2.721459243e-05,5.950962905e-12,1.067156878e-11,0.9428582642,11.49073481,0.01503499174,2.475966485e-05,0.0,0.0,159.8761905
7,2.5687499280000003,4.083685845e-18,0.5249999572,2.831672056e-05,1.550917058,0.3171896171,-0.7215059403,1.318077666,176.6052527,1.374888264,356.7607048,0.2324904959,1550.209761,1255.317965,0.03505949726,23.85713401,0.1441052185,4256898.217,0.3400907809,0.335423204,0.4166574022,1.006039891,4.173244927,0.343281972,965298.4009,0.4995685883,0.2431331364,0.5944543159,-0.7748410453,2.374423522,0.02769637032,-0.00751020626,2.374241484,707.5858885,0.1358867424,0.04429227262,0.01797928234,0.8114132482,1.289579276,0.565799231,0.6193549736,0.9793931195,410.267208,0.05751121926,0.0495420124,0.01930296262,0.7933871315,6.192323171e-06,0.1803275559,0.006527335139,0.002521770563,6.851260978e-08,-2.796860414e-17,2.796860414e-17,0.1812793,0.9999999721,356.7607048,356.7607048,1.002736037,0.0,0.9806006683,0.3777501166,0.3720518161,0.1812793,7.652984611e-06,1.296157069e-14,2.140428522e-14,0.7933871315,8.69441126,0.01760664617,2.157140024e-05,0.0,0.0,102.5774228
8,2.996874916,3.77656635e-18,0.5249999572,6.000321949e-09,1.448634136,0.324630363,-0.8411201065,1.131864241,247.7803917,1.342243962,309.0259649,0.05368090531,366.4056231,126.455606,0.03330202401,22.8653768,0.1431025651,4094612.918,0.3373476916,0.3302978311,0.4154932691,1.005416798,3.743512072,0.3398198478,900863.968,0.5049044247,0.23710617280000001,0.5895460352,-0.7773087065,2.275839136,0.03508214665,-0.006173390366,2.27555416,689.4609141,0.1380394485,0.04247184068,0.0172353087,0.8148970476,1.265352924,0.5642364537,0.6131404839,0.952243525,404.8609096,0.05675515791,0.04894691723,0.01907371168,0.44249458,8.642626605e-07,0.1860577041,0.001410091857,0.0005372059644,1.688007943e-08,-6.248568212e-20,6.248568212e-20,0.06538550962,0.9999999721,309.0259649,309.0259649,1.000470902,0.0,0.4527030243,0.499999986,0.1596604238,0.06538550962,1.168140287e-06,1.14644624e-18,4.533923255e-18,0.44249458,2.596088689,0.01032459087,1.986387815e-05,0.0,0.0,43.37326173
9,3.424999904,3.469446855e-18,0.5249999572,9.301690744e-10,1.486057374,0.3163408367,-0.8853744214,1.150448499,281.2112125,1.378648401,300.6753461,0.013187891,93.37891227,24.52604859,0.031841027,21.80006564,0.1424843767,3906422.781,0.3429845326,0.3251033896,0.4326636915,1.004942035,3.404958642,0.3363808268,827238.2779,0.5122738899,0.2330811424,0.5795170713,-0.7787931505,2.18075246,0.03978596058,0.000306865164,2.180380756,672.1269072,0.1400733076,0.04073487636,0.01652074281,0.8181288447,1.253004145,0.5641329641,0.6165829671,0.9335536456,398.9022819,0.05594858659,0.04827327211,0.01880414947,0.3470660406,1.554531938e-06,0.1871363588,0.0003055325779,0.0001351087497,4.985555436e-09,-2.799533443e-21,2.799533443e-21,0.1754205257,0.9999999721,300.6753461,300.6753461,1.00001111,0.0,1.157710298,0.499999986,0.3407010214,0.1754205257,2.175327374e-06,2.295318963e-19,6.982113539e-19,0.3470660406,0.4398478476,0.05042999937,1.956213223e-05,0.0,0.0,31.95013889
10,3.853124892,2.560157421e-18,0.5249999572,3.237671173e-09,1.569263816,0.321121013,-0.9160723098,1.231865356,275.4046621,1.422938564,303.9234241,0.02537852346,185.3284588,50.60904251,0.03119106165,21.36158992,0.1411948842,3799214.491,0.3579586874,0.32210498470000004,0.4190735676,1.004633515,3.221226333,0.3285824976,757942.1322,0.5316374578,0.22985184390000002,0.5683334937,-0.779419228,2.082930285,0.04087076163,0.007119045924,2.082511223,654.7698829,0.1421769881,0.03893795707,0.01579393793,0.8203615118,1.243227291,0.5636173252,0.6250771656,0.9149517817,388.9174435,0.0546340822,0.04714071282,0.01837314299,0.4510780973,4.649342287e-06,0.1867579815,0.0005597364428,0.0002581460138,1.097985447e-08,-1.435126007e-20,1.435126007e-20,0.3080764769,0.9999999721,303.9234241,303.9234241,1.000054218,0.0,2.210217748,0.4337369698,0.6046568153,0.3080764769,6.348584612e-06,8.618041632e-19,2.414397505e-18,0.4510780973,0.9345944093,0.07679098163,1.968090737e-05,0.0,0.0,41.12538444
