nodenumber,x-coordinate,y-coordinate,z-coordinate,heat-release-rate,velocity-magnitude,x-velocity,y-velocity,z-velocity,cell-reynolds-number,cell-convective-courant-number,temperature,absorption-coefficient,volumetric-absorbed-radiation,volumetric-emitted-radiation,rmse-flamelet-surrounding-temperature-ratio,rmse-flamelet-temperature-excess,rmse-flamelet-volume-fraction,rmse-heat-release-rate,rmse-reactivity,rmse-soot-volume-fraction-2,rmse-subgrid-combustion-factor,mean-flamelet-surrounding-temperature-ratio,mean-flamelet-temperature-excess,mean-flamelet-volume-fraction,mean-heat-release-rate,mean-reactivity,mean-soot-volume-fraction-2,mean-subgrid-combustion-factor,mean-pressure,mean-velocity-magnitude,mean-x-velocity,mean-y-velocity,mean-z-velocity,mean-temperature,mean-o2-mass-fraction,mean-co2-mass-fraction,mean-h2o-mass-fraction,rmse-pressure,rmse-velocity-magnitude,rmse-x-velocity,rmse-y-velocity,rmse-z-velocity,rmse-temperature,rmse-o2-mass-fraction,rmse-co2-mass-fraction,rmse-h2o-mass-fraction,sgs-viscosity-ratio,c2h4,o2,co2,h2o,soot-volume-fraction,soot-rate,soot-oxidation-rate,udm-0,udm-1,udm-2,udm-3,udm-4,udm-5,udm-6,udm-7,udm-8,udm-9,udm-10,udm-11,udm-12,udm-13,udm-14,udm-15,viscosity-lam,heat-flux,surf-incident-radiation,strain-rate-mag
1,0.0,-9.604152939e-19,0.2249999962,8699887.112,1.399279825,-0.8831337875,0.6267048231,0.8382966594,20.05757149,1.394460989,1498.34325,4.00228224,489942.8128,4508748.421,0.1090927627,71.9134373,0.1967108879,10217687.18,0.2078068042,0.4616621676,0.3515212215,1.041206397,26.83816775,0.5378622752,5220052.882,0.2069296139,0.3798399784,0.806645453,-0.8259483912,2.704246848,0.01368840593,-0.009076413577,2.704187905,1314.811756,0.06036195731,0.1242129282,0.04945841286,1.043069088,1.186227094,0.3950571826,0.4180762013,1.037422228,474.6839764,0.08237435453,0.05953716888,0.0215549055,0.3307206043,0.05386142171,0.007976907817,0.1885477022,0.07105187318,1.637597054e-06,0.03973435638,0.03363538975,0.6200544598,1.038396202,1523.395058,1468.878132,1.010392622,25.05180714,0.2500860358,0.2797935545,0.8106588034,0.6116829146,0.0006295957369,6.487734688e-05,0.006562971015,0.1073963159,0.0,0.03145284831,5.334578639e-05,0.0,0.0,132.1740852
2,0.42812500000000003,-9.604152939e-19,0.2249999962,1032123.07,1.625616831,-0.8499065129,0.3613127557,1.29862437,25.8863641,1.459082993,1396.295968,4.659957971,588395.2702,4012471.593,0.1079097283,71.5947468,0.1959392925,10148856.27,0.2124269018,0.4598888513,0.3384374122,1.041177071,27.07577334,0.5358502608,5235774.117,0.2106011578,0.3739365154,0.8041696349,-0.8283322772,2.698418044,0.02364730738,-0.01011671445,2.698287319,1313.585508,0.06196312713,0.1235884634,0.04916537863,1.042937592,1.180386948,0.3990778048,0.4197046784,1.028534643,478.4868188,0.08283983169,0.05999935624,0.02170189083,0.3633991,0.07692116342,0.0007969874107,0.1905848669,0.07286372347,2.024337301e-06,0.05163575903,0.006242821897,0.5761947238,1.000858303,1396.910081,1395.559033,1.000055282,0.6141123565,0.2435885478,0.5601117642,0.8159540053,0.5759871189,7.593963352e-05,9.09995464e-06,0.0007785358528,0.1228309084,0.0,0.02946999918,5.040059588e-05,0.0,0.0,134.5460749
3,0.8562500000000001,-9.604152939e-19,0.2249999962,226692.0052,1.768487606,-0.6778879679,0.1551880133,1.611549052,33.07586356,1.420249322,1337.322255,4.849523022,618003.3344,3525518.368,0.1087981879,72.37748614,0.195901753,10222320.9,0.223062696,0.4516428886,0.3870198554,1.042972587,28.46522852,0.5293719123,5414440.028,0.2216068934,0.3487049353,0.7988974667,-0.8323382126,2.665886827,0.0333933977,-0.006797515652,2.665656245,1304.714954,0.06902791894,0.1205812728,0.04779811722,1.043003649,1.182804902,0.4060606811,0.4187510958,1.02896689,495.3981585,0.08515115311,0.06217372528,0.02247716775,0.2498768917,0.09319374144,0.0001645923342,0.1869624661,0.07277683848,2.170141644e-06,0.03860488031,0.001816902976,0.566371536,1.0,1337.322255,1337.322255,1.0,0.0,0.2562831264,0.4844052801,0.781844307,0.566371536,1.501576714e-05,1.802787828e-06,0.0001712568854,0.1262851233,0.0,0.03033808169,4.866356221e-05,0.0,0.0,128.1232746
4,1.2843749999999998,-9.604152939e-19,0.2249999962,146464.506,1.743470157,-0.4615406266,0.0968592898,1.669331512,38.97325342,1.297549773,1275.179418,5.044244595,635335.581,3034109.693,0.1093646649,72.75600768,0.1975847753,10244611.97,0.2366590738,0.43627545970000003,0.4175561005,1.043746817,29.08026866,0.5159707318,5434279.511,0.2397786837,0.3106660322,0.7900610541,-0.8375186108,2.594604741,0.0443514884,-0.0006727520623,2.594206138,1276.849065,0.08097573253,0.1144815339,0.04525561728,1.043449721,1.179109642,0.4133916817,0.4167252568,1.022595452,519.8736747,0.08800251239,0.06514293751,0.02358784152,0.1325001174,0.1128795692,0.0001037292086,0.1837973187,0.07224423057,2.334721387e-06,0.024369434,0.0007549447092,0.5489170633,1.0,1275.179418,1275.179418,1.0,0.0,0.2707564581,0.4100202399,0.7406233302,0.5489170633,9.458356201e-06,1.09870421e-06,0.0001112338558,0.1342408877,0.0,0.03062101332,4.678060139e-05,0.0,0.0,125.1091821
5,1.7125000000000001,-9.604152939e-19,0.2249999962,86037.99717,1.625012345,-0.2541749687,0.09101730957,1.596022643,41.97883344,1.143083495,1217.776697,5.272989171,648666.8614,2634923.487,0.1082914917,72.314278,0.2001736801,10205776.27,0.2594045025,0.41104483649999995,0.4242257623,1.043094489,28.88612693,0.4944618666,5265725.7,0.2698061286,0.2624527235,0.77575634,-0.8428935908,2.467539488,0.0548546585,0.007060732064,2.466896585,1222.353831,0.09630642819,0.1052309205,0.04164385735,1.044254242,1.157105429,0.4203263442,0.417467675,0.9938502594,550.101366,0.09024804036,0.06806580758,0.02475397991,0.06044655196,0.1268710614,6.062899591e-05,0.1820731238,0.07182047666,2.526645024e-06,0.0149485936,0.0003371613636,0.3687501377,1.0,1217.776697,1217.776697,1.0,0.0,0.1933416812,0.5112718708,0.5217079331,0.3687501377,5.635899282e-06,6.025725742e-07,6.549731333e-05,0.1260589771,0.0,0.02238203119,4.509186228e-05,0.0,0.0,108.794509
6,2.140625,-7.203114704e-19,0.2249999962,35609.36166,1.503243073,-0.1080275843,0.08731849586,1.49254217,41.95391877,1.009616705,1183.794962,5.481416697,658815.7333,2446634.394,0.103764434,69.16647047,0.203583424,9854553.896,0.2819609568,0.3798566607,0.4433509351,1.039330548,26.46381417,0.4668642139,4761276.965,0.3067964086,0.2135660227,0.753528613,-0.8476371518,2.283463534,0.06232497044,0.01503614114,2.282540926,1141.969034,0.1131992345,0.09377227011,0.03731952565,1.045414743,1.117246192,0.4253256487,0.421433951,0.9430719441,574.0098111,0.09104098455,0.06984778398,0.02563517931,0.02917465752,0.1304259751,2.511433605e-05,0.1821264497,0.07167730134,2.693252355e-06,0.01131055997,0.0001823698112,0.2129641841,1.0,1183.794962,1183.794962,1.0,0.0,0.1229697678,0.5995873728,0.3038208016,0.2129641841,2.41013718e-06,1.931495019e-07,2.690856531e-05,0.0995341908,0.0,0.0168918125,4.415403189e-05,0.0,0.0,81.51582649
7,2.5687499999999996,-4.80207647e-19,0.2249999962,17969.91685,1.432051728,-0.01382158887,0.1120810506,1.423963582,40.81077342,0.9569891833,1170.435041,5.663375109,668133.5846,2418215.538,0.09778098328,64.24616492,0.2060374174,9254817.026,0.2911381898,0.3528744189,0.4293831395,1.033360285,22.2172058,0.4402778616,4010019.58,0.3356282469,0.1757735303,0.7277476594,-0.8512547665,2.068372305,0.06571055499,0.02083774024,2.067206272,1047.927098,0.129700489,0.08183767922,0.03283306037,1.046494097,1.064857205,0.4265538108,0.4226216928,0.8792160202,582.8259301,0.08999985221,0.06995944397,0.02597135538,0.02600772143,0.1276025836,1.279106501e-05,0.1832458037,0.07170426628,2.826264736e-06,0.0104507571,0.0001367883865,0.234715105,1.0,1170.435041,1170.435041,1.0,0.0,0.1561739994,0.6024797843,0.3082014663,0.234715105,1.251848619e-06,7.415201019e-08,1.357788736e-05,0.07926671195,0.0,0.02165202397,4.384425781e-05,0.0,0.0,61.22125585
8,2.9968750450000003,-2.401038271e-19,0.2249999996,13604.06286,1.424859946,0.0471304397,0.1619698949,1.411972171,40.09362861,0.9832953448,1175.409274,5.797004826,673563.2028,2521923.223,0.09144870894,58.78471058,0.2087630316,8579364.994,0.2901828565,0.332713413,0.5666429866,1.027279829,17.85182193,0.4176121496,3258091.914,0.3528343661,0.1491405807,0.6992491946,-0.8545108404,1.852104275,0.06311021633,0.02023976558,1.850905895,956.9772337,0.1440382957,0.07113808472,0.02872855779,1.047046286,1.003600588,0.4242524063,0.4127313747,0.810333139,579.8082437,0.08767908658,0.06893899284,0.02583685314,0.02977787882,0.1201680163,1.021235363e-05,0.1850244017,0.07179992946,2.908941128e-06,0.01162546775,0.0001667986057,0.2436020309,1.000000015,1175.409274,1175.409274,1.000000015,0.0,0.1699380531,0.6063100756,0.3107798864,0.2436020309,9.880000103e-07,5.527448755e-08,1.035639549e-05,0.07111111217,0.0,0.02323115151,4.408167278e-05,0.0,0.0,47.3877081
9,3.4250000000000003,0.0,0.2249999962,34747.53862,1.445622448,0.08915616259,0.2194734249,1.424042481,39.06283805,1.045235814,1207.005727,5.787557875,663079.8708,2807869.807,0.0845549446,53.34744443,0.2136856986,7896599.526,0.2907396396,0.3172531261,0.796500844,1.022211175,14.27189364,0.3964729206,2647581.413,0.3666998981,0.1302426592,0.6722354057,-0.8585395144,1.647647318,0.05522574402,0.01578395383,1.646635975,881.4367564,0.1552771824,0.06266595532,0.02540817032,1.047489674,0.9376219541,0.4204160546,0.3952374286,0.7388269207,570.0776848,0.08471275572,0.06735583859,0.02543344152,0.02957892479,0.1097425387,2.567805915e-05,0.1877038288,0.0719142248,2.869595676e-06,0.01624631723,0.0004459577158,0.3377387261,1.0,1207.005727,1207.005727,1.0,0.0,0.2236792269,0.683634065,0.43993703,0.3377387261,2.313781107e-06,1.556301055e-07,2.610734037e-05,0.07111111111,0.0,0.03057776592,4.505677982e-05,0.0,0.0,40.12707811
10,3.8531250000000004,-4.098487799e-19,0.2249999962,296965.7822,1.417510412,0.1332561839,0.2571508645,1.386032401,34.70198722,1.079954081,1283.235383,5.490246089,620670.19,3394815.637,0.07663607408,48.32872999,0.2195897439,7253899.376,0.2941955171,0.3057175577,0.687870257,1.018057597,11.56934725,0.3748645244,2203027.521,0.380034143,0.117168112,0.6403697848,-0.8635797192,1.457589295,0.04485547789,0.01479274085,1.456812989,825.3908365,0.1632977639,0.05667023,0.02298534431,1.048201489,0.8768242561,0.4166689015,0.3801546553,0.6711502063,558.8211124,0.08185805933,0.06584299733,0.0249710708,0.05470013157,0.0950155581,0.0002246414647,0.1913510961,0.07187811809,2.61515072e-06,0.02741311307,0.002345878264,0.5864225518,1.0,1283.235383,1283.235383,1.0,0.0,0.3703964948,0.831611411,0.7725731271,0.5864225518,1.841773688e-05,1.985899839e-06,0.0002177111538,0.07306456995,0.0,0.05083482119,4.723814982e-05,0.0,0.0,52.09041092
