nodenumber,x-coordinate,y-coordinate,z-coordinate,heat-release-rate,velocity-magnitude,x-velocity,y-velocity,z-velocity,cell-reynolds-number,cell-convective-courant-number,temperature,absorption-coefficient,volumetric-absorbed-radiation,volumetric-emitted-radiation,rmse-flamelet-surrounding-temperature-ratio,rmse-flamelet-temperature-excess,rmse-flamelet-volume-fraction,rmse-heat-release-rate,rmse-reactivity,rmse-soot-volume-fraction-2,rmse-subgrid-combustion-factor,mean-flamelet-surrounding-temperature-ratio,mean-flamelet-temperature-excess,mean-flamelet-volume-fraction,mean-heat-release-rate,mean-reactivity,mean-soot-volume-fraction-2,mean-subgrid-combustion-factor,mean-pressure,mean-velocity-magnitude,mean-x-velocity,mean-y-velocity,mean-z-velocity,mean-temperature,mean-o2-mass-fraction,mean-co2-mass-fraction,mean-h2o-mass-fraction,rmse-pressure,rmse-velocity-magnitude,rmse-x-velocity,rmse-y-velocity,rmse-z-velocity,rmse-temperature,rmse-o2-mass-fraction,rmse-co2-mass-fraction,rmse-h2o-mass-fraction,sgs-viscosity-ratio,c2h4,o2,co2,h2o,soot-volume-fraction,soot-rate,soot-oxidation-rate,udm-0,udm-1,udm-2,udm-3,udm-4,udm-5,udm-6,udm-7,udm-8,udm-9,udm-10,udm-11,udm-12,udm-13,udm-14,udm-15,viscosity-lam,heat-flux,surf-incident-radiation,strain-rate-mag
1,0.0,-1.280553768e-18,0.3000000048,8954237.602,2.17284206,0.1862880011,0.09202874253,2.160740414,34.93299456,1.531301118,1575.777831,0.6382230377,29060.28583,952413.7487,0.08236295912,54.61594108,0.2035414256,8139044.913,0.2479119387,0.1266637331,0.9269319851,1.0323532,21.1974437,0.5118647419,3827854.75,0.2401661253,0.09814451144,0.7846885867,-1.020860626,2.877664808,0.02019940491,0.005226951751,2.877578719,1203.34864,0.05287448227,0.09239535742,0.03686327551,0.9351286213,1.242780373,0.3859520392,0.4174567323,1.105098668,457.4075403,0.06298685408,0.04908957901,0.01838651546,0.06294440504,0.009066808293,0.03339121966,0.1165491558,0.04905925708,2.304076469e-08,-0.00329171249,0.007516647786,0.7349496566,1.092578542,1614.990317,1480.38889,1.018004229,39.21248617,0.3440225977,0.2296946463,0.9222438549,0.7185561153,0.0005743219899,4.704221815e-05,0.006769767036,0.07473012889,28.49663288,0.04346071875,5.608804233e-05,0.0,0.0,86.00690953
2,0.42812500000000003,-1.280553768e-18,0.3000000048,2557912.414,2.059772546,0.1745078161,-0.09356266104,2.045201179,38.93934796,1.485990444,1415.120739,0.6686029736,27527.24856,645314.5326,0.08207822354,54.55241006,0.2017686578,8094214.626,0.247894676,0.12748047170000001,0.8503014732,1.032473662,21.43647256,0.5100334826,3837132.593,0.2430281178,0.09737568878,0.7799985964,-1.023088621,2.863305347,0.03434468653,0.006139985588,2.863080153,1203.486037,0.05396846301,0.09201033219,0.03665150512,0.9347693093,1.24110047,0.3878440714,0.4223975608,1.100654517,457.6215722,0.062898501,0.04919028632,0.0183868585,0.08394401905,0.0006221886103,0.05519838701,0.09928846138,0.04205231711,6.903491529e-09,-0.002109692738,0.002109692738,0.6894641862,1.021392458,1423.837919,1391.37021,1.005794898,8.717179264,0.330467585,0.4877622057,0.8767564529,0.6855515995,0.0001643977528,1.417846601e-05,0.001932226967,0.08664339709,36.91982287,0.04388351691,5.248110012e-05,0.0,0.0,95.74221622
3,0.8562500000000001,-1.280553768e-18,0.3000000048,358080.1939,1.895677274,0.1437155276,-0.2395103683,1.87330503,40.35891938,1.403670899,1264.774116,0.7317989809,26308.22125,460715.6992,0.08229935208,54.150323,0.2001500081,8045848.551,0.255518258,0.1276643884,0.8833525162,1.032743946,21.59603228,0.5002402233,3825372.806,0.2566720763,0.09324587877000001,0.7706774583,-1.027701945,2.801361403,0.0481751616,0.006503889797,2.800927048,1182.585092,0.05878760868,0.08901525798,0.03543264562,0.9357986725,1.233741845,0.393786286,0.4266214832,1.088566199,468.0492922,0.06379321533,0.0502921703,0.01876856258,0.1495295748,8.422808087e-05,0.07038701993,0.08663357724,0.0353271514,1.169170668e-08,-0.0009291974528,0.0009291974528,0.5550431828,1.000011755,1264.781428,1264.769503,1.005987374,0.007311926078,0.2892096529,0.6312942838,0.8552149733,0.5550403953,2.692042206e-05,2.538391524e-06,0.0002705257559,0.1496981859,39.20639741,0.03066628824,4.877030524e-05,0.0,0.0,134.6754716
4,1.2843749999999998,-1.280553768e-18,0.3000000048,112007.5026,1.390510165,0.06646264604,-0.156326075,1.376483766,43.53009608,1.003487609,939.7798497,0.7314384773,22536.99049,195732.6072,0.08173376273,53.00926223,0.1985631422,7912191.681,0.272294575,0.12608471319999998,0.9431908464,1.031871433,20.92593051,0.4830045436,3672190.099,0.2804340845,0.08555132069,0.7573767439,-1.033956183,2.69120634,0.05927534243,0.006470872835,2.690534773,1138.834124,0.0665467861,0.08359543698,0.03333313652,0.9378659028,1.213690043,0.4009635534,0.4291798623,1.062044724,486.2128413,0.0652233205,0.05192099267,0.01941069258,0.2982983253,6.058488343e-05,0.1052763326,0.05553402247,0.02363273815,1.200823276e-08,-0.0001119974248,0.0001119974248,0.3860626138,1.00004188,939.8051773,939.7659299,1.014628013,0.02532754257,0.4234436761,0.6474967624,0.7832908825,0.3860530608,3.511010603e-05,1.166201351e-06,8.464089263e-05,0.2982983253,42.63661198,0.02065249616,3.986103617e-05,0.0,0.0,159.1667884
5,1.7125000000000001,-1.280553768e-18,0.3000000048,659.4662523,0.9732559392,0.02582305769,0.06791923594,0.9568506416,62.16365368,0.6921440551,599.2939802,0.5438330356,14615.05704,29863.32779,0.08019095271,51.9558542,0.1959282697,7772200.936,0.2849752904,0.12248863930000001,0.9885988307,1.030115089,19.77616299,0.4619885934,3418862.008,0.3071717655,0.07606941819,0.7455564337,-1.040822001,2.545600222,0.06531606712,0.006673422028,2.544744976,1079.861711,0.07586134409,0.0767147978,0.03073738924,0.9402506424,1.180707252,0.4077582474,0.4331230893,1.019769244,501.4213254,0.06605476866,0.05304617872,0.01994561032,0.3909980057,5.88187789e-05,0.1412814083,0.02419416942,0.01112479767,6.259022997e-09,-9.394187521e-08,9.394187521e-08,0.3227062795,1.000030125,599.3119958,599.2846739,1.013604646,0.01801561649,0.821368955,0.3337082772,0.5479780771,0.3226995141,4.529589748e-05,1.669731262e-07,4.969974038e-07,0.3909980057,28.76850126,0.03073295948,2.969035204e-05,0.0,0.0,114.0604162
6,2.140625,-9.604153257000001e-19,0.3000000048,0.009069491623,0.7780970084,-0.001516496217,0.1413499697,0.7567373337,72.12341088,0.5743669673,449.2184743,0.3420208973,8178.13909,3639.098341,0.07786104067,50.53273429,0.1937752247,7592097.036,0.2947406925,0.11998301249999999,0.9292223693,1.027489534,17.97576447,0.4419209875,3090297.638,0.3330169713,0.06733009277,0.7273793553,-1.047248147,2.375386938,0.067099477,0.007197736565,2.374419205,1013.148808,0.08565275224,0.06928621823,0.02792471943,0.9422309734,1.140956503,0.4148885201,0.4412758554,0.9666857112,511.1326078,0.06607356125,0.05355789525,0.02026320666,0.4427345786,3.678887992e-05,0.1562380939,0.01169535861,0.005209906461,2.903869523e-09,-2.1252682730000002e-14,2.1252682730000002e-14,0.3086831957,1.0,449.2184743,449.2184743,1.003291999,0.0,1.166539768,0.09131010446,0.3708743517,0.3086831957,3.394964443e-05,4.031627697e-12,6.841692685e-12,0.4427345786,9.640823645,0.0399037935,2.478998217e-05,0.0,0.0,77.58636259
7,2.5687499999999996,-6.402768838e-19,0.3000000048,0.0001100530139,0.5726663753,-0.03675021744,0.01506515627,0.5577490863,63.52921787,0.4273890835,401.3393558,0.2471592529,5397.199783,1564.453593,0.07494521058,48.39914687,0.1921357032,7297997.153,0.3043659175,0.11957878369999998,0.8894335124,1.024235828,15.69886169,0.4245993854,2697385.816,0.3552372411,0.060635589749999996,0.7096900281,-1.052394635,2.192943284,0.06713775087,0.007239375656,2.191896003,946.0633302,0.09492862055,0.06214746453,0.02516381396,0.9434579518,1.1000694,0.421295863,0.4526181842,0.9095723053,514.9417682,0.06534308384,0.05349067263,0.02035298023,0.4395079251,2.104549807e-05,0.1606099897,0.008044333955,0.003442152097,2.124447628e-09,-5.039028409e-18,5.039028409e-18,0.3136501512,1.0,401.3393558,401.3393558,1.000797451,0.0,1.395933934,0.1332040462,0.4073916376,0.3136501512,2.168768864e-05,4.719444335e-14,8.313725551000001e-14,0.4395079251,4.79035907,0.05101757561,2.312624559e-05,0.0,0.0,64.59680745
8,2.9968749999999997,-3.201384419e-19,0.3000000048,2.982649767e-05,0.5027428718,-0.09409113967,-0.1346127492,0.462838656,65.37431016,0.4148958131,378.8970068,0.1983074529,3988.232851,1024.568901,0.07090636605,45.4558565,0.1936188617,6873779.94,0.3035182888,0.1201552138,0.8725839704,1.020687197,13.25694253,0.4097393015,2285937.97,0.3689846088,0.05655572509,0.6948037264,-1.056487099,2.011758265,0.06356732799,0.005668444817,2.010739835,883.7462263,0.1030263213,0.05582599295,0.02267226834,0.9446432807,1.058998624,0.4231763461,0.4596596421,0.8549035927,512.512236,0.06406799729,0.05292866037,0.02023475034,0.3602776068,1.598794878e-05,0.1626440802,0.006366893733,0.00265206079,1.895751234e-09,-1.108394105e-18,1.108394105e-18,0.3449309348,1.0,378.8970068,378.8970068,1.00081495,0.0,1.579864943,0.1691745735,0.4629052199,0.3449309348,1.733760927e-05,1.3541226880000001e-14,2.2529962160000003e-14,0.3602776068,4.539454954,0.06950723382,2.233199467e-05,0.0,0.0,47.59295894
9,3.4249998980000003,0.0,0.299999996,1.598736902e-05,0.5431229942,-0.1344413734,-0.2578689601,0.4499038777,77.5094099,0.4853764498,365.2124421,0.1661706925,3116.299249,791.738304,0.06595664785,41.78384049,0.1980298584,6343704.783,0.2978881191,0.12143981690000001,0.7923542835,1.017343879,10.99168473,0.3956130033,1928276.768,0.3789664666,0.05439241731,0.6724163744,-1.060690649,1.840185762,0.05472864913,0.001389915893,1.839359447,829.6534603,0.1097188518,0.0505611782,0.02056076497,0.9460461189,1.013702676,0.4194632655,0.4543543137,0.8031721894,507.0328885,0.06262262714,0.05220129886,0.02000569872,0.3228537504,1.370244394e-05,0.1639607628,0.005306812816,0.002184821124,1.716152077e-09,-6.517501944000001e-19,6.517501944000001e-19,0.3643461131,0.9999999702,365.2124421,365.2124421,1.001129113,0.0,1.723539883,0.2048648752,0.4933925841,0.3643461131,1.521638834e-05,7.430946315e-15,1.213617269e-14,0.3228537504,5.110857268,0.08726776328,2.184289091e-05,0.0,0.0,40.78145254
10,3.8531250000000004,-3.511902625e-19,0.3000000048,2.537513901e-06,0.5491152773,-0.1368370101,-0.3172841592,0.4211787054,84.39249803,0.4936968075,341.5181269,0.1101501199,1947.186696,435.1480715,0.06001297986,37.48372425,0.2017393778,5739464.108,0.3012203008,0.1236253751,0.7535255499,1.014379245,9.05189445,0.3791481903,1631401.917,0.3936653958,0.05333640726,0.6460110908,-1.065898499,1.681591674,0.04261955901,-0.002525808686,1.681036619,784.3752708,0.1151434105,0.04626765419,0.01882637056,0.9473786137,0.9642896389,0.4127994792,0.4391422507,0.7526725101,498.6558019,0.06101079048,0.05128875754,0.0196762724,0.3880560823,8.671088818e-06,0.1662218824,0.003418800505,0.001423698888,1.241506923e-09,-1.941511625e-19,1.941511625e-19,0.3355755047,1.0,341.5181269,341.5181269,1.001330267,0.0,1.918990061,0.3079489689,0.5375921889,0.3355755047,1.006674524e-05,1.224309425e-15,1.977739876e-15,0.3880560823,5.289392762,0.08172917669,2.099301518e-05,0.0,0.0,42.78395268
