flow-time,hrr-total,hrr-kW,time-exp,HHR-theoretical-kW
0,0,0,0,15
0.0025,0.011281451,1.12815E-05,60,15
0.005,0.012517443,1.25174E-05,,
0.0075,0.021548006,2.1548E-05,,
0.01,0.031547168,3.15472E-05,,
0.0125,0.038817697,3.88177E-05,,
0.015,0.043118211,4.31182E-05,,
0.0175,0.045565443,4.55654E-05,,
0.02,0.048445929,4.84459E-05,,
0.0225,0.052946433,5.29464E-05,,
0.025,0.058913756,5.89138E-05,,
0.0275,0.065539062,6.55391E-05,,
0.03,0.072171978,7.2172E-05,,
0.0325,0.078068658,7.80687E-05,,
0.035,0.083379322,8.33793E-05,,
0.0375,0.088360238,8.83602E-05,,
0.04,0.093630211,9.36302E-05,,
0.0425,0.099571807,9.95718E-05,,
0.045,0.105915131,0.000105915,,
0.0475,0.112647592,0.000112648,,
0.05,0.119465436,0.000119465,,
0.0525,0.126637981,0.000126638,,
0.055,0.133817295,0.000133817,,
0.0575,0.141422597,0.000141423,,
0.06,0.149628012,0.000149628,,
0.0625,0.158180262,0.00015818,,
0.065,0.166735105,0.000166735,,
0.0675,0.174619221,0.000174619,,
0.07,0.183311022,0.000183311,,
0.0725,0.192298138,0.000192298,,
0.075,0.20137801,0.000201378,,
0.0775,0.211265429,0.000211265,,
0.08,0.22039417,0.000220394,,
0.0825,0.228711655,0.000228712,,
0.085,0.237690853,0.000237691,,
0.0875,0.246577384,0.000246577,,
0.09,0.255635706,0.000255636,,
0.0925,0.265046431,0.000265046,,
0.095,0.275018045,0.000275018,,
0.0975,0.285191876,0.000285192,,
0.1,0.294694898,0.000294695,,
0.1025,0.303679623,0.00030368,,
0.105,0.313068002,0.000313068,,
0.1075,0.322678738,0.000322679,,
0.11,0.332440195,0.00033244,,
0.1125,0.342464816,0.000342465,,
0.115,0.352469621,0.00035247,,
0.1175,0.362935034,0.000362935,,
0.12,0.373631352,0.000373631,,
0.1225,0.384563076,0.000384563,,
0.125,0.395681182,0.000395681,,
0.1275,0.406930135,0.00040693,,
0.13,0.417923526,0.000417924,,
0.1325,0.429429175,0.000429429,,
0.135,0.442073405,0.000442073,,
0.1375,0.455044936,0.000455045,,
0.14,0.468852229,0.000468852,,
0.1425,0.482718612,0.000482719,,
0.145,0.496570351,0.00049657,,
0.1475,0.510781851,0.000510782,,
0.15,0.525425067,0.000525425,,
0.1525,0.539935639,0.000539936,,
0.155,0.554747238,0.000554747,,
0.1575,0.570089959,0.00057009,,
0.16,0.585438237,0.000585438,,
0.1625,0.601677314,0.000601677,,
0.165,0.619103422,0.000619103,,
0.1675,0.637180754,0.000637181,,
0.17,0.655223073,0.000655223,,
0.1725,0.674318304,0.000674318,,
0.175,0.694243158,0.000694243,,
0.1775,0.714839256,0.000714839,,
0.18,0.735336393,0.000735336,,
0.1825,0.756492693,0.000756493,,
0.185,0.779080932,0.000779081,,
0.1875,0.80256928,0.000802569,,
0.19,0.826825671,0.000826826,,
0.1925,0.851096247,0.000851096,,
0.195,0.876013427,0.000876013,,
0.1975,0.901816618,0.000901817,,
0.2,0.928574795,0.000928575,,
0.2025,0.95624253,0.000956243,,
0.205,0.984815876,0.000984816,,
0.2075,1.015118007,0.001015118,,
0.21,1.046614692,0.001046615,,
0.2125,1.079051382,0.001079051,,
0.215,1.111707556,0.001111708,,
0.2175,1.146149146,0.001146149,,
0.22,1.18192617,0.001181926,,
0.2225,1.218884716,0.001218885,,
0.225,1.256987476,0.001256987,,
0.2275,1.296316822,0.001296317,,
0.23,1.336922552,0.001336923,,
0.2325,1.378818764,0.001378819,,
0.235,1.421970227,0.00142197,,
0.2375,1.46538418,0.001465384,,
0.24,1.509869212,0.001509869,,
0.2425,1.557111369,0.001557111,,
0.245,1.605108827,0.001605109,,
0.2475,1.654310134,0.00165431,,
0.25,1.706398748,0.001706399,,
0.2525,1.760521132,0.001760521,,
0.255,1.816308668,0.001816309,,
0.2575,1.872529145,0.001872529,,
0.26,1.930171166,0.001930171,,
0.2625,1.989780253,0.00198978,,
0.265,2.052933095,0.002052933,,
0.2675,2.118349035,0.002118349,,
0.27,2.185594992,0.002185595,,
0.2725,2.254664873,0.002254665,,
0.275,2.325779981,0.00232578,,
0.2775,2.398936399,0.002398936,,
0.28,2.472338028,0.002472338,,
0.2825,2.547104376,0.002547104,,
0.285,2.623902774,0.002623903,,
0.2875,2.70286635,0.002702866,,
0.29,2.78380446,0.002783804,,
0.2925,2.866751024,0.002866751,,
0.295,2.953966226,0.002953966,,
0.2975,3.043922974,0.003043923,,
0.3,3.133894518,0.003133895,,
0.3025,3.225182223,0.003225182,,
0.305,3.318720143,0.00331872,,
0.3075,3.41494573,0.003414946,,
0.31,3.516257453,0.003516257,,
0.3125,3.618337167,0.003618337,,
0.315,3.721753531,0.003721754,,
0.3175,3.827537616,0.003827538,,
0.32,3.939266093,0.003939266,,
0.3225,4.052481275,0.004052481,,
0.325,4.167836127,0.004167836,,
0.3275,4.286290228,0.00428629,,
0.33,4.408346405,0.004408346,,
0.3325,4.534148731,0.004534149,,
0.335,4.663600182,0.0046636,,
0.3375,4.796635521,0.004796636,,
0.34,4.933132511,0.004933133,,
0.3425,5.076599057,0.005076599,,
0.345,5.221727873,0.005221728,,
0.3475,5.373418088,0.005373418,,
0.35,5.53034082,0.005530341,,
0.3525,5.69157445,0.005691574,,
0.355,5.853137998,0.005853138,,
0.3575,6.017906952,0.006017907,,
0.36,6.187855071,0.006187855,,
0.3625,6.355628867,0.006355629,,
0.365,6.542117878,0.006542118,,
0.3675,6.729650475,0.00672965,,
0.37,6.92673141,0.006926731,,
0.3725,7.131270203,0.00713127,,
0.375,7.342897482,0.007342897,,
0.3775,7.548090271,0.00754809,,
0.38,7.766823118,0.007766823,,
0.3825,7.993037714,0.007993038,,
0.385,8.232032578,0.008232033,,
0.3875,8.470784303,0.008470784,,
0.39,8.70733565,0.008707336,,
0.3925,8.968473963,0.008968474,,
0.395,9.23869317,0.009238693,,
0.3975,9.530286366,0.009530286,,
0.4,9.801019418,0.009801019,,
0.4025,10.07397402,0.010073974,,
0.405,10.3733587,0.010373359,,
0.4075,10.68736837,0.010687368,,
0.41,11.00193538,0.011001935,,
0.4125,11.31922284,0.011319223,,
0.415,11.64527048,0.01164527,,
0.4175,11.98655967,0.01198656,,
0.42,12.34292163,0.012342922,,
0.4225,12.71222858,0.012712229,,
0.425,13.08977209,0.013089772,,
0.4275,13.47482115,0.013474821,,
0.43,13.87210072,0.013872101,,
0.4325,14.29314108,0.014293141,,
0.435,14.72834557,0.014728346,,
0.4375,15.16843396,0.015168434,,
0.44,15.62106254,0.015621063,,
0.4425,16.0959943,0.016095994,,
0.445,16.5955998,0.0165956,,
0.4475,17.10160225,0.017101602,,
0.45,17.62288908,0.017622889,,
0.4525,18.16412452,0.018164125,,
0.455,18.73685884,0.018736859,,
0.4575,19.33144808,0.019331448,,
0.46,19.93251596,0.019932516,,
0.4625,20.55302507,0.020553025,,
0.465,21.20764031,0.02120764,,
0.4675,21.89550321,0.021895503,,
0.47,22.57945099,0.022579451,,
0.4725,23.29505187,0.023295052,,
0.475,24.05102765,0.024051028,,
0.4775,24.82680789,0.024826808,,
0.48,25.63081531,0.025630815,,
0.4825,26.46355272,0.026463553,,
0.485,27.34280819,0.027342808,,
0.4875,28.24917671,0.028249177,,
0.49,29.18904823,0.029189048,,
