"Radius, (cm), 1.0D","Mean conditional temperature, (K), 1.0D","Radius, (cm), 1.5D","Mean conditional temperature, (K), 1.5D","Radius, (cm), 2.0D","Mean conditional temperature, (K), 2.0D","Radius, (cm), 2.5D","Mean conditional temperature, (K), 2.5D","Radius, (cm), 3.0D","Mean conditional temperature, (K), 3.0D","Radius, (cm), 3.5D","Mean conditional temperature, (K), 3.5D"
-7.0,1445.290763849028,-9.0,1446.544660415264,-9.0,1478.6310356027461,-9.0,1479.2318584286365,-9.0,1499.7429959088695,-9.0,1504.7198246091643
-6.0,1504.3035694303803,-8.0,1464.7742497602592,-8.0,1468.3197430321868,-8.0,1483.1837541517334,-8.0,1495.7341299451136,-8.0,1499.7078703322986
-5.0,1535.7326011384228,-7.0,1491.998497132727,-7.0,1495.4507158938723,-7.0,1497.3394604500877,-7.0,1517.1978312153117,-7.0,1508.508725682995
-4.0,1541.2943931340706,-6.0,1499.9102943286944,-6.0,1519.0140876681412,-6.0,1519.5161156538618,-6.0,1524.4041028008317,-6.0,1517.0131710214685
-3.0,1521.8179983623231,-5.0,1531.3756464273224,-5.0,1524.4762979973452,-5.0,1526.3512433149351,-5.0,1525.5343208471165,-5.0,1524.1295389542067
-2.0,1494.3973468689062,-4.0,1538.5570330629737,-4.0,1524.6573762142566,-4.0,1532.360313564792,-4.0,1529.5313382940003,-4.0,1524.8595500990925
-1.0,1474.147119319435,-3.0,1537.528730553065,-3.0,1531.028253122665,-3.0,1531.115522341098,-3.0,1525.8607692284372,-3.0,1530.6266371020313
0.0,1462.318940334011,-2.0,1539.4059734091077,-2.0,1516.1457270579713,-2.0,1527.1982362595113,-2.0,1529.8315483224585,-2.0,1529.5220819553315
1.0,1456.0795184480994,-1.0,1523.6467160806108,-1.0,1519.9913278965557,-1.0,1528.0662979359201,-1.0,1533.9642733948012,-1.0,1529.0014301315837
2.0,1474.2691059035176,0.0,1507.3691659885924,0.0,1521.063827414938,0.0,1520.5570373422884,0.0,1534.9904133468183,0.0,1526.0334627213751
3.0,1507.416316814339,1.0,1493.65528359129,1.0,1537.8533844741087,1.0,1524.1550711878492,1.0,1534.7355706431374,1.0,1530.4532274890782
4.0,1544.2055890047275,2.0,1500.9282997525024,2.0,1532.195657066757,2.0,1528.2550518166197,2.0,1537.9133476026732,2.0,1531.255359132494
5.0,1549.2595497864793,3.0,1526.536329588368,3.0,1538.7514830886,3.0,1540.8986748038753,3.0,1535.261876014776,3.0,1529.0885864172571
6.0,1504.992919339122,4.0,1536.3709230538348,4.0,1540.0126976441204,4.0,1541.3559854658859,4.0,1535.6745854923195,4.0,1527.3453382397881
7.0,1486.9120759005039,5.0,1544.908759962595,5.0,1539.1500111409202,5.0,1536.9751218355816,5.0,1528.7472756243121,5.0,1526.3226476702257
,,6.0,1536.5363414523297,6.0,1538.4427015664871,6.0,1528.049307287803,6.0,1529.39382848364,6.0,1520.8138801244759
,,7.0,1502.1604632177261,7.0,1517.3459977648906,7.0,1526.6034008819947,7.0,1523.0567551788604,7.0,1514.0779174979043
,,8.0,1473.8436781011699,8.0,1491.3235498751555,8.0,1516.4394358670706,8.0,1514.4220212802566,8.0,1516.4771499858316
,,9.0,1462.3401720249167,9.0,1483.2184225850494,9.0,1504.8212308616114,9.0,1515.2169531182685,9.0,1505.7955369631763
