s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 0.0000000E+000,-3.9257296E-006,-5.9341390E-006,-7.5576983E-006,-7.0032114E-006,-5.6182580E-006,-3.3958351E-006,-5.0748036E-006,-6.3882295E-006,-6.0212518E-006,-4.9470949E-006,-3.1731009E-006,-4.7759947E-006,-6.0331552E-006,-5.6733441E-006,-4.6677162E-006,-3.0100246E-006,-4.5824759E-006,-5.8272207E-006,-5.4661115E-006,-4.4947571E-006,-5.6897596E-006,-5.5090632E-006,-5.1811436E-006,-4.3586765E-006,-2.7273271E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.1265242E-001, 1.0096320E-002, 1.2506830E-002, 1.3653146E-002, 1.2268782E-002, 9.7262904E-003, 2.0836004E-003, 2.5737009E-003, 2.8457043E-003, 2.6125937E-003, 2.1362474E-003, 7.9812754E-004, 9.4580779E-004, 9.7953402E-004, 9.7221117E-004, 8.4481453E-004, 3.8512168E-004, 4.6031339E-004, 6.1753610E-004, 4.8576864E-004, 4.2308994E-004, 4.8330467E-004, 3.0982282E-004, 1.6586156E-004, 6.6950109E-005, 2.3899344E-005, 2.0000527E+001, 2.0000338E+001, 2.0000181E+001, 2.0000073E+001, 2.0000026E+001
 1.0076272E+000, 6.6222554E-002, 8.3378945E-002, 9.2712209E-002, 8.3858835E-002, 6.6658354E-002, 1.4275086E-002, 1.7363852E-002, 1.8812649E-002, 1.7196985E-002, 1.4018462E-002, 5.8071692E-003, 6.5891429E-003, 6.6202809E-003, 6.4430579E-003, 5.4855445E-003, 2.8909235E-003, 3.2582457E-003, 4.1618253E-003, 3.1425700E-003, 2.6608677E-003, 3.2375620E-003, 2.0695192E-003, 1.1077401E-003, 4.4957937E-004, 1.6259179E-004, 2.0005076E+001, 2.0003248E+001, 2.0001741E+001, 2.0000708E+001, 2.0000256E+001
 1.5026019E+000, 1.7029553E-001, 2.2226514E-001, 2.4664132E-001, 2.2239769E-001, 1.6996902E-001, 3.7423937E-002, 4.6266146E-002, 5.0402687E-002, 4.5672414E-002, 3.7390705E-002, 1.4988582E-002, 1.6501502E-002, 1.7638843E-002, 1.6526717E-002, 1.5161887E-002, 7.2018512E-003, 7.8911164E-003, 1.1121194E-002, 7.7816555E-003, 7.3209657E-003, 8.3705035E-003, 5.0831800E-003, 2.5851289E-003, 9.9957631E-004, 3.5109183E-004, 2.0017379E+001, 2.0010767E+001, 2.0005585E+001, 2.0002200E+001, 2.0000781E+001
 2.0086125E+000, 2.8284726E-001, 3.5584310E-001, 4.2790021E-001, 3.7152388E-001, 2.5242716E-001, 5.9479157E-002, 6.8522781E-002, 7.7874933E-002, 6.7210679E-002, 6.0948827E-002, 2.4389737E-002, 2.2315444E-002, 2.8043604E-002, 2.2460398E-002, 2.5448194E-002, 1.1762503E-002, 1.1086807E-002, 1.7663911E-002, 1.1070408E-002, 1.2269384E-002, 1.1717031E-002, 6.1265772E-003, 2.7840694E-003, 9.9272752E-004, 3.3828615E-004, 2.0031551E+001, 2.0017849E+001, 2.0008623E+001, 2.0003216E+001, 2.0001113E+001
 2.5002477E+000, 3.6904412E-001, 8.5759667E-001, 1.1426213E+000, 6.0942384E-001, 3.3183594E-001, 8.1542692E-002, 1.0394649E-001, 1.2024992E-001, 1.0163508E-001, 8.0619498E-002, 3.3089480E-002, 3.2475136E-002, 3.6626730E-002, 3.3936605E-002, 3.4165882E-002, 1.7986131E-002, 1.8954167E-002, 1.8619933E-002, 1.9181408E-002, 1.8570672E-002, 1.0646053E-002, 5.0963308E-003, 2.2879369E-003, 8.5836220E-004, 3.1942642E-004, 2.0040083E+001, 2.0020832E+001, 2.0009697E+001, 2.0003612E+001, 2.0001287E+001
 3.0018339E+000, 4.3266271E-001, 7.3796564E-001, 1.6719566E+000, 7.4447405E-001, 4.5941476E-001, 1.7383382E-001, 1.4165789E-001, 4.1790548E-001, 2.2345651E-001, 1.1470376E-001, 4.3420889E-002, 5.0842681E-002, 8.8945731E-002, 1.0844218E-001, 4.3613715E-002, 2.2674631E-002, 3.0082702E-002, 1.8104135E-002, 2.9686692E-002, 2.2280335E-002, 1.0526854E-002, 5.3631427E-003, 2.5318546E-003, 9.8782381E-004, 3.7787491E-004, 2.0045067E+001, 2.0023458E+001, 2.0011054E+001, 2.0004211E+001, 2.0001546E+001
 3.5007034E+000, 4.4328461E-001, 8.6917851E-001, 2.1018727E+000, 8.4097192E-001, 4.5174591E-001, 1.8468305E-001, 1.8758922E-001, 6.0212113E-001, 2.4509035E-001, 1.4653819E-001, 5.3794230E-002, 1.1676588E-001, 2.1516557E-001, 2.9805195E-001, 2.2861512E-001, 2.6313879E-002, 3.4014283E-002, 1.0817357E-001, 1.6814376E-001, 1.1974342E-001, 1.4379620E-002, 7.4078924E-003, 3.5575662E-003, 1.4146216E-003, 5.5120137E-004, 2.0056822E+001, 2.0029632E+001, 2.0014098E+001, 2.0005460E+001, 2.0002048E+001
 4.0016898E+000, 5.4591839E-001, 9.0438229E-001, 2.5032627E+000, 1.0500759E+000, 5.0344422E-001, 2.2257964E-001, 2.6270156E-001, 7.7736807E-001, 3.1744725E-001, 1.7092103E-001, 6.2268207E-002, 1.1668181E-001, 4.2596255E-001, 2.2994865E-001, 1.3380921E-001, 7.4470810E-002, 1.3771613E-001, 2.2616571E-001, 2.3322575E-001, 2.1005331E-001, 8.8374126E-002, 9.8908801E-003, 4.4182441E-003, 1.7558095E-003, 7.2536980E-004, 2.0180598E+001, 2.0038333E+001, 2.0017889E+001, 2.0007016E+001, 2.0002739E+001
