HRR,HF_z10,HF_z20,HF_z30,HF_z50,HF_z75,HF_z100,HF_z140,HF_z180,HF_z220,u_exp_HF_z10,u_exp_HF_z20,u_exp_HF_z30,u_exp_HF_z50,u_exp_HF_z75,u_exp_HF_z100,u_exp_HF_z140,u_exp_HF_z180,u_exp_HF_z220
[kW],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW m-2]
120,44.3,42.2,46.5,46.3,46.8,NaN,32.4,8.9,4.1,2.6,9.3,2.8,2.2,3.7,NaN,7.1,2,0.8
200,43.7,39.8,45.6,44.3,48.7,53.6,48.3,38.1,15.3,2.3,1.6,2.1,2.6,3.3,2.7,4.6,7,2.6
300,45.9,40.8,45.2,49.8,50.8,53.6,61.7,57.2,32.1,2.4,1.7,1.9,2.3,2.8,2.3,3.4,2.8,3.5
400,47.4,42.4,46.2,51.6,52.8,56.7,64.9,65.1,50.8,2.3,1.7,1.9,2.4,2.9,2.5,3,3.1,4.8
510,45.4,43.1,48.2,54.5,53.2,59.3,69.7,69,65.2,2.1,1.8,2,2.8,3.5,3.2,3.3,3,5.2
750,45.7,42.2,50.8,55.7,55.8,62.2,72.9,71.9,76.6,2.2,1.7,2.3,2.8,3.5,3,3.5,3.2,4.7
990,46.3,41.9,51.3,58.8,58.4,63.5,73.2,74.4,77.7,2.6,1.7,2.2,3.1,3.3,2.7,3.1,3.3,4.1
1500,48.4,43.7,55.4,59.9,62,66.4,79.3,85.2,85.9,2.5,1.9,2.4,2.8,3.2,2.9,3.6,3.6,4
1980,52.4,48.2,62.1,65.9,76.7,77.2,89.2,94.5,99.7,3.2,2,2.7,3.5,5.1,4.9,4,4.1,4.6
2800,63.2,NaN,68.2,79.7,97.5,94.4,108.7,109.8,115.8,8.8,NaN,4.6,6.7,4.3,7.1,6.6,5.3,5.3
